Most used words by (Sandy) Alex G: 
Number of songs scanned: 206

1. baby - 112 uses.
2. think - 97 uses.
3. love - 80 uses.
4. down - 72 uses.
5. take - 63 uses.
6. back - 62 uses.
7. big - 61 uses.
8. really - 56 uses.
9. let - 55 uses.
10. nothing - 51 uses.
11. okay - 51 uses.
12. head - 45 uses.
13. tell - 45 uses.
14. feel - 45 uses.
15. here - 41 uses.
16. need - 41 uses.
17. something - 40 uses.
18. never - 38 uses.
19. through - 36 uses.
20. six - 36 uses.
21. right - 35 uses.
22. everything - 34 uses.
23. home - 32 uses.
24. boy - 31 uses.
25. leave - 31 uses.
26. inside - 31 uses.
27. around - 31 uses.
28. real - 31 uses.
29. hurt - 30 uses.
30. alone - 30 uses.
31. sick - 30 uses.
32. about - 30 uses.
33. mind - 30 uses.
34. stay - 30 uses.
35. wrong - 29 uses.
36. blood - 29 uses.
37. things - 28 uses.
38. girl - 27 uses.
39. because - 27 uses.
40. put - 26 uses.
41. whats - 26 uses.
42. daddy - 26 uses.
43. eyes - 25 uses.
44. away - 25 uses.
45. maybe - 25 uses.
46. today - 24 uses.
47. night - 24 uses.
48. knew - 24 uses.
49. good - 24 uses.
50. pretty - 24 uses.
51. thing - 24 uses.
52. hair - 24 uses.
53. try - 24 uses.
54. hey - 24 uses.
55. wait - 23 uses.
56. ground - 23 uses.
57. ever - 23 uses.
58. gone - 23 uses.
59. keep - 22 uses.
60. die - 22 uses.
61. play - 22 uses.
62. dream - 21 uses.
63. saw - 21 uses.
64. says - 21 uses.
65. happy - 20 uses.
66. grow - 20 uses.
67. face - 20 uses.
68. shit - 20 uses.
69. cry - 20 uses.
70. live - 20 uses.
71. wants - 20 uses.
72. bad - 20 uses.
73. little - 20 uses.
74. people - 20 uses.
75. old - 20 uses.
76. hope - 19 uses.
77. took - 19 uses.
78. give - 19 uses.
79. talk - 19 uses.
80. looking - 19 uses.
81. exist - 19 uses.
82. care - 18 uses.
83. anymore - 18 uses.
84. fat - 18 uses.
85. honey - 18 uses.
86. babe - 18 uses.
87. apart - 18 uses.
88. myself - 17 uses.
89. fuck - 17 uses.
90. knows - 17 uses.
91. better - 17 uses.
92. break - 17 uses.
93. alright - 17 uses.
94. everybody - 17 uses.
95. name - 17 uses.
96. told - 16 uses.
97. every - 16 uses.
98. heart - 16 uses.
99. friends - 16 uses.
100. only - 16 uses.
101. understand - 16 uses.
102. makes - 16 uses.
103. over - 16 uses.
104. falls - 16 uses.
105. friend - 15 uses.
106. should - 15 uses.
107. hard - 15 uses.
108. please - 15 uses.
109. great - 15 uses.
110. forever - 15 uses.
111. hold - 15 uses.
112. hand - 15 uses.
113. mouth - 15 uses.
114. cut - 15 uses.
115. long - 15 uses.
116. mommy - 15 uses.
117. sometimes - 15 uses.
118. tonight - 15 uses.
119. even - 15 uses.
120. kid - 15 uses.
121. sky - 15 uses.
122. forget - 15 uses.
123. coming - 15 uses.
124. walk - 15 uses.
125. feeling - 14 uses.
126. life - 14 uses.
127. high - 14 uses.
128. stop - 14 uses.
129. hole - 14 uses.
130. always - 14 uses.
131. guess - 14 uses.
132. black - 14 uses.
133. wake - 14 uses.
134. somebody - 14 uses.
135. change - 14 uses.
136. wish - 13 uses.
137. body - 13 uses.
138. three - 13 uses.
139. mean - 13 uses.
140. water - 13 uses.
141. world - 13 uses.
142. lucy - 13 uses.
143. house - 13 uses.
144. being - 13 uses.
145. lying - 12 uses.
146. tree - 12 uses.
147. again - 12 uses.
