Most used words by 21 District: 
Number of songs scanned: 2

1. back - 16 uses.
2. about - 15 uses.
3. never - 14 uses.
4. lads - 13 uses.
5. 21 - 12 uses.
6. district - 9 uses.
7. talk - 9 uses.
8. opps - 9 uses.
9. real - 9 uses.
10. innerwest - 9 uses.
11. hood - 8 uses.
12. here - 8 uses.
13. run - 7 uses.
14. lad - 7 uses.
15. fuck - 6 uses.
16. coz - 6 uses.
17. smoke - 6 uses.
18. down - 6 uses.
19. shit - 6 uses.
20. since - 6 uses.
21. boys - 6 uses.
22. act - 6 uses.
23. tell - 5 uses.
24. trips - 5 uses.
25. running - 5 uses.
26. free - 5 uses.
27. dropped - 5 uses.
28. life - 5 uses.
29. tryna - 5 uses.
30. times - 4 uses.
31. took - 4 uses.
32. sydney - 4 uses.
33. side - 4 uses.
34. straight - 4 uses.
35. youse - 4 uses.
36. take - 4 uses.
37. ball - 4 uses.
38. stay - 4 uses.
39. bitch - 4 uses.
40. shifty - 4 uses.
41. nothing - 4 uses.
42. fold - 4 uses.
43. going - 4 uses.
44. again - 4 uses.
45. woop - 4 uses.
46. numerous - 3 uses.
47. block - 3 uses.
48. send - 3 uses.
49. snitch - 3 uses.
50. inner - 3 uses.
51. west - 3 uses.
52. let - 3 uses.
53. screaming - 3 uses.
54. effect - 3 uses.
55. ride - 3 uses.
56. streets - 3 uses.
57. those - 3 uses.
58. flops - 3 uses.
59. only - 3 uses.
60. really - 3 uses.
61. hold - 3 uses.
62. through - 3 uses.
63. trying - 3 uses.
64. lets - 3 uses.
65. caught - 3 uses.
66. put - 3 uses.
67. fake - 3 uses.
68. walk - 3 uses.
69. yourself - 3 uses.
70. away - 3 uses.
71. hard - 3 uses.
72. talking - 3 uses.
73. game - 3 uses.
74. drillers - 3 uses.
75. strapped - 3 uses.
76. heat - 3 uses.
77. till - 3 uses.
78. cuz - 3 uses.
79. mad - 3 uses.
80. feeling - 3 uses.
81. mac - 3 uses.
82. bo - 3 uses.
83. glocks - 2 uses.
84. ops - 2 uses.
85. bout - 2 uses.
86. shots - 2 uses.
87. muck - 2 uses.
88. music - 2 uses.
89. kinda - 2 uses.
90. x5 - 2 uses.
91. pumpy - 2 uses.
92. disrespect - 2 uses.
93. weve - 2 uses.
94. fucken - 2 uses.
95. little - 2 uses.
96. shanks - 2 uses.
97. shivs - 2 uses.
98. remember - 2 uses.
99. brothers - 2 uses.
100. sent - 2 uses.
101. 10 - 2 uses.
102. youngins - 2 uses.
103. 50 - 2 uses.
104. bitches - 2 uses.
105. protection - 2 uses.
106. pull - 2 uses.
107. steel - 2 uses.
108. field - 2 uses.
109. grip - 2 uses.
110. lesson - 2 uses.
111. claim - 2 uses.
112. gangbang - 2 uses.
113. fence - 2 uses.
114. whiskey - 2 uses.
115. line - 2 uses.
116. whole - 2 uses.
117. getting - 2 uses.
118. done - 2 uses.
119. test - 2 uses.
120. better - 2 uses.
121. dip - 2 uses.
122. love - 2 uses.
123. round - 2 uses.
124. kid - 2 uses.
125. 110 - 2 uses.
126. hide - 2 uses.
127. hammer - 2 uses.
128. team - 2 uses.
129. making - 2 uses.
130. lock - 2 uses.
131. stop - 2 uses.
132. play - 2 uses.
133. bullets - 2 uses.
134. name - 2 uses.
135. runners - 2 uses.
136. ballied - 2 uses.
137. work - 2 uses.
138. gz - 2 uses.
139. beef - 2 uses.
140. steady - 2 uses.
141. yall - 2 uses.
142. boy - 2 uses.
143. bars - 2 uses.
144. jay - 2 uses.
145. widdit - 2 uses.
146. hit - 2 uses.
147. trust - 2 uses.
148. live - 2 uses.
149. knife - 2 uses.
150. naah - 2 uses.
151. quicker - 2 uses.
152. sending - 2 uses.
153. long - 2 uses.
154. comin - 2 uses.
155. jacked - 2 uses.
156. opp - 2 uses.
157. case - 2 uses.
158. dis - 2 uses.
159. dat - 2 uses.
160. strictly - 2 uses.
161. iffy - 2 uses.
162. leks - 2 uses.
163. maliq - 2 uses.
164. kids - 2 uses.
165. ay - 2 uses.
166. whats - 2 uses.
167. tha - 2 uses.
168. fist - 2 uses.
169. built - 2 uses.
170. swing - 2 uses.
171. ts - 2 uses.
172. keep - 2 uses.
173. carried - 2 uses.
174. ducking - 2 uses.
175. dogs - 1 use.
176. 70 - 1 use.
177. heard - 1 use.
178. kill - 1 use.
179. confirmed - 1 use.
180. ogs - 1 use.
181. fun - 1 use.
182. redhot - 1 use.
183. gave - 1 use.
184. alright - 1 use.
185. knocked - 1 use.
186. nah - 1 use.
187. slide - 1 use.
188. fallen - 1 use.
189. soldiers - 1 use.
190. suicide - 1 use.
191. top - 1 use.
192. check - 1 use.
193. score - 1 use.
194. last - 1 use.
195. checked - 1 use.
196. laying - 1 use.
197. floor - 1 use.
198. dipped - 1 use.
199. butcher - 1 use.
200. wouldnt - 1 use.
201. 09 - 1 use.
202. jm - 1 use.
203. curb - 1 use.
204. high - 1 use.
205. ya - 1 use.
206. dog - 1 use.
207. toke - 1 use.
208. rocks - 1 use.
209. uk - 1 use.
210. bronx - 1 use.
211. bunch - 1 use.
212. own - 1 use.
213. thing - 1 use.
214. wannabe - 1 use.
215. british - 1 use.
216. gronks - 1 use.
217. packed - 1 use.
218. snitches - 1 use.
219. deep - 1 use.
220. inside - 1 use.
221. boneyard - 1 use.
222. section - 1 use.
223. noone - 1 use.
224. gives - 1 use.
225. four - 1 use.
226. bring - 1 use.
227. war - 1 use.
228. reveal - 1 use.
229. knock - 1 use.
230. doors - 1 use.
231. different - 1 use.
