Most used words by AJJ (Andrew Jackson Jihad): 
Number of songs scanned: 152

1. love - 114 uses.
2. hate - 91 uses.
3. people - 86 uses.
4. white - 66 uses.
5. fuck - 60 uses.
6. god - 56 uses.
7. feel - 55 uses.
8. need - 50 uses.
9. kill - 49 uses.
10. fucking - 46 uses.
11. saw - 45 uses.
12. never - 44 uses.
13. give - 44 uses.
14. think - 44 uses.
15. afraid - 44 uses.
16. blood - 41 uses.
17. enough - 41 uses.
18. down - 41 uses.
19. world - 40 uses.
20. take - 40 uses.
21. body - 39 uses.
22. away - 39 uses.
23. long - 38 uses.
24. things - 37 uses.
25. heart - 37 uses.
26. inside - 36 uses.
27. live - 35 uses.
28. because - 34 uses.
29. die - 34 uses.
30. life - 34 uses.
31. stop - 34 uses.
32. keep - 34 uses.
33. brain - 33 uses.
34. really - 32 uses.
35. every - 31 uses.
36. those - 31 uses.
37. where - 30 uses.
38. big - 30 uses.
39. eyes - 29 uses.
40. hope - 28 uses.
41. night - 28 uses.
42. ever - 27 uses.
43. nothing - 27 uses.
44. face - 27 uses.
45. money - 26 uses.
46. hard - 25 uses.
47. rejoice - 25 uses.
48. dead - 24 uses.
49. better - 24 uses.
50. before - 24 uses.
51. something - 24 uses.
52. bad - 23 uses.
53. set - 23 uses.
54. good - 23 uses.
55. put - 23 uses.
56. jesus - 23 uses.
57. makes - 22 uses.
58. baby - 22 uses.
59. thought - 22 uses.
60. shit - 22 uses.
61. little - 22 uses.
62. much - 22 uses.
63. kind - 21 uses.
64. ground - 21 uses.
65. days - 21 uses.
66. everything - 20 uses.
67. any - 20 uses.
68. full - 20 uses.
69. tried - 20 uses.
70. theyre - 19 uses.
71. thing - 19 uses.
72. alive - 19 uses.
73. through - 19 uses.
74. getting - 19 uses.
75. back - 19 uses.
76. right - 19 uses.
77. theyll - 19 uses.
78. worms - 19 uses.
79. tell - 18 uses.
80. show - 18 uses.
81. mouth - 18 uses.
82. eat - 18 uses.
83. lady - 18 uses.
84. stay - 18 uses.
85. alone - 18 uses.
86. police - 18 uses.
87. best - 18 uses.
88. happy - 18 uses.
89. soul - 18 uses.
90. knew - 18 uses.
91. feeling - 18 uses.
92. hurt - 18 uses.
93. around - 18 uses.
94. let - 18 uses.
95. left - 18 uses.
96. human - 18 uses.
97. wish - 17 uses.
98. myself - 17 uses.
99. should - 17 uses.
100. war - 17 uses.
101. place - 17 uses.
102. used - 17 uses.
103. years - 17 uses.
104. wanted - 17 uses.
105. yourself - 17 uses.
106. confused - 17 uses.
107. fire - 16 uses.
108. dying - 16 uses.
109. stick - 16 uses.
110. death - 16 uses.
111. hell - 16 uses.
112. until - 16 uses.
113. dreams - 16 uses.
114. even - 16 uses.
115. trying - 16 uses.
116. ones - 16 uses.
117. rage - 16 uses.
118. black - 16 uses.
119. sad - 16 uses.
120. songs - 16 uses.
121. someone - 16 uses.
122. rude - 16 uses.
123. only - 15 uses.
124. waiting - 15 uses.
125. over - 15 uses.
126. after - 15 uses.
127. change - 15 uses.
128. everyone - 15 uses.
129. teeth - 15 uses.
130. going - 15 uses.
131. fear - 15 uses.
132. while - 15 uses.
133. hear - 15 uses.
134. shame - 15 uses.
135. less - 15 uses.
136. again - 15 uses.
137. voice - 15 uses.
138. head - 14 uses.
139. most - 14 uses.
140. doesnt - 14 uses.
141. here - 14 uses.
142. please - 14 uses.
143. took - 14 uses.
144. cut - 14 uses.
145. mind - 14 uses.
146. ugly - 14 uses.
147. break - 14 uses.
148. rock - 14 uses.
149. goodbye - 14 uses.
150. hating - 14 uses.
151. survive - 13 uses.
152. found - 13 uses.
153. friends - 13 uses.
154. gave - 13 uses.
155. dog - 13 uses.
156. room - 13 uses.
157. bullshit - 13 uses.
158. making - 13 uses.
159. home - 13 uses.
160. everybody - 13 uses.
161. sleep - 13 uses.
162. gotta - 13 uses.
163. hair - 13 uses.
164. hatred - 13 uses.
165. deserve - 13 uses.
166. weve - 13 uses.
167. kid - 12 uses.
168. family - 12 uses.
169. leave - 12 uses.
170. open - 12 uses.
171. sweet - 12 uses.
172. went - 12 uses.
173. came - 12 uses.
174. sometimes - 12 uses.
175. try - 12 uses.
176. lets - 12 uses.
177. last - 12 uses.
178. dirt - 12 uses.
179. true - 12 uses.
180. da - 12 uses.
181. run - 12 uses.
182. evil - 11 uses.
183. being - 11 uses.
184. children - 11 uses.
185. anymore - 11 uses.
186. keeps - 11 uses.
187. tired - 11 uses.
188. walk - 11 uses.
189. breathe - 11 uses.
190. guns - 11 uses.
191. looking - 11 uses.
192. believe - 11 uses.
193. dick - 11 uses.
194. free - 11 uses.
195. miss - 11 uses.
196. once - 11 uses.
197. city - 11 uses.
198. bed - 11 uses.
199. learned - 11 uses.
200. does - 11 uses.
201. lake - 11 uses.
202. sorry - 11 uses.
203. very - 11 uses.
204. till - 11 uses.
205. 15 - 11 uses.
206. wrong - 11 uses.
207. praying - 11 uses.
208. deep - 11 uses.
209. song - 11 uses.
210. talk - 11 uses.
211. such - 11 uses.
212. drugs - 10 uses.
213. great - 10 uses.
214. must - 10 uses.
215. isnt - 10 uses.
216. forever - 10 uses.
217. house - 10 uses.
218. fight - 10 uses.
