Most used words by All Time Low: 
Number of songs scanned: 149

1. take - 224 uses.
2. let - 206 uses.
3. never - 197 uses.
4. down - 182 uses.
5. away - 165 uses.
6. back - 109 uses.
7. much - 107 uses.
8. night - 104 uses.
9. love - 101 uses.
10. break - 99 uses.
11. right - 94 uses.
12. heart - 92 uses.
13. life - 89 uses.
14. only - 86 uses.
15. good - 84 uses.
16. keep - 84 uses.
17. lost - 83 uses.
18. need - 83 uses.
19. over - 82 uses.
20. girl - 81 uses.
21. tonight - 79 uses.
22. again - 78 uses.
23. left - 77 uses.
24. another - 77 uses.
25. sleep - 75 uses.
26. here - 75 uses.
27. little - 74 uses.
28. long - 73 uses.
29. tell - 72 uses.
30. forget - 69 uses.
31. gotta - 67 uses.
32. feel - 65 uses.
33. live - 65 uses.
34. last - 63 uses.
35. nothing - 62 uses.
36. think - 60 uses.
37. where - 60 uses.
38. da - 60 uses.
39. place - 59 uses.
40. head - 58 uses.
41. times - 57 uses.
42. lets - 57 uses.
43. give - 56 uses.
44. home - 55 uses.
45. everything - 55 uses.
46. dark - 55 uses.
47. friends - 54 uses.
48. around - 52 uses.
49. under - 52 uses.
50. mind - 51 uses.
51. world - 50 uses.
52. hate - 49 uses.
53. fall - 48 uses.
54. bad - 48 uses.
55. trouble - 48 uses.
56. enough - 48 uses.
57. face - 48 uses.
58. every - 46 uses.
59. feels - 46 uses.
60. through - 45 uses.
61. eh - 45 uses.
62. alone - 44 uses.
63. end - 44 uses.
64. always - 44 uses.
65. even - 44 uses.
66. things - 44 uses.
67. myself - 43 uses.
68. stay - 43 uses.
69. ba - 43 uses.
70. run - 42 uses.
71. kids - 42 uses.
72. name - 42 uses.
73. bed - 42 uses.
74. yourself - 41 uses.
75. turn - 41 uses.
76. ever - 40 uses.
77. such - 40 uses.
78. goodbye - 39 uses.
79. believe - 39 uses.
80. story - 39 uses.
81. hearts - 39 uses.
82. together - 39 uses.
83. days - 39 uses.
84. waiting - 38 uses.
85. weve - 38 uses.
86. hard - 38 uses.
87. stereo - 38 uses.
88. dreams - 36 uses.
89. wake - 36 uses.
90. something - 36 uses.
91. forever - 35 uses.
92. put - 35 uses.
93. please - 35 uses.
94. best - 35 uses.
95. leave - 35 uses.
96. shut - 35 uses.
97. party - 35 uses.
98. without - 34 uses.
99. far - 34 uses.
100. start - 34 uses.
101. room - 34 uses.
102. summer - 34 uses.
103. change - 33 uses.
104. sick - 33 uses.
105. thing - 33 uses.
106. better - 32 uses.
107. til - 32 uses.
108. waste - 32 uses.
109. while - 32 uses.
110. fuck - 32 uses.
111. town - 32 uses.
112. gone - 32 uses.
113. anything - 32 uses.
114. true - 32 uses.
115. basement - 32 uses.
116. friend - 31 uses.
117. lights - 31 uses.
118. pull - 31 uses.
119. caught - 31 uses.
120. eyes - 31 uses.
121. war - 31 uses.
122. moment - 30 uses.
123. set - 30 uses.
124. feet - 30 uses.
125. alright - 30 uses.
126. hey - 30 uses.
127. sing - 29 uses.
128. miss - 29 uses.
129. hide - 29 uses.
130. song - 29 uses.
131. woah - 29 uses.
132. words - 28 uses.
133. happy - 28 uses.
134. fire - 28 uses.
135. dancing - 28 uses.
136. fade - 28 uses.
137. before - 28 uses.
138. dead - 27 uses.
139. talk - 27 uses.
140. hear - 27 uses.
141. watch - 27 uses.
142. alive - 27 uses.
143. ghost - 27 uses.
144. apart - 26 uses.
145. should - 26 uses.
146. crazy - 26 uses.
147. boy - 26 uses.
148. chance - 26 uses.
149. because - 26 uses.
150. told - 26 uses.
151. show - 26 uses.
152. cover - 26 uses.
153. mess - 26 uses.
154. after - 26 uses.
155. cold - 25 uses.
156. wasted - 25 uses.
157. walls - 25 uses.
158. lose - 25 uses.
159. dream - 25 uses.
160. line - 25 uses.
161. idea - 25 uses.
162. safe - 25 uses.
163. try - 25 uses.
164. care - 25 uses.
165. somethings - 24 uses.
166. once - 24 uses.
167. maybe - 24 uses.
168. running - 24 uses.
169. singing - 24 uses.
170. wait - 24 uses.
171. side - 24 uses.
172. kiss - 24 uses.
173. remember - 24 uses.
174. stand - 24 uses.
175. ella - 24 uses.
176. young - 23 uses.
177. lies - 23 uses.
178. city - 23 uses.
179. car - 23 uses.
180. lifetime - 23 uses.
181. chemistry - 23 uses.
182. killing - 23 uses.
183. move - 23 uses.
184. broken - 22 uses.
185. carry - 22 uses.
186. making - 22 uses.
187. hope - 22 uses.
188. play - 22 uses.
189. sleeping - 22 uses.
190. couldnt - 21 uses.
191. throw - 21 uses.
192. real - 21 uses.
193. gimmie - 21 uses.
194. scene - 21 uses.
195. mean - 21 uses.
196. calling - 21 uses.
197. going - 21 uses.
198. stop - 21 uses.
199. inside - 21 uses.
200. felt - 21 uses.
201. feeling - 21 uses.
202. falling - 21 uses.
203. sinking - 21 uses.
204. colors - 21 uses.
205. noise - 21 uses.
206. wanted - 20 uses.
207. easy - 20 uses.
208. bottle - 20 uses.
209. old - 20 uses.
210. pillow - 20 uses.
211. hold - 20 uses.
212. smile - 20 uses.
213. living - 20 uses.
214. wasting - 20 uses.
215. six - 20 uses.
216. boys - 20 uses.
217. road - 20 uses.
218. whoa - 20 uses.
219. between - 20 uses.
220. thanks - 20 uses.
221. beat - 20 uses.
222. dying - 20 uses.
223. fine - 20 uses.
224. mine - 19 uses.
225. sorry - 19 uses.
226. wrong - 19 uses.
227. getting - 19 uses.
228. control - 19 uses.
229. nowhere - 19 uses.
230. fight - 19 uses.
231. baby - 19 uses.
232. space - 19 uses.
233. supposed - 19 uses.
234. used - 19 uses.
235. nights - 19 uses.
236. ya - 19 uses.
237. garden - 19 uses.
238. getaway - 19 uses.
239. livin - 19 uses.
240. own - 18 uses.
241. somewhere - 18 uses.
242. second - 18 uses.
243. worth - 18 uses.
244. liar - 18 uses.
245. free - 18 uses.
246. telling - 18 uses.
247. makes - 18 uses.
248. those - 18 uses.
249. took - 18 uses.
250. taste - 18 uses.
251. roll - 18 uses.
252. having - 18 uses.
253. finding - 18 uses.
254. thinking - 18 uses.
255. sun - 18 uses.
256. loves - 18 uses.
257. hurt - 18 uses.
258. somebody - 18 uses.
259. sound - 17 uses.
260. fake - 17 uses.
261. whats - 17 uses.
262. same - 17 uses.
263. empty - 17 uses.
264. babe - 17 uses.
265. tear - 17 uses.
266. picture - 17 uses.
267. watching - 17 uses.
268. floor - 17 uses.
269. gold - 17 uses.
270. escape - 17 uses.
271. chasing - 17 uses.
272. giving - 17 uses.
273. theyre - 17 uses.
274. cinderblock - 17 uses.
275. drugs - 17 uses.
276. candy - 17 uses.
277. sweet - 16 uses.
278. done - 16 uses.
279. gets - 16 uses.
280. sure - 16 uses.
281. hand - 16 uses.
282. behind - 16 uses.
283. coming - 16 uses.
284. fast - 16 uses.
285. weekend - 16 uses.
286. pretty - 16 uses.
287. future - 16 uses.
288. paper - 16 uses.
289. anymore - 16 uses.
290. wouldnt - 16 uses.
291. fool - 16 uses.
292. till - 16 uses.
293. wish - 16 uses.
294. ones - 16 uses.
295. edge - 16 uses.
296. shame - 16 uses.
297. sunshine - 16 uses.
298. afraid - 15 uses.
299. breath - 15 uses.
300. beautiful - 15 uses.
301. past - 15 uses.
302. turning - 15 uses.
303. hit - 15 uses.
304. help - 15 uses.
305. kid - 15 uses.
306. stupid - 15 uses.
307. high - 15 uses.
308. laundry - 15 uses.
309. leaving - 15 uses.
310. tired - 15 uses.
311. saved - 15 uses.
312. umbrella - 15 uses.
313. roses - 15 uses.
314. streets - 15 uses.
315. knows - 15 uses.
316. green - 15 uses.
317. along - 14 uses.
318. trying - 14 uses.
319. memories - 14 uses.
320. light - 14 uses.
321. mistake - 14 uses.
322. swear - 14 uses.
323. perfect - 14 uses.
324. sad - 14 uses.
325. big - 14 uses.
326. drink - 14 uses.
327. most - 14 uses.
328. mr - 14 uses.
329. lie - 14 uses.
330. count - 14 uses.
331. comes - 14 uses.
332. close - 14 uses.
333. stars - 14 uses.
334. damn - 14 uses.
335. morning - 14 uses.
336. walk - 14 uses.
337. white - 14 uses.
338. ends - 14 uses.
339. missing - 13 uses.
340. hello - 13 uses.
341. people - 13 uses.
342. laughing - 13 uses.
343. settle - 13 uses.
344. follow - 13 uses.
345. first - 13 uses.
346. hell - 13 uses.
347. chances - 13 uses.
348. four - 13 uses.
349. late - 13 uses.
350. isnt - 13 uses.
351. bomb - 13 uses.
352. shake - 13 uses.
353. yet - 13 uses.
354. hurts - 13 uses.
355. new - 13 uses.
356. keeps - 13 uses.
357. matter - 13 uses.
358. really - 13 uses.
359. hands - 13 uses.
360. nightmares - 13 uses.
361. guess - 13 uses.
362. awake - 13 uses.
363. silver - 13 uses.
364. must - 13 uses.
365. tomorrow - 13 uses.
366. nice - 13 uses.
367. notches - 13 uses.
368. listen - 12 uses.
369. bones - 12 uses.
370. pain - 12 uses.
371. memory - 12 uses.
372. open - 12 uses.
373. whole - 12 uses.
374. fix - 12 uses.
375. reason - 12 uses.
376. catch - 12 uses.
377. lips - 12 uses.
378. minute - 12 uses.
379. ride - 12 uses.
380. knew - 12 uses.
381. breaks - 12 uses.
382. plans - 12 uses.
383. thought - 12 uses.
384. runnin - 12 uses.
385. strangers - 12 uses.
386. kind - 12 uses.
387. meant - 12 uses.
388. honest - 12 uses.
389. okay - 12 uses.
390. next - 12 uses.
391. wonder - 12 uses.
392. surrender - 12 uses.
393. save - 12 uses.
394. round - 12 uses.
395. circles - 12 uses.
396. bail - 12 uses.
397. came - 11 uses.
398. burned - 11 uses.
399. heard - 11 uses.
400. teeth - 11 uses.
401. mistakes - 11 uses.
402. holiday - 11 uses.
403. tried - 11 uses.
404. gave - 11 uses.
405. burn - 11 uses.
406. vampire - 11 uses.
407. red - 11 uses.
408. hiding - 11 uses.
409. rain - 11 uses.
410. favorite - 11 uses.
411. radio - 11 uses.
412. losing - 11 uses.
413. sit - 11 uses.
414. sweat - 11 uses.
415. shouldnt - 11 uses.
416. mouth - 11 uses.
417. pass - 11 uses.
418. known - 11 uses.
419. half - 11 uses.
420. hopes - 11 uses.
421. drive - 11 uses.
422. onto - 11 uses.
423. pretend - 11 uses.
424. ask - 11 uses.
425. cut - 11 uses.
426. calamity - 11 uses.
427. bedpost - 11 uses.
428. skin - 10 uses.
429. went - 10 uses.
430. worst - 10 uses.
431. promise - 10 uses.
432. sheets - 10 uses.
433. miles - 10 uses.
434. distance - 10 uses.
435. spend - 10 uses.
436. found - 10 uses.
437. speak - 10 uses.
438. crowd - 10 uses.
439. seem - 10 uses.
440. screaming - 10 uses.
441. until - 10 uses.
442. sold - 10 uses.
443. paint - 10 uses.
444. black - 10 uses.
445. pages - 10 uses.
446. strung - 10 uses.
447. apathy - 10 uses.
448. needs - 10 uses.
449. less - 10 uses.
450. slow - 10 uses.
451. sucker - 10 uses.
452. listening - 10 uses.
453. kicking - 10 uses.
454. point - 10 uses.
455. flowers - 10 uses.
456. shine - 10 uses.
457. brave - 10 uses.
458. hot - 10 uses.
459. shit - 10 uses.
460. damned - 10 uses.
461. fault - 10 uses.
462. elastic - 10 uses.
463. halo - 10 uses.
464. holly - 10 uses.
465. alejandro - 10 uses.
466. secrets - 10 uses.
467. afterglow - 10 uses.
468. floating - 10 uses.
469. dirty - 10 uses.
470. piece - 9 uses.
471. scream - 9 uses.
472. learned - 9 uses.
473. stuck - 9 uses.
474. else - 9 uses.
475. kill - 9 uses.
476. years - 9 uses.
477. lot - 9 uses.
478. track - 9 uses.
479. stage - 9 uses.
480. rest - 9 uses.
481. wanting - 9 uses.
482. ready - 9 uses.
483. heres - 9 uses.
484. truth - 9 uses.
485. eye - 9 uses.
486. tears - 9 uses.
487. dreaming - 9 uses.
488. though - 9 uses.
489. drop - 9 uses.
490. reckless - 9 uses.
491. tight - 9 uses.
492. wings - 9 uses.
493. theyll - 9 uses.
494. coast - 9 uses.
495. wondering - 9 uses.
496. might - 9 uses.
497. god - 9 uses.
498. luck - 9 uses.
499. irony - 9 uses.
500. post - 9 uses.
501. modern - 9 uses.
