Most used words by Alt-J: 
Number of songs scanned: 51

1. love - 78 uses.
2. leon - 47 uses.
3. green - 42 uses.
4. pool - 41 uses.
5. summer - 41 uses.
6. down - 36 uses.
7. vendas - 34 uses.
8. loves - 34 uses.
9. back - 32 uses.
10. blood - 29 uses.
11. la-la - 29 uses.
12. zero - 26 uses.
13. let - 25 uses.
14. cold - 25 uses.
15. na - 24 uses.
16. night - 23 uses.
17. over - 22 uses.
18. tu - 21 uses.
19. heart - 21 uses.
20. please - 21 uses.
21. good - 21 uses.
22. anna - 21 uses.
23. never - 20 uses.
24. hold - 20 uses.
25. left - 20 uses.
26. focus - 20 uses.
27. sample - 19 uses.
28. coming - 18 uses.
29. other - 18 uses.
30. matilda - 18 uses.
31. swim - 18 uses.
32. die - 18 uses.
33. patria - 17 uses.
34. told - 17 uses.
35. de - 17 uses.
36. hey - 17 uses.
37. something - 16 uses.
38. every - 16 uses.
39. ten - 16 uses.
40. snare - 16 uses.
41. neon - 16 uses.
42. hit - 16 uses.
43. valley - 15 uses.
44. happy - 15 uses.
45. sign - 15 uses.
46. wish - 15 uses.
47. men - 14 uses.
48. such - 13 uses.
49. deep - 13 uses.
50. hand - 13 uses.
51. three - 13 uses.
52. girls - 13 uses.
53. low - 13 uses.
54. pay - 12 uses.
55. money - 12 uses.
56. morning - 12 uses.
57. eyes - 12 uses.
58. life - 12 uses.
59. dark - 12 uses.
60. put - 12 uses.
61. kiss - 12 uses.
62. hands - 12 uses.
63. je - 12 uses.
64. take - 11 uses.
65. lets - 11 uses.
66. right - 11 uses.
67. father - 11 uses.
68. sie - 11 uses.
69. freckle - 11 uses.
70. around - 10 uses.
71. blue - 10 uses.
72. les - 10 uses.
73. toe - 10 uses.
74. seven - 10 uses.
75. car - 10 uses.
76. sing - 10 uses.
77. sun - 10 uses.
78. another - 10 uses.
79. dc - 10 uses.
80. killer - 10 uses.
81. dry - 9 uses.
82. little - 9 uses.
83. chest - 9 uses.
84. hallelujah - 9 uses.
85. needs - 9 uses.
86. eat - 9 uses.
87. ones - 9 uses.
88. last - 9 uses.
89. volvo - 9 uses.
90. keepa - 9 uses.
91. papa - 9 uses.
