Most used words by American Football: 
Number of songs scanned: 26

1. alone - 20 uses.
2. home - 12 uses.
3. need - 12 uses.
4. heir - 12 uses.
5. apparent - 12 uses.
6. throne - 12 uses.
7. king - 11 uses.
8. everything - 10 uses.
9. maybe - 9 uses.
10. every - 9 uses.
11. life - 9 uses.
12. only - 8 uses.
13. love - 8 uses.
14. never - 7 uses.
15. sorry - 7 uses.
16. forever - 6 uses.
17. ever - 6 uses.
18. bed - 6 uses.
19. things - 6 uses.
20. miss - 6 uses.
21. lessons - 5 uses.
22. both - 5 uses.
23. here - 5 uses.
24. better - 5 uses.
25. again - 5 uses.
26. dead - 5 uses.
27. exist - 5 uses.
28. mystery - 5 uses.
29. haunt - 5 uses.
30. remember - 4 uses.
31. history - 4 uses.
32. another - 4 uses.
33. asleep - 4 uses.
34. other - 4 uses.
35. change - 4 uses.
36. break - 4 uses.
37. feel - 4 uses.
38. much - 4 uses.
39. further - 4 uses.
40. end - 4 uses.
41. best - 4 uses.
42. forget - 4 uses.
43. lose - 4 uses.
44. lost - 4 uses.
45. muscle - 4 uses.
46. memory - 4 uses.
47. social - 4 uses.
48. seen - 3 uses.
49. afraid - 3 uses.
50. let - 3 uses.
51. without - 3 uses.
52. wasnt - 3 uses.
53. weve - 3 uses.
54. before - 3 uses.
55. door - 3 uses.
56. leave - 3 uses.
57. imagine - 3 uses.
58. together - 3 uses.
59. selfishness - 3 uses.
60. leaving - 3 uses.
61. three - 3 uses.
62. four - 3 uses.
63. soon - 3 uses.
64. years - 3 uses.
65. goodbye - 3 uses.
66. long - 3 uses.
67. hear - 3 uses.
68. anything - 3 uses.
69. head - 3 uses.
70. inside - 3 uses.
71. father - 3 uses.
72. unapologetically - 3 uses.
73. nights - 3 uses.
74. chained - 3 uses.
75. tell - 3 uses.
76. honestly - 3 uses.
77. lets - 3 uses.
78. remind - 3 uses.
79. everyone - 3 uses.
80. must - 3 uses.
81. knows - 3 uses.
82. such - 3 uses.
83. room - 3 uses.
84. forgiveness - 3 uses.
85. continue - 3 uses.
86. doom - 2 uses.
87. full - 2 uses.
88. bloom - 2 uses.
89. late - 2 uses.
90. married - 2 uses.
91. blind - 2 uses.
92. hide - 2 uses.
93. desperate - 2 uses.
94. older - 2 uses.
95. down - 2 uses.
96. wait - 2 uses.
97. truth - 2 uses.
98. dare - 2 uses.
99. cross - 2 uses.
100. bear - 2 uses.
101. jai - 2 uses.
102. mal - 2 uses.
103. au - 2 uses.
104. cœur - 2 uses.
105. cest - 2 uses.
106. faute - 2 uses.
107. de - 2 uses.
108. lamour - 2 uses.
109. wave - 2 uses.
110. rise - 2 uses.
111. key - 2 uses.
112. same - 2 uses.
113. even - 2 uses.
114. streets - 2 uses.
115. care - 2 uses.
116. sure - 2 uses.
117. prone - 2 uses.
118. accidents - 2 uses.
119. misunderstandings - 2 uses.
120. human - 2 uses.
121. beings - 2 uses.
122. individually - 2 uses.
123. inherent - 2 uses.
124. interest - 2 uses.
125. relate - 2 uses.
126. being - 2 uses.
127. regrets - 2 uses.
128. emotional - 2 uses.
129. drink - 2 uses.
130. fall - 2 uses.
131. sky - 2 uses.
132. grey - 2 uses.
133. die - 2 uses.
134. met - 2 uses.
135. fill - 2 uses.
136. killing - 2 uses.
137. whispers - 2 uses.
138. unfold - 2 uses.
139. communication - 2 uses.
140. believe - 2 uses.
141. sensitivity - 2 uses.
142. deprived - 2 uses.
143. thing - 2 uses.
144. youth - 2 uses.
145. become - 2 uses.
146. uncomfortably - 2 uses.
147. numb - 2 uses.
148. whose - 2 uses.
149. ugly - 2 uses.
150. used - 2 uses.
151. less - 2 uses.
152. obvious - 2 uses.
153. begin - 2 uses.
154. feeling - 2 uses.
155. see-through - 2 uses.
156. new - 2 uses.
157. friends - 2 uses.
158. burden - 2 uses.
159. inherited - 2 uses.
160. others - 2 uses.
161. give - 2 uses.
162. instincts - 2 uses.
163. enemy - 2 uses.
164. warned - 2 uses.
165. good - 2 uses.
166. think - 2 uses.
167. trouble - 2 uses.
168. explain - 2 uses.
