Most used words by Arcade Fire: 
Number of songs scanned: 94

1. night - 121 uses.
2. again - 101 uses.
3. love - 90 uses.
4. never - 88 uses.
5. away - 71 uses.
6. wait - 69 uses.
7. every - 65 uses.
8. here - 62 uses.
9. power - 61 uses.
10. comes - 59 uses.
11. everything - 58 uses.
12. take - 54 uses.
13. over - 54 uses.
14. chemistry - 52 uses.
15. money - 49 uses.
16. give - 49 uses.
17. down - 47 uses.
18. feel - 46 uses.
19. already - 46 uses.
20. eyes - 43 uses.
21. baby - 43 uses.
22. let - 42 uses.
23. little - 42 uses.
24. god - 41 uses.
25. life - 40 uses.
26. run - 40 uses.
27. through - 40 uses.
28. right - 40 uses.
29. rococo - 40 uses.
30. used - 39 uses.
31. put - 39 uses.
32. signs - 36 uses.
33. heart - 35 uses.
34. home - 35 uses.
35. reflector - 34 uses.
36. please - 33 uses.
37. looking - 33 uses.
38. live - 33 uses.
39. around - 32 uses.
40. keep - 32 uses.
41. gotta - 32 uses.
42. work - 32 uses.
43. content - 32 uses.
44. world - 30 uses.
45. something - 30 uses.
46. free - 30 uses.
47. kids - 29 uses.
48. before - 29 uses.
49. light - 29 uses.
50. only - 28 uses.
51. about - 28 uses.
52. na - 28 uses.
53. crucified - 28 uses.
54. living - 27 uses.
55. black - 27 uses.
56. mine - 27 uses.
57. maybe - 27 uses.
58. name - 26 uses.
59. hey - 26 uses.
60. head - 25 uses.
61. good - 25 uses.
62. tell - 25 uses.
63. think - 24 uses.
64. start - 24 uses.
65. mirror - 24 uses.
66. old - 24 uses.
67. lets - 24 uses.
68. dream - 24 uses.
69. infinite - 24 uses.
70. sometimes - 22 uses.
71. friends - 22 uses.
72. hear - 22 uses.
73. daddy - 22 uses.
74. past - 21 uses.
75. until - 21 uses.
76. without - 21 uses.
77. boys - 21 uses.
78. hearts - 21 uses.
79. cold - 21 uses.
80. stop - 20 uses.
81. ever - 20 uses.
82. sleeping - 20 uses.
83. mind - 20 uses.
84. coming - 20 uses.
85. found - 20 uses.
86. till - 20 uses.
