Most used words by Arctic Monkeys: 
Number of songs scanned: 122

1. baby - 83 uses.
2. down - 83 uses.
3. only - 66 uses.
4. never - 64 uses.
5. back - 60 uses.
6. yours - 59 uses.
7. love - 57 uses.
8. around - 55 uses.
9. eyes - 55 uses.
10. take - 52 uses.
11. away - 46 uses.
12. thought - 43 uses.
13. things - 42 uses.
14. mind - 41 uses.
15. think - 41 uses.
16. little - 40 uses.
17. here - 40 uses.
18. tell - 39 uses.
19. through - 39 uses.
20. brick - 39 uses.
21. put - 38 uses.
22. going - 38 uses.
23. night - 38 uses.
24. ever - 35 uses.
25. good - 35 uses.
26. sure - 34 uses.
27. hold - 34 uses.
28. might - 33 uses.
29. something - 33 uses.
30. before - 32 uses.
31. about - 31 uses.
32. dark - 31 uses.
33. home - 31 uses.
34. tonight - 30 uses.
35. those - 30 uses.
36. last - 30 uses.
37. need - 29 uses.
38. again - 29 uses.
39. feeling - 29 uses.
40. looks - 29 uses.
41. thing - 28 uses.
42. give - 28 uses.
43. right - 28 uses.
44. mine - 27 uses.
45. much - 27 uses.
46. hard - 27 uses.
47. goes - 27 uses.
48. let - 27 uses.
49. keep - 26 uses.
50. though - 26 uses.
51. lets - 26 uses.
52. told - 26 uses.
53. heart - 26 uses.
54. wrong - 25 uses.
55. should - 25 uses.
56. try - 24 uses.
57. place - 24 uses.
58. looking - 24 uses.
59. over - 23 uses.
60. coming - 23 uses.
61. first - 23 uses.
62. easy - 23 uses.
63. sun - 23 uses.
64. high - 23 uses.
65. isnt - 22 uses.
66. run - 22 uses.
67. trying - 22 uses.
68. left - 22 uses.
69. lights - 22 uses.
70. waiting - 22 uses.
71. seen - 21 uses.
72. while - 21 uses.
73. girl - 21 uses.
74. start - 21 uses.
75. stop - 21 uses.
76. feel - 21 uses.
77. nothing - 21 uses.
78. new - 20 uses.
79. hell - 20 uses.
80. alright - 19 uses.
81. long - 19 uses.
82. youd - 19 uses.
83. bad - 19 uses.
84. bet - 19 uses.
85. changes - 19 uses.
86. pretty - 19 uses.
87. face - 18 uses.
88. fun - 18 uses.
89. side - 18 uses.
90. strange - 18 uses.
91. ooh - 18 uses.
92. because - 17 uses.
93. same - 17 uses.
94. better - 17 uses.
95. dance - 17 uses.
96. really - 17 uses.
97. own - 17 uses.
98. does - 17 uses.
99. without - 17 uses.
100. both - 17 uses.
101. nice - 17 uses.
102. getting - 17 uses.
103. change - 17 uses.
104. gone - 17 uses.
105. walk - 17 uses.
106. round - 16 uses.
107. even - 16 uses.
108. another - 16 uses.
109. ones - 16 uses.
110. makes - 16 uses.
111. light - 16 uses.
112. came - 16 uses.
113. drive - 16 uses.
114. morning - 16 uses.
115. until - 16 uses.
116. done - 16 uses.
117. turned - 16 uses.
118. snap - 16 uses.
119. choo - 16 uses.
120. stay - 15 uses.
121. train - 15 uses.
122. days - 15 uses.
123. smoke - 15 uses.
124. shoes - 15 uses.
125. red - 15 uses.
126. show - 15 uses.
127. saw - 15 uses.
128. hear - 15 uses.
129. always - 15 uses.
130. already - 15 uses.
131. times - 15 uses.
132. kick - 15 uses.
133. past - 15 uses.
134. boys - 14 uses.
135. after - 14 uses.
136. world - 14 uses.
137. deep - 14 uses.
138. maybe - 14 uses.
139. wall - 14 uses.
140. went - 14 uses.
141. turn - 14 uses.
142. kiss - 14 uses.
143. leave - 14 uses.
144. such - 14 uses.
145. kind - 14 uses.
146. werent - 14 uses.
147. havent - 14 uses.
148. probably - 13 uses.
149. hands - 13 uses.
150. friends - 13 uses.
151. cannot - 13 uses.
152. people - 13 uses.
153. being - 13 uses.
154. very - 13 uses.
155. used - 13 uses.
156. found - 13 uses.
157. sorry - 13 uses.
158. must - 13 uses.
159. road - 13 uses.
160. please - 13 uses.
161. lost - 13 uses.
162. stars - 13 uses.
163. fall - 13 uses.
164. black - 13 uses.
165. dancing - 13 uses.
166. loves - 13 uses.
167. late - 13 uses.
168. hide - 13 uses.
169. floor - 13 uses.
170. lovers - 13 uses.
171. cigarette - 13 uses.
172. different - 12 uses.
173. believe - 12 uses.
174. behind - 12 uses.
175. enough - 12 uses.
176. name - 12 uses.
177. hair - 12 uses.
178. four - 12 uses.
179. nights - 12 uses.
180. comes - 12 uses.
181. sky - 12 uses.
182. hope - 12 uses.
183. old - 12 uses.
184. best - 12 uses.
185. once - 12 uses.
186. house - 12 uses.
187. running - 12 uses.
188. couldnt - 12 uses.
189. soul - 12 uses.
190. roll - 12 uses.
191. wants - 12 uses.
192. bear - 12 uses.
193. room - 12 uses.
194. remember - 12 uses.
195. arms - 12 uses.
196. shalalala - 12 uses.
197. funny - 11 uses.
198. ways - 11 uses.
199. thinking - 11 uses.
200. alone - 11 uses.
201. together - 11 uses.
202. wonder - 11 uses.
203. afternoon - 11 uses.
204. places - 11 uses.
205. party - 11 uses.
206. darling - 11 uses.
207. other - 11 uses.
208. girls - 11 uses.
209. wish - 11 uses.
210. knew - 11 uses.
211. under - 11 uses.
212. close - 11 uses.
213. hand - 11 uses.
214. end - 11 uses.
215. number - 11 uses.
216. city - 11 uses.
217. wouldnt - 11 uses.
218. today - 11 uses.
219. sit - 11 uses.
220. thunderstorms - 11 uses.
221. lying - 11 uses.
222. closed - 11 uses.
223. hate - 11 uses.
224. tune - 11 uses.
225. called - 11 uses.
226. dukes - 11 uses.
227. john - 11 uses.
228. listen - 10 uses.
229. pretend - 10 uses.
230. heard - 10 uses.
231. any - 10 uses.
232. took - 10 uses.
233. fire - 10 uses.
234. sleep - 10 uses.
235. head - 10 uses.
236. chance - 10 uses.
237. wanted - 10 uses.
238. everybodys - 10 uses.
239. forget - 10 uses.
240. blood - 10 uses.
241. tried - 10 uses.
242. half - 10 uses.
243. em - 10 uses.
244. wait - 10 uses.
245. sitting - 10 uses.
246. nowhere - 10 uses.
247. low - 10 uses.
248. thousand - 10 uses.
249. wasnt - 10 uses.
250. curtains - 10 uses.
251. mad - 10 uses.
252. talk - 10 uses.
253. send - 10 uses.
254. laugh - 10 uses.
255. fuck - 10 uses.
256. five - 10 uses.
257. ocean - 10 uses.
258. whyd - 10 uses.
259. act - 9 uses.
260. anywhere - 9 uses.
261. doing - 9 uses.
262. full - 9 uses.
263. soon - 9 uses.
264. far - 9 uses.
265. apart - 9 uses.
266. meet - 9 uses.
267. crying - 9 uses.
268. fell - 9 uses.
269. reason - 9 uses.
270. shake - 9 uses.
271. front - 9 uses.
272. watching - 9 uses.
273. bit - 9 uses.
274. game - 9 uses.
275. watch - 9 uses.
276. play - 9 uses.
277. says - 9 uses.
278. break - 9 uses.
279. weve - 9 uses.
280. sounds - 9 uses.
281. care - 9 uses.
282. reckless - 9 uses.
283. cast - 9 uses.
284. somebody - 9 uses.
285. sat - 9 uses.
286. faces - 9 uses.
287. pretending - 9 uses.
288. crawling - 9 uses.
289. calling - 9 uses.
290. draw - 9 uses.
291. point - 8 uses.
292. truth - 8 uses.
293. theyll - 8 uses.
294. thinks - 8 uses.
295. line - 8 uses.
296. plan - 8 uses.
297. true - 8 uses.
298. near - 8 uses.
299. memory - 8 uses.
300. seem - 8 uses.
301. exactly - 8 uses.
302. most - 8 uses.
303. space - 8 uses.
304. ask - 8 uses.
305. forever - 8 uses.
306. talking - 8 uses.
307. quite - 8 uses.
308. cold - 8 uses.
309. sound - 8 uses.
310. imagination - 8 uses.
311. hour - 8 uses.
312. every - 8 uses.
313. tongue - 8 uses.
314. lady - 8 uses.
315. door - 8 uses.
316. words - 8 uses.
317. til - 8 uses.
318. having - 8 uses.
319. lightning - 8 uses.
320. green - 8 uses.
321. help - 8 uses.
322. tomorrow - 8 uses.
323. mark - 8 uses.
324. across - 8 uses.
