Most used words by BENEE: 
Number of songs scanned: 28

1. ooh - 46 uses.
2. lonely - 43 uses.
3. away - 37 uses.
4. here - 28 uses.
5. la-la-la-la - 28 uses.
6. night - 26 uses.
7. after - 26 uses.
8. maybe - 24 uses.
9. life - 24 uses.
10. guy - 22 uses.
11. feel - 21 uses.
12. boy - 21 uses.
13. cool - 21 uses.
14. stay - 20 uses.
15. think - 20 uses.
16. right - 20 uses.
17. rains - 20 uses.
18. about - 19 uses.
19. left - 19 uses.
20. babe - 18 uses.
21. space - 18 uses.
22. things - 18 uses.
23. need - 18 uses.
24. sweet - 18 uses.
25. down - 17 uses.
26. everything - 17 uses.
27. round - 17 uses.
28. makes - 17 uses.
29. ya - 16 uses.
30. used - 16 uses.
31. better - 16 uses.
32. something - 16 uses.
33. afterlife - 16 uses.
34. mind - 15 uses.
35. tell - 15 uses.
36. somebody - 15 uses.
37. nothing - 14 uses.
38. sad - 14 uses.
39. party - 14 uses.
40. brain - 14 uses.
41. tough - 14 uses.
42. stupid - 14 uses.
43. glitter - 14 uses.
44. nobody - 14 uses.
45. long - 13 uses.
46. kupu - 13 uses.
47. hey - 13 uses.
48. tryna - 12 uses.
49. far - 12 uses.
50. around - 12 uses.
51. through - 12 uses.
52. dreams - 12 uses.
53. love - 11 uses.
54. guess - 11 uses.
55. bout - 11 uses.
56. friends - 11 uses.
57. girls - 11 uses.
58. behind - 11 uses.
59. feels - 11 uses.
60. hope - 11 uses.
61. company - 11 uses.
62. real - 11 uses.
63. stuff - 11 uses.
64. island - 11 uses.
65. bad - 10 uses.
66. lost - 10 uses.
67. never - 10 uses.
68. while - 10 uses.
69. happen - 10 uses.
70. mad - 10 uses.
71. kua - 10 uses.
72. rā - 10 uses.
73. doesnt - 10 uses.
74. change - 10 uses.
75. longing - 10 uses.
76. kinda - 10 uses.
77. winter - 10 uses.
78. suits - 10 uses.
79. let - 9 uses.
80. thinkin - 9 uses.
81. world - 9 uses.
82. mmm - 9 uses.
83. eyes - 9 uses.
84. heart - 9 uses.
85. hide - 9 uses.
86. ana - 9 uses.
87. goes - 9 uses.
88. went - 9 uses.
89. even - 9 uses.
90. lying - 9 uses.
91. scared - 9 uses.
92. keep - 9 uses.
93. sea - 9 uses.
94. loser - 8 uses.
95. shouldnt - 8 uses.
96. quitter - 8 uses.
97. hard - 8 uses.
98. thing - 8 uses.
99. ah - 8 uses.
100. bitch - 8 uses.
101. inside - 8 uses.
102. talk - 8 uses.
103. same - 8 uses.
104. hurting - 8 uses.
105. ways - 8 uses.
106. tē - 8 uses.
107. āhuatanga - 8 uses.
108. tōu - 8 uses.
109. e - 8 uses.
110. tōreretia - 8 uses.
111. nei - 8 uses.
112. sleep - 8 uses.
113. back - 8 uses.
114. garden - 8 uses.
115. myself - 8 uses.
116. la-la-la - 8 uses.
117. words - 8 uses.
118. soak - 8 uses.
119. half - 8 uses.
120. mr - 8 uses.
121. different - 8 uses.
122. fly - 8 uses.
123. finding - 8 uses.
124. knows - 8 uses.
125. work - 8 uses.
126. matter - 8 uses.
127. cry - 7 uses.
128. clearly - 7 uses.
129. fucked - 7 uses.
130. drinkin - 7 uses.
131. try - 7 uses.
132. really - 7 uses.
133. promise - 7 uses.
134. bite - 7 uses.
135. āe - 7 uses.
136. monster - 7 uses.
137. takes - 7 uses.
138. die - 7 uses.
139. hell - 7 uses.
140. might - 7 uses.
141. stays - 7 uses.
142. mouth - 7 uses.
143. own - 7 uses.
144. yes - 7 uses.
145. live - 7 uses.
146. much - 7 uses.
147. kind - 7 uses.
148. plain - 7 uses.
149. thinking - 7 uses.
150. snail - 7 uses.
151. shipwreck - 7 uses.
152. search - 7 uses.
153. wonder - 6 uses.
154. girl - 6 uses.
155. whats - 6 uses.
156. happened - 6 uses.
157. mm - 6 uses.
158. afraid - 6 uses.
159. spider - 6 uses.
160. creep - 6 uses.
161. unless - 6 uses.
162. aro - 6 uses.
163. kore - 6 uses.
164. atu - 6 uses.
165. fall - 6 uses.
166. safe - 6 uses.
167. wake - 6 uses.
168. seems - 6 uses.
169. room - 6 uses.
170. hurt - 6 uses.
171. fuck - 6 uses.
172. wrong - 6 uses.
173. storm - 6 uses.
174. soaked - 6 uses.
175. wind - 6 uses.
176. other - 6 uses.
177. shame - 6 uses.
178. should - 6 uses.
179. spaced - 6 uses.
180. driftin - 6 uses.
181. wanting - 6 uses.
182. wishful - 6 uses.
183. straight - 6 uses.
184. figure - 6 uses.
185. spill - 6 uses.
186. good - 5 uses.
187. thought - 5 uses.
188. blue - 5 uses.
189. seem - 5 uses.
190. big - 5 uses.
191. being - 5 uses.
192. head - 5 uses.
193. high - 5 uses.
194. watching - 5 uses.
195. over - 5 uses.
196. body - 5 uses.
197. text - 5 uses.
198. again - 5 uses.
199. pushing - 5 uses.
200. wish - 5 uses.
201. late - 5 uses.
202. take - 5 uses.
203. fallin - 5 uses.
204. else - 5 uses.
205. wonderin - 5 uses.
206. sense - 5 uses.
207. someone - 5 uses.
208. meet - 5 uses.
209. desire - 5 uses.
210. every - 5 uses.
211. found - 4 uses.
212. nice - 4 uses.
213. always - 4 uses.
214. lot - 4 uses.
215. super - 4 uses.
216. control - 4 uses.
217. quiet - 4 uses.
218. confused - 4 uses.
219. baby - 4 uses.
220. till - 4 uses.
221. tangle - 4 uses.
222. tempted - 4 uses.
223. escape - 4 uses.
224. wishin - 4 uses.
225. place - 4 uses.
226. puta - 4 uses.
227. koe - 4 uses.
228. outside - 4 uses.
229. bet - 4 uses.
230. stuck - 4 uses.
231. itself - 4 uses.
232. la-la - 4 uses.
233. transform - 4 uses.
234. swept - 4 uses.
235. leave - 4 uses.
236. magazine - 4 uses.
237. pictures - 4 uses.
238. past - 4 uses.
239. visible - 4 uses.
240. funny - 4 uses.
241. without - 4 uses.
242. getting - 4 uses.
243. new - 4 uses.
244. dumb - 4 uses.
245. nothin - 4 uses.
246. pulling - 4 uses.
247. together - 4 uses.
248. low - 4 uses.
249. catch - 4 uses.
250. strange - 4 uses.
251. key - 4 uses.
252. everyday - 4 uses.
253. acting - 4 uses.
254. sheesh - 4 uses.
255. badass - 4 uses.
256. embarrass - 4 uses.
257. start - 4 uses.
258. told - 4 uses.
259. explain - 4 uses.
260. none - 4 uses.
261. matters - 4 uses.
262. lie - 3 uses.
263. ever - 3 uses.
264. felt - 3 uses.
265. believe - 3 uses.
266. slowly - 3 uses.
267. bubbles - 3 uses.
268. cold - 3 uses.
269. guys - 3 uses.
270. roll - 3 uses.
271. shell - 3 uses.
272. te - 3 uses.
273. hē - 3 uses.
274. tāku - 3 uses.
275. ki - 3 uses.
