Most used words by Ball Park Music: 
Number of songs scanned: 77

1. nah - 72 uses.
2. love - 71 uses.
3. feel - 70 uses.
4. down - 67 uses.
5. back - 46 uses.
6. ever - 42 uses.
7. nothing - 41 uses.
8. right - 34 uses.
9. never - 33 uses.
10. life - 31 uses.
11. here - 31 uses.
12. need - 31 uses.
13. wrong - 29 uses.
14. head - 28 uses.
15. mind - 28 uses.
16. eyes - 26 uses.
17. around - 26 uses.
18. forever - 26 uses.
19. dog - 26 uses.
20. night - 25 uses.
21. away - 25 uses.
22. hands - 24 uses.
23. home - 24 uses.
24. age - 24 uses.
25. only - 23 uses.
26. came - 23 uses.
27. baby - 23 uses.
28. through - 22 uses.
29. heart - 22 uses.
30. spark - 22 uses.
31. ooh - 21 uses.
32. shit - 21 uses.
33. dead - 20 uses.
34. nice - 20 uses.
35. goes - 20 uses.
36. perfect - 20 uses.
37. good - 20 uses.
38. bedroom - 20 uses.
39. take - 19 uses.
40. little - 19 uses.
41. anymore - 19 uses.
42. things - 18 uses.
43. inside - 18 uses.
44. tell - 18 uses.
45. again - 17 uses.
46. about - 17 uses.
47. sit - 17 uses.
48. tonight - 17 uses.
49. coming - 17 uses.
50. high - 17 uses.
51. end - 16 uses.
52. always - 16 uses.
53. much - 16 uses.
54. maybe - 16 uses.
55. chopped - 16 uses.
56. over - 15 uses.
57. stop - 15 uses.
58. anything - 15 uses.
59. mine - 15 uses.
60. think - 15 uses.
61. give - 15 uses.
62. first - 15 uses.
63. bought - 15 uses.
64. body - 15 uses.
65. girl - 14 uses.
66. miss - 14 uses.
67. every - 14 uses.
68. people - 14 uses.
69. told - 14 uses.
70. exactly - 14 uses.
71. put - 13 uses.
72. alive - 13 uses.
73. live - 13 uses.
74. name - 13 uses.
75. together - 13 uses.
76. went - 13 uses.
77. moon - 13 uses.
78. enough - 12 uses.
79. bright - 12 uses.
80. care - 12 uses.
81. really - 12 uses.
82. yours - 12 uses.
83. point - 12 uses.
84. lies - 12 uses.
85. bad - 11 uses.
86. whats - 11 uses.
87. gotta - 11 uses.
88. everything - 11 uses.
89. makes - 11 uses.
90. years - 11 uses.
91. hey - 11 uses.
92. other - 11 uses.
93. myself - 11 uses.
94. dearly - 11 uses.
95. future - 10 uses.
96. while - 10 uses.
97. skin - 10 uses.
98. long - 10 uses.
99. ah - 10 uses.
100. talk - 10 uses.
101. feels - 10 uses.
102. comes - 10 uses.
103. friend - 10 uses.
104. kills - 10 uses.
105. black - 10 uses.
106. waiting - 10 uses.
107. turned - 10 uses.
108. tarnish - 10 uses.
109. appears - 10 uses.
110. record - 10 uses.
111. even - 9 uses.
112. light - 9 uses.
113. hear - 9 uses.
114. friends - 9 uses.
115. couldnt - 9 uses.
116. last - 9 uses.
117. fight - 9 uses.
118. blood - 9 uses.
119. words - 9 uses.
120. water - 9 uses.
121. shouldnt - 9 uses.
122. top - 9 uses.
123. okay - 9 uses.
124. skies - 9 uses.
125. times - 9 uses.
126. please - 9 uses.
127. making - 9 uses.
128. keep - 9 uses.
129. run - 9 uses.
130. riding - 9 uses.
131. looking - 9 uses.
132. everyone - 9 uses.
133. open - 9 uses.
134. since - 9 uses.
135. short - 9 uses.
136. die - 8 uses.
137. feeling - 8 uses.
138. gone - 8 uses.
139. stuff - 8 uses.
140. son - 8 uses.
141. show - 8 uses.
142. seen - 8 uses.
143. knows - 8 uses.
144. same - 8 uses.
145. jump - 8 uses.
146. let - 8 uses.
147. red - 8 uses.
148. town - 8 uses.
149. real - 8 uses.
150. half - 8 uses.
151. birds - 8 uses.
152. familiar - 8 uses.
153. feelings - 7 uses.
154. side - 7 uses.
155. deep - 7 uses.
156. face - 7 uses.
157. doesnt - 7 uses.
158. work - 7 uses.
159. fucking - 7 uses.
160. grow - 7 uses.
161. ground - 7 uses.
162. moment - 7 uses.
163. front - 7 uses.
164. heard - 7 uses.
165. imaginary - 7 uses.
166. conversations - 7 uses.
167. fool - 7 uses.
168. doctor - 7 uses.
169. moving - 7 uses.
170. fear - 7 uses.
171. god - 7 uses.
172. going - 7 uses.
173. beneath - 7 uses.
174. become - 7 uses.
175. selling - 7 uses.
176. uh - 7 uses.
177. dreaming - 7 uses.
178. sense - 6 uses.
179. straight - 6 uses.
180. sun - 6 uses.
181. close - 6 uses.
182. world - 6 uses.
183. better - 6 uses.
184. walls - 6 uses.
185. tongue - 6 uses.
186. cool - 6 uses.
187. legs - 6 uses.
188. beat - 6 uses.
189. ease - 6 uses.
190. cut - 6 uses.
191. alright - 6 uses.
192. air - 6 uses.
193. room - 6 uses.
194. fruit - 6 uses.
195. should - 6 uses.
196. tiny - 6 uses.
197. regret - 6 uses.
198. free - 6 uses.
199. havent - 6 uses.
200. wish - 6 uses.
201. whole - 6 uses.
202. hard - 6 uses.
203. eye - 6 uses.
204. new - 6 uses.
205. mama - 6 uses.
206. wait - 6 uses.
207. further - 6 uses.
208. nah-nah-nah-nah-nah-nah - 6 uses.
209. does - 6 uses.
210. bleed - 6 uses.
211. excited - 6 uses.
212. ghost - 6 uses.
213. misery - 6 uses.
214. lights - 6 uses.
215. government - 6 uses.
216. remember - 6 uses.
217. devil - 6 uses.
218. mother - 6 uses.
219. huh - 6 uses.
220. rain - 6 uses.
221. height - 6 uses.
222. america - 6 uses.
223. forgetting - 6 uses.
224. dumb - 5 uses.
225. boy - 5 uses.
226. suddenly - 5 uses.
227. til - 5 uses.
228. vain - 5 uses.
229. outside - 5 uses.
230. feet - 5 uses.
231. along - 5 uses.
232. everybody - 5 uses.
233. roll - 5 uses.
234. tail - 5 uses.
235. took - 5 uses.
236. damn - 5 uses.
237. fine - 5 uses.
238. car - 5 uses.
239. wants - 5 uses.
240. something - 5 uses.
241. between - 5 uses.
242. weve - 5 uses.
243. warm - 5 uses.
244. fence - 5 uses.
245. tried - 5 uses.
246. any - 5 uses.
