Most used words by Band of Horses: 
Number of songs scanned: 72

1. back - 42 uses.
2. love - 42 uses.
3. things - 37 uses.
4. long - 36 uses.
5. night - 35 uses.
6. down - 34 uses.
7. while - 33 uses.
8. need - 33 uses.
9. home - 33 uses.
10. only - 33 uses.
11. little - 32 uses.
12. never - 30 uses.
13. something - 28 uses.
14. lied - 27 uses.
15. world - 27 uses.
16. over - 26 uses.
17. door - 26 uses.
18. through - 25 uses.
19. start - 24 uses.
20. think - 23 uses.
21. oooo - 23 uses.
22. sleep - 23 uses.
23. hang - 22 uses.
24. good - 22 uses.
25. old - 21 uses.
26. really - 21 uses.
27. take - 21 uses.
28. hey - 21 uses.
29. right - 20 uses.
30. coming - 20 uses.
31. every - 20 uses.
32. wherever - 20 uses.
33. drawer - 20 uses.
34. house - 19 uses.
35. life - 19 uses.
36. everything - 19 uses.
37. other - 19 uses.
38. mind - 19 uses.
39. any - 19 uses.
40. even - 18 uses.
41. around - 18 uses.
42. place - 18 uses.
43. o - 18 uses.
44. found - 18 uses.
45. reason - 17 uses.
46. put - 17 uses.
47. wrong - 17 uses.
48. knocking - 16 uses.
49. live - 15 uses.
50. heart - 15 uses.
51. nothing - 15 uses.
52. someone - 15 uses.
53. keep - 15 uses.
54. another - 14 uses.
55. better - 14 uses.
56. gone - 14 uses.
57. looking - 14 uses.
58. let - 14 uses.
59. arms - 14 uses.
60. ever - 13 uses.
61. apart - 13 uses.
62. undone - 13 uses.
63. own - 13 uses.
64. lost - 13 uses.
65. splitting - 13 uses.
66. seams - 13 uses.
67. people - 13 uses.
68. leave - 12 uses.
69. water - 12 uses.
70. once - 12 uses.
71. enough - 12 uses.
72. everythings - 12 uses.
73. should - 12 uses.
74. here - 12 uses.
75. alone - 12 uses.
76. ghost - 12 uses.
77. fool - 12 uses.
78. whole - 12 uses.
79. ones - 11 uses.
80. hard - 11 uses.
81. thing - 11 uses.
82. always - 11 uses.
83. before - 11 uses.
84. light - 11 uses.
85. eyes - 11 uses.
86. lord - 11 uses.
87. tree - 10 uses.
88. ahha - 10 uses.
89. haa - 10 uses.
90. away - 10 uses.
91. believe - 10 uses.
92. ooo - 10 uses.
93. somebody - 10 uses.
94. fall - 10 uses.
95. tell - 10 uses.
96. best - 10 uses.
97. getting - 10 uses.
98. sun - 10 uses.
99. god - 10 uses.
100. everyone - 10 uses.
101. dog - 10 uses.
102. known - 10 uses.
103. apartment - 10 uses.
104. upon - 9 uses.
105. times - 9 uses.
106. left - 9 uses.
107. hell - 9 uses.
108. under - 9 uses.
109. took - 9 uses.
110. heartbreak - 9 uses.
111. 1-0-1 - 9 uses.
112. done - 9 uses.
113. tonight - 9 uses.
114. bring - 9 uses.
115. walk - 9 uses.
116. dilly - 9 uses.
117. shoulda - 9 uses.
118. show - 9 uses.
119. living - 9 uses.
120. hear - 9 uses.
121. thought - 9 uses.
122. earth - 9 uses.
123. friends - 8 uses.
