Most used words by  Beach Bunny: 
Number of songs scanned: 30

1. waves - 54 uses.
2. back - 47 uses.
3. wanna - 40 uses.
4. think - 40 uses.
5. love - 36 uses.
6. always - 27 uses.
7. never - 23 uses.
8. need - 22 uses.
9. ooh - 22 uses.
10. cry - 21 uses.
11. sometimes - 20 uses.
12. heart - 20 uses.
13. feeling - 19 uses.
14. want - 19 uses.
15. still - 19 uses.
16. same - 18 uses.
17. maybe - 18 uses.
18. youd - 17 uses.
19. someone - 16 uses.
20. every - 16 uses.
21. let - 16 uses.
22. better - 16 uses.
23. feel - 15 uses.
24. keep - 15 uses.
25. only - 15 uses.
26. lets - 15 uses.
27. getting - 15 uses.
28. right - 15 uses.
29. away - 14 uses.
30. eyes - 14 uses.
31. through - 14 uses.
32. hannah - 14 uses.
33. tired - 13 uses.
34. trying - 13 uses.
35. life - 13 uses.
36. hard - 13 uses.
37. close - 13 uses.
38. kiss - 13 uses.
39. alone - 13 uses.
40. left - 12 uses.
41. face - 12 uses.
42. try - 12 uses.
43. sorry - 12 uses.
44. days - 12 uses.
45. ah-ah - 12 uses.
46. ah - 12 uses.
47. together - 12 uses.
48. friend - 11 uses.
49. youve - 11 uses.
50. california - 11 uses.
51. good - 11 uses.
52. ever - 10 uses.
53. though - 10 uses.
54. something - 10 uses.
55. fall - 10 uses.
56. everything - 10 uses.
57. girls - 10 uses.
58. sun - 10 uses.
59. honey - 10 uses.
60. sick - 9 uses.
61. should - 9 uses.
62. lately - 9 uses.
63. somebody - 9 uses.
64. break - 9 uses.
65. mind - 9 uses.
66. head - 9 uses.
67. sure - 9 uses.
68. leave - 9 uses.
69. theres - 9 uses.
70. breath - 9 uses.
71. afraid - 9 uses.
72. world - 9 uses.
73. lose - 9 uses.
74. july - 9 uses.
75. pretend - 8 uses.
76. hurts - 8 uses.
77. apart - 8 uses.
78. since - 8 uses.
79. talk - 8 uses.
80. wish - 8 uses.
81. stay - 8 uses.
82. ghost - 8 uses.
83. under - 8 uses.
84. meet - 8 uses.
85. any - 8 uses.
86. before - 7 uses.
87. start - 7 uses.
88. here - 7 uses.
89. lips - 7 uses.
90. give - 7 uses.
91. after - 7 uses.
92. staring - 7 uses.
93. tell - 7 uses.
94. promise - 7 uses.
95. shoegazer - 7 uses.
96. heading - 7 uses.
97. until - 7 uses.
98. wants - 7 uses.
99. gotta - 7 uses.
100. oozin - 7 uses.
101. bleeding - 7 uses.
102. two - 7 uses.
103. february - 7 uses.
104. closer - 6 uses.
105. figure - 6 uses.
106. eventually - 6 uses.
107. seem - 6 uses.
108. sky - 6 uses.
109. gone - 6 uses.
110. blue - 6 uses.
111. myself - 6 uses.
112. feelings - 6 uses.
113. own - 6 uses.
114. falling - 6 uses.
115. asking - 6 uses.
116. girl - 6 uses.
117. hate - 6 uses.
118. change - 6 uses.
119. most - 6 uses.
120. okay - 6 uses.
121. bedroom - 6 uses.
122. guess - 6 uses.
123. replayin - 6 uses.
124. song - 6 uses.
125. exactly - 6 uses.
126. steps - 6 uses.
127. forward - 6 uses.
128. step - 6 uses.
129. older - 5 uses.
130. less - 5 uses.
131. nothing - 5 uses.
132. pretty - 5 uses.
133. fade - 5 uses.
134. tears - 5 uses.
135. end - 5 uses.
136. pain - 5 uses.
137. again - 5 uses.
138. remember - 5 uses.
139. words - 5 uses.
140. empty - 5 uses.
141. does - 5 uses.
142. name - 5 uses.
143. gonna - 5 uses.
144. started - 5 uses.
145. confused - 5 uses.
146. boys - 5 uses.
147. baby - 5 uses.
148. act - 5 uses.
149. heads - 5 uses.
150. youll - 5 uses.
151. down - 5 uses.
152. where - 5 uses.
153. problems - 5 uses.
154. saying - 5 uses.
155. boy - 5 uses.
156. both - 5 uses.
157. wonder - 5 uses.
158. paranoid - 5 uses.
159. piece - 5 uses.
160. high - 5 uses.
161. melting - 5 uses.
162. breaking - 4 uses.
163. miss - 4 uses.
164. bodys - 4 uses.
165. anything - 4 uses.
166. bad - 4 uses.
167. loves - 4 uses.
168. even - 4 uses.
169. naïve - 4 uses.
170. fault - 4 uses.
171. deja - 4 uses.
172. vu - 4 uses.
173. called - 4 uses.
174. names - 4 uses.
175. isnt - 4 uses.
176. doubt - 4 uses.
177. hurt - 4 uses.
178. seen - 4 uses.
179. show - 4 uses.
180. moment - 4 uses.
181. goodbye - 4 uses.
182. whyd - 4 uses.
183. wishing - 4 uses.
184. without - 4 uses.
185. hearts - 4 uses.
186. around - 4 uses.
187. begun - 4 uses.
188. nowhere - 4 uses.
189. coast - 4 uses.
190. theyll - 4 uses.
191. changed - 4 uses.
192. inside - 4 uses.
193. dream - 4 uses.
194. used - 4 uses.
195. red - 4 uses.
196. meant - 4 uses.
197. night - 4 uses.
198. hands - 4 uses.
199. whoo-ooh-ooh - 4 uses.
200. permanence - 4 uses.
201. being - 4 uses.
202. winding - 4 uses.
203. six - 4 uses.
204. weeks - 4 uses.
205. ran - 4 uses.
206. hurricanes - 4 uses.
207. tidal - 4 uses.
208. sunburnt - 4 uses.
209. smiles - 4 uses.
210. freckled - 4 uses.
211. filled - 4 uses.
212. outerspace - 4 uses.
213. wore - 4 uses.
214. laughter - 4 uses.
215. alright - 4 uses.
216. shouldnt - 4 uses.
217. feels - 3 uses.
218. floating - 3 uses.
219. calls - 3 uses.
220. favorite - 3 uses.
221. form - 3 uses.
222. loving - 3 uses.
