Most used words by Beck: 
Number of songs scanned: 224

1. down - 177 uses.
2. never - 112 uses.
3. let - 106 uses.
4. right - 86 uses.
5. love - 84 uses.
6. need - 83 uses.
7. feel - 81 uses.
8. nothing - 80 uses.
9. back - 78 uses.
10. through - 78 uses.
11. mind - 75 uses.
12. take - 73 uses.
13. people - 70 uses.
14. baby - 70 uses.
15. hey - 70 uses.
16. away - 69 uses.
17. life - 69 uses.
18. night - 69 uses.
19. around - 65 uses.
20. tell - 64 uses.
21. soul - 60 uses.
22. dead - 58 uses.
23. here - 58 uses.
24. eyes - 57 uses.
25. gone - 56 uses.
26. think - 54 uses.
27. waiting - 54 uses.
28. saw - 53 uses.
29. world - 52 uses.
30. ozzy - 52 uses.
31. put - 51 uses.
32. na - 51 uses.
33. only - 50 uses.
34. turn - 47 uses.
35. hands - 47 uses.
36. good - 46 uses.
37. home - 46 uses.
38. sun - 46 uses.
39. dreams - 43 uses.
40. alone - 42 uses.
41. light - 42 uses.
42. lost - 42 uses.
43. looking - 40 uses.
44. about - 40 uses.
45. girl - 40 uses.
46. days - 40 uses.
47. money - 40 uses.
48. something - 38 uses.
49. ooh - 38 uses.
50. running - 38 uses.
51. going - 38 uses.
52. better - 37 uses.
53. keep - 37 uses.
54. over - 36 uses.
55. wait - 36 uses.
56. special - 35 uses.
57. free - 35 uses.
58. face - 34 uses.
59. honey - 34 uses.
60. yourself - 34 uses.
61. lightning - 34 uses.
62. head - 33 uses.
63. again - 33 uses.
64. everything - 33 uses.
65. little - 33 uses.
66. coming - 33 uses.
67.  - 33 uses.
68. left - 32 uses.
69. hand - 31 uses.
70. shit - 31 uses.
71. long - 31 uses.
72. blues - 31 uses.
73. new - 30 uses.
74. high - 30 uses.
75. before - 30 uses.
76. road - 30 uses.
77. own - 29 uses.
78. cold - 28 uses.
79. lay - 28 uses.
80. fire - 28 uses.
81. place - 28 uses.
82. things - 27 uses.
83. inside - 27 uses.
84. full - 27 uses.
85. round - 27 uses.
86. try - 27 uses.
87. woman - 26 uses.
88. dear - 26 uses.
89. black - 26 uses.
90. pull - 26 uses.
91. whats - 26 uses.
92. lord - 26 uses.
93. really - 25 uses.
94. run - 25 uses.
95. much - 25 uses.
96. sky - 25 uses.
97. bones - 25 uses.
98. microphone - 25 uses.
99. old - 24 uses.
100. feeling - 24 uses.
101. end - 24 uses.
102. live - 24 uses.
103. knows - 24 uses.
104. piece - 23 uses.
105. myself - 23 uses.
106. gotta - 23 uses.
107. plastic - 23 uses.
108. getting - 23 uses.
109. broken - 23 uses.
110. ground - 23 uses.
111. ride - 22 uses.
112. wrong - 22 uses.
113. hold - 22 uses.
114. standing - 22 uses.
115. far - 22 uses.
116. chain - 22 uses.
117. kill - 22 uses.
118. nowhere - 21 uses.
119. town - 21 uses.
120. even - 21 uses.
121. dream - 21 uses.
122. leave - 21 uses.
123. falling - 21 uses.
124. turning - 21 uses.
125. hot - 20 uses.
126. found - 20 uses.
127. change - 20 uses.
128. another - 20 uses.
129. tonight - 20 uses.
130. forget - 20 uses.
131. nobodys - 20 uses.
132. seen - 20 uses.
133. floor - 19 uses.
134. last - 19 uses.
135. came - 19 uses.
136. fall - 19 uses.
137. heart - 19 uses.
138. together - 19 uses.
139. stay - 19 uses.
140. might - 19 uses.
141. name - 19 uses.
142. clap - 19 uses.
143. roll - 18 uses.
144. devils - 18 uses.
145. doesnt - 18 uses.
146. cool - 18 uses.
147. thought - 18 uses.
148. cut - 18 uses.
149. walk - 18 uses.
150. feelings - 18 uses.
151. trying - 18 uses.
152. air - 18 uses.
153. close - 18 uses.
154. door - 18 uses.
155. morning - 18 uses.
156. moon - 18 uses.
157. lets - 18 uses.
158. started - 18 uses.
159. goes - 18 uses.
160. turntables - 18 uses.
161. wow - 18 uses.
162. give - 17 uses.
163. friend - 17 uses.
164. thing - 17 uses.
165. wind - 17 uses.
166. burning - 17 uses.
167. ever - 17 uses.
168. eye - 17 uses.
169. done - 17 uses.
170. holding - 17 uses.
171. looks - 17 uses.
172. fucked - 17 uses.
173. beat - 17 uses.
174. taking - 17 uses.
175. heaven - 17 uses.
176. fuckin - 16 uses.
177. till - 16 uses.
178. body - 16 uses.
179. couldnt - 16 uses.
180. wake - 16 uses.
181. hear - 16 uses.
182. rain - 16 uses.
183. line - 16 uses.
184. break - 16 uses.
185. living - 16 uses.
186. comin - 16 uses.
187. hard - 16 uses.
188. haircut - 16 uses.
189. dark - 16 uses.
190. lights - 16 uses.
191. hell - 16 uses.
192. tired - 16 uses.
193. fault - 16 uses.
194. tarantula - 16 uses.
195. making - 15 uses.
196. other - 15 uses.
197. went - 15 uses.
198. knew - 15 uses.
199. control - 15 uses.
200. sleep - 15 uses.
201. saying - 15 uses.
202. room - 15 uses.
203. always - 15 uses.
204. nobody - 15 uses.
205. comes - 15 uses.
206. car - 15 uses.
207. watching - 15 uses.
208. colors - 15 uses.
209. care - 15 uses.
