Most used words by Better Than Ezra: 
Number of songs scanned: 89

1. love - 91 uses.
2. never - 77 uses.
3. light - 63 uses.
4. away - 62 uses.
5. down - 57 uses.
6. again - 55 uses.
7. eyes - 53 uses.
8. feel - 53 uses.
9. back - 47 uses.
10. night - 45 uses.
11. life - 43 uses.
12. over - 41 uses.
13. better - 38 uses.
14. good - 37 uses.
15. right - 36 uses.
16. head - 36 uses.
17. little - 35 uses.
18. through - 35 uses.
19. heart - 35 uses.
20. turn - 34 uses.
21. let - 33 uses.
22. going - 33 uses.
23. put - 33 uses.
24. around - 33 uses.
25. world - 33 uses.
26. shine - 33 uses.
27. feeling - 33 uses.
28. hey - 31 uses.
29. sun - 31 uses.
30. before - 31 uses.
31. crazy - 31 uses.
32. girl - 30 uses.
33. long - 28 uses.
34. here - 28 uses.
35. only - 27 uses.
36. take - 27 uses.
37. things - 27 uses.
38. tell - 26 uses.
39. same - 26 uses.
40. need - 26 uses.
41. thing - 25 uses.
42. left - 23 uses.
43. door - 23 uses.
44. always - 23 uses.
45. mind - 23 uses.
46. maybe - 23 uses.
47. hell - 22 uses.
48. even - 22 uses.
49. room - 22 uses.
50. think - 22 uses.
51. give - 22 uses.
52. reason - 22 uses.
53. southern - 22 uses.
54. something - 21 uses.
55. baby - 21 uses.
56. nobody - 21 uses.
57. fly - 21 uses.
58. should - 20 uses.
59. low - 20 uses.
60. inside - 20 uses.
61. hope - 20 uses.
62. face - 20 uses.
63. air - 19 uses.
64. came - 19 uses.
65. ever - 19 uses.
66. cry - 19 uses.
67. black - 19 uses.
68. play - 19 uses.
69. pull - 19 uses.
70. another - 19 uses.
71. lost - 19 uses.
72. diamond - 19 uses.
73. sign - 19 uses.
74. dollar - 19 uses.
75. dream - 18 uses.
76. running - 18 uses.
77. closer - 18 uses.
78. hear - 17 uses.
79. move - 17 uses.
80. youd - 17 uses.
81. every - 17 uses.
82. year - 17 uses.
83. new - 17 uses.
84. live - 17 uses.
85. hand - 16 uses.
86. behind - 16 uses.
87. though - 16 uses.
88. car - 16 uses.
89. stop - 16 uses.
90. friend - 15 uses.
91. rain - 15 uses.
92. fall - 15 uses.
93. shut - 15 uses.
94. ground - 15 uses.
95. yall - 15 uses.
96. lover - 15 uses.
97. nightclubbing - 15 uses.
98. home - 14 uses.
99. best - 14 uses.
100. natural - 14 uses.
101. found - 14 uses.
102. song - 14 uses.
103. both - 14 uses.
104. ah-hoo - 14 uses.
105. ooo - 14 uses.
106. everything - 14 uses.
