Most used words by Billie Eilish: 
Number of songs scanned: 63

1. wanna - 85 uses.
2. never - 75 uses.
3. love - 66 uses.
4. eyes - 60 uses.
5. let - 56 uses.
6. think - 56 uses.
7. bad - 54 uses.
8. ocean - 51 uses.
9. really - 50 uses.
10. back - 45 uses.
11. want - 43 uses.
12. tell - 43 uses.
13. feel - 42 uses.
14. nothing - 36 uses.
15. better - 35 uses.
16. watch - 35 uses.
17. those - 35 uses.
18. guy - 34 uses.
19. need - 31 uses.
20. sorry - 29 uses.
21. away - 29 uses.
22. down - 27 uses.
23. boy - 27 uses.
24. mind - 25 uses.
25. alone - 24 uses.
26. gonna - 24 uses.
27. even - 23 uses.
28. should - 23 uses.
29. wish - 23 uses.
30. scared - 22 uses.
31. home - 22 uses.
32. take - 22 uses.
33. cry - 22 uses.
34. keep - 21 uses.
35. give - 21 uses.
36. once - 21 uses.
37. right - 21 uses.
38. high - 21 uses.
39. friend - 21 uses.
40. burn - 20 uses.
41. care - 20 uses.
42. maybe - 19 uses.
43. heart - 19 uses.
44. again - 19 uses.
45. only - 18 uses.
46. might - 18 uses.
47. stay - 18 uses.
48. good - 18 uses.
49. everybody - 18 uses.
50. fair - 18 uses.
51. where - 17 uses.
52. em - 17 uses.
53. still - 17 uses.
54. started - 17 uses.
55. here - 16 uses.
56. mean - 16 uses.
57. anything - 16 uses.
58. type - 16 uses.
59. fallen - 16 uses.
60. true - 16 uses.
61. try - 15 uses.
62. leave - 15 uses.
63. makes - 15 uses.
64. mine - 15 uses.
65. youd - 15 uses.
66. things - 15 uses.
67. end - 15 uses.
68. lie - 15 uses.
69. thought - 14 uses.
70. ever - 14 uses.
71. fire - 14 uses.
72. hide - 14 uses.
73. lonely - 14 uses.
74. quite - 14 uses.
75. blue - 14 uses.
76. please - 13 uses.
77. change - 13 uses.
78. inside - 13 uses.
79. myself - 13 uses.
80. best - 13 uses.
81. run - 13 uses.
82. another - 13 uses.
83. falling - 13 uses.
84. days - 13 uses.
85. far - 12 uses.
86. pretty - 12 uses.
87. through - 12 uses.
88. kinda - 12 uses.
89. left - 12 uses.
90. wait - 12 uses.
91. stop - 12 uses.
92. hate - 12 uses.
93. show - 12 uses.
94. over - 12 uses.
95. guess - 12 uses.
96. lo - 12 uses.
97. vas - 12 uses.
98. olvidar - 12 uses.
99. always - 12 uses.
100. head - 12 uses.
101. before - 12 uses.
102. giving - 12 uses.
103. anymore - 12 uses.
104. friends - 11 uses.
105. car - 11 uses.
106. everything - 11 uses.
107. something - 11 uses.
108. theyre - 11 uses.
109. came - 11 uses.
110. world - 11 uses.
111. lose - 11 uses.
112. wonder - 11 uses.
113. strange - 11 uses.
114. break - 10 uses.
115. wrong - 10 uses.
116. ask - 10 uses.
117. trying - 10 uses.
118. damn - 10 uses.
119. getting - 10 uses.
120. much - 10 uses.
121. seven - 10 uses.
122. bored - 10 uses.
123. overheated - 10 uses.
124. lost - 9 uses.
125. without - 9 uses.
126. every - 9 uses.
127. kiss - 9 uses.
128. someone - 9 uses.
129. put - 9 uses.
130. honest - 9 uses.
131. listen - 9 uses.
132. saw - 9 uses.
133. wall - 9 uses.
134. okay - 9 uses.
135. baby - 9 uses.
136. walk - 9 uses.
137. hold - 9 uses.
138. therefore - 9 uses.
139. pretend - 9 uses.
140. addiction - 9 uses.
141. arent - 8 uses.
142. wheres - 8 uses.
143. hey - 8 uses.
144. hear - 8 uses.
145. ahead - 8 uses.
146. wake - 8 uses.
147. quiet - 8 uses.
148. little - 8 uses.
149. promise - 8 uses.
150. being - 8 uses.
151. sure - 8 uses.
152. hell - 8 uses.
153. couldnt - 8 uses.
154. hard - 8 uses.
155. cold - 8 uses.
156. told - 8 uses.
157. fall - 8 uses.
158. life - 8 uses.
159. help - 8 uses.
160. save - 8 uses.
161. own - 8 uses.
162. die - 8 uses.
163. fake - 7 uses.
164. god - 7 uses.
165. same - 7 uses.
166. isnt - 7 uses.
167. talk - 7 uses.
168. forget - 7 uses.
169. name - 7 uses.
170. such - 7 uses.
171. alright - 7 uses.
172. girl - 7 uses.
173. around - 7 uses.
174. long - 7 uses.
175. both - 7 uses.
176. fade - 7 uses.
177. anyone - 7 uses.
178. white - 7 uses.
179. till - 7 uses.
180. air - 7 uses.
181. under - 7 uses.
182. fool - 7 uses.
183. begging - 7 uses.
