Most used words by Billy Strings: 
Number of songs scanned: 50

1. down - 61 uses.
2. love - 50 uses.
3. again - 44 uses.
4. never - 39 uses.
5. here - 37 uses.
6. left - 37 uses.
7. through - 35 uses.
8. back - 33 uses.
9. world - 31 uses.
10. little - 31 uses.
11. take - 29 uses.
12. away - 28 uses.
13. while - 28 uses.
14. old - 27 uses.
15. keep - 27 uses.
16. long - 26 uses.
17. life - 25 uses.
18. reason - 24 uses.
19. before - 23 uses.
20. feel - 23 uses.
21. whats - 23 uses.
22. heart - 22 uses.
23. stay - 21 uses.
24. always - 21 uses.
25. light - 20 uses.
26. mine - 20 uses.
27. running - 20 uses.
28. walk - 20 uses.
29. around - 20 uses.
30. lost - 20 uses.
31. right - 19 uses.
32. water - 19 uses.
33. show - 19 uses.
34. nothing - 18 uses.
35. same - 18 uses.
36. enough - 18 uses.
37. night - 17 uses.
38. another - 17 uses.
39. gone - 17 uses.
40. alone - 17 uses.
41. pain - 17 uses.
42. used - 17 uses.
43. shady - 17 uses.
44. grove - 17 uses.
45. everything - 16 uses.
46. stand - 16 uses.
47. run - 16 uses.
48. times - 15 uses.
49. only - 15 uses.
50. mind - 15 uses.
51. behind - 15 uses.
52. cold - 15 uses.
53. fine - 15 uses.
54. things - 15 uses.
55. people - 15 uses.
56. door - 15 uses.
57. sun - 14 uses.
58. without - 14 uses.
59. wind - 14 uses.
60. years - 14 uses.
61. river - 14 uses.
62. took - 14 uses.
63. though - 14 uses.
64. about - 14 uses.
65. anymore - 14 uses.
66. turn - 14 uses.
67. give - 13 uses.
68. far - 13 uses.
69. fall - 13 uses.
70. fly - 13 uses.
71. darling - 13 uses.
72. changed - 13 uses.
73. rain - 12 uses.
74. eyes - 12 uses.
75. let - 12 uses.
76. burning - 12 uses.
77. gotta - 12 uses.
78. other - 12 uses.
79. days - 12 uses.
80. dream - 12 uses.
81. broken - 12 uses.
82. think - 12 uses.
83. sea - 12 uses.
84. till - 11 uses.
85. done - 11 uses.
86. even - 11 uses.
87. road - 11 uses.
88. face - 11 uses.
89. town - 11 uses.
90. line - 11 uses.
91. over - 11 uses.
92. place - 11 uses.
93. waiting - 11 uses.
94. try - 11 uses.
95. weve - 11 uses.
96. leave - 11 uses.
97. home - 11 uses.
98. matter - 11 uses.
99. ground - 10 uses.
100. morning - 10 uses.
101. couldnt - 10 uses.
102. first - 10 uses.
103. upon - 10 uses.
104. true - 10 uses.
105. keeps - 10 uses.
106. together - 10 uses.
107. fire - 10 uses.
108. head - 10 uses.
109. should - 10 uses.
110. something - 10 uses.
111. thought - 10 uses.
112. ride - 10 uses.
113. daisy - 10 uses.
114. lord - 9 uses.
115. son - 9 uses.
116. remember - 9 uses.
117. seems - 9 uses.
118. believe - 9 uses.
119. every - 9 uses.
120. knew - 9 uses.
121. along - 9 uses.
122. listen - 9 uses.
123. need - 9 uses.
124. memories - 9 uses.
125. ease - 9 uses.
126. else - 9 uses.
127. leaders - 9 uses.
128. wide - 9 uses.
129. told - 8 uses.
130. dark - 8 uses.
131. moving - 8 uses.
132. wouldnt - 8 uses.
133. swear - 8 uses.
134. hear - 8 uses.
135. song - 8 uses.
136. watch - 8 uses.
137. tomorrow - 8 uses.
138. apart - 8 uses.
139. dear - 8 uses.
140. those - 8 uses.
141. stop - 8 uses.
142. dust - 8 uses.
143. fear - 8 uses.
144. hold - 8 uses.
145. sorry - 8 uses.
146. side - 8 uses.
147. eye - 8 uses.
148. end - 8 uses.
149. might - 8 uses.
150. whole - 8 uses.
151. until - 8 uses.
152. train - 8 uses.
153. break - 8 uses.
154. slow - 8 uses.
155. friends - 8 uses.
156. cry - 8 uses.
157. rock - 8 uses.
158. maybe - 8 uses.
159. surrender - 7 uses.
160. came - 7 uses.
161. forward - 7 uses.
162. free - 7 uses.
163. sorrow - 7 uses.
164. white - 7 uses.
165. name - 7 uses.
166. bad - 7 uses.
167. feels - 7 uses.
168. shoulder - 7 uses.
169. older - 7 uses.
170. sit - 7 uses.
171. poison - 7 uses.
172. wrong - 7 uses.
173. rather - 7 uses.
174. carry - 7 uses.
175. empty - 7 uses.
176. nobody - 7 uses.
177. takin - 7 uses.
178. phone - 7 uses.
179. baby - 7 uses.
180. red - 7 uses.
