Most used words by Bleachers: 
Number of songs scanned: 39

1. love - 62 uses.
2. take - 59 uses.
3. lost - 55 uses.
4. better - 51 uses.
5. back - 47 uses.
6. hey - 45 uses.
7. days - 44 uses.
8. those - 42 uses.
9. heart - 37 uses.
10. home - 32 uses.
11. myself - 31 uses.
12. big - 30 uses.
13. miss - 28 uses.
14. tonight - 27 uses.
15. dream - 26 uses.
16. goodbye - 26 uses.
17. hate - 25 uses.
18. stop - 24 uses.
19. run - 24 uses.
20. life - 24 uses.
21. down - 24 uses.
22. night - 23 uses.
23. somebody - 23 uses.
24. gone - 23 uses.
25. let - 23 uses.
26. away - 21 uses.
27. everybody - 21 uses.
28. stranger - 21 uses.
29. wild - 20 uses.
30. money - 20 uses.
31. secret - 20 uses.
32. think - 19 uses.
33. little - 19 uses.
34. sorry - 19 uses.
35. alone - 18 uses.
36. break - 18 uses.
37. bad - 17 uses.
38. honey - 17 uses.
39. face - 17 uses.
40. bedroom - 16 uses.
41. coming - 16 uses.
42. right - 16 uses.
43. lately - 16 uses.
44. left - 15 uses.
45. such - 15 uses.
46. nothing - 15 uses.
47. here - 15 uses.
48. runaway - 15 uses.
49. burn - 15 uses.
50. sometimes - 15 uses.
51. again - 15 uses.
52. roller - 15 uses.
53. coaster - 15 uses.
54. light - 14 uses.
55. never - 14 uses.
56. always - 14 uses.
57. long - 14 uses.
58. baby - 14 uses.
59. feeling - 14 uses.
60. saw - 14 uses.
61. hurt - 14 uses.
62. dark - 14 uses.
63. leave - 14 uses.
64. whoa - 14 uses.
65. faith - 14 uses.
66. dare - 14 uses.
67. mean - 14 uses.
68. cursed - 13 uses.
69. soon - 13 uses.
70. move - 13 uses.
71. changed - 13 uses.
72. everything - 13 uses.
73. shadow - 13 uses.
74. looking - 13 uses.
75. wake - 13 uses.
76. remember - 13 uses.
77. tryna - 13 uses.
78. tell - 12 uses.
79. waiting - 12 uses.
80. rolling - 12 uses.
81. thunder - 12 uses.
82. gotta - 12 uses.
83. over - 12 uses.
84. standing - 12 uses.
85. keeping - 12 uses.
86. around - 11 uses.
87. lonely - 11 uses.
88. walk - 11 uses.
89. god - 11 uses.
90. la-la-la-la-la-la-lost - 11 uses.
91. nights - 10 uses.
92. young - 10 uses.
93. change - 10 uses.
94. bed - 10 uses.
95. pray - 10 uses.
96. about - 10 uses.
97. feel - 10 uses.
98. mother - 10 uses.
99. dance - 10 uses.
100. understand - 10 uses.
101. road - 9 uses.
102. house - 9 uses.
103. anyway - 9 uses.
104. rhythm - 9 uses.
105. good - 9 uses.
106. wish - 9 uses.
107. tomorrow - 9 uses.
108. every - 9 uses.
109. running - 9 uses.
110. stand - 9 uses.
111. after - 9 uses.
112. strange - 9 uses.
113. give - 9 uses.
114. wasnt - 9 uses.
115. keep - 9 uses.
116. hope - 9 uses.
117. song - 9 uses.
118. alright - 9 uses.
119. side - 8 uses.
120. world - 8 uses.
121. much - 8 uses.
122. ever - 8 uses.
123. weight - 8 uses.
124. because - 8 uses.
125. something - 8 uses.
126. city - 8 uses.
127. fire - 8 uses.
128. believe - 8 uses.
129. through - 8 uses.
