Most used words by Blink-182: 
Number of songs scanned: 177

1. na - 229 uses.
2. never - 160 uses.
3. down - 144 uses.
4. home - 136 uses.
5. let - 135 uses.
6. again - 131 uses.
7. night - 127 uses.
8. back - 127 uses.
9. last - 119 uses.
10. over - 108 uses.
11. need - 105 uses.
12. think - 101 uses.
13. alone - 100 uses.
14. away - 99 uses.
15. love - 95 uses.
16. left - 94 uses.
17. here - 93 uses.
18. always - 90 uses.
19. wait - 87 uses.
20. lost - 87 uses.
21. right - 86 uses.
22. feel - 86 uses.
23. take - 85 uses.
24. through - 84 uses.
25. another - 83 uses.
26. long - 75 uses.
27. only - 74 uses.
28. life - 73 uses.
29. nothing - 71 uses.
30. days - 70 uses.
31. head - 69 uses.
32. better - 68 uses.
33. where - 67 uses.
34. gone - 65 uses.
35. wish - 63 uses.
36. leave - 62 uses.
37. things - 62 uses.
38. run - 61 uses.
39. should - 59 uses.
40. fall - 59 uses.
41. fuck - 59 uses.
42. everything - 59 uses.
43. hold - 58 uses.
44. much - 58 uses.
45. care - 57 uses.
46. good - 56 uses.
47. every - 55 uses.
48. something - 54 uses.
49. heart - 52 uses.
50. girl - 51 uses.
51. lets - 51 uses.
52. makes - 49 uses.
53. guess - 49 uses.
54. myself - 48 uses.
55. first - 48 uses.
56. la - 48 uses.
57. eyes - 47 uses.
58. end - 47 uses.
59. please - 47 uses.
60. da - 45 uses.
61. wrong - 44 uses.
62. stay - 44 uses.
63. doesnt - 44 uses.
64. world - 44 uses.
65. friends - 42 uses.
66. inside - 42 uses.
67. give - 42 uses.
68. ever - 42 uses.
69. those - 41 uses.
70. sorry - 41 uses.
71. without - 41 uses.
72. try - 40 uses.
73. times - 40 uses.
74. mind - 40 uses.
75. fucking - 39 uses.
76. girls - 39 uses.
77. side - 39 uses.
78. place - 39 uses.
79. because - 39 uses.
80. really - 39 uses.
81. save - 39 uses.
82. face - 38 uses.
83. blame - 38 uses.
84. feeling - 37 uses.
85. floor - 37 uses.
86. saw - 37 uses.
87. mean - 37 uses.
88. same - 37 uses.
89. wanted - 37 uses.
90. after - 36 uses.
91. hey - 36 uses.
92. move - 36 uses.
93. broken - 36 uses.
94. live - 36 uses.
95. dogs - 36 uses.
96. turn - 35 uses.
97. mine - 35 uses.
98. late - 35 uses.
99. train - 35 uses.
100. forget - 35 uses.
101. song - 35 uses.
102. bad - 35 uses.
103. forever - 34 uses.
104. christmas - 34 uses.
105. dead - 33 uses.
106. before - 33 uses.
107. sense - 33 uses.
108. around - 33 uses.
109. keep - 32 uses.
110. people - 32 uses.
111. hard - 32 uses.
112. thing - 31 uses.
113. hand - 31 uses.
114. even - 31 uses.
115. little - 30 uses.
116. words - 30 uses.
117. nights - 30 uses.
118. fell - 30 uses.
119. remember - 30 uses.
120. short - 30 uses.
121. sometimes - 30 uses.
122. break - 30 uses.
123. change - 29 uses.
