Most used words by Blur: 
Number of songs scanned: 146

1. la - 261 uses.
2. down - 169 uses.
3. love - 134 uses.
4. ah - 104 uses.
5. again - 95 uses.
6. here - 94 uses.
7. na - 94 uses.
8. really - 88 uses.
9. away - 87 uses.
10. same - 78 uses.
11. feel - 72 uses.
12. over - 70 uses.
13. low - 68 uses.
14. give - 68 uses.
15. la-la - 64 uses.
16. never - 60 uses.
17. people - 60 uses.
18. nothing - 59 uses.
19. alone - 50 uses.
20. battle - 50 uses.
21. another - 49 uses.
22. through - 48 uses.
23. think - 48 uses.
24. bye - 48 uses.
25. something - 47 uses.
26. try - 47 uses.
27. night - 46 uses.
28. stop - 46 uses.
29. always - 45 uses.
30. turn - 45 uses.
31. need - 44 uses.
32. much - 44 uses.
33. gone - 43 uses.
34. back - 43 uses.
35. where - 43 uses.
36. comes - 43 uses.
37. yes - 43 uses.
38. sleep - 42 uses.
39. someone - 41 uses.
40. life - 41 uses.
41. ooh - 41 uses.
42. la-la-la-la - 41 uses.
43. sun - 41 uses.
44. baby - 41 uses.
45. theyre - 40 uses.
46. feeling - 39 uses.
47. high - 38 uses.
48. let - 38 uses.
49. days - 38 uses.
50. crazy - 38 uses.
51. beat - 38 uses.
52. every - 37 uses.
53. oh-oh - 37 uses.
54. bomb - 37 uses.
55. boys - 37 uses.
56. seven - 37 uses.
57. soul - 36 uses.
58. world - 36 uses.
59. girls - 36 uses.
60. woo-ooh - 36 uses.
61. heart - 35 uses.
62. own - 35 uses.
63. head - 34 uses.
64. should - 33 uses.
65. dancing - 33 uses.
66. boy - 32 uses.
67. together - 32 uses.
68. watch - 32 uses.
69. new - 31 uses.
70. going - 31 uses.
71. la-la-la - 31 uses.
72. tv - 31 uses.
73. mind - 30 uses.
74. myself - 30 uses.
75. good - 30 uses.
76. only - 29 uses.
77. everything - 29 uses.
78. loves - 28 uses.
79. country - 28 uses.
80. put - 27 uses.
81. magic - 27 uses.
82. today - 27 uses.
83. little - 27 uses.
84. done - 27 uses.
85. waiting - 25 uses.
86. stay - 25 uses.
87. hey - 25 uses.
88. street - 25 uses.
89. entertain - 25 uses.
90. tracy - 25 uses.
91. jacks - 25 uses.
92. around - 24 uses.
93. naughty - 24 uses.
94. left - 24 uses.
95. hold - 24 uses.
96. hand - 24 uses.
97. home - 24 uses.
98. ever - 23 uses.
99. very - 23 uses.
100. tonight - 23 uses.
101. t-o-p-m-a-n - 23 uses.
102. pleased - 23 uses.
103. thought - 23 uses.
104. take - 23 uses.
105. because - 22 uses.
106. end - 22 uses.
107. himself - 22 uses.
108. tomorrow - 22 uses.
109. trees - 22 uses.
