Most used words by Bon Iver: 
Number of songs scanned: 53

1. love - 62 uses.
2. down - 58 uses.
3. hear - 35 uses.
4. back - 28 uses.
5. never - 22 uses.
6. light - 21 uses.
7. tell - 20 uses.
8. might - 20 uses.
9. let - 20 uses.
10. here - 19 uses.
11. mind - 19 uses.
12. only - 18 uses.
13. through - 18 uses.
14. slow - 18 uses.
15. hey - 17 uses.
16. long - 16 uses.
17. lost - 16 uses.
18. around - 15 uses.
19. keep - 15 uses.
20. about - 15 uses.
21. really - 14 uses.
22. along - 14 uses.
23. break - 14 uses.
24. fire - 14 uses.
25. right - 13 uses.
26. eyes - 13 uses.
27. every - 13 uses.
28. over - 13 uses.
29. take - 13 uses.
30. fall - 12 uses.
31. moon - 12 uses.
32. night - 12 uses.
33. mine - 12 uses.
34. ma - 12 uses.
35. something - 11 uses.
36. need - 11 uses.
37. woods - 11 uses.
38. building - 11 uses.
39. talk - 10 uses.
40. tall - 10 uses.
41. soon - 10 uses.
42. caught - 10 uses.
43. nothing - 10 uses.
44. away - 9 uses.
45. hold - 9 uses.
46. morning - 9 uses.
47. home - 9 uses.
48. standing - 9 uses.
49. leave - 9 uses.
50. comes - 9 uses.
51. told - 9 uses.
52. gone - 9 uses.
53. kind - 9 uses.
54. half - 9 uses.
55. miles - 9 uses.
56. better - 8 uses.
57. ooh - 8 uses.
58. turn - 8 uses.
59. hard - 8 uses.
60. lay - 8 uses.
61. heart - 8 uses.
62. feel - 8 uses.
63. goes - 8 uses.
64. living - 8 uses.
65. any - 8 uses.
66. carry - 8 uses.
67. pain - 8 uses.
68. very - 8 uses.
69. crying - 8 uses.
70. another - 8 uses.
71. multiply - 8 uses.
72. little - 8 uses.
73. rush - 8 uses.
74. bother - 8 uses.
75. wanted - 7 uses.
76. run - 7 uses.
77. while - 7 uses.
78. last - 7 uses.
79. thought - 7 uses.
80. full - 7 uses.
81. life - 7 uses.
82. room - 7 uses.
83. ya - 7 uses.
84. heard - 7 uses.
85. rising - 7 uses.
86. other - 7 uses.
87. stayed - 7 uses.
88. load - 7 uses.
89. please - 6 uses.
90. wrong - 6 uses.
91. once - 6 uses.
92. place - 6 uses.
93. learned - 6 uses.
94. inside - 6 uses.
95. whats - 6 uses.
96. till - 6 uses.
97. fight - 6 uses.
98. sold - 6 uses.
99. cold - 6 uses.
100. story - 6 uses.
101. took - 6 uses.
102. whole - 6 uses.
103. em - 6 uses.
104. running - 6 uses.
105. young - 6 uses.
106. pass - 6 uses.
107. end - 6 uses.
108. summer - 6 uses.
109. snow - 6 uses.
110. harms - 6 uses.
111. behind - 6 uses.
112. fine - 6 uses.
113. own - 6 uses.
114. darling - 6 uses.
115. known - 6 uses.
116. someday - 6 uses.
117. water - 6 uses.
118. knew - 6 uses.
119. racks - 6 uses.
120. fear - 5 uses.
121. free - 5 uses.
122. think - 5 uses.
123. good - 5 uses.
124. wasnt - 5 uses.
125. blood - 5 uses.
126. sun - 5 uses.
127. cry - 5 uses.
128. honey - 5 uses.
129. face - 5 uses.
130. ground - 5 uses.
131. years - 5 uses.
132. youd - 5 uses.
133. line - 5 uses.
134. dark - 5 uses.
135. truth - 5 uses.
136. dawn - 5 uses.
137. stacks - 5 uses.
138. ice - 5 uses.
139. wind - 5 uses.
140. ever - 5 uses.
141. before - 5 uses.
142. loves - 5 uses.
143. path - 5 uses.
