Most used words by Briston Maroney: 
Number of songs scanned: 31

1. down - 38 uses.
2. love - 33 uses.
3. never - 33 uses.
4. need - 27 uses.
5. gonna - 27 uses.
6. back - 26 uses.
7. give - 23 uses.
8. where - 23 uses.
9. baby - 21 uses.
10. think - 21 uses.
11. funny - 21 uses.
12. right - 20 uses.
13. take - 20 uses.
14. want - 20 uses.
15. life - 19 uses.
16. waiting - 18 uses.
17. tell - 17 uses.
18. something - 16 uses.
19. still - 16 uses.
20. heart - 15 uses.
21. anything - 15 uses.
22. wanna - 15 uses.
23. things - 15 uses.
24. hope - 14 uses.
25. here - 14 uses.
26. inside - 14 uses.
27. mind - 13 uses.
28. hold - 13 uses.
29. sick - 13 uses.
30. let - 13 uses.
31. much - 13 uses.
32. god - 13 uses.
33. old - 12 uses.
34. place - 12 uses.
35. wrong - 12 uses.
36. home - 12 uses.
37. away - 12 uses.
38. maybe - 12 uses.
39. talk - 12 uses.
40. wanted - 11 uses.
41. start - 11 uses.
42. around - 11 uses.
43. move - 11 uses.
44. everything - 11 uses.
45. fall - 11 uses.
46. hard - 10 uses.
47. lights - 10 uses.
48. found - 10 uses.
49. told - 10 uses.
50. tonight - 10 uses.
51. left - 10 uses.
52. far - 10 uses.
53. together - 10 uses.
54. cool - 10 uses.
55. line - 9 uses.
56. night - 9 uses.
57. myself - 9 uses.
58. feeling - 9 uses.
59. deep - 9 uses.
60. light - 9 uses.
61. someone - 9 uses.
62. eyes - 9 uses.
63. wish - 9 uses.
64. close - 9 uses.
65. before - 9 uses.
66. bottle - 9 uses.
67. little - 8 uses.
68. sleep - 8 uses.
69. fine - 8 uses.
70. big - 8 uses.
71. mine - 8 uses.
72. sorry - 8 uses.
73. hands - 8 uses.
74. only - 8 uses.
75. cold - 8 uses.
76. alone - 8 uses.
77. fell - 8 uses.
78. came - 8 uses.
79. til - 8 uses.
80. every - 8 uses.
81. through - 8 uses.
82. takes - 8 uses.
83. feelin - 8 uses.
84. ran - 8 uses.
85. rocket - 8 uses.
86. whats - 7 uses.
87. needed - 7 uses.
88. turn - 7 uses.
89. thing - 7 uses.
90. new - 7 uses.
91. seem - 7 uses.
92. until - 7 uses.
93. might - 7 uses.
94. change - 7 uses.
95. june - 7 uses.
96. goes - 7 uses.
97. sure - 7 uses.
98. name - 7 uses.
99. again - 7 uses.
100. help - 7 uses.
101. try - 6 uses.
102. somebody - 6 uses.
103. else - 6 uses.
104. last - 6 uses.
105. feel - 6 uses.
106. cannot - 6 uses.
107. fear - 6 uses.
108. lets - 6 uses.
109. skin - 6 uses.
110. sea - 6 uses.
111. diver - 6 uses.
112. loved - 6 uses.
113. knew - 6 uses.
114. soon - 6 uses.
115. same - 6 uses.
116. asked - 6 uses.
117. dreams - 6 uses.
118. yourself - 6 uses.
119. small - 6 uses.
120. over - 6 uses.
121. alright - 6 uses.
122. road - 6 uses.
123. rise - 6 uses.
124. care - 6 uses.
125. stop - 6 uses.
126. getting - 6 uses.
127. good - 5 uses.
128. knows - 5 uses.
129. town - 5 uses.
130. always - 5 uses.
131. sing - 5 uses.
132. hear - 5 uses.
