Most used words by  COIN: 
Number of songs scanned: 57

1. want - 79 uses.
2. never - 79 uses.
3. wanna - 77 uses.
4. again - 53 uses.
5. love - 46 uses.
6. down - 44 uses.
7. baby - 42 uses.
8. let - 42 uses.
9. dance - 39 uses.
10. heart - 39 uses.
11. feeling - 35 uses.
12. head - 34 uses.
13. keep - 34 uses.
14. back - 34 uses.
15. tell - 33 uses.
16. myself - 33 uses.
17. feel - 33 uses.
18. here - 32 uses.
19. mind - 32 uses.
20. still - 31 uses.
21. around - 31 uses.
22. always - 30 uses.
23. right - 29 uses.
24. ever - 28 uses.
25. stop - 28 uses.
26. little - 27 uses.
27. much - 25 uses.
28. eyes - 23 uses.
29. something - 23 uses.
30. maybe - 23 uses.
31. try - 23 uses.
32. nothing - 23 uses.
33. running - 22 uses.
34. home - 22 uses.
35. god - 21 uses.
36. another - 21 uses.
37. alright - 21 uses.
38. alone - 21 uses.
39. closer - 19 uses.
40. well - 19 uses.
41. wait - 19 uses.
42. whats - 19 uses.
43. arms - 19 uses.
44. needed - 19 uses.
45. lonely - 18 uses.
46. without - 18 uses.
47. change - 18 uses.
48. talk - 18 uses.
49. take - 18 uses.
50. feels - 18 uses.
51. think - 18 uses.
52. live - 17 uses.
53. only - 17 uses.
54. theres - 17 uses.
55. knew - 17 uses.
56. gonna - 16 uses.
57. move - 16 uses.
58. night - 15 uses.
59. where - 15 uses.
60. boyfriend - 15 uses.
61. real - 14 uses.
62. fight - 14 uses.
63. cut - 14 uses.
64. away - 14 uses.
65. hey - 14 uses.
66. tonight - 14 uses.
67. break - 14 uses.
68. start - 14 uses.
69. coming - 13 uses.
70. life - 13 uses.
71. settle - 13 uses.
72. car - 13 uses.
73. stay - 13 uses.
74. run - 13 uses.
75. hold - 13 uses.
76. even - 13 uses.
77. youve - 12 uses.
78. really - 12 uses.
79. thought - 12 uses.
80. enough - 12 uses.
81. couldnt - 12 uses.
82. heard - 12 uses.
83. tried - 12 uses.
84. hurts - 12 uses.
85. ohohohoh - 12 uses.
86. richest - 12 uses.
87. cemetery - 12 uses.
88. through - 11 uses.
89. holding - 11 uses.
90. every - 11 uses.
91. truth - 11 uses.
92. found - 11 uses.
93. honey - 11 uses.
94. else - 11 uses.
95. lie - 11 uses.
96. wrong - 11 uses.
97. going - 11 uses.
98. left - 11 uses.
99. new - 11 uses.
100. blood - 11 uses.
101. trap - 11 uses.
102. alive - 11 uses.
103. okay - 11 uses.
104. over - 10 uses.
105. whatcha - 10 uses.
106. hope - 10 uses.
107. ooh - 10 uses.
108. watch - 10 uses.
109. money - 10 uses.
110. nobodys - 10 uses.
111. dear - 10 uses.
112. bet - 10 uses.
113. id - 10 uses.
114. company - 10 uses.
115. listening - 10 uses.
116. house - 10 uses.
117. earth - 10 uses.
118. hear - 10 uses.
119. does - 10 uses.
120. name - 9 uses.
121. waiting - 9 uses.
122. falling - 9 uses.
123. fences - 9 uses.
124. talking - 9 uses.
125. need - 9 uses.
