Most used words by Caamp: 
Number of songs scanned: 41

1. love - 62 uses.
2. every - 37 uses.
3. down - 34 uses.
4. back - 29 uses.
5. life - 24 uses.
6. good - 21 uses.
7. thinking - 21 uses.
8. think - 19 uses.
9. take - 19 uses.
10. night - 19 uses.
11. another - 18 uses.
12. world - 18 uses.
13. enough - 18 uses.
14. long - 17 uses.
15. mind - 17 uses.
16. let - 17 uses.
17. home - 17 uses.
18. hold - 16 uses.
19. here - 16 uses.
20. ooh - 16 uses.
21. going - 16 uses.
22. right - 16 uses.
23. hey - 15 uses.
24. high - 15 uses.
25. always - 14 uses.
26. never - 14 uses.
27. seen - 14 uses.
28. light - 14 uses.
29. keep - 14 uses.
30. older - 14 uses.
31. knew - 13 uses.
32. feel - 13 uses.
33. line - 13 uses.
34. miles - 13 uses.
35. yours - 13 uses.
36. little - 13 uses.
37. head - 13 uses.
38. gone - 12 uses.
39. need - 12 uses.
40. stay - 12 uses.
41. color - 12 uses.
42. tell - 11 uses.
43. luck - 11 uses.
44. through - 11 uses.
45. kids - 10 uses.
46. best - 10 uses.
47. eyes - 10 uses.
48. bout - 10 uses.
49. those - 10 uses.
50. away - 10 uses.
51. took - 10 uses.
52. clear - 10 uses.
53. end - 9 uses.
54. sun - 9 uses.
55. wait - 9 uses.
56. baby - 9 uses.
57. till - 9 uses.
58. much - 9 uses.
59. honey - 9 uses.
60. hear - 9 uses.
61. san - 9 uses.
62. dear - 9 uses.
63. sometimes - 9 uses.
64. treat - 9 uses.
65. hundred - 9 uses.
66. hour - 9 uses.
67. die - 8 uses.
68. last - 8 uses.
69. dark - 8 uses.
70. round - 8 uses.
71. only - 8 uses.
72. while - 8 uses.
73. something - 8 uses.
74. hope - 8 uses.
75. white - 8 uses.
76. river - 8 uses.
77. atypical - 8 uses.
78. force - 8 uses.
79. francisco - 8 uses.
80. hard - 8 uses.
81. fall - 8 uses.
82. officer - 8 uses.
83. obey - 8 uses.
84. sayin - 8 uses.
85. found - 7 uses.
86. before - 7 uses.
87. heart - 7 uses.
88. looking - 7 uses.
89. things - 7 uses.
90. swim - 7 uses.
91. girl - 7 uses.
92. fast - 7 uses.
93. without - 7 uses.
94. days - 7 uses.
95. gotta - 7 uses.
96. give - 7 uses.
97. old - 7 uses.
98. falling - 7 uses.
99. hands - 7 uses.
100. moon - 7 uses.
101. mine - 7 uses.
102. cool - 7 uses.
103. wrong - 7 uses.
104. goin - 6 uses.
105. run - 6 uses.
106. help - 6 uses.
107. yourself - 6 uses.
108. alone - 6 uses.
109. hoo - 6 uses.
110. sleep - 6 uses.
111. about - 6 uses.
112. place - 6 uses.
113. tapes - 6 uses.
114. joe - 6 uses.
115. around - 6 uses.
116. lost - 6 uses.
117. trouble - 6 uses.
118. creek - 6 uses.
119. road - 6 uses.
120. comin - 6 uses.
121. watch - 6 uses.
122. wind - 6 uses.
123. drink - 6 uses.
124. low - 6 uses.
125. hate - 6 uses.
126. rules - 6 uses.
127. wood - 5 uses.
128. myself - 5 uses.
129. goes - 5 uses.
130. wear - 5 uses.
131. esta - 5 uses.
132. aqui - 5 uses.
133. done - 5 uses.
134. coast - 5 uses.
135. times - 5 uses.
136. rain - 5 uses.
137. face - 5 uses.
138. drinking - 5 uses.
139. far - 5 uses.
140. rest - 5 uses.
141. care - 5 uses.
142. knock - 5 uses.
143. over - 5 uses.
144. really - 5 uses.
145. late - 5 uses.
146. feels - 5 uses.
147. water - 5 uses.
148. west - 5 uses.
149. most - 5 uses.
150. couldnt - 5 uses.
151. pack - 5 uses.
152. soul - 5 uses.
153. gets - 5 uses.
154. lane - 5 uses.
155. tough - 5 uses.
156. young - 4 uses.
157. lonely - 4 uses.
158. hello - 4 uses.
159. autumn - 4 uses.
160. same - 4 uses.
161. gun - 4 uses.
162. mi - 4 uses.
163. amor - 4 uses.
164. friends - 4 uses.
165. somebody - 4 uses.
166. save - 4 uses.
167. name - 4 uses.
168. tried - 4 uses.
169. lord - 4 uses.
170. walking - 4 uses.
171. fine - 4 uses.
172. boy - 4 uses.
173. blue - 4 uses.
174. guess - 4 uses.
175. walk - 4 uses.
176. spend - 4 uses.
177. ten - 4 uses.
178. live - 4 uses.
179. car - 4 uses.
180. forget - 4 uses.
181. favorite - 4 uses.
