Most used words by Car Seat Headrest: 
Number of songs scanned: 163

1. back - 164 uses.
2. love - 132 uses.
3. never - 123 uses.
4. feel - 115 uses.
5. something - 111 uses.
6. give - 84 uses.
7. about - 83 uses.
8. fly - 78 uses.
9. down - 77 uses.
10. think - 77 uses.
11. night - 77 uses.
12. only - 76 uses.
13. let - 76 uses.
14. need - 73 uses.
15. light - 72 uses.
16. here - 68 uses.
17. stop - 67 uses.
18. always - 65 uses.
19. good - 65 uses.
20. head - 64 uses.
21. better - 61 uses.
22. take - 59 uses.
23. leave - 59 uses.
24. sleep - 59 uses.
25. tell - 58 uses.
26. over - 58 uses.
27. hands - 57 uses.
28. talk - 56 uses.
29. long - 55 uses.
30. nothing - 55 uses.
31. right - 55 uses.
32. world - 53 uses.
33. home - 53 uses.
34. wah - 53 uses.
35. yes - 52 uses.
36. friends - 52 uses.
37. much - 52 uses.
38. doo - 52 uses.
39. unforgiving - 52 uses.
40. gone - 51 uses.
41. mind - 51 uses.
42. change - 51 uses.
43. together - 51 uses.
44. going - 51 uses.
45. whop - 51 uses.
46. hate - 50 uses.
47. every - 47 uses.
48. again - 46 uses.
49. people - 45 uses.
50. doesnt - 45 uses.
51. away - 45 uses.
52. someone - 45 uses.
53. because - 44 uses.
54. meet - 43 uses.
55. wrong - 43 uses.
56. die - 43 uses.
57. life - 43 uses.
58. eyes - 42 uses.
59. god - 42 uses.
60. hold - 41 uses.
61. even - 41 uses.
62. really - 41 uses.
63. hear - 41 uses.
64. other - 41 uses.
65. saw - 40 uses.
66. everything - 40 uses.
67. things - 40 uses.
68. took - 40 uses.
69. must - 40 uses.
70. myself - 39 uses.
71. trying - 38 uses.
72. little - 38 uses.
73. afraid - 38 uses.
74. cool - 36 uses.
75. hope - 36 uses.
76. girl - 36 uses.
77. keep - 35 uses.
78. else - 35 uses.
79. years - 35 uses.
80. baby - 34 uses.
81. seen - 34 uses.
82. around - 34 uses.
83. enough - 34 uses.
84. ooh - 34 uses.
85. through - 34 uses.
86. far - 33 uses.
87. lot - 33 uses.
88. went - 33 uses.
89. last - 33 uses.
90. old - 33 uses.
91. should - 33 uses.
92. before - 33 uses.
93. wake - 33 uses.
94. another - 32 uses.
95. thought - 32 uses.
96. does - 31 uses.
97. heart - 31 uses.
98. face - 31 uses.
99. ah - 31 uses.
100. white - 30 uses.
101. remember - 30 uses.
102. sun - 30 uses.
103. gotta - 30 uses.
104. body - 30 uses.
105. own - 30 uses.
106. fuck - 29 uses.
107. inside - 29 uses.
108. sea - 29 uses.
109. stoop - 29 uses.
110. live - 28 uses.
111. such - 28 uses.
112. shut - 28 uses.
113. hard - 27 uses.
114. thinking - 27 uses.
115. bed - 27 uses.
116. thing - 27 uses.
117. goodbye - 27 uses.
118. bom - 27 uses.
119. left - 26 uses.
120. found - 26 uses.
121. mean - 26 uses.
122. ever - 26 uses.
123. havent - 26 uses.
124. heaven - 26 uses.
125. case - 26 uses.
126. space - 26 uses.
127. sand - 26 uses.
128. alone - 25 uses.
129. words - 25 uses.
130. soon - 25 uses.
131. ocean - 25 uses.
132. try - 25 uses.
133. drunk - 25 uses.
134. cash - 25 uses.
135. open - 24 uses.
136. hey - 24 uses.
137. being - 24 uses.
138. break - 24 uses.
139. put - 24 uses.
140. used - 24 uses.
141. lets - 24 uses.
142. asteroid - 24 uses.
143. came - 23 uses.
144. looked - 23 uses.
145. makes - 23 uses.
146. any - 23 uses.
147. act - 23 uses.
148. anymore - 23 uses.
149. weeks - 23 uses.
150. next - 23 uses.
151. heres - 23 uses.
152. golden - 23 uses.
153. anything - 22 uses.
154. loves - 22 uses.
155. ahh - 22 uses.
156. across - 22 uses.
157. america - 22 uses.
158. knows - 22 uses.
159. wear - 22 uses.
160. same - 21 uses.
161. house - 21 uses.
162. yourself - 21 uses.
163. tonight - 21 uses.
164. kids - 21 uses.
165. making - 21 uses.
166. drugs - 21 uses.
167. supposed - 21 uses.
168. feeling - 20 uses.
169. hurt - 20 uses.
170. door - 20 uses.
171. forget - 20 uses.
172. getting - 20 uses.
173. work - 20 uses.
174. death - 20 uses.
175. bye - 20 uses.
176. turn - 20 uses.
177. breath - 20 uses.
178. hell - 20 uses.
179. says - 20 uses.
180. week - 20 uses.
181. washed - 20 uses.
182. grave - 20 uses.
183. eat - 19 uses.
184. dance - 19 uses.
185. everyone - 19 uses.
186. suspicious - 19 uses.
187. money - 19 uses.
188. fall - 19 uses.
189. wanted - 19 uses.
190. wish - 19 uses.
191. times - 19 uses.
192. watch - 19 uses.
193. bad - 19 uses.
194. clothes - 19 uses.
195. after - 19 uses.
196. song - 19 uses.
197. maybe - 19 uses.
198. hurts - 19 uses.
199. please - 19 uses.
200. boy - 19 uses.
201. sandal - 19 uses.
202. lonely - 19 uses.
203. start - 18 uses.
204. end - 18 uses.
205. car - 18 uses.
206. place - 18 uses.
207. young - 18 uses.
208. running - 18 uses.
209. substitute - 18 uses.
210. name - 17 uses.
211. great - 17 uses.
212. hair - 17 uses.
213. cut - 17 uses.
214. while - 17 uses.
215. ghost - 17 uses.
216. soul - 17 uses.
217. lost - 17 uses.
218. dream - 17 uses.
219. shake - 17 uses.
220. march - 17 uses.
221. hotel - 17 uses.
222. morning - 17 uses.
223. hello - 17 uses.
224. gold - 17 uses.
225. farm - 16 uses.
226. seem - 16 uses.
227. couldnt - 16 uses.
228. real - 16 uses.
229. everybody - 16 uses.
230. fucking - 16 uses.
231. sick - 16 uses.
232. dead - 16 uses.
233. happy - 16 uses.
234. honest - 16 uses.
235. care - 16 uses.
236. forgotten - 16 uses.
237. touch - 16 uses.
238. alright - 16 uses.
239. ugly - 16 uses.
240. weve - 16 uses.
241. war - 16 uses.
242. explain - 16 uses.
243. until - 16 uses.
244. drum - 16 uses.
245. looking - 16 uses.
246. stay - 16 uses.
247. those - 16 uses.
248. sex - 16 uses.
249. learn - 16 uses.
250. gravity - 16 uses.
251. water - 16 uses.
252. drag - 16 uses.
253. countryside - 16 uses.
254. ask - 15 uses.
255. room - 15 uses.
256. living - 15 uses.
257. shit - 15 uses.
258. nice - 15 uses.
259. enjoy - 15 uses.
260. first - 15 uses.
261. voice - 15 uses.
262. moon - 15 uses.
263. mother - 15 uses.
264. daniel - 15 uses.
265. plastic - 14 uses.
266. eye - 14 uses.
267. high - 14 uses.
268. half - 14 uses.
269. mad - 14 uses.
270. having - 14 uses.
271. past - 14 uses.
272. apart - 14 uses.
273. dreams - 14 uses.
274. kid - 14 uses.
275. diddy - 14 uses.
276. cold - 14 uses.
277. big - 14 uses.
278. drivers - 14 uses.
279. de - 14 uses.
280. sign - 13 uses.
281. told - 13 uses.
282. wouldnt - 13 uses.
283. speak - 13 uses.
284. though - 13 uses.
285. outside - 13 uses.
286. mouth - 13 uses.
287. truth - 13 uses.
288. whats - 13 uses.
289. today - 13 uses.
290. boxes - 13 uses.
291. done - 13 uses.
292. fight - 13 uses.
293. awake - 13 uses.
294. anyone - 13 uses.
295. taking - 13 uses.
296. listening - 13 uses.
297. side - 13 uses.
298. college - 13 uses.
299. ears - 13 uses.
300. beautiful - 13 uses.
301. fine - 12 uses.
302. sky - 12 uses.
303. help - 12 uses.
304. blood - 12 uses.
305. laugh - 12 uses.
306. rest - 12 uses.
307. months - 12 uses.
308. wasnt - 12 uses.
309. sounds - 12 uses.
310. mistake - 12 uses.
311. losing - 12 uses.
312. behind - 12 uses.
313. gets - 12 uses.
314. worry - 12 uses.
315. started - 12 uses.
316. line - 12 uses.
317. fell - 12 uses.
318. crawl - 12 uses.
319. present - 12 uses.
320. tv - 12 uses.
321. mine - 12 uses.
322. sad - 12 uses.
323. run - 12 uses.
324. hand - 12 uses.
325. kill - 12 uses.
326. skin - 12 uses.
327. listen - 12 uses.
328. town - 12 uses.
329. taken - 12 uses.
330. teach - 12 uses.
331. wash - 12 uses.
332. pill - 12 uses.
333. woah-oh-ah - 12 uses.
334. kaufman - 12 uses.
335. studio - 11 uses.
336. black - 11 uses.
337. bright - 11 uses.
338. pretty - 11 uses.
339. dancing - 11 uses.
340. job - 11 uses.
341. matter - 11 uses.
342. pain - 11 uses.
343. ride - 11 uses.
344. friend - 11 uses.
345. fire - 11 uses.
346. movie - 11 uses.
347. send - 11 uses.
348. almost - 11 uses.
349. straight - 11 uses.
350. smile - 11 uses.
351. sing - 11 uses.
352. guess - 11 uses.
353. parents - 11 uses.
354. set - 11 uses.
355. broke - 11 uses.
356. arms - 11 uses.
357. human - 11 uses.
358. believe - 11 uses.
359. tried - 11 uses.
360. best - 11 uses.
361. johnston - 11 uses.
362. photographs - 11 uses.
363. woo - 10 uses.
364. read - 10 uses.
365. spend - 10 uses.
366. somewhere - 10 uses.
367. empty - 10 uses.
368. least - 10 uses.
369. kind - 10 uses.
370. phone - 10 uses.
371. wants - 10 uses.
372. fit - 10 uses.
373. between - 10 uses.
374. sometimes - 10 uses.
375. heard - 10 uses.
376. cry - 10 uses.
377. tense - 10 uses.
378. survive - 10 uses.
379. second - 10 uses.
380. show - 10 uses.
381. hit - 10 uses.
382. prisoners - 10 uses.
383. 5 - 10 uses.
384. without - 10 uses.
385. floor - 10 uses.
386. experience - 10 uses.
387. gentle - 10 uses.
388. isnt - 10 uses.
389. yet - 10 uses.
390. jesus - 10 uses.
391. jacket - 10 uses.
392. nowhere - 10 uses.
393. lose - 10 uses.
394. expanded - 10 uses.
395. c14 - 10 uses.
396. charlie - 10 uses.
397. nnnnnnnnnnnnnn - 9 uses.
398. held - 9 uses.
399. alive - 9 uses.
400. road - 9 uses.
401. talking - 9 uses.
402. spent - 9 uses.
403. seat - 9 uses.
404. sense - 9 uses.
405. upon - 9 uses.
406. late - 9 uses.
407. thoughts - 9 uses.
408. someones - 9 uses.
409. friendship - 9 uses.
410. eaten - 9 uses.
411. cannot - 9 uses.
412. under - 9 uses.
413. happen - 9 uses.
414. secret - 9 uses.
415. cats - 9 uses.
416. referring - 9 uses.
417. anybody - 9 uses.
418. lyrics - 9 uses.
419. walk - 9 uses.
420. fun - 9 uses.
421. takes - 9 uses.
422. lights - 9 uses.
423. days - 9 uses.
424. haunted - 9 uses.
425. music - 9 uses.
426. walking - 9 uses.
427. sorry - 9 uses.
428. deal - 9 uses.
429. drink - 9 uses.
430. new - 9 uses.
431. round - 9 uses.
432. write - 9 uses.
433. answer - 9 uses.
434. falling - 9 uses.
435. tears - 9 uses.
436. pass - 9 uses.
437. brain - 9 uses.
438. piano - 9 uses.
439. father - 9 uses.
440. literally - 9 uses.
441. loved - 9 uses.
442. fear - 9 uses.
443. transgressions - 9 uses.
444. punishment - 9 uses.
445. ya - 9 uses.
446. brow - 9 uses.
447. strange - 9 uses.
448. fangface - 9 uses.
449. whales - 9 uses.
450. cherries - 8 uses.
451. neon - 8 uses.
452. letter - 8 uses.
453. lord - 8 uses.
454. working - 8 uses.
455. feelings - 8 uses.
456. asking - 8 uses.
457. asked - 8 uses.
458. sweat - 8 uses.
459. depression - 8 uses.
460. minute - 8 uses.
461. become - 8 uses.
462. fault - 8 uses.
463. asleep - 8 uses.
464. stand - 8 uses.
465. guy - 8 uses.
466. knew - 8 uses.
467. stealing - 8 uses.
468. outrage - 8 uses.
469. naked - 8 uses.
470. burn - 8 uses.
471. tired - 8 uses.
472. play - 8 uses.
473. probably - 8 uses.
474. drive - 8 uses.
475. met - 8 uses.
476. street - 8 uses.
477. rights - 8 uses.
478. rock - 8 uses.
479. cops - 8 uses.
480. scene - 8 uses.
481. happens - 8 uses.
482. strength - 8 uses.
483. songs - 8 uses.
484. promise - 8 uses.
485. speaking - 8 uses.
486. saying - 8 uses.
487. dreamed - 8 uses.
488. adore - 8 uses.
489. trash - 8 uses.
490. seeing - 8 uses.
491. style - 8 uses.
492. watched - 8 uses.
493. pour - 8 uses.
494. resort - 8 uses.
495. animal - 8 uses.
496. hollywood - 8 uses.
497. da-da-da-da-da-da - 8 uses.
498. bop - 8 uses.
499. rise - 8 uses.
500. saved - 8 uses.
501. galvanistic - 8 uses.
502. lines - 7 uses.
503. against - 7 uses.
504. nervous - 7 uses.
505. front - 7 uses.
506. share - 7 uses.
507. art - 7 uses.
508. jokes - 7 uses.
509. artist - 7 uses.
510. since - 7 uses.
511. feet - 7 uses.
512. coffee - 7 uses.
513. turned - 7 uses.
514. growing - 7 uses.
515. teeth - 7 uses.
516. river - 7 uses.
517. ass - 7 uses.
518. lying - 7 uses.
519. towards - 7 uses.
520. quiet - 7 uses.
521. party - 7 uses.
522. um - 7 uses.
523. move - 7 uses.
524. neck - 7 uses.
525. stupid - 7 uses.
526. easy - 7 uses.
527. guys - 7 uses.
528. dad - 7 uses.
529. close - 7 uses.
530. tape - 7 uses.
531. leaving - 7 uses.
532. station - 7 uses.
533. yours - 7 uses.
534. blame - 7 uses.
535. legs - 7 uses.
536. themselves - 7 uses.
537. already - 7 uses.
538. everywhere - 7 uses.
539. windowsill - 7 uses.
540. kept - 7 uses.
541. waiting - 7 uses.
542. looks - 7 uses.
543. wait - 7 uses.
544. felt - 7 uses.
545. beach - 7 uses.
546. less - 7 uses.
547. shoulders - 7 uses.
548. dee - 7 uses.
549. boys - 7 uses.
550. spirit - 7 uses.
551. forgive - 7 uses.
552. wind - 7 uses.
553. throws - 7 uses.
554. goes - 7 uses.
555. hot - 7 uses.
556. very - 7 uses.
557. movies - 7 uses.
558. page - 7 uses.
559. giving - 7 uses.
560. cadet - 7 uses.
561. card - 7 uses.
562. compassion - 7 uses.
563. transforming - 7 uses.
564. invisible - 7 uses.
565. gave - 6 uses.
566. difference - 6 uses.
567. destroyed - 6 uses.
568. afford - 6 uses.
569. sound - 6 uses.
570. city - 6 uses.
571. completely - 6 uses.
572. lie - 6 uses.
573. goddamn - 6 uses.
574. loving - 6 uses.
575. understand - 6 uses.
576. final - 6 uses.
577. later - 6 uses.
578. company - 6 uses.
579. sixteen - 6 uses.
580. underneath - 6 uses.
581. worried - 6 uses.
582. unless - 6 uses.
583. unhappy - 6 uses.
584. dying - 6 uses.
585. fingers - 6 uses.
586. laughing - 6 uses.
587. minds - 6 uses.
588. star - 6 uses.
589. red - 6 uses.
590. wide - 6 uses.
591. humans - 6 uses.
592. whole - 6 uses.
593. sweet - 6 uses.
594. problems - 6 uses.
595. content - 6 uses.
596. mom - 6 uses.
597. free - 6 uses.
598. cried - 6 uses.
599. oooh - 6 uses.
600. keeps - 6 uses.
601. finally - 6 uses.
602. reason - 6 uses.
603. places - 6 uses.
604. both - 6 uses.
605. problem - 6 uses.
606. longer - 6 uses.
607. burned - 6 uses.
608. moving - 6 uses.
609. fucked - 6 uses.
610. comes - 6 uses.
611. most - 6 uses.
612. describe - 6 uses.
613. woke - 6 uses.
614. calling - 6 uses.
615. dog - 6 uses.
616. dogs - 6 uses.
617. year - 6 uses.
618. groceries - 6 uses.
619. coming - 6 uses.
620. green - 6 uses.
621. happened - 6 uses.
622. miss - 6 uses.
623. band - 6 uses.
624. bodies - 6 uses.
625. teens - 6 uses.
626. everybodys - 6 uses.
627. strong - 6 uses.
628. allowed - 6 uses.
629. prepared - 6 uses.
630. seems - 6 uses.
631. meaning - 6 uses.
632. violate - 6 uses.
633. intoxicado - 6 uses.
634. uh - 6 uses.
635. sort - 6 uses.
636. na - 6 uses.
637. slump - 6 uses.
