Most used words by Charli Baltimore: 
Number of songs scanned: 18

1. na - 144 uses.
2. yo - 106 uses.
3. la - 96 uses.
4. love - 65 uses.
5. ya - 59 uses.
6. yall - 52 uses.
7. niggas - 52 uses.
8. charli - 50 uses.
9. shit - 44 uses.
10. nigga - 43 uses.
11. money - 42 uses.
12. wanna - 39 uses.
13. uh - 36 uses.
14. bitch - 36 uses.
15. fuck - 36 uses.
16. em - 35 uses.
17. through - 34 uses.
18. tell - 31 uses.
19. right - 30 uses.
20. want - 30 uses.
21. cats - 29 uses.
22. baltimore - 28 uses.
23. never - 27 uses.
24. down - 27 uses.
25. only - 23 uses.
26. back - 23 uses.
27. wit - 23 uses.
28. makin - 23 uses.
29. ass - 21 uses.
30. think - 21 uses.
31. hey - 21 uses.
32. baby - 21 uses.
33. where - 20 uses.
34. still - 20 uses.
35. bitches - 19 uses.
36. true - 19 uses.
37. here - 19 uses.
38. play - 18 uses.
39. need - 18 uses.
40. put - 18 uses.
41. huh - 17 uses.
42. thats - 17 uses.
43. let - 17 uses.
44. lies - 17 uses.
45. chick - 16 uses.
46. while - 16 uses.
47. something - 16 uses.
48. really - 16 uses.
49. lose - 15 uses.
50. face - 15 uses.
51. hit - 14 uses.
52. fucking - 14 uses.
53. over - 14 uses.
54. stand - 14 uses.
55. gon - 14 uses.
56. hot - 14 uses.
57. ever - 13 uses.
58. around - 13 uses.
59. stay - 13 uses.
60. gotta - 13 uses.
61. inc - 13 uses.
62. - - 13 uses.
63. rap - 12 uses.
64. throw - 12 uses.
65. damn - 12 uses.
66. stop - 12 uses.
67. lady - 12 uses.
68. untertainment - 12 uses.
69. spit - 11 uses.
70. keep - 11 uses.
71. game - 11 uses.
72. even - 11 uses.
73. drop - 11 uses.
74. camron - 11 uses.
75. till - 11 uses.
76. dough - 11 uses.
77. dick - 11 uses.
78. mind - 11 uses.
79. chuck - 10 uses.
80. bout - 10 uses.
81. hold - 10 uses.
82. talk - 10 uses.
83. better - 10 uses.
84. fuckin - 10 uses.
85. show - 10 uses.
86. niggaz - 10 uses.
87. feel - 10 uses.
88. life - 10 uses.
89. things - 10 uses.
90. mad - 10 uses.
91. cam - 10 uses.
92. ice - 10 uses.
93. blow - 10 uses.
94. going - 10 uses.
95. world - 10 uses.
96. old - 10 uses.
97. always - 10 uses.
98. murder - 10 uses.
99. rule - 10 uses.
100. pimp - 10 uses.
101. take - 9 uses.
102. sayin - 9 uses.
103. cb - 9 uses.
104. after - 9 uses.
105. song - 9 uses.
106. live - 9 uses.
107. hoes - 9 uses.
108. ball - 9 uses.
109. half - 9 uses.
110. thing - 9 uses.
111. best - 9 uses.
112. chicks - 9 uses.
113. mean - 9 uses.
114. worth - 9 uses.
115. tight - 8 uses.
116. low - 8 uses.
117. night - 8 uses.
118. door - 8 uses.
119. beat - 8 uses.
120. good - 8 uses.
121. head - 8 uses.
122. easy - 8 uses.
123. leave - 8 uses.
124. new - 8 uses.
125. aye - 8 uses.
126. hell - 8 uses.
127. crew - 8 uses.
128. girls - 8 uses.
129. though - 8 uses.
130. does - 8 uses.
131. mase - 8 uses.
132. dollar - 8 uses.
133. bills - 8 uses.
134. ladies - 8 uses.
135. ready - 7 uses.
136. cut - 7 uses.
137. work - 7 uses.
138. without - 7 uses.
139. long - 7 uses.
140. little - 7 uses.
141. front - 7 uses.
142. plan - 7 uses.
143. kiss - 7 uses.
144. kill - 7 uses.
145. bmore - 7 uses.
146. brothers - 7 uses.
147. sisters - 7 uses.
148. everybody - 7 uses.
149. gettin - 7 uses.
150. lay - 7 uses.
151. far - 7 uses.
152. gonna - 7 uses.
153. pop - 7 uses.
154. tryin - 7 uses.
155. harlem - 7 uses.
156. nore - 7 uses.
157. pimpin - 7 uses.
158. roll - 6 uses.
159. ride - 6 uses.
160. again - 6 uses.
161. minutes - 6 uses.
162. goin - 6 uses.
163. told - 6 uses.
164. whole - 6 uses.
165. suck - 6 uses.
166. words - 6 uses.
167. bring - 6 uses.
168. give - 6 uses.
169. 2 - 6 uses.
170. lifes - 6 uses.
171. frontin - 6 uses.
172. pull - 6 uses.
173. whistle - 6 uses.
174. together - 6 uses.
175. should - 6 uses.
176. philly - 6 uses.
177. try - 6 uses.
178. ima - 6 uses.
179. real - 6 uses.
180. false - 6 uses.
181. phone - 6 uses.
182. family - 6 uses.
183. any - 6 uses.
184. commission - 6 uses.
185. boo - 5 uses.
186. minute - 5 uses.
187. drink - 5 uses.
188. nothin - 5 uses.
189. black - 5 uses.
190. lips - 5 uses.
191. mix - 5 uses.
192. jealous - 5 uses.
193. catch - 5 uses.
194. turn - 5 uses.
195. less - 5 uses.
196. haters - 5 uses.
197. fucked - 5 uses.
198. big - 5 uses.
199. trust - 5 uses.
200. hate - 5 uses.
201. fall - 5 uses.
202. juan - 5 uses.
203. thug - 5 uses.
204. behind - 5 uses.
205. blood - 5 uses.
206. rich - 5 uses.
207. dumb - 5 uses.
208. ask - 5 uses.
209. dat - 5 uses.
210. rock - 5 uses.
211. left - 5 uses.
212. tony - 5 uses.
213. heard - 5 uses.
214. coming - 5 uses.
215. rhyme - 5 uses.
216. whats - 5 uses.
217. hard - 5 uses.
218. nothing - 5 uses.
219. gone - 5 uses.
220. home - 5 uses.
221. scared - 5 uses.
222. silkk - 5 uses.
223. pretty - 5 uses.
224. flip - 5 uses.
225. gots - 5 uses.
226. pimps - 5 uses.
227. sweet - 4 uses.
228. bag - 4 uses.
229. cold - 4 uses.
230. lets - 4 uses.
231. ok - 4 uses.
232. hittin - 4 uses.
233. 4 - 4 uses.
234. doin - 4 uses.
235. 5 - 4 uses.
236. hope - 4 uses.
237. jeans - 4 uses.
238. comin - 4 uses.
239. talkin - 4 uses.
240. stressed - 4 uses.
241. bust - 4 uses.
242. pick - 4 uses.
243. guess - 4 uses.
244. stuck - 4 uses.
245. skin - 4 uses.
246. those - 4 uses.
247. fool - 4 uses.
248. break - 4 uses.
249. own - 4 uses.
250. eyes - 4 uses.
251. lost - 4 uses.
252. 6 - 4 uses.
253. next - 4 uses.
254. jump - 4 uses.
255. click - 4 uses.
256. swiss - 4 uses.
257. miss - 4 uses.
258. wear - 4 uses.
259. clips - 4 uses.
260. hits - 4 uses.
261. hands - 4 uses.
262. tune - 4 uses.
263. youve - 4 uses.
264. muthafuckin - 4 uses.
265. soft - 4 uses.
266. swallow - 4 uses.
267. 9s - 4 uses.
268. red - 4 uses.
269. start - 4 uses.
270. dogs - 4 uses.
271. split - 4 uses.
272. sheisty - 4 uses.
273. watch - 4 uses.
274. myself - 4 uses.
275. met - 4 uses.
276. since - 4 uses.
277. dreamin - 4 uses.
278. open - 4 uses.
279. nice - 4 uses.
280. sex - 4 uses.
281. playing - 4 uses.
282. another - 4 uses.
283. went - 4 uses.
284. spot - 4 uses.
285. i-n-c - 4 uses.
286. murderous - 4 uses.
287. shocker - 4 uses.
288. limit - 4 uses.
289. lookin - 4 uses.
290. showing - 4 uses.
291. thugs - 4 uses.
292. taste - 4 uses.
293. uhh - 4 uses.
294. forget - 4 uses.
295. much - 4 uses.
296. die - 4 uses.
297. everything - 4 uses.
298. price - 4 uses.
299. hoe - 4 uses.
300. eh-heh - 4 uses.
301. un - 4 uses.
302. ones - 4 uses.
303. cool - 4 uses.
304. almost - 4 uses.
305. iraq - 4 uses.
306. san - 4 uses.
307. un-shit - 4 uses.
308. jam - 4 uses.
309. infamous - 4 uses.
310. feelin - 3 uses.
311. cali - 3 uses.
312. fat - 3 uses.
313. flow - 3 uses.
314. sure - 3 uses.
