Most used words by Chelsea Cutler: 
Number of songs scanned: 71

1. love - 162 uses.
2. u - 99 uses.
3. think - 89 uses.
4. tell - 82 uses.
5. let - 79 uses.
6. feel - 72 uses.
7. miss - 62 uses.
8. never - 61 uses.
9. over - 59 uses.
10. home - 50 uses.
11. scared - 50 uses.
12. need - 50 uses.
13. right - 48 uses.
14. alone - 48 uses.
15. somebody - 47 uses.
16. take - 46 uses.
17. heart - 46 uses.
18. enough - 43 uses.
19. here - 41 uses.
20. hate - 41 uses.
21. away - 41 uses.
22. through - 40 uses.
23. maybe - 40 uses.
24. back - 38 uses.
25. good - 38 uses.
26. someone - 37 uses.
27. even - 37 uses.
28. wish - 37 uses.
29. stay - 36 uses.
30. losing - 36 uses.
31. about - 34 uses.
32. leave - 34 uses.
33. baby - 33 uses.
34. else - 33 uses.
35. told - 33 uses.
36. ever - 32 uses.
37. anything - 32 uses.
38. friends - 31 uses.
39. myself - 31 uses.
40. always - 30 uses.
41. calling - 30 uses.
42. keep - 30 uses.
43. ooh - 30 uses.
44. should - 30 uses.
45. bed - 29 uses.
46. left - 28 uses.
47. hurt - 28 uses.
48. trying - 28 uses.
49. sorry - 27 uses.
50. head - 27 uses.
51. better - 27 uses.
52. sleep - 26 uses.
53. hell - 26 uses.
54. live - 25 uses.
55. talk - 25 uses.
56. before - 25 uses.
57. only - 25 uses.
58. every - 25 uses.
59. down - 25 uses.
60. believe - 25 uses.
61. things - 25 uses.
62. under - 24 uses.
63. much - 24 uses.
64. something - 24 uses.
65. tonight - 24 uses.
66. without - 24 uses.
67. sad - 22 uses.
68. give - 22 uses.
69. everything - 22 uses.
70. lonely - 22 uses.
71. wait - 22 uses.
72. going - 22 uses.
73. nothing - 21 uses.
74. giving - 21 uses.
75. move - 21 uses.
76. fault - 21 uses.
77. wanted - 20 uses.
78. hold - 20 uses.
79. hear - 20 uses.
80. doing - 20 uses.
81. put - 20 uses.
82. next - 20 uses.
83. again - 20 uses.
84. words - 20 uses.
85. hope - 19 uses.
86. missing - 19 uses.
87. thing - 19 uses.
88. best - 19 uses.
89. thought - 19 uses.
90. fall - 19 uses.
91. close - 18 uses.
92. forget - 18 uses.
93. night - 18 uses.
94. leaving - 18 uses.
95. choose - 18 uses.
96. lying - 18 uses.
97. side - 18 uses.
98. person - 17 uses.
99. used - 17 uses.
100. waiting - 17 uses.
101. both - 17 uses.
102. awake - 17 uses.
103. gave - 17 uses.
104. thinking - 17 uses.
105. god - 17 uses.
106. same - 17 uses.
107. okay - 17 uses.
108. change - 17 uses.
109. forever - 17 uses.
110. coming - 17 uses.
111. three - 17 uses.
112. water - 16 uses.
113. another - 16 uses.
114. life - 16 uses.
115. being - 16 uses.
116. body - 16 uses.
117. mind - 16 uses.
118. inside - 16 uses.
119. morning - 16 uses.
120. together - 16 uses.
121. girl - 16 uses.
122. door - 16 uses.
123. met - 16 uses.
124. running - 16 uses.
125. help - 16 uses.
126. feels - 15 uses.
127. eyes - 15 uses.
128. really - 15 uses.
129. days - 15 uses.
130. nights - 15 uses.
131. reason - 15 uses.
132. human - 15 uses.
133. taking - 14 uses.
134. walk - 14 uses.
135. ah - 14 uses.
136. sometimes - 14 uses.
137. break - 14 uses.
138. easy - 14 uses.
139. ways - 14 uses.
140. doesnt - 14 uses.
141. spend - 14 uses.
142. supposed - 14 uses.
143. stop - 14 uses.
144. listening - 14 uses.
145. around - 14 uses.
146. walking - 14 uses.
147. angels - 14 uses.
148. mean - 13 uses.
149. turn - 13 uses.
150. alright - 13 uses.
151. new - 13 uses.
152. along - 13 uses.
153. missed - 13 uses.
154. swear - 13 uses.
155. wouldnt - 13 uses.
156. lost - 13 uses.
