Most used words by Chloe Moriondo: 
Number of songs scanned: 42

1. wanna - 77 uses.
2. feel - 43 uses.
3. want - 43 uses.
4. take - 42 uses.
5. around - 42 uses.
6. nobody - 38 uses.
7. think - 35 uses.
8. really - 33 uses.
9. la-la - 30 uses.
10. still - 28 uses.
11. best - 27 uses.
12. tell - 26 uses.
13. never - 24 uses.
14. hard - 23 uses.
15. down - 23 uses.
16. fine - 23 uses.
17. let - 22 uses.
18. love - 22 uses.
19. girl - 22 uses.
20. only - 21 uses.
21. again - 20 uses.
22. life - 20 uses.
23. mm-hmm - 20 uses.
24. mine - 19 uses.
25. need - 19 uses.
26. ever - 19 uses.
27. gonna - 19 uses.
28. wish - 18 uses.
29. through - 18 uses.
30. mind - 17 uses.
31. world - 17 uses.
32. give - 17 uses.
33. everything - 16 uses.
34. god - 16 uses.
35. guess - 16 uses.
36. stay - 16 uses.
37. keep - 16 uses.
38. much - 15 uses.
39. should - 15 uses.
40. myself - 15 uses.
41. care - 15 uses.
42. okay - 15 uses.
43. darling - 15 uses.
44. damn - 14 uses.
45. maybe - 14 uses.
46. always - 14 uses.
47. vapor - 14 uses.
48. home - 13 uses.
49. even - 13 uses.
50. friend - 13 uses.
51. back - 13 uses.
52. every - 13 uses.
53. miss - 13 uses.
54. lost - 13 uses.
55. good - 12 uses.
56. else - 12 uses.
57. break - 12 uses.
58. head - 12 uses.
59. heart - 12 uses.
60. baby - 12 uses.
61. tired - 12 uses.
62. anything - 12 uses.
63. stop - 11 uses.
64. easy - 11 uses.
65. tv - 11 uses.
66. makes - 11 uses.
67. night - 11 uses.
68. clementine - 11 uses.
69. youd - 10 uses.
70. hit - 10 uses.
71. here - 10 uses.
72. something - 10 uses.
73. own - 10 uses.
74. brain - 10 uses.
75. days - 10 uses.
76. ooh - 10 uses.
77. face - 10 uses.
78. alright - 10 uses.
79. doesnt - 10 uses.
80. enough - 10 uses.
81. ooh-ooh - 10 uses.
82. try - 10 uses.
83. lover - 10 uses.
84. where - 10 uses.
85. away - 10 uses.
86. hey - 10 uses.
