Most used words by Chris Stapleton: 
Number of songs scanned: 53

1. love - 83 uses.
2. down - 68 uses.
3. never - 31 uses.
4. life - 29 uses.
5. baby - 29 uses.
6. tell - 27 uses.
7. back - 25 uses.
8. always - 25 uses.
9. right - 24 uses.
10. let - 23 uses.
11. used - 23 uses.
12. run - 23 uses.
13. good - 23 uses.
14. gone - 23 uses.
15. every - 23 uses.
16. whiskey - 23 uses.
17. mind - 23 uses.
18. sometimes - 23 uses.
19. old - 23 uses.
20. thing - 22 uses.
21. devil - 22 uses.
22. where - 21 uses.
23. feel - 21 uses.
24. probably - 20 uses.
25. kind - 20 uses.
26. put - 20 uses.
27. nobody - 19 uses.
28. only - 19 uses.
29. should - 19 uses.
30. leave - 18 uses.
31. through - 18 uses.
32. morning - 18 uses.
33. take - 18 uses.
34. cold - 18 uses.
35. nothing - 17 uses.
36. mine - 17 uses.
37. friends - 17 uses.
38. wrong - 17 uses.
39. think - 16 uses.
40. friend - 16 uses.
41. heart - 16 uses.
42. need - 16 uses.
43. song - 16 uses.
44. shine - 15 uses.
45. again - 15 uses.
46. tennessee - 15 uses.
47. long - 14 uses.
48. little - 14 uses.
49. left - 14 uses.
50. else - 14 uses.
51. much - 14 uses.
52. talk - 13 uses.
53. stoned - 13 uses.
54. gotta - 13 uses.
55. wish - 12 uses.
56. hard - 12 uses.
57. around - 12 uses.
58. broken - 12 uses.
59. night - 12 uses.
60. alone - 12 uses.
61. lonesome - 12 uses.
62. cry - 12 uses.
63. without - 12 uses.
64. everything - 12 uses.
65. far - 12 uses.
66. gimme - 12 uses.
67. turn - 12 uses.
68. bad - 12 uses.
69. smoked - 12 uses.
70. stems - 12 uses.
71. honey - 11 uses.
72. somebody - 11 uses.
73. livin - 11 uses.
74. things - 11 uses.
75. matter - 11 uses.
76. god - 11 uses.
77. over - 11 uses.
78. comin - 11 uses.
79. ever - 11 uses.
80. free - 11 uses.
81. stay - 11 uses.
82. here - 11 uses.
83. death - 11 uses.
84. row - 11 uses.
85. maggie - 11 uses.
86. drink - 10 uses.
87. before - 10 uses.
88. halos - 10 uses.
89. blood - 10 uses.
90. drunk - 10 uses.
91. something - 10 uses.
92. might - 10 uses.
93. hand - 10 uses.
94. sun - 10 uses.
95. words - 10 uses.
96. forty - 10 uses.
97. blame - 10 uses.
98. wife - 10 uses.
99. line - 10 uses.
100. makes - 9 uses.
101. people - 9 uses.
102. die - 9 uses.
103. live - 9 uses.
104. hillbilly - 9 uses.
105. son - 9 uses.
106. ones - 9 uses.
107. daddy - 9 uses.
108. goes - 9 uses.
109. tonight - 9 uses.
110. whats - 9 uses.
111. thought - 9 uses.
112. girl - 9 uses.
113. miss - 9 uses.
114. town - 8 uses.
115. soul - 8 uses.
116. give - 8 uses.
117. first - 8 uses.
118. till - 8 uses.
119. play - 8 uses.
120. lifetime - 8 uses.
121. new - 8 uses.
122. nights - 8 uses.
123. high - 8 uses.
124. shot - 8 uses.
125. sure - 8 uses.
126. arkansas - 8 uses.
127. memphis - 8 uses.
128. hardship - 8 uses.
129. told - 8 uses.
130. puff - 8 uses.
131. yes - 8 uses.
132. cared - 8 uses.
133. tryin - 8 uses.
134. home - 7 uses.
135. times - 7 uses.
136. someone - 7 uses.
137. being - 7 uses.
138. seen - 7 uses.
139. looking - 7 uses.
140. land - 7 uses.
141. light - 7 uses.
142. walk - 7 uses.
143. hit - 7 uses.
144. behind - 7 uses.
145. trouble - 7 uses.
146. set - 7 uses.
147. twice - 7 uses.
148. sweet - 7 uses.
149. took - 7 uses.
150. days - 7 uses.
151. eyes - 7 uses.
152. fire - 7 uses.
153. ground - 7 uses.
154. sound - 7 uses.
155. different - 7 uses.
156. last - 7 uses.
157. guess - 7 uses.
158. em - 7 uses.
159. friendship - 7 uses.
160. lasts - 7 uses.
161. worry - 7 uses.
162. couldnt - 7 uses.
163. matters - 7 uses.
164. train - 7 uses.
165. past - 6 uses.
166. dog - 6 uses.
167. law - 6 uses.
168. finally - 6 uses.
169. gave - 6 uses.
170. share - 6 uses.
171. wherever - 6 uses.
172. doesnt - 6 uses.
173. mean - 6 uses.
174. hell - 6 uses.
175. years - 6 uses.
176. difference - 6 uses.
177. between - 6 uses.
178. came - 6 uses.
179. along - 6 uses.
180. anymore - 6 uses.
181. knew - 6 uses.
182. late - 6 uses.
183. lay - 6 uses.
184. keep - 6 uses.
185. lights - 6 uses.
186. memories - 6 uses.
187. hold - 6 uses.
188. falling - 6 uses.
189. parachute - 6 uses.
190. fall - 6 uses.
191. lord - 6 uses.
192. another - 6 uses.
193. crime - 6 uses.
194. smooth - 6 uses.
195. feelin - 6 uses.
196. gunnin - 6 uses.
197. easy - 6 uses.
198. millionaire - 6 uses.
199. nashville - 6 uses.
200. untangle - 6 uses.
201. second - 6 uses.
202. pray - 6 uses.
203. listening - 6 uses.
204. midnight - 6 uses.
205. tired - 5 uses.
206. done - 5 uses.
207. believe - 5 uses.
208. pay - 5 uses.
209. hate - 5 uses.
210. jesus - 5 uses.
211. pain - 5 uses.
212. river - 5 uses.
213. trigger - 5 uses.
214. air - 5 uses.
215. went - 5 uses.
216. change - 5 uses.
217. takes - 5 uses.
218. hope - 5 uses.
219. floor - 5 uses.
220. because - 5 uses.
221. break - 5 uses.
222. blue - 5 uses.
223. ice - 5 uses.
224. mama - 5 uses.
225. since - 5 uses.
226. away - 5 uses.
227. alright - 5 uses.
228. seem - 5 uses.
229. comes - 5 uses.
230. cut - 5 uses.
231. roll - 5 uses.
232. tears - 5 uses.
233. moments - 5 uses.
234. hot - 5 uses.
235. shoot - 5 uses.
236. everybodys - 5 uses.
237. lets - 5 uses.
238. starting - 5 uses.
239. gold - 5 uses.
240. after - 5 uses.
241. havin - 5 uses.
242. fun - 5 uses.
243. boys - 5 uses.
244. really - 5 uses.
245. enough - 5 uses.
246. anything - 5 uses.
247. hearts - 5 uses.
248. music - 5 uses.
249. oughta - 5 uses.
250. goodbye - 5 uses.
251. faith - 5 uses.
252. band - 5 uses.
253. lot - 5 uses.
254. taking - 5 uses.
255. rebel - 5 uses.
256. child - 5 uses.
257. wild - 5 uses.
258. kids - 5 uses.
259. playing - 5 uses.
260. fence - 5 uses.
261. traveller - 5 uses.
262. twenty-five - 5 uses.
263. twenty-six - 5 uses.
264. shit - 4 uses.
265. changed - 4 uses.
266. black - 4 uses.
267. red - 4 uses.
268. lead - 4 uses.
269. devils - 4 uses.
270. eye - 4 uses.
271. own - 4 uses.
272. church - 4 uses.
273. bottle - 4 uses.
274. knees - 4 uses.
275. those - 4 uses.
276. precious - 4 uses.
277. empty - 4 uses.
278. wake - 4 uses.
279. buy - 4 uses.
280. both - 4 uses.
281. same - 4 uses.
282. myself - 4 uses.
283. cowboy - 4 uses.
284. found - 4 uses.
285. saw - 4 uses.
286. joy - 4 uses.
287. face - 4 uses.
288. roof - 4 uses.
289. raining - 4 uses.
290. remember - 4 uses.
291. lost - 4 uses.
292. dreams - 4 uses.
293. rain - 4 uses.
294. wine - 4 uses.
295. places - 4 uses.
296. woman - 4 uses.
297. pull - 4 uses.
298. laid - 4 uses.
299. best - 4 uses.
300. road - 4 uses.
301. better - 4 uses.
302. once - 4 uses.
303. looks - 4 uses.
304. work - 4 uses.
305. middle - 4 uses.
306. bit - 4 uses.
307. against - 4 uses.
308. girls - 4 uses.
309. ball - 4 uses.
310. rock - 4 uses.
311. window - 4 uses.
312. hole - 4 uses.
313. sitting - 4 uses.
314. sold - 4 uses.
315. tore - 4 uses.
316. watch - 4 uses.
317. listen - 4 uses.
318. radio - 4 uses.
319. amanda - 4 uses.
320. gentlemans - 4 uses.
321. trying - 4 uses.
322. burn - 4 uses.
323. open - 4 uses.
324. brick - 4 uses.
325. dirt - 4 uses.
326. college - 4 uses.
327. stars - 4 uses.
328. shape - 4 uses.
329. slow - 4 uses.
330. named - 4 uses.
331. sad - 4 uses.
332. bar - 4 uses.
333. sposed - 4 uses.
334. draw - 4 uses.
335. cares - 4 uses.
336. rhyme - 4 uses.
337. turning - 3 uses.
338. trust - 3 uses.
339. fact - 3 uses.
340. called - 3 uses.
341. turned - 3 uses.
342. folded - 3 uses.
343. wings - 3 uses.
344. fly - 3 uses.
345. angels - 3 uses.
346. help - 3 uses.
347. white - 3 uses.
348. forgive - 3 uses.
349. thank - 3 uses.
350. problem - 3 uses.
351. theyll - 3 uses.
352. keeps - 3 uses.
353. ‘cause - 3 uses.
354. advice - 3 uses.
355. tried - 3 uses.
356. six - 3 uses.
357. feet - 3 uses.
358. luckiest - 3 uses.
359. alive - 3 uses.
360. pretend - 3 uses.
361. dark - 3 uses.
362. feels - 3 uses.
363. flying - 3 uses.
364. across - 3 uses.
365. outlaw - 3 uses.
366. state - 3 uses.
367. west - 3 uses.
368. damn - 3 uses.
369. met - 3 uses.
370. kiss - 3 uses.
371. true - 3 uses.
372. sky - 3 uses.
373. forget - 3 uses.
374. please - 3 uses.
375. doing - 3 uses.
376. known - 3 uses.
377. strawberry - 3 uses.
378. warm - 3 uses.
379. glass - 3 uses.
380. brandy - 3 uses.
381. looked - 3 uses.
382. poured - 3 uses.
383. bullet - 3 uses.
384. locked - 3 uses.
385. loaded - 3 uses.
386. blow - 3 uses.
387. opened - 3 uses.
388. needed - 3 uses.
389. wanted - 3 uses.
390. excuse - 3 uses.
391. world - 3 uses.
392. chances - 3 uses.
393. dice - 3 uses.
394. lucky - 3 uses.
395. penny - 3 uses.
396. four-leaf - 3 uses.
397. clover - 3 uses.
398. cross - 3 uses.
399. afraid - 3 uses.
400. worth - 3 uses.
401. end - 3 uses.
402. most - 3 uses.
403. hands - 3 uses.
404. needs - 3 uses.
405. built - 3 uses.
406. bout - 3 uses.
407. stop - 3 uses.
408. view - 3 uses.
409. knife - 3 uses.
410. money - 3 uses.
411. yet - 3 uses.
412. preacher - 3 uses.
413. quits - 3 uses.
414. either - 3 uses.
415. bought - 3 uses.
416. bare - 3 uses.
417. wrote - 3 uses.
418. build - 3 uses.
419. illusion - 3 uses.
420. head - 3 uses.
421. sleep - 3 uses.
422. crowd - 3 uses.
423. lose - 3 uses.
424. close - 3 uses.
425. forever - 3 uses.
426. trusting - 3 uses.
427. diamonds - 3 uses.
428. house - 3 uses.
429. sunrise - 3 uses.
430. sing - 3 uses.
431. fine - 3 uses.
432. turns - 3 uses.
433. downtown - 3 uses.
434. burner - 3 uses.
435. gets - 3 uses.
436. happen - 3 uses.
437. dogs - 3 uses.
438. simple - 3 uses.
439. cover - 3 uses.
440. na-na-nas - 3 uses.
441. guitars - 3 uses.
442. station - 3 uses.
443. breaking - 3 uses.
444. hanging - 3 uses.
445. shotguns - 3 uses.
446. barbed - 3 uses.
447. wire - 3 uses.
448. fences - 3 uses.
449. sit - 3 uses.
450. workin - 2 uses.
451. breath - 2 uses.
452. questions - 2 uses.
453. mad - 2 uses.
454. fish - 2 uses.
455. whole - 2 uses.
456. lotta - 2 uses.
457. permitted - 2 uses.
458. picasso - 2 uses.
459. painting - 2 uses.
460. grown - 2 uses.
461. finds - 2 uses.
462. kept - 2 uses.
463. moon - 2 uses.
464. woke - 2 uses.
465. meant - 2 uses.
466. belong - 2 uses.
467. coal - 2 uses.
468. crossin - 2 uses.
469. runs - 2 uses.
470. finger - 2 uses.
471. searchin - 2 uses.
472. tongues - 2 uses.
473. tent - 2 uses.
474. revival - 2 uses.
475. spittin - 2 uses.
476. survival - 2 uses.
477. promise - 2 uses.
478. ashamed - 2 uses.
479. forgot - 2 uses.
480. tomorrow - 2 uses.
481. driving - 2 uses.
482. wonder - 2 uses.
483. hide - 2 uses.
484. bring - 2 uses.
485. yourself - 2 uses.
486. wonderful - 2 uses.
487. felt - 2 uses.
488. grave - 2 uses.
489. crave - 2 uses.
490. example - 2 uses.
491. steer - 2 uses.
492. direction - 2 uses.
493. gate - 2 uses.
494. room - 2 uses.
495. says - 2 uses.
496. beside - 2 uses.
497. must - 2 uses.
498. heaven - 2 uses.
499. walked - 2 uses.
