Most used words by  Cleopatrick: 
Number of songs scanned: 20

1. friends - 23 uses.
2. july - 20 uses.
3. yea - 19 uses.
4. love - 18 uses.
5. only - 17 uses.
6. god - 17 uses.
7. mind - 17 uses.
8. tell - 16 uses.
9. hard - 16 uses.
10. fuck - 15 uses.
11. wrong - 15 uses.
12. listen - 15 uses.
13. chromeo - 14 uses.
14. lost - 14 uses.
15. fucking - 14 uses.
16. take - 14 uses.
17. feel - 14 uses.
18. gone - 14 uses.
19. back - 13 uses.
20. maybe - 13 uses.
21. real - 13 uses.
22. even - 13 uses.
23. getting - 12 uses.
24. again - 12 uses.
25. side - 12 uses.
26. good - 11 uses.
27. down - 11 uses.
28. lord - 11 uses.
29. everything - 11 uses.
30. where - 11 uses.
31. life - 11 uses.
32. boys - 10 uses.
33. says - 10 uses.
34. shit - 10 uses.
35. things - 10 uses.
36. let - 10 uses.
37. alone - 10 uses.
38. place - 9 uses.
39. going - 9 uses.
40. guess - 9 uses.
41. give - 9 uses.
42. never - 9 uses.
43. mouth - 9 uses.
44. ever - 8 uses.
45. hey - 8 uses.
46. ya - 8 uses.
47. defeat - 8 uses.
48. eye - 8 uses.
49. really - 8 uses.
50. fucked - 8 uses.
51. lips - 8 uses.
52. found - 7 uses.
53. ends - 7 uses.
54. baby - 7 uses.
55. through - 7 uses.
56. wish - 7 uses.
57. show - 7 uses.
58. highs - 7 uses.
59. none - 7 uses.
60. lows - 7 uses.
61. far - 7 uses.
62. break - 7 uses.
63. think - 7 uses.
64. seeing - 7 uses.
65. feet - 7 uses.
66. before - 7 uses.
67. own - 7 uses.
68. mine - 7 uses.
69. feeling - 7 uses.
70. couldnt - 7 uses.
71. home - 7 uses.
72. whats - 7 uses.
73. something - 7 uses.
74. want - 7 uses.
75. double - 7 uses.
76. pushing - 7 uses.
77. believe - 7 uses.
78. beat - 6 uses.
79. moment - 6 uses.
80. heart - 6 uses.
81. pray - 6 uses.
82. enough - 6 uses.
83. sure - 6 uses.
84. still - 6 uses.
85. acne - 6 uses.
86. courage - 6 uses.
87. wanna - 6 uses.
88. youve - 6 uses.
89. being - 6 uses.
90. need - 6 uses.
91. does - 6 uses.
92. crucify - 6 uses.
93. childs - 6 uses.
94. true - 6 uses.
95. right - 6 uses.
96. knows - 6 uses.
97. gonna - 6 uses.
98. wondering - 6 uses.
99. lifes - 6 uses.
100. id - 6 uses.
101. cross - 6 uses.
102. teeth - 6 uses.
103. label - 6 uses.
104. opinion - 6 uses.
105. vision - 6 uses.
106. unequivalent - 6 uses.
107. lukey - 5 uses.
108. calling - 5 uses.
109. thing - 5 uses.
110. youll - 5 uses.
111. night - 5 uses.
112. girls - 5 uses.
113. full - 5 uses.
114. hit - 5 uses.
115. around - 5 uses.
116. cuz - 5 uses.
117. yourself - 5 uses.
118. gold - 5 uses.
119. cut - 5 uses.
120. thinking - 5 uses.
121. okay - 5 uses.
122. every - 5 uses.
123. theres - 5 uses.
124. always - 5 uses.
125. falling - 5 uses.
126. pirates - 5 uses.
127. tried - 5 uses.
128. keep - 5 uses.
129. grief - 5 uses.
130. pushed - 5 uses.
131. fun - 5 uses.
132. bitch - 5 uses.
133. fuckin - 4 uses.
134. caught - 4 uses.
135. high - 4 uses.
136. school - 4 uses.
137. mean - 4 uses.
138. any - 4 uses.
139. youth - 4 uses.
140. cool - 4 uses.
141. loved - 4 uses.
142. basement - 4 uses.
143. sweet - 4 uses.
144. head - 4 uses.
145. last - 4 uses.
146. catch - 4 uses.
147. buck - 4 uses.
148. dummies - 4 uses.
149. phone - 4 uses.
150. ask - 4 uses.
151. well - 4 uses.
152. children - 4 uses.
153. fit - 4 uses.
154. born - 4 uses.
155. eyes - 4 uses.
156. stay - 4 uses.
157. singing - 4 uses.
158. end - 4 uses.
159. happens - 4 uses.
160. knees - 4 uses.
161. saying - 4 uses.
162. truth - 4 uses.
163. happened - 4 uses.
164. explain - 4 uses.
165. watching - 4 uses.
166. gang - 4 uses.
167. chance - 4 uses.
168. needing - 4 uses.
169. bad - 4 uses.
170. saw - 4 uses.
171. put - 4 uses.
172. speak - 4 uses.
173. hollow - 4 uses.
174. behind - 4 uses.
175. gets - 4 uses.
176. wasted - 4 uses.
177. hometown - 4 uses.
178. told - 3 uses.
179. honey - 3 uses.
180. sanjay - 3 uses.
181. tomorrow - 3 uses.
182. shorten - 3 uses.
183. morning - 3 uses.
184. away - 3 uses.
185. beneath - 3 uses.
186. sight - 3 uses.
187. hell - 3 uses.
188. ignoring - 3 uses.
189. noring - 3 uses.
190. thought - 3 uses.
191. quick - 3 uses.
192. road - 3 uses.
193. heat - 3 uses.
194. same - 3 uses.
195. since - 3 uses.
196. though - 3 uses.
197. trying - 3 uses.
198. sake - 3 uses.
199. remember - 3 uses.
200. anymore - 3 uses.
201. cared - 3 uses.
202. sick - 3 uses.
203. inside - 3 uses.
204. hear - 3 uses.
205. dry - 3 uses.
206. close - 3 uses.
207. two - 3 uses.
208. waste - 3 uses.
209. yet - 3 uses.
210. safe - 3 uses.
211. drunk - 3 uses.
212. hair - 3 uses.
213. lot - 3 uses.
214. missing - 3 uses.
215. matter - 3 uses.
216. hitting - 3 uses.
217. once - 3 uses.
218. type - 3 uses.
219. touch - 3 uses.
220. shown - 3 uses.
221. unless - 3 uses.
222. sitting - 3 uses.
223. old - 3 uses.
224. late - 3 uses.
225. tryna - 3 uses.
226. hoping - 3 uses.
227. talk - 3 uses.
228. fumble - 3 uses.
229. pace - 3 uses.
230. seen - 3 uses.
231. til - 3 uses.
232. swore - 3 uses.
233. days - 3 uses.
234. great - 3 uses.
235. against - 3 uses.
236. fine - 3 uses.
237. asshole - 3 uses.
238. faker - 3 uses.
239. bashful - 3 uses.
240. seem - 3 uses.
241. shake - 3 uses.
242. figure - 3 uses.
243. buried - 3 uses.
244. past - 3 uses.
245. wasting - 3 uses.
246. lonely - 3 uses.
247. talking - 3 uses.
248. without - 3 uses.
249. makes - 3 uses.
250. tongue - 3 uses.
251. care - 3 uses.
252. texting - 3 uses.
253. arent - 3 uses.
254. em - 3 uses.
255. face - 2 uses.
256. acting - 2 uses.
257. theyre - 2 uses.
258. bit - 2 uses.
259. cold - 2 uses.
260. coming - 2 uses.
261. job - 2 uses.
262. brother - 2 uses.
263. class - 2 uses.
264. felt - 2 uses.
265. reputation - 2 uses.
266. half - 2 uses.
267. kids - 2 uses.
268. ear - 2 uses.
269. held - 2 uses.
270. year - 2 uses.
271. bummer - 2 uses.
272. goes - 2 uses.
273. bridge - 2 uses.
274. wasnt - 2 uses.
275. planned - 2 uses.
276. words - 2 uses.
277. fresh - 2 uses.
278. axe - 2 uses.
279. shook - 2 uses.
280. holding - 2 uses.
281. skin - 2 uses.
282. dream - 2 uses.
283. stiff - 2 uses.
284. instagram - 2 uses.
285. pyramid - 2 uses.
286. scheme - 2 uses.
287. leave - 2 uses.
288. beef - 2 uses.
289. ig - 2 uses.
290. feed - 2 uses.
291. filled - 2 uses.
292. town - 2 uses.
293. laying - 2 uses.
