Most used words by Cloud Control: 
Number of songs scanned: 39

1. love - 46 uses.
2. yah - 40 uses.
3. lights - 37 uses.
4. run - 30 uses.
5. zone - 27 uses.
6. away - 23 uses.
7. sun - 23 uses.
8. easy - 23 uses.
9. lost - 23 uses.
10. down - 22 uses.
11. back - 22 uses.
12. feels - 21 uses.
13. water - 20 uses.
14. maybe - 18 uses.
15. set - 18 uses.
16. take - 18 uses.
17. work - 18 uses.
18. gone - 17 uses.
19. rest - 17 uses.
20. feeling - 16 uses.
21. lacuna - 16 uses.
22. ah - 16 uses.
23. gold - 16 uses.
24. geta - 16 uses.
25. never - 15 uses.
26. around - 15 uses.
27. going - 14 uses.
28. everything - 14 uses.
29. anything - 14 uses.
30. anyway - 13 uses.
31. even - 13 uses.
32. care - 13 uses.
33. hard - 13 uses.
34. walk - 12 uses.
35. coming - 12 uses.
36. feel - 12 uses.
37. high - 12 uses.
38. close - 12 uses.
39. world - 12 uses.
40. hurt - 12 uses.
41. canary - 12 uses.
42. old - 12 uses.
43. wooah - 12 uses.
44. crazy - 11 uses.
45. every - 11 uses.
46. things - 11 uses.
47. home - 11 uses.
48. air - 11 uses.
49. alright - 11 uses.
50. slow - 11 uses.
51. give - 11 uses.
52. fly - 11 uses.
53. only - 10 uses.
54. before - 10 uses.
55. soul - 10 uses.
56. here - 10 uses.
57. wait - 10 uses.
58. car - 10 uses.
59. stop - 10 uses.
60. chrome - 10 uses.
61. mirror - 9 uses.
62. moon - 9 uses.
63. thought - 9 uses.
64. tell - 9 uses.
65. times - 9 uses.
66. light - 9 uses.
67. wrong - 9 uses.
68. book - 9 uses.
69. dreaming - 9 uses.
70. different - 9 uses.
71. doubt - 9 uses.
72. eyes - 8 uses.
73. together - 8 uses.
74. hands - 8 uses.
75. carry - 8 uses.
76. baby - 8 uses.
77. oohaaaa - 8 uses.
78. death - 8 uses.
79. cloud - 8 uses.
80. wave - 8 uses.
81. wind - 8 uses.
82. doesnt - 8 uses.
83. road - 8 uses.
84. let - 7 uses.
85. waiting - 7 uses.
86. about - 7 uses.
87. place - 7 uses.
88. lets - 7 uses.
89. today - 7 uses.
90. ooh - 7 uses.
91. face - 7 uses.
92. true - 7 uses.
93. much - 7 uses.
94. hey - 7 uses.
95. wine - 7 uses.
96. change - 7 uses.
97. atmosphere - 7 uses.
98. break - 7 uses.
99. crime - 7 uses.
100. south - 7 uses.
101. write - 7 uses.
102. tombstone - 7 uses.
103. rabbit - 6 uses.
104. follow - 6 uses.
105. hate - 6 uses.
106. everybody - 6 uses.
107. good - 6 uses.
108. nothing - 6 uses.
109. summer - 6 uses.
110. rave - 6 uses.
111. regrets - 6 uses.
112. friend - 6 uses.
113. again - 6 uses.
114. wake - 6 uses.
115. bring - 6 uses.
116. done - 6 uses.
117. always - 6 uses.
118. think - 6 uses.
119. dream - 6 uses.
120. sliding - 6 uses.
121. holding - 6 uses.
122. cover - 6 uses.
123. tired - 6 uses.
124. truth - 6 uses.
125. mother - 6 uses.
126. mind - 6 uses.
127. probably - 6 uses.
128. free - 5 uses.
129. really - 5 uses.
130. hold - 5 uses.
131. phone - 5 uses.
132. low - 5 uses.
133. should - 5 uses.
134. night - 5 uses.
135. keep - 5 uses.
136. square - 5 uses.
137. door - 5 uses.
138. hide - 5 uses.
139. head - 5 uses.
140. sky - 5 uses.
141. sometimes - 5 uses.
142. fire - 5 uses.
143. morning - 5 uses.
144. window - 5 uses.
145. miss - 5 uses.
146. need - 5 uses.
147. buried - 5 uses.
148. till - 5 uses.
149. heart - 5 uses.
150. lit - 5 uses.
151. protectors - 5 uses.
152. collectors - 5 uses.
153. solar - 5 uses.
154. vectors - 5 uses.
155. looking - 4 uses.
156. behind - 4 uses.
157. stay - 4 uses.
158. okay - 4 uses.
159. pull - 4 uses.
160. gun - 4 uses.
161. throw - 4 uses.
162. any - 4 uses.
163. weve - 4 uses.
164. ones - 4 uses.
165. over - 4 uses.
166. white - 4 uses.
167. blue - 4 uses.
168. leave - 4 uses.
169. taking - 4 uses.
170. reappear - 4 uses.
171. round - 4 uses.
172. living - 4 uses.
173. life - 4 uses.
174. under - 4 uses.
175. hour - 4 uses.
176. through - 4 uses.
177. city - 4 uses.
178. wash - 4 uses.
179. running - 4 uses.
180. hair - 4 uses.
181. oooh - 4 uses.
182. pattern - 4 uses.
183. insane - 4 uses.
184. pyramid - 4 uses.
185. street - 4 uses.
186. talk - 4 uses.
187. try - 4 uses.
188. happy - 4 uses.
189. early - 4 uses.
190. crying - 4 uses.
191. cool - 4 uses.
192. runnin - 4 uses.
193. whatever - 4 uses.
194. mine - 4 uses.
195. lie - 4 uses.
196. matter - 4 uses.
197. promises - 4 uses.
198. beautiful - 4 uses.
199. promised - 4 uses.
200. darling - 4 uses.
201. chimes - 4 uses.
202. real - 3 uses.
203. vision - 3 uses.
204. lay - 3 uses.
205. saw - 3 uses.
206. throne - 3 uses.
207. letting - 3 uses.
208. remember - 3 uses.
209. thinking - 3 uses.
210. woo - 3 uses.
211. special - 3 uses.
212. name - 3 uses.
213. forget - 3 uses.
