Most used words by Coheed And Cambria: 
Number of songs scanned: 137

1. here - 207 uses.
2. love - 156 uses.
3. down - 146 uses.
4. never - 117 uses.
5. please - 109 uses.
6. let - 109 uses.
7. home - 106 uses.
8. give - 106 uses.
9. back - 94 uses.
10. dear - 94 uses.
11. world - 93 uses.
12. run - 92 uses.
13. boy - 87 uses.
14. over - 82 uses.
15. heart - 76 uses.
16. through - 76 uses.
17. words - 75 uses.
18. girl - 72 uses.
19. think - 68 uses.
20. take - 68 uses.
21. leave - 68 uses.
22. away - 67 uses.
23. things - 67 uses.
24. life - 67 uses.
25. coming - 66 uses.
26. tonight - 66 uses.
27. na - 65 uses.
28. nothing - 62 uses.
29. wish - 62 uses.
30. going - 61 uses.
31. only - 60 uses.
32. while - 60 uses.
33. good - 60 uses.
34. lost - 60 uses.
35. goodbye - 59 uses.
36. little - 59 uses.
37. better - 59 uses.
38. break - 58 uses.
39. dead - 57 uses.
40. end - 55 uses.
41. left - 54 uses.
42. god - 54 uses.
43. feel - 54 uses.
44. before - 53 uses.
45. right - 53 uses.
46. believe - 52 uses.
47. keep - 51 uses.
48. last - 50 uses.
49. done - 49 uses.
50. need - 49 uses.
51. wait - 47 uses.
52. watch - 45 uses.
53. live - 45 uses.
54. fall - 44 uses.
55. lose - 44 uses.
56. alone - 44 uses.
57. turn - 43 uses.
58. hurt - 43 uses.
59. hell - 43 uses.
60. face - 42 uses.
61. everything - 42 uses.
62. ever - 41 uses.
63. burn - 41 uses.
64. bye - 41 uses.
65. remember - 40 uses.
66. hope - 39 uses.
67. dark - 38 uses.
68. hang - 38 uses.
69. hold - 37 uses.
70. sleep - 37 uses.
71. die - 37 uses.
72. bad - 37 uses.
73. stay - 36 uses.
74. again - 36 uses.
75. hear - 35 uses.
76. follow - 35 uses.
77. anything - 35 uses.
78. tell - 35 uses.
79. waiting - 35 uses.
80. own - 34 uses.
81. new - 34 uses.
82. enough - 34 uses.
83. eyes - 34 uses.
84. show - 34 uses.
85. fear - 34 uses.
86. fire - 34 uses.
87. truth - 34 uses.
88. wrong - 33 uses.
89. play - 32 uses.
90. cry - 32 uses.
91. forever - 32 uses.
92. gun - 32 uses.
93. save - 32 uses.
94. worth - 31 uses.
95. baby - 31 uses.
96. stars - 31 uses.
97. goodnight - 31 uses.
98. blood - 30 uses.
99. every - 30 uses.
100. days - 30 uses.
101. walk - 30 uses.
102. place - 30 uses.
103. mind - 30 uses.
104. whoa - 30 uses.
105. maybe - 29 uses.
106. inside - 29 uses.
107. once - 29 uses.
108. other - 29 uses.
109. should - 29 uses.
110. cut - 29 uses.
111. broken - 29 uses.
112. running - 29 uses.
113. kill - 28 uses.
114. about - 28 uses.
115. found - 27 uses.
116. light - 27 uses.
117. stop - 27 uses.
118. hey - 27 uses.
119. em - 27 uses.
120. son - 27 uses.
121. worst - 26 uses.
122. hands - 26 uses.
123. might - 26 uses.
124. bring - 26 uses.
125. living - 25 uses.
126. lie - 25 uses.
127. matter - 25 uses.
128. upon - 25 uses.
129. afraid - 25 uses.
130. song - 25 uses.
131. move - 25 uses.
132. anymore - 25 uses.
133. apart - 25 uses.
134. youd - 25 uses.
135. worlds - 24 uses.
136. chance - 24 uses.
137. pray - 24 uses.
138. given - 24 uses.
139. far - 24 uses.
140. across - 24 uses.
141. floor - 24 uses.
142. door - 24 uses.
143. start - 23 uses.
144. listen - 23 uses.
145. much - 23 uses.
146. side - 23 uses.
147. fight - 23 uses.
148. body - 23 uses.
149. weve - 23 uses.
150. head - 22 uses.
151. hide - 22 uses.
152. always - 22 uses.
153. same - 22 uses.
154. told - 22 uses.
155. hand - 22 uses.
156. someone - 22 uses.
157. favorite - 22 uses.
158. story - 21 uses.
159. fuck - 21 uses.
160. yourself - 21 uses.
161. become - 21 uses.
162. between - 21 uses.
163. without - 21 uses.
164. cursed - 21 uses.
165. night - 21 uses.
166. change - 21 uses.
167. star - 21 uses.
168. must - 21 uses.
169. goes - 21 uses.
170. long - 20 uses.
171. alright - 20 uses.
172. old - 20 uses.
173. loved - 20 uses.
174. hate - 20 uses.
175. thank - 20 uses.
176. help - 20 uses.
177. queen - 20 uses.
178. damn - 20 uses.
179. close - 20 uses.
180. behind - 20 uses.
181. ooh - 20 uses.
182. peace - 19 uses.
183. around - 19 uses.
184. mother - 19 uses.
185. miss - 19 uses.
186. put - 19 uses.
187. open - 19 uses.
188. fist - 19 uses.
189. secrets - 19 uses.
190. young - 19 uses.
191. pull - 19 uses.
192. bury - 19 uses.
193. alive - 19 uses.
194. another - 18 uses.
195. kiss - 18 uses.
196. thing - 18 uses.
197. cold - 18 uses.
198. write - 18 uses.
199. teeth - 18 uses.
200. hearts - 18 uses.
201. thought - 18 uses.
202. iron - 18 uses.
203. whats - 18 uses.
204. liar - 17 uses.
205. room - 17 uses.
206. together - 17 uses.
207. comes - 17 uses.
208. lines - 17 uses.
209. dreams - 17 uses.
210. doubt - 17 uses.
211. breaking - 17 uses.
212. graves - 17 uses.
213. children - 17 uses.
214. free - 17 uses.
215. wood - 17 uses.
216. woah - 17 uses.
217. cuz - 17 uses.
218. hard - 16 uses.
219. sweet - 16 uses.
220. learn - 16 uses.
221. calling - 16 uses.
222. scream - 16 uses.
223. welcome - 16 uses.
224. step - 16 uses.
225. mistakes - 16 uses.
226. stand - 16 uses.
227. went - 16 uses.
228. war - 16 uses.
229. any - 16 uses.
230. honest - 16 uses.
231. holly - 16 uses.
232. yes - 16 uses.
233. those - 16 uses.
234. nanana - 16 uses.
235. really - 15 uses.
236. sorry - 15 uses.
237. nobody - 15 uses.
238. burning - 15 uses.
239. sick - 15 uses.
240. wanted - 15 uses.
241. darling - 15 uses.
242. lets - 15 uses.
243. knife - 15 uses.
244. laughing - 15 uses.
245. promise - 15 uses.
246. among - 15 uses.
247. scare - 15 uses.
248. whore - 15 uses.
249. jessies - 15 uses.
250. soon - 15 uses.
251. ask - 14 uses.
252. truly - 14 uses.
253. something - 14 uses.
254. control - 14 uses.
255. honey - 14 uses.
256. yours - 14 uses.
257. myself - 14 uses.
258. disease - 14 uses.
259. wake - 14 uses.
260. knew - 14 uses.
261. caught - 14 uses.
262. against - 14 uses.
263. sure - 14 uses.
264. giving - 14 uses.
265. murder - 14 uses.
266. lights - 14 uses.
267. answer - 14 uses.
268. trigger - 14 uses.
269. gone - 14 uses.
270. after - 14 uses.
271. lucky - 14 uses.
272. swinging - 14 uses.
273. even - 14 uses.
274. longer - 14 uses.
275. shabutie - 14 uses.
276. girls - 14 uses.
277. sound - 13 uses.
278. past - 13 uses.
279. porch - 13 uses.
280. release - 13 uses.
281. number - 13 uses.
282. gets - 13 uses.
283. until - 13 uses.
284. choice - 13 uses.
285. brother - 13 uses.
286. name - 13 uses.
287. starts - 13 uses.
288. gave - 13 uses.
289. black - 13 uses.
290. walls - 13 uses.
291. friend - 13 uses.
292. yet - 13 uses.
293. water - 13 uses.
294. letter - 13 uses.
295. bastard - 13 uses.
296. lay - 12 uses.
297. bed - 12 uses.
298. knows - 12 uses.
299. fault - 12 uses.
300. newo - 12 uses.
301. radio - 12 uses.
302. screaming - 12 uses.
303. theyll - 12 uses.
304. rest - 12 uses.
305. short - 12 uses.
306. price - 12 uses.
307. work - 12 uses.
308. streets - 12 uses.
309. moment - 12 uses.
310. grow - 12 uses.
311. mess - 12 uses.
312. grave - 12 uses.
313. beyond - 12 uses.
314. true - 12 uses.
315. weight - 12 uses.
316. curse - 12 uses.
317. mouth - 12 uses.
318. does - 12 uses.
319. friends - 12 uses.
320. round - 12 uses.
321. most - 12 uses.
322. under - 11 uses.
323. seen - 11 uses.
324. shit - 11 uses.
325. breath - 11 uses.
326. memories - 11 uses.
327. killed - 11 uses.
328. sing - 11 uses.
329. loud - 11 uses.
330. care - 11 uses.
331. lies - 11 uses.
332. arent - 11 uses.
333. shell - 11 uses.
334. tomorrow - 11 uses.
335. leaving - 11 uses.
336. mine - 11 uses.
337. eye - 11 uses.
338. near - 11 uses.
339. voice - 11 uses.
340. forget - 11 uses.
341. shelter - 11 uses.
342. summer - 11 uses.
343. creature - 11 uses.
344. set - 11 uses.
345. pretty - 11 uses.
346. trouble - 11 uses.
347. beautiful - 10 uses.
348. upside - 10 uses.
349. lady - 10 uses.
350. outside - 10 uses.
351. choose - 10 uses.
352. attention - 10 uses.
353. forgotten - 10 uses.
354. march - 10 uses.
355. letting - 10 uses.
356. trust - 10 uses.
357. til - 10 uses.
358. pieces - 10 uses.
359. buried - 10 uses.
360. couldnt - 10 uses.
361. sit - 10 uses.
362. crazy - 10 uses.
363. justice - 10 uses.
364. wheres - 10 uses.
365. cover - 10 uses.
366. ghost - 10 uses.
367. serve - 10 uses.
368. dream - 10 uses.
369. understand - 10 uses.
370. big - 10 uses.
371. touch - 10 uses.
372. makes - 10 uses.
373. dance - 10 uses.
374. shame - 10 uses.
375. born - 10 uses.
376. guiding - 10 uses.
377. turning - 10 uses.
378. echo - 10 uses.
379. cowards - 10 uses.
380. deserve - 10 uses.
381. following - 10 uses.
382. knees - 10 uses.
383. dig - 10 uses.
384. looking - 10 uses.
385. best - 10 uses.
386. cassio - 10 uses.
387. sounds - 9 uses.
388. silence - 9 uses.
389. question - 9 uses.
390. tear - 9 uses.
391. accept - 9 uses.
392. ride - 9 uses.
393. morning - 9 uses.
394. count - 9 uses.
395. fail - 9 uses.
396. bleed - 9 uses.
397. air - 9 uses.
398. dying - 9 uses.
399. measure - 9 uses.
400. curtain - 9 uses.
401. learned - 9 uses.
402. stomach - 9 uses.
403. clear - 9 uses.
404. till - 9 uses.
405. loss - 9 uses.
406. locked - 9 uses.
407. drink - 9 uses.
408. soul - 9 uses.
409. great - 9 uses.
410. white - 9 uses.
411. sun - 9 uses.
412. ground - 9 uses.
413. real - 9 uses.
414. mean - 9 uses.
415. momma - 9 uses.
416. monster - 9 uses.
417. times - 9 uses.
418. believer - 9 uses.
419. walking - 9 uses.
420. island - 9 uses.
421. danger - 9 uses.
422. begins - 9 uses.
423. share - 9 uses.
424. asleep - 9 uses.
425. isnt - 9 uses.
426. dirty - 9 uses.
427. crashing - 9 uses.
428. mom - 9 uses.
429. clean - 9 uses.
430. wide - 9 uses.
431. looks - 9 uses.
432. blow - 9 uses.
433. quite - 8 uses.
434. believed - 8 uses.
435. slowly - 8 uses.
436. final - 8 uses.
437. such - 8 uses.
438. lover - 8 uses.
439. city - 8 uses.
440. lungs - 8 uses.
441. gives - 8 uses.
442. kid - 8 uses.
443. audience - 8 uses.
444. courage - 8 uses.
445. anyone - 8 uses.
446. pain - 8 uses.
447. bother - 8 uses.
448. awake - 8 uses.
449. send - 8 uses.
450. flames - 8 uses.
451. captain - 8 uses.
452. mexico - 8 uses.
453. sunday - 8 uses.
454. machine - 8 uses.
455. pay - 8 uses.
456. hangman - 8 uses.
457. fighting - 8 uses.
458. selling - 8 uses.
459. strong - 8 uses.
460. came - 8 uses.
461. fit - 8 uses.
462. figured - 8 uses.
463. behave - 8 uses.
464. sense - 8 uses.
465. proud - 8 uses.
466. ha - 8 uses.
467. mountain - 8 uses.
468. half - 8 uses.
469. arms - 8 uses.
470. try - 8 uses.
471. dust - 8 uses.
472. reason - 8 uses.
473. guns - 8 uses.
474. point - 8 uses.
475. fucking - 8 uses.
476. bitch - 8 uses.
477. being - 8 uses.
478. earth - 8 uses.
479. iro-bot - 8 uses.
480. ambellina - 8 uses.
481. prise - 8 uses.
482. blah - 8 uses.
483. lifes - 8 uses.
484. tease - 8 uses.
485. reach - 8 uses.
486. suffering - 8 uses.
487. deeper - 8 uses.
488. wouldve - 8 uses.
489. broke - 7 uses.
490. mark - 7 uses.
491. feathers - 7 uses.
492. mama - 7 uses.
493. embrace - 7 uses.
494. minute - 7 uses.
495. towards - 7 uses.
496. bottom - 7 uses.
497. press - 7 uses.
498. decide - 7 uses.
499. else - 7 uses.
500. shared - 7 uses.
501. arm - 7 uses.
502. searching - 7 uses.
503. tired - 7 uses.
504. dreaming - 7 uses.
505. fucked - 7 uses.
506. loving - 7 uses.
507. turned - 7 uses.
508. receive - 7 uses.
509. eventually - 7 uses.
510. apologies - 7 uses.
511. rabbit - 7 uses.
512. juggernaut - 7 uses.
513. line - 7 uses.
514. cool - 7 uses.
515. everyone - 7 uses.
516. holds - 7 uses.
517. breathe - 7 uses.
518. power - 7 uses.
519. absence - 7 uses.
520. ghosts - 7 uses.
521. falling - 7 uses.
522. haha - 7 uses.
523. seem - 7 uses.
524. regrets - 7 uses.
525. died - 7 uses.
526. spent - 7 uses.
527. tight - 7 uses.
528. innocence - 7 uses.
529. high - 7 uses.
530. mercy - 7 uses.
531. coffin - 7 uses.
532. speak - 7 uses.
533. ten - 7 uses.
534. speed - 7 uses.
535. wouldnt - 7 uses.
536. taste - 7 uses.
537.  - 7 uses.
538. nightmare - 7 uses.
539. float - 7 uses.
540. echoes - 7 uses.
541. full - 7 uses.
542. grace - 7 uses.
543. spills - 7 uses.
544. stranger - 7 uses.
545. hooded - 7 uses.
546. getting - 7 uses.
547. digging - 7 uses.
548. snake - 7 uses.
549. difference - 7 uses.
550. matthew - 7 uses.
551. wishes - 7 uses.
552. wings - 7 uses.
553. hiding - 7 uses.
554. enemies - 7 uses.
555. style - 7 uses.
556. distance - 6 uses.
557. songs - 6 uses.
558. hidden - 6 uses.
559. wall - 6 uses.
560. spend - 6 uses.
561. bone - 6 uses.
562. longing - 6 uses.
563. matters - 6 uses.
564. chest - 6 uses.
565. torn - 6 uses.
566. poor - 6 uses.
567. year - 6 uses.
568. catch - 6 uses.
569. paid - 6 uses.
570. questions - 6 uses.
571. first - 6 uses.
572. kept - 6 uses.
573. walked - 6 uses.
574. cracked - 6 uses.
575. regret - 6 uses.
576. fix - 6 uses.
577. cried - 6 uses.
578. scars - 6 uses.
579. disaster - 6 uses.
580. guess - 6 uses.
581. stage - 6 uses.
582. misery - 6 uses.
583. mariah - 6 uses.
584. space - 6 uses.
585. meets - 6 uses.
586. father - 6 uses.
587. hello - 6 uses.
588. front - 6 uses.
589. parts - 6 uses.
590. mend - 6 uses.
591. elf - 6 uses.
592. mistake - 6 uses.
593. lead - 6 uses.
594. surprise - 6 uses.
595. three - 6 uses.
596. ours - 6 uses.
597. easy - 6 uses.
598. within - 6 uses.
599. stain - 6 uses.
600. angel - 6 uses.
601. ugly - 6 uses.
602. corner - 6 uses.
603. absolute - 6 uses.
604. message - 6 uses.
605. shed - 6 uses.
606. since - 6 uses.
607. luck - 6 uses.
608. guilt - 6 uses.
609. sin - 6 uses.
610. void - 6 uses.
611. raise - 6 uses.
612. toy - 6 uses.
613. ready - 6 uses.
614. skeletons - 6 uses.
615. hurts - 6 uses.
616. winter - 6 uses.
617. beats - 6 uses.
618. buy - 6 uses.
619. making - 6 uses.
620. second - 6 uses.
621. pleasure - 6 uses.
622. beg - 6 uses.
623. werent - 6 uses.
624. ah - 6 uses.
625. lord - 6 uses.
626. hadnt - 6 uses.
627. burned - 6 uses.
628. iv - 6 uses.
629. creatures - 6 uses.
630. defiant - 6 uses.
631. lion - 6 uses.
632. softly - 6 uses.
633. bleeding - 6 uses.
634. known - 6 uses.
635. sore - 6 uses.
636. fade - 6 uses.
637. none - 6 uses.
638. faster - 6 uses.
639. attack - 6 uses.
640. wind - 6 uses.
641. beneath - 6 uses.
642. higher - 6 uses.
643. sayonara - 6 uses.
644. unclear - 6 uses.
645. wave - 6 uses.
646. marry - 6 uses.
647. gracious - 6 uses.
648. hosts - 6 uses.
649. invited - 6 uses.
650. sad - 6 uses.
651. bridge - 6 uses.
652. tunnel - 6 uses.
653. begun - 6 uses.
654. repeats - 5 uses.
655. panic - 5 uses.
656. stare - 5 uses.
657. next - 5 uses.
658. both - 5 uses.
659. stops - 5 uses.
660. top - 5 uses.
661. beat - 5 uses.
662. forward - 5 uses.
663. piece - 5 uses.
664. used - 5 uses.
665. memory - 5 uses.
666. lips - 5 uses.
667. doors - 5 uses.
668. paper - 5 uses.
669. somebody - 5 uses.
670. thinking - 5 uses.
671. smiles - 5 uses.
672. pretend - 5 uses.
673. sos - 5 uses.
674. remain - 5 uses.
675. pretending - 5 uses.
676. push - 5 uses.
677. mhm - 5 uses.
678. fangs - 5 uses.
679. fox - 5 uses.
680. mans - 5 uses.
681. dawn - 5 uses.
682. road - 5 uses.
683. cost - 5 uses.
684. prove - 5 uses.
685. runs - 5 uses.
686. paranoid - 5 uses.
687. understood - 5 uses.
688. confess - 5 uses.
689. ear - 5 uses.
690. page - 5 uses.
691. stayed - 5 uses.
692. frame - 5 uses.
693. staile - 5 uses.
694. nikki - 5 uses.
695. ourselves - 5 uses.
696. swallow - 5 uses.
697. grieve - 5 uses.
698. below - 5 uses.
699. stopping - 5 uses.
700. starting - 5 uses.
701. moments - 5 uses.
702. fool - 5 uses.
703. men - 5 uses.
704. conscience - 5 uses.
705. ohh - 5 uses.
706. hits - 5 uses.
707. sky - 5 uses.
708. systems - 5 uses.
709. sitting - 5 uses.
710. wednesday - 5 uses.
711. favor - 5 uses.
712. behaved - 5 uses.
713. uh - 5 uses.
714. blind - 5 uses.
715. level - 5 uses.
716. seize - 5 uses.
717. loneliness - 5 uses.
718. brothers - 5 uses.
719. gods - 5 uses.
720. fly - 5 uses.
721. leaves - 5 uses.
722. disguise - 5 uses.
723. cares - 5 uses.
724. begin - 5 uses.
725. instead - 5 uses.
726. ways - 5 uses.
727. written - 5 uses.
728. owed - 5 uses.
729. answers - 5 uses.
730. lonely - 5 uses.
731. picture - 5 uses.
732. shore - 5 uses.
733. saver - 5 uses.
734. sworn - 5 uses.
735. selfish - 5 uses.
736. skin - 5 uses.
737. manner - 5 uses.
738. accord - 5 uses.
739. rise - 5 uses.
740. dare - 5 uses.
741. ringing - 5 uses.
742. car - 5 uses.
743. strange - 5 uses.
744. path - 5 uses.
745. comfort - 5 uses.
746. rather - 5 uses.
747. boys - 5 uses.
748. battle - 5 uses.
749. terrible - 5 uses.
750. fast - 5 uses.
751. agree - 5 uses.
752. sweeter - 5 uses.
753. animal - 5 uses.
