Most used words by Cold War Kids: 
Number of songs scanned: 128

1. down - 146 uses.
2. love - 119 uses.
3. night - 90 uses.
4. let - 88 uses.
5. feel - 84 uses.
6. never - 75 uses.
7. away - 71 uses.
8. waiting - 64 uses.
9. yours - 61 uses.
10. around - 59 uses.
11. here - 54 uses.
12. tell - 50 uses.
13. back - 50 uses.
14. take - 50 uses.
15. about - 49 uses.
16. mind - 49 uses.
17. keep - 47 uses.
18. always - 44 uses.
19. through - 43 uses.
20. right - 42 uses.
21. eyes - 42 uses.
22. give - 42 uses.
23. light - 41 uses.
24. think - 40 uses.
25. life - 39 uses.
26. air - 38 uses.
27. hear - 38 uses.
28. again - 37 uses.
29. every - 37 uses.
30. times - 36 uses.
31. walk - 36 uses.
32. going - 36 uses.
33. over - 36 uses.
34. even - 35 uses.
35. ever - 35 uses.
36. run - 35 uses.
37. same - 34 uses.
38. something - 34 uses.
39. believe - 34 uses.
40. need - 34 uses.
41. only - 33 uses.
42. lost - 32 uses.
43. nothing - 31 uses.
44. gone - 30 uses.
45. baby - 30 uses.
46. stay - 28 uses.
47. face - 28 uses.
48. good - 28 uses.
49. friends - 28 uses.
50. show - 28 uses.
51. wait - 27 uses.
52. old - 26 uses.
53. live - 26 uses.
54. help - 26 uses.
55. fall - 25 uses.
56. everything - 25 uses.
57. hold - 25 uses.
58. things - 25 uses.
59. stop - 25 uses.
60. tonight - 24 uses.
61. already - 24 uses.
62. feeling - 24 uses.
63. head - 24 uses.
64. song - 24 uses.
65. both - 23 uses.
66. alone - 23 uses.
67. mine - 22 uses.
68. care - 22 uses.
69. before - 22 uses.
70. much - 22 uses.
71. please - 22 uses.
72. ooh - 22 uses.
73. regret - 22 uses.
74. wrong - 21 uses.
75. change - 21 uses.
76. home - 21 uses.
77. lets - 21 uses.
78. world - 21 uses.
79. looking - 20 uses.
80. hang - 20 uses.
81. talk - 20 uses.
82. break - 20 uses.
83. thing - 20 uses.
84. long - 20 uses.
85. heart - 20 uses.
86. exhausted - 20 uses.
87. romance - 20 uses.
88. while - 20 uses.
89. fine - 20 uses.
90. another - 20 uses.
91. someone - 20 uses.
92. put - 20 uses.
93. feet - 19 uses.
94. enough - 19 uses.
95. side - 19 uses.
96. first - 19 uses.
97. lord - 19 uses.
98. dirt - 19 uses.
99. sleep - 19 uses.
100. sit - 19 uses.
101. really - 19 uses.
102. open - 19 uses.
103. matter - 19 uses.
104. fire - 18 uses.
105. try - 18 uses.
106. slow - 18 uses.
107. reason - 18 uses.
108. hands - 18 uses.
109. black - 18 uses.
110. words - 18 uses.
111. watch - 18 uses.
112. dreams - 18 uses.
113. reach - 18 uses.
114. changed - 18 uses.
115. alright - 17 uses.
116. new - 17 uses.
117. high - 17 uses.
118. morning - 17 uses.
119. easy - 17 uses.
120. sweet - 17 uses.
121. aeon - 17 uses.
122. tied - 16 uses.
123. restless - 16 uses.
124. free - 16 uses.
125. touch - 16 uses.
126. falling - 16 uses.
127. lose - 16 uses.
128. lay - 16 uses.
129. hand - 16 uses.
130. smile - 16 uses.
131. acting - 16 uses.
132. somebody - 16 uses.
133. room - 16 uses.
134. forever - 15 uses.
135. story - 15 uses.
136. broke - 15 uses.
137. between - 15 uses.
138. name - 15 uses.
139. sun - 15 uses.
140. own - 15 uses.
141. save - 15 uses.
142. boys - 15 uses.
143. mercy - 15 uses.
144. miss - 15 uses.
145. gets - 15 uses.
146. till - 15 uses.
147. blue - 15 uses.
148. real - 15 uses.
149. fight - 14 uses.
150. best - 14 uses.
151. ways - 14 uses.
152. follow - 14 uses.
153. dream - 14 uses.
154. place - 14 uses.
155. far - 14 uses.
156. broken - 14 uses.
157. invincible - 14 uses.
158. stand - 14 uses.
159. other - 14 uses.
160. true - 14 uses.
161. little - 14 uses.
162. inside - 14 uses.
163. speak - 14 uses.
164. cold - 14 uses.
165. awake - 14 uses.
166. must - 14 uses.
167. thought - 14 uses.
168. should - 14 uses.
169. oh-oh - 14 uses.
170. wish - 14 uses.
171. arms - 14 uses.
172. wonder - 13 uses.
173. comes - 13 uses.
174. feelings - 13 uses.
175. red - 13 uses.
176. talking - 13 uses.
177. sky - 13 uses.
178. happens - 13 uses.
179. door - 13 uses.
180. close - 13 uses.
181. sweep - 13 uses.
182. years - 13 uses.
183. caught - 13 uses.
184. kids - 13 uses.
185. drink - 13 uses.
186. makes - 13 uses.
187. gave - 13 uses.
188. cry - 13 uses.
