Most used words by Cosmo's Midnight: 
Number of songs scanned: 27

1. dig - 74 uses.
2. low - 53 uses.
3. keep - 51 uses.
4. baby - 41 uses.
5. feel - 38 uses.
6. mind - 37 uses.
7. love - 35 uses.
8. take - 31 uses.
9. back - 31 uses.
10. talk - 28 uses.
11. enough - 27 uses.
12. waiting - 27 uses.
13. let - 26 uses.
14. lowkey - 26 uses.
15. never - 24 uses.
16. think - 23 uses.
17. better - 23 uses.
18. tell - 22 uses.
19. stay - 22 uses.
20. ooh - 22 uses.
21. something - 22 uses.
22. night - 20 uses.
23. wed - 20 uses.
24. lets - 19 uses.
25. feeling - 19 uses.
26. body - 19 uses.
27. much - 19 uses.
28. nice - 18 uses.
29. ay - 18 uses.
30. down - 17 uses.
31. feelin - 17 uses.
32. bad - 17 uses.
33. okay - 17 uses.
34. gotta - 16 uses.
35. chance - 16 uses.
36. caught - 16 uses.
37. next - 16 uses.
38. good - 15 uses.
39. lying - 15 uses.
40. easy - 14 uses.
41. over - 14 uses.
42. asking - 14 uses.
43. outside - 14 uses.
44. dream - 14 uses.
45. feelings - 13 uses.
46. always - 13 uses.
47. before - 13 uses.
48. really - 12 uses.
49. here - 12 uses.
50. heart - 12 uses.
51. around - 12 uses.
52. millionth - 12 uses.
53. holding - 12 uses.
54. moment - 11 uses.
55. guess - 11 uses.
56. idaho - 11 uses.
57. told - 11 uses.
58. turned - 11 uses.
59. history - 11 uses.
60. boy - 11 uses.
61. onto - 11 uses.
62. shaking - 10 uses.
63. bout - 10 uses.
64. though - 10 uses.
65. whats - 10 uses.
66. matter - 10 uses.
67. satisfy - 10 uses.
68. right - 9 uses.
69. world - 9 uses.
70. everything - 9 uses.
71. hey - 9 uses.
72. nothing - 9 uses.
73. home - 9 uses.
74. fuck - 9 uses.
75. thinking - 8 uses.
76. figure - 8 uses.
77. coming - 8 uses.
78. space - 8 uses.
79. should - 8 uses.
80. together - 8 uses.
81. forever - 8 uses.
82. tripping - 8 uses.
83. went - 8 uses.
84. put - 8 uses.
85. through - 8 uses.
86. tryna - 8 uses.
87. shit - 8 uses.
88. fact - 8 uses.
89. unpack - 8 uses.
90. felt - 8 uses.
91. hide - 8 uses.
92. cannot - 8 uses.
93. between - 8 uses.
94. snare - 8 uses.
95. seen - 8 uses.
96. turn - 7 uses.
97. girl - 7 uses.
98. hesitate - 7 uses.
99. plate - 7 uses.
100. hold - 7 uses.
101. start - 7 uses.
102. fool - 7 uses.
103. feels - 7 uses.
104. try - 7 uses.
105. until - 7 uses.
106. text - 7 uses.
107. goodbye - 7 uses.
108. water - 7 uses.
109. flow - 7 uses.
110. upstream - 7 uses.
111. mountains - 7 uses.
112. divine - 7 uses.
113. things - 6 uses.
114. lost - 6 uses.
115. going - 6 uses.
116. recall - 6 uses.
117. end - 6 uses.
118. real - 6 uses.
119. maybe - 6 uses.
120. new - 6 uses.
121. cold - 6 uses.
122. icy - 6 uses.
