Most used words by Courtney Barnett: 
Number of songs scanned: 64

1. want - 43 uses.
2. tell - 41 uses.
3. wanna - 37 uses.
4. around - 34 uses.
5. never - 33 uses.
6. really - 32 uses.
7. down - 30 uses.
8. thinking - 30 uses.
9. same - 29 uses.
10. keep - 28 uses.
11. happy - 28 uses.
12. here - 27 uses.
13. feel - 25 uses.
14. let - 24 uses.
15. think - 23 uses.
16. anything - 23 uses.
17. even - 22 uses.
18. little - 21 uses.
19. mind - 20 uses.
20. back - 19 uses.
21. eye - 19 uses.
22. over - 19 uses.
23. take - 19 uses.
24. waiting - 19 uses.
25. much - 19 uses.
26. everything - 18 uses.
27. only - 18 uses.
28. need - 17 uses.
29. good - 17 uses.
30. gonna - 17 uses.
31. give - 17 uses.
32. gotta - 16 uses.
33. away - 16 uses.
34. hard - 16 uses.
35. home - 16 uses.
36. mean - 15 uses.
37. listening - 15 uses.
38. trying - 15 uses.
39. maybe - 14 uses.
40. money - 14 uses.
41. still - 14 uses.
42. head - 14 uses.
43. love - 14 uses.
44. nothing - 14 uses.
45. night - 14 uses.
46. sun - 14 uses.
47. song - 14 uses.
48. everyone - 14 uses.
49. before - 13 uses.
50. lot - 13 uses.
51. going - 13 uses.
52. myself - 13 uses.
53. always - 12 uses.
54. change - 12 uses.
55. must - 11 uses.
56. sleep - 11 uses.
57. best - 11 uses.
58. heart - 11 uses.
59. play - 11 uses.
60. mirror - 11 uses.
61. circle - 11 uses.
62. new - 11 uses.
63. breath - 10 uses.
64. pretty - 10 uses.
65. easy - 10 uses.
66. guess - 10 uses.
67. room - 10 uses.
68. thing - 10 uses.
69. seems - 10 uses.
70. should - 10 uses.
71. theyre - 10 uses.
72. very - 10 uses.
73. name - 10 uses.
74. stop - 10 uses.
75. having - 10 uses.
76. put - 10 uses.
77. finished - 10 uses.
78. things - 9 uses.
79. through - 9 uses.
80. jump - 9 uses.
81. better - 9 uses.
82. doing - 9 uses.
83. face - 9 uses.
84. every - 9 uses.
85. again - 9 uses.
86. repeat - 9 uses.
87. where - 9 uses.
88. getting - 9 uses.
89. alone - 9 uses.
90. hear - 8 uses.
91. unkind - 8 uses.
92. door - 8 uses.
93. somewhere - 8 uses.
94. long - 8 uses.
95. talk - 8 uses.
96. sit - 8 uses.
97. girl - 8 uses.
98. told - 8 uses.
99. friends - 8 uses.
100. anymore - 8 uses.
101. couldnt - 8 uses.
102. own - 8 uses.
103. learn - 8 uses.
104. start - 8 uses.
105. mine - 8 uses.
106. friend - 8 uses.
107. troubles - 8 uses.
108. beyond - 8 uses.
109. probably - 8 uses.
110. another - 8 uses.
111. least - 8 uses.
112. breathing - 8 uses.
113. wouldnt - 7 uses.
114. lost - 7 uses.
115. between - 7 uses.
116. drink - 7 uses.
117. days - 7 uses.
118. promise - 7 uses.
119. everybody - 7 uses.
120. stay - 7 uses.
121. kind - 7 uses.
122. sick - 7 uses.
123. life - 7 uses.
124. house - 7 uses.
125. takes - 7 uses.
126. hair - 7 uses.
127. changes - 7 uses.
128. dark - 7 uses.
129. leave - 7 uses.
130. along - 7 uses.
131. dreaming - 7 uses.
132. mother - 7 uses.
133. morning - 7 uses.
134. bring - 7 uses.
135. hate - 7 uses.
