Most used words by Creeper: 
Number of songs scanned: 55

1. night - 68 uses.
2. love - 67 uses.
3. feel - 53 uses.
4. die - 43 uses.
5. never - 40 uses.
6. life - 40 uses.
7. friends - 37 uses.
8. lie - 36 uses.
9. heart - 35 uses.
10. lets - 35 uses.
11. down - 31 uses.
12. below - 31 uses.
13. live - 30 uses.
14. world - 27 uses.
15. alone - 27 uses.
16. away - 26 uses.
17. blue - 26 uses.
18. fall - 26 uses.
19. dead - 25 uses.
20. about - 24 uses.
21. dream - 23 uses.
22. end - 23 uses.
23. low - 23 uses.
24. through - 22 uses.
25. tell - 22 uses.
26. again - 22 uses.
27. sleep - 22 uses.
28. under - 21 uses.
29. kiss - 21 uses.
30. every - 21 uses.
31. days - 20 uses.
32. boys - 20 uses.
33. young - 20 uses.
34. dark - 20 uses.
35. hey - 19 uses.
36. let - 19 uses.
37. light - 19 uses.
38. years - 19 uses.
39. hand - 19 uses.
40. because - 19 uses.
41. youd - 18 uses.
42. christmas - 18 uses.
43. pretty - 18 uses.
44. awake - 18 uses.
45. hell - 18 uses.
46. youth - 18 uses.
47. darling - 17 uses.
48. baby - 17 uses.
49. here - 17 uses.
50. take - 17 uses.
51. while - 17 uses.
52. cold - 16 uses.
53. such - 15 uses.
54. drink - 15 uses.
55. death - 15 uses.
56. ever - 15 uses.
57. nothing - 15 uses.
58. woah - 15 uses.
59. think - 15 uses.
60. wish - 15 uses.
61. right - 15 uses.
62. nights - 15 uses.
63. running - 15 uses.
64. hold - 15 uses.
65. name - 14 uses.
66. ghost - 14 uses.
67. eyes - 14 uses.
68. hands - 14 uses.
69. bed - 14 uses.
70. sick - 14 uses.
71. heaven - 14 uses.
72. home - 13 uses.
73. disappear - 13 uses.
74. together - 13 uses.
75. war - 13 uses.
76. violence - 13 uses.
77. dying - 13 uses.
78. rain - 13 uses.
79. things - 13 uses.
80. born - 13 uses.
81. comes - 13 uses.
82. last - 12 uses.
83. midnight - 12 uses.
84. those - 12 uses.
85. hair - 12 uses.
86. left - 12 uses.
87. apart - 12 uses.
88. fade - 12 uses.
89. suzanne - 12 uses.
90. bedroom - 12 uses.
91. hexed - 12 uses.
92. hangout - 12 uses.
93. kill - 11 uses.
94. bad - 11 uses.
95. head - 11 uses.
96. whats - 11 uses.
97. back - 11 uses.
98. myself - 11 uses.
99. give - 11 uses.
100. god - 11 uses.
101. moon - 11 uses.
102. burn - 11 uses.
103. boy - 11 uses.
104. river - 11 uses.
105. lost - 11 uses.
106. slept - 11 uses.
107. hurt - 11 uses.
108. try - 11 uses.
109. hiding - 11 uses.
110. until - 10 uses.
111. holding - 10 uses.
112. break - 10 uses.
113. without - 10 uses.
114. remember - 10 uses.
115. forever - 10 uses.
116. alive - 10 uses.
117. black - 10 uses.
118. upon - 10 uses.
119. spite - 10 uses.
120. taste - 10 uses.
121. else - 10 uses.
122. little - 10 uses.
123. ago - 10 uses.
124. loving - 10 uses.
125. killing - 10 uses.
126. saw - 9 uses.
127. over - 9 uses.
128. always - 9 uses.
129. forget - 9 uses.
130. old - 9 uses.
131. start - 9 uses.
132. stay - 9 uses.
133. everything - 9 uses.
134. inside - 9 uses.
135. snow - 9 uses.
136. kids - 9 uses.
137. meet - 9 uses.
138. good - 9 uses.
139. pain - 9 uses.
