Most used words by DOPE LEMON: 
Number of songs scanned: 36

1. love - 66 uses.
2. girl - 52 uses.
3. baby - 49 uses.
4. down - 44 uses.
5. back - 40 uses.
6. round - 39 uses.
7. lets - 34 uses.
8. little - 33 uses.
9. enough - 30 uses.
10. keep - 26 uses.
11. roll - 25 uses.
12. honey - 23 uses.
13. need - 23 uses.
14. alright - 22 uses.
15. through - 21 uses.
16. here - 21 uses.
17. feel - 20 uses.
18. take - 20 uses.
19. best - 20 uses.
20. things - 19 uses.
21. mind - 19 uses.
22. around - 18 uses.
23. forget - 18 uses.
24. worry - 18 uses.
25. night - 17 uses.
26. town - 17 uses.
27. hey - 17 uses.
28. ya - 16 uses.
29. heart - 16 uses.
30. aha - 16 uses.
31. shake - 16 uses.
32. mm - 15 uses.
33. give - 15 uses.
34. bones - 15 uses.
35. sometimes - 15 uses.
36. everything - 15 uses.
37. again - 14 uses.
38. smoke - 14 uses.
39. float - 14 uses.
40. fallin - 13 uses.
41. ah - 13 uses.
42. streets - 13 uses.
43. fuck - 13 uses.
44. very - 13 uses.
45. garden - 13 uses.
46. dope - 12 uses.
47. sweet - 12 uses.
48. woman - 12 uses.
49. away - 12 uses.
50. never - 12 uses.
51. feels - 12 uses.
52. peaches - 12 uses.
53. cream - 12 uses.
54. pay - 12 uses.
55. folks - 12 uses.
56. over - 11 uses.
57. drink - 11 uses.
58. big - 11 uses.
59. peachy - 11 uses.
60. feeling - 11 uses.
61. salt - 11 uses.
62. right - 11 uses.
63. eyes - 11 uses.
64. shell - 11 uses.
65. dripping - 11 uses.
66. uptown - 11 uses.
67. wild - 10 uses.
68. blue - 10 uses.
69. pepper - 10 uses.
70. life - 10 uses.
71. gotta - 9 uses.
72. long - 9 uses.
73. while - 9 uses.
74. phone - 9 uses.
75. about - 9 uses.
76. sugar - 9 uses.
77. key - 9 uses.
78. leave - 9 uses.
79. brain - 9 uses.
80. yours - 9 uses.
81. goin - 9 uses.
82. falling - 8 uses.
83. going - 8 uses.
84. move - 8 uses.
85. home - 8 uses.
86. comes - 8 uses.
87. ground - 8 uses.
88. huhhuhhuuhhhuuhhuuh - 8 uses.
89. hear - 8 uses.
90. die - 8 uses.
91. smooth - 8 uses.
92. river - 8 uses.
93. let - 8 uses.
94. ohhh - 8 uses.
95. whats - 8 uses.
96. cocaine - 8 uses.
97. says - 8 uses.
98. hmm - 7 uses.
99. breaking - 7 uses.
100. hill - 7 uses.
101. dance - 7 uses.
102. light - 7 uses.
103. old - 7 uses.
104. coming - 7 uses.
105. something - 7 uses.
106. every - 7 uses.
107. only - 7 uses.
108. good - 7 uses.
109. high - 7 uses.
110. lonely - 7 uses.
111. doin - 7 uses.
112. song - 7 uses.
113. kids - 6 uses.
114. everybody - 6 uses.
115. floor - 6 uses.
116. cold - 6 uses.
117. fine - 6 uses.
118. dancing - 6 uses.
119. those - 6 uses.
120. charlie - 6 uses.
121. brown - 6 uses.
122. always - 6 uses.
123. gold - 6 uses.
124. world - 6 uses.
125. everyday - 6 uses.
126. coyote - 6 uses.
127. spend - 6 uses.
128. maybe - 6 uses.
129. stars - 6 uses.
130. boys - 6 uses.
131. paradise - 6 uses.
132. fling - 6 uses.
133. holiday - 6 uses.
134. nobody - 6 uses.
135. ooh - 5 uses.
136. called - 5 uses.
137. okay - 5 uses.
138. calling - 5 uses.
139. looking - 5 uses.
140. cheeky - 5 uses.
141. takes - 5 uses.
142. jump - 5 uses.
143. clean - 5 uses.
144. hounds - 5 uses.
145. times - 5 uses.
146. days - 5 uses.
147. bartender - 5 uses.
148. forever - 5 uses.
149. keeps - 5 uses.
150. across - 5 uses.
151. place - 5 uses.
152. lovers - 5 uses.
153. left - 5 uses.
154. riding - 5 uses.
155. wine - 5 uses.
156. much - 5 uses.
157. broken - 5 uses.
158. indeed - 5 uses.
159. feet - 5 uses.
160. someone - 5 uses.
161. tagged - 5 uses.
162. talk - 5 uses.
163. oo - 5 uses.
164. live - 5 uses.
165. cat - 5 uses.
166. tell - 4 uses.
167. felt - 4 uses.
168. crazy - 4 uses.
169. smile - 4 uses.
170. seen - 4 uses.
171. bar - 4 uses.
172. walk - 4 uses.
173. road - 4 uses.
174. wheels - 4 uses.
175. spinning - 4 uses.
176. babe - 4 uses.
177. tooth - 4 uses.
178. talking - 4 uses.
179. does - 4 uses.
180. chase - 4 uses.
181. strong - 4 uses.
182. taste - 4 uses.
183. stingray - 4 uses.
184. pete - 4 uses.
185. swimming - 4 uses.
186. stream - 4 uses.
187. young - 4 uses.
188. ride - 4 uses.
189. tonight - 4 uses.
190. fool - 4 uses.
191. soon - 4 uses.
192. ever - 4 uses.
193. fall - 4 uses.
194. room - 4 uses.
195. think - 4 uses.
196. sun - 4 uses.
197. lemons - 4 uses.
198. sweeter - 4 uses.
199. dimes - 4 uses.
200. ahh - 4 uses.
201. work - 4 uses.
202. car - 4 uses.
203. bag - 4 uses.
204. sky - 4 uses.
205. wind - 4 uses.
206. toe - 4 uses.
207. gun - 4 uses.
208. blazing - 4 uses.
209. fools - 4 uses.
210. row - 4 uses.
211. somebody - 4 uses.
212. loud - 4 uses.
213. happiness - 4 uses.
214. yourself - 4 uses.
215. proud - 4 uses.
216. turn - 4 uses.
217. late - 4 uses.
218. chance - 4 uses.
219. waste - 4 uses.
220. second - 4 uses.
221. havent - 3 uses.
222. thing - 3 uses.
223. morning - 3 uses.
224. walking - 3 uses.
225. put - 3 uses.
226. street - 3 uses.
227. getting - 3 uses.
228. slow - 3 uses.
229. window - 3 uses.
230. record - 3 uses.
231. bright - 3 uses.
232. flame - 3 uses.
233. dusty - 3 uses.
234. wah - 3 uses.
235. low - 3 uses.
236. dying - 3 uses.
237. waiting - 3 uses.
238. cross - 3 uses.
239. velvet - 3 uses.
240. face - 3 uses.
241. waking - 3 uses.
242. wanted - 3 uses.
