Most used words by Dance Gavin Dance: 
Number of songs scanned: 126

1. back - 181 uses.
2. down - 144 uses.
3. let - 125 uses.
4. never - 125 uses.
5. take - 120 uses.
6. feel - 117 uses.
7. need - 116 uses.
8. believe - 102 uses.
9. right - 97 uses.
10. away - 93 uses.
11. love - 90 uses.
12. think - 78 uses.
13. over - 76 uses.
14. stop - 73 uses.
15. through - 70 uses.
16. fucking - 70 uses.
17. give - 69 uses.
18. mind - 67 uses.
19. keep - 66 uses.
20. around - 65 uses.
21. head - 59 uses.
22. little - 59 uses.
23. baby - 59 uses.
24. about - 59 uses.
25. hey - 58 uses.
26. stay - 58 uses.
27. inside - 57 uses.
28. feeling - 55 uses.
29. here - 55 uses.
30. turn - 55 uses.
31. eyes - 54 uses.
32. tell - 53 uses.
33. coming - 52 uses.
34. before - 50 uses.
35. alone - 49 uses.
36. only - 49 uses.
37. girl - 49 uses.
38. shit - 47 uses.
39. life - 47 uses.
40. wait - 47 uses.
41. even - 47 uses.
42. lets - 46 uses.
43. nothing - 46 uses.
44. always - 46 uses.
45. world - 45 uses.
46. night - 45 uses.
47. face - 45 uses.
48. again - 44 uses.
49. blow - 43 uses.
50. friends - 43 uses.
51. own - 41 uses.
52. ever - 41 uses.
53. wrong - 39 uses.
54. same - 39 uses.
55. something - 39 uses.
56. under - 39 uses.
57. people - 38 uses.
58. best - 38 uses.
59. hope - 38 uses.
60. long - 38 uses.
61. god - 38 uses.
62. hand - 38 uses.
63. really - 38 uses.
64. good - 37 uses.
65. myself - 37 uses.
66. body - 37 uses.
67. every - 36 uses.
68. show - 36 uses.
69. left - 36 uses.
70. blood - 35 uses.
71. line - 35 uses.
72. another - 35 uses.
73. everything - 35 uses.
74. thought - 35 uses.
75. break - 35 uses.
76. ass - 35 uses.
77. home - 33 uses.
78. stuck - 33 uses.
79. bring - 33 uses.
80. put - 33 uses.
81. until - 33 uses.
82. run - 32 uses.
83. those - 32 uses.
84. forget - 32 uses.
85. place - 32 uses.
86. please - 32 uses.
87. gotta - 32 uses.
88. end - 32 uses.
89. touch - 31 uses.
90. fight - 31 uses.
91. fall - 31 uses.
92. going - 30 uses.
93. better - 30 uses.
94. til - 30 uses.
95. sleep - 29 uses.
96. gone - 29 uses.
97. cold - 29 uses.
98. die - 28 uses.
99. try - 28 uses.
100. should - 28 uses.
101. lost - 28 uses.
102. fear - 28 uses.
103. care - 28 uses.
104. done - 27 uses.
105. breathe - 27 uses.
106. kiss - 27 uses.
107. because - 26 uses.
108. dead - 26 uses.
109. tonight - 26 uses.
110. whats - 26 uses.
111. yourself - 26 uses.
112. maybe - 26 uses.
113. start - 26 uses.
114. guy - 26 uses.
115. lie - 26 uses.
116. matter - 26 uses.
117. hold - 25 uses.
118. new - 25 uses.
119. live - 25 uses.
120. pain - 25 uses.
121. alive - 25 uses.
122. open - 25 uses.
123. enough - 25 uses.
124. leave - 25 uses.
125. light - 25 uses.
126. far - 25 uses.
127. young - 25 uses.
128. goodbye - 25 uses.
129. words - 24 uses.
130. yo - 24 uses.
131. money - 24 uses.
132. lies - 23 uses.
133. soul - 23 uses.
134. mouth - 23 uses.
135. hang - 23 uses.
136. step - 23 uses.
137. wake - 23 uses.
138. guess - 23 uses.
139. follow - 23 uses.
140. comes - 22 uses.
141. hide - 22 uses.
142. bitch - 22 uses.
143. sound - 22 uses.
144. hard - 22 uses.
145. last - 22 uses.
146. talk - 22 uses.
147. trust - 22 uses.
148. nice - 22 uses.
149. weve - 22 uses.
150. slow - 21 uses.
151. watch - 21 uses.
152. bed - 21 uses.
153. brain - 21 uses.
154. together - 21 uses.
155. waiting - 21 uses.
156. move - 21 uses.
157. doesnt - 21 uses.
158. caught - 20 uses.
159. fine - 20 uses.
160. damn - 20 uses.
161. hear - 20 uses.
162. act - 20 uses.
163. much - 20 uses.
164. phone - 20 uses.
165. save - 20 uses.
166. real - 20 uses.
167. fade - 20 uses.
168. s - 20 uses.
169. perfect - 19 uses.
170. without - 19 uses.
171. wouldnt - 19 uses.
172. fuck - 19 uses.
173. faces - 19 uses.
174. things - 19 uses.
175. meet - 19 uses.
176. falling - 19 uses.
177. lose - 19 uses.
178. blame - 19 uses.
179. else - 19 uses.
180. couldnt - 18 uses.
181. fake - 18 uses.
182. heart - 18 uses.
183. hate - 18 uses.
184. ends - 18 uses.
185. making - 18 uses.
186. felt - 18 uses.
187. repeat - 18 uses.
188. wanted - 18 uses.
189. decide - 18 uses.
190. nobody - 18 uses.
191. used - 18 uses.
192. white - 17 uses.
193. waste - 17 uses.
194. taste - 17 uses.
195. high - 17 uses.
196. sex - 17 uses.
197. ones - 17 uses.
198. other - 17 uses.
199. hair - 17 uses.
200. remember - 17 uses.
201. feels - 17 uses.
202. cut - 17 uses.
203. sure - 17 uses.
204. file - 17 uses.
205. past - 17 uses.
206. empty - 17 uses.
207. trying - 16 uses.
208. happen - 16 uses.
209. full - 16 uses.
210. thinking - 16 uses.
211. play - 16 uses.
212. grow - 16 uses.
213. old - 16 uses.
214. gold - 16 uses.
215. alright - 16 uses.
216. cabinet - 16 uses.
217. youd - 16 uses.
218. getting - 16 uses.
219. drop - 16 uses.
220. lucky - 16 uses.
221. looking - 15 uses.
222. bit - 15 uses.
223. close - 15 uses.
224. meaning - 15 uses.
225. such - 15 uses.
226. lot - 15 uses.
227. beg - 15 uses.
228. while - 15 uses.
229. become - 15 uses.
230. drink - 15 uses.
231. side - 15 uses.
232. gave - 15 uses.
233. paid - 15 uses.
234. bones - 15 uses.
235. future - 15 uses.
236. fire - 15 uses.
237. thing - 15 uses.
238. song - 15 uses.
239. feelings - 15 uses.
240. stick - 15 uses.
241. yai - 15 uses.
242. fun - 14 uses.
243. moment - 14 uses.
244. truth - 14 uses.
245. eat - 14 uses.
246. mine - 14 uses.
247. lungs - 14 uses.
248. fly - 14 uses.
249. weight - 14 uses.
250. plan - 14 uses.
251. pretty - 14 uses.
252. times - 14 uses.
253. cuz - 14 uses.
254. lay - 14 uses.
255. car - 14 uses.
256. apart - 14 uses.
257. self - 14 uses.
258. change - 14 uses.
259. mess - 14 uses.
260. everyone - 14 uses.
261. victims - 14 uses.
262. platemail - 14 uses.
263. came - 14 uses.
264. war - 14 uses.
265. doo-doo-doo - 14 uses.
266. forgot - 14 uses.
267. wish - 13 uses.
268. thoughts - 13 uses.
269. friend - 13 uses.
270. wonder - 13 uses.
271. battle - 13 uses.
272. read - 13 uses.
273. shame - 13 uses.
274. being - 13 uses.
275. second - 13 uses.
276. sit - 13 uses.
277. deserve - 13 uses.
278. catch - 13 uses.
279. eye - 13 uses.
280. okay - 13 uses.
281. tried - 13 uses.
282. pride - 13 uses.
283. top - 13 uses.
284. drunk - 13 uses.
285. bother - 13 uses.
286. memories - 13 uses.
287. hi - 13 uses.
288. lonely - 13 uses.
289. speak - 12 uses.
290. hit - 12 uses.
291. numb - 12 uses.
292. lying - 12 uses.
293. sky - 12 uses.
294. lives - 12 uses.
295. lights - 12 uses.
296. doused - 12 uses.
297. doing - 12 uses.
298. forth - 12 uses.
299. first - 12 uses.
300. ground - 12 uses.
301. great - 12 uses.
302. tie - 12 uses.
303. loved - 12 uses.
304. sick - 12 uses.
305. suck - 12 uses.
306. knew - 12 uses.
307. once - 12 uses.
308. anything - 12 uses.
309. behind - 12 uses.
310. stashed - 12 uses.
311. dream - 12 uses.
312. taking - 12 uses.
313. heal - 12 uses.
314. oh-oh - 12 uses.
315. ooh - 12 uses.
316. since - 12 uses.
317. running - 12 uses.
318. ways - 12 uses.
319. someone - 12 uses.
320. cry - 12 uses.
321. moments - 12 uses.
322. smile - 12 uses.
323. worth - 12 uses.
324. party - 12 uses.
325. doo-doo-doo-doo - 12 uses.
326. notice - 12 uses.
327. needs - 11 uses.
328. duck - 11 uses.
329. filled - 11 uses.
330. hands - 11 uses.
331. town - 11 uses.
332. fix - 11 uses.
333. lately - 11 uses.
334. black - 11 uses.
335. promise - 11 uses.
336. roll - 11 uses.
337. fate - 11 uses.
338. form - 11 uses.
339. beat - 11 uses.
340. help - 11 uses.
341. missed - 11 uses.
342. pretend - 11 uses.
343. living - 11 uses.
344. hell - 11 uses.
345. game - 11 uses.
346. wounds - 11 uses.
347. leaving - 11 uses.
348. hearts - 11 uses.
349. house - 11 uses.
350. born - 11 uses.
351. straight - 11 uses.
352. faith - 11 uses.
353. ice - 11 uses.
354. pop - 11 uses.
355. took - 11 uses.
356. along - 11 uses.
357. child - 11 uses.
358. goes - 11 uses.
359. everybody - 11 uses.
360. raise - 11 uses.
361. drinking - 11 uses.
362. normal - 11 uses.
363. bout - 10 uses.
364. burn - 10 uses.
365. stand - 10 uses.
366. days - 10 uses.
367. ask - 10 uses.
368. both - 10 uses.
369. round - 10 uses.
370. fool - 10 uses.
371. beautiful - 10 uses.
372. wear - 10 uses.
373. shimmy - 10 uses.
374. door - 10 uses.
375. role - 10 uses.
376. turned - 10 uses.
377. holy - 10 uses.
378. listen - 10 uses.
379. fucked - 10 uses.
380. pull - 10 uses.
381. lance - 10 uses.
382. que - 10 uses.
383. ooh-oh-oh - 10 uses.
384. joke - 10 uses.
385. fail - 10 uses.
386. found - 10 uses.
387. rip - 10 uses.
388. wide - 10 uses.
389. listening - 10 uses.
390. ride - 10 uses.
391. name - 10 uses.
392. reasons - 10 uses.
393. makes - 10 uses.
394. doubt - 10 uses.
395. question - 10 uses.
396. cocaine - 10 uses.
397. cringe - 10 uses.
398. fest - 10 uses.
399. soon - 10 uses.
400. clown - 10 uses.
401. pressure - 9 uses.
402. crack - 9 uses.
403. awkward - 9 uses.
404. crazy - 9 uses.
405. fact - 9 uses.
406. fading - 9 uses.
407. red - 9 uses.
408. others - 9 uses.
409. single - 9 uses.
410. anymore - 9 uses.
411. higher - 9 uses.
412. big - 9 uses.
413. bleed - 9 uses.
414. fed - 9 uses.
415. control - 9 uses.
416. religion - 9 uses.
417. survive - 9 uses.
418. underground - 9 uses.
419. clothes - 9 uses.
420. sense - 9 uses.
421. seen - 9 uses.
422. reach - 9 uses.
423. work - 9 uses.
424. tomorrow - 9 uses.
425. glory - 9 uses.
426. story - 9 uses.
427. wasnt - 9 uses.
428. till - 9 uses.
429. parts - 9 uses.
430. rations - 9 uses.
431. blade - 9 uses.
432. te - 9 uses.
433. saying - 9 uses.
434. drowning - 9 uses.
435. somethings - 9 uses.
436. built - 9 uses.
437. threads - 9 uses.
438. bet - 9 uses.
439. forever - 9 uses.
440. faster - 9 uses.
441. blind - 9 uses.
442. drug - 9 uses.
443. rock - 9 uses.
444. smoking - 9 uses.
445. pussy - 9 uses.
446. told - 9 uses.
447. skin - 9 uses.
448. learn - 9 uses.
449. takes - 9 uses.
450. dude - 9 uses.
451. tryin - 9 uses.
452. dashing - 9 uses.
453. bright - 9 uses.
454. climb - 9 uses.
455. cracked - 9 uses.
456. miss - 9 uses.
457. uh - 9 uses.
458. yea - 9 uses.
459. cutting - 8 uses.
460. weed - 8 uses.
461. sad - 8 uses.
462. late - 8 uses.
463. point - 8 uses.
464. version - 8 uses.
465. might - 8 uses.
466. whores - 8 uses.
467. burning - 8 uses.
468. died - 8 uses.
469. settled - 8 uses.
470. fast - 8 uses.
471. wall - 8 uses.
472. pay - 8 uses.
473. em - 8 uses.
474. already - 8 uses.
475. tap - 8 uses.
476. action - 8 uses.
477. fit - 8 uses.
478. reason - 8 uses.
479. staring - 8 uses.
480. strong - 8 uses.
481. theyll - 8 uses.
482. calling - 8 uses.
483. hype - 8 uses.
484. sell - 8 uses.
485. ocean - 8 uses.
486. tongs - 8 uses.
487. willing - 8 uses.
488. towards - 8 uses.
489. rain - 8 uses.
490. stains - 8 uses.
491. ornaments - 8 uses.
492. en - 8 uses.
493. multiple - 8 uses.
494. stab - 8 uses.
495. shine - 8 uses.
496. fist - 8 uses.
497. different - 8 uses.
498. must - 8 uses.
499. sewn - 8 uses.
500. nobodys - 8 uses.
501. jump - 8 uses.
502. slip - 8 uses.
503. prescribe - 8 uses.
504. scar - 8 uses.
505. mistakes - 8 uses.
506. stare - 8 uses.
507. somebody - 8 uses.
508. holding - 8 uses.
509. passing - 8 uses.
510. e - 8 uses.
511. m - 8 uses.
512. road - 8 uses.
513. longer - 8 uses.
514. telling - 8 uses.
515. whether - 8 uses.
516. motherfucker - 8 uses.
517. gettin - 7 uses.
518.  - 7 uses.
519. whose - 7 uses.
520. next - 7 uses.
521. yet - 7 uses.
522. though - 7 uses.
523. underwater - 7 uses.
524. ho - 7 uses.
525. golden - 7 uses.
526. system - 7 uses.
527. between - 7 uses.
528. arms - 7 uses.
529. lines - 7 uses.
530. write - 7 uses.
531. walk - 7 uses.
532. covers - 7 uses.
533. wind - 7 uses.
534. judge - 7 uses.
535. million - 7 uses.
536. boat - 7 uses.
537. dirty - 7 uses.
538. barely - 7 uses.
539. air - 7 uses.
540. stuff - 7 uses.
541. fingers - 7 uses.
542. lips - 7 uses.
543. death - 7 uses.
544. front - 7 uses.
545. five - 7 uses.
546. piece - 7 uses.
547. yours - 7 uses.
548. swear - 7 uses.
549. free - 7 uses.
550. feed - 7 uses.
551. flip - 7 uses.
552. stake - 7 uses.
553. mud - 7 uses.
554. pieces - 7 uses.
555. meager - 7 uses.
556. scared - 7 uses.
557. el - 7 uses.
558. bad - 7 uses.
559. known - 7 uses.
560. kill - 7 uses.
561. shape - 7 uses.
562. drive - 7 uses.
563. hurts - 7 uses.
564. singing - 7 uses.
565. quit - 7 uses.
566. flow - 7 uses.
567. ghost - 7 uses.
568. ha - 7 uses.
569. ohh - 7 uses.
570. animal - 7 uses.
571. dick - 7 uses.
572. jon - 7 uses.
573. wine - 7 uses.
574. job - 7 uses.
575. ourselves - 7 uses.
576. hello - 7 uses.
577. denial - 7 uses.
578. killing - 7 uses.
579. knows - 7 uses.
580. rhythm - 7 uses.
581. picture - 7 uses.
582. clean - 7 uses.
583. stationed - 7 uses.
584. somewhere - 7 uses.
585. throat - 7 uses.
586. mad - 7 uses.
587. glad - 7 uses.
588. wax - 6 uses.
589. disguise - 6 uses.
590. ego - 6 uses.
