Most used words by Danielle Cohn: 
Number of songs scanned: 20

1. love - 74 uses.
2. baby - 60 uses.
3. wave - 46 uses.
4. keep - 45 uses.
5. heart - 35 uses.
6. give - 31 uses.
7. pretty - 29 uses.
8. let - 28 uses.
9. marilyn - 26 uses.
10. monroe - 25 uses.
11. back - 24 uses.
12. bitch - 24 uses.
13. need - 22 uses.
14. lights - 21 uses.
15. better - 21 uses.
16. together - 21 uses.
17. never - 20 uses.
18. ayy - 20 uses.
19. ohh - 20 uses.
20. about - 20 uses.
21. take - 19 uses.
22. ever - 18 uses.
23. lalalalalalala - 18 uses.
24. gotta - 17 uses.
25. dance - 17 uses.
26. here - 17 uses.
27. change - 16 uses.
28. miss - 16 uses.
29. diva - 16 uses.
30. down - 15 uses.
31. night - 15 uses.
32. camera - 15 uses.
33. action - 15 uses.
34. fix - 14 uses.
35. away - 14 uses.
36. singing - 13 uses.
37. without - 13 uses.
38. around - 13 uses.
39. bitches - 13 uses.
40. secreto - 12 uses.
41. boys - 12 uses.
42. million - 11 uses.
43. right - 11 uses.
44. mi - 11 uses.
45. really - 11 uses.
46. babe - 11 uses.
47. long - 11 uses.
48. ya - 11 uses.
49. girl - 11 uses.
50. though - 11 uses.
51. whats - 11 uses.
52. show - 10 uses.
53. somebody - 10 uses.
54. feel - 10 uses.
55. hate - 10 uses.
56. mean - 10 uses.
57. every - 10 uses.
58. stay - 10 uses.
59. new - 9 uses.
60. nobody - 9 uses.
61. something - 9 uses.
62. days - 9 uses.
63. boy - 9 uses.
64. running - 9 uses.
65. always - 9 uses.
66. easy - 9 uses.
67. again - 9 uses.
68. christmas - 9 uses.
69. nothing - 8 uses.
70. mind - 8 uses.
71. worry - 8 uses.
72. tonight - 8 uses.
73. amor - 8 uses.
74. bailando - 8 uses.
75. much - 8 uses.
76. any - 8 uses.
77. throw - 8 uses.
78. hit - 8 uses.
79. lookin - 8 uses.
80. apologize - 8 uses.
81. fucking - 8 uses.
82. caring - 8 uses.
83. before - 8 uses.
84. existed - 8 uses.
85. matter - 8 uses.
86. fiesta - 8 uses.
87. blessed - 8 uses.
88. yo - 8 uses.
89. cold - 8 uses.
90. hurting - 8 uses.
91. while - 8 uses.
92. going - 7 uses.
93. bout - 7 uses.
94. california - 7 uses.
95. little - 7 uses.
96. nothin - 7 uses.
97. ima - 7 uses.
98. girls - 7 uses.
99. shade - 7 uses.
100. summer - 7 uses.
101. unbothered - 7 uses.
102. mine - 7 uses.
103. needed - 7 uses.
104. dani - 7 uses.
105. allowed - 7 uses.
106. even - 7 uses.
107. waste - 7 uses.
108. broken - 6 uses.
109. believe - 6 uses.
110. next - 6 uses.
111. hollywood - 6 uses.
112. wake - 6 uses.
113. york - 6 uses.
114. ride - 6 uses.
115. tell - 6 uses.
116. put - 6 uses.
117. convo - 6 uses.
118. hope - 6 uses.
119. twice - 6 uses.
120. takin - 6 uses.
121. same - 6 uses.
122. lets - 6 uses.
123. break - 6 uses.
124. soy - 6 uses.
125. tu - 6 uses.
126. issa - 6 uses.
127. foreva - 6 uses.
128. thang - 6 uses.
129. searching - 6 uses.
130. como - 6 uses.
131. tryna - 6 uses.
132. click - 6 uses.
133. delete - 6 uses.
134. la-la-la - 6 uses.
135. guess - 5 uses.
136. crazy - 5 uses.
137. party - 5 uses.
138. stop - 5 uses.
139. low - 5 uses.
140. secret - 5 uses.
141. promise - 5 uses.
142. eh - 5 uses.
143. only - 5 uses.
144. done - 5 uses.
145. alright - 5 uses.
146. eyes - 5 uses.
147. enough - 5 uses.
148. talk - 5 uses.
149. ooh-whoa - 5 uses.
150. think - 5 uses.
151. cry - 5 uses.
152. uh - 4 uses.
153. send - 4 uses.
154. thinking - 4 uses.
155. hold - 4 uses.
156. doing - 4 uses.
157. things - 4 uses.
158. whatever - 4 uses.
159. sun - 4 uses.
160. hide - 4 uses.
161. wasnt - 4 uses.
162. thought - 4 uses.
163. oh-oh-oh-oh-oh - 4 uses.
164. fighting - 4 uses.
165. making - 4 uses.
166. clue - 4 uses.
167. life - 4 uses.
168. bailamos - 4 uses.
169. pegaditos - 4 uses.
170. cintura - 4 uses.
171. sin - 4 uses.
172. pararlo - 4 uses.
173. uno - 4 uses.
174. salga - 4 uses.
175. por - 4 uses.
176. sus - 4 uses.
177. lados - 4 uses.
178. mala - 4 uses.
179. que - 4 uses.
180. quieres - 4 uses.
181. mira - 4 uses.
182. necesitas - 4 uses.
183. dejame - 4 uses.
184. comprobar - 4 uses.
185. diamonds - 4 uses.
186. bought - 4 uses.
187. lies - 4 uses.
188. broke - 4 uses.
189. once - 4 uses.
190. wish - 3 uses.
191. sad - 3 uses.
192. second - 3 uses.
193. doctor - 3 uses.
194. surgeon - 3 uses.
195. blind - 3 uses.
196. everybody - 3 uses.
197. grab - 3 uses.
198. sign - 3 uses.
199. tomorrow - 3 uses.
200. try - 3 uses.
201. stick - 3 uses.
202. thing - 3 uses.
203. rush - 3 uses.
204. physical - 3 uses.
205. reaction - 3 uses.
206. gimme - 3 uses.
207. satisfaction - 3 uses.
208. drug - 3 uses.
209. papz - 3 uses.
210. snapping - 3 uses.
211. fashion - 3 uses.
212. flashing - 3 uses.
213. strike - 3 uses.
214. pose - 3 uses.
215. star - 3 uses.
216. outside - 3 uses.
217. december - 3 uses.
218. blame - 3 uses.
219. hurricane - 3 uses.
220. yell - 3 uses.
221. ls - 3 uses.
222. blah - 3 uses.
223. imma - 3 uses.
224. top - 3 uses.
225. hear - 3 uses.
226. big - 3 uses.
227. fuck - 3 uses.
228. regret - 3 uses.
229. fall - 3 uses.
230. head - 3 uses.
231. falling - 3 uses.
232. minute - 3 uses.
233. hour - 3 uses.
234. wasted - 3 uses.
235. gets - 3 uses.
236. cannot - 3 uses.
237. chances - 3 uses.
238. given - 3 uses.
239. tired - 3 uses.
240. forth - 3 uses.
241. till - 3 uses.
242. insane - 3 uses.
243. enraged - 3 uses.
244. mistakes - 3 uses.
245. pick - 3 uses.
246. friends - 3 uses.
247. distance - 3 uses.
248. gon - 3 uses.
249. felt - 3 uses.
250. being - 3 uses.
251. knew - 3 uses.
252. siempre - 3 uses.
253. leave - 3 uses.
254. block - 3 uses.
255. sesame - 3 uses.
256. street - 3 uses.
257. sing - 3 uses.
258. song - 3 uses.
259. decline - 3 uses.
260. quite - 3 uses.
261. list - 3 uses.
262. mistletoe - 3 uses.
263. neon - 3 uses.
264. ours - 3 uses.
265. today - 3 uses.
266. whenever - 3 uses.
267. goes - 2 uses.
268. through - 2 uses.
269. best - 2 uses.
270. seen - 2 uses.
271. getting - 2 uses.
272. cool - 2 uses.
273. amazing - 2 uses.
274. paris - 2 uses.
275. park - 2 uses.
276. side - 2 uses.
277. afraid - 2 uses.
278. moon - 2 uses.
279. beside - 2 uses.
280. hidin - 2 uses.
281. controlled - 2 uses.
282. ready - 2 uses.
283. trying - 2 uses.
284. picture - 2 uses.
285. perfect - 2 uses.
286. beautiful - 2 uses.
287. yes - 2 uses.
288. words - 2 uses.
289. 99 - 2 uses.
290. vibes - 2 uses.
291. haters - 2 uses.
292. flexing - 2 uses.
293. care - 2 uses.
294. ooh - 2 uses.
295. hi - 2 uses.
296. shit - 2 uses.
297. pop - 2 uses.
298. god - 2 uses.
299. face - 2 uses.
300. smile - 2 uses.
301. fake - 2 uses.
302. fire - 2 uses.
303. chasing - 2 uses.
304. drip - 2 uses.
305. own - 2 uses.
306. inside - 2 uses.
307. pink - 2 uses.
308. slide - 2 uses.
309. mad - 2 uses.
310. rules - 2 uses.
311. anything - 2 uses.
312. vibe - 2 uses.
313. drunk - 2 uses.
314. hungover - 2 uses.
315. held - 2 uses.
316. onto - 2 uses.
317. taking - 2 uses.
318. sorry - 2 uses.
319. wanted - 2 uses.
320. señorita - 2 uses.
321. makin - 2 uses.
322. ask - 2 uses.
323. usual - 2 uses.
324. another - 2 uses.
325. binge - 2 uses.
326. watching - 2 uses.
327. sense - 2 uses.
328. listen - 2 uses.
329. please - 2 uses.
330. stand - 2 uses.
331. lately - 2 uses.
332. having - 2 uses.
333. mixed - 2 uses.
334. emotions - 2 uses.
335. wastin - 2 uses.
