Most used words by Dave Hause: 
Number of songs scanned: 74

1. da - 114 uses.
2. down - 102 uses.
3. home - 94 uses.
4. love - 72 uses.
5. little - 57 uses.
6. ba - 57 uses.
7. always - 53 uses.
8. shake - 52 uses.
9. let - 49 uses.
10. take - 43 uses.
11. stay - 40 uses.
12. wild - 40 uses.
13. holy - 36 uses.
14. here - 34 uses.
15. world - 33 uses.
16. long - 33 uses.
17. right - 32 uses.
18. baby - 32 uses.
19. lets - 32 uses.
20. sing - 32 uses.
21. keep - 32 uses.
22. eyes - 32 uses.
23. never - 31 uses.
24. feel - 31 uses.
25. steady - 31 uses.
26. same - 28 uses.
27. enough - 28 uses.
28. need - 28 uses.
29. pray - 27 uses.
30. hand - 26 uses.
31. used - 26 uses.
32. back - 24 uses.
33. heart - 24 uses.
34. jesus - 24 uses.
35. before - 24 uses.
36. cmon - 24 uses.
37. over - 23 uses.
38. away - 23 uses.
39. hope - 23 uses.
40. treat - 23 uses.
41. hell - 23 uses.
42. mind - 22 uses.
43. better - 22 uses.
44. think - 22 uses.
45. spinning - 22 uses.
46. skin - 21 uses.
47. easy - 21 uses.
48. loves - 21 uses.
49. paradise - 21 uses.
50. while - 20 uses.
51. where - 20 uses.
52. tell - 20 uses.
53. life - 19 uses.
54. sick - 19 uses.
55. alone - 19 uses.
56. mans - 19 uses.
57. give - 19 uses.
58. came - 19 uses.
59. dry - 19 uses.
60. tonight - 18 uses.
61. american - 18 uses.
62. only - 18 uses.
63. through - 18 uses.
64. bearing - 18 uses.
65. lord - 17 uses.
66. song - 17 uses.
67. under - 17 uses.
68. river - 17 uses.
69. fine - 17 uses.
70. hold - 16 uses.
71. kind - 16 uses.
72. around - 16 uses.
73. trying - 16 uses.
74. breathe - 16 uses.
75. round - 16 uses.
76. nothing - 16 uses.
77. kid - 16 uses.
78. tried - 16 uses.
79. dead - 16 uses.
80. old - 16 uses.
81. high - 16 uses.
82. told - 16 uses.
83. leave - 16 uses.
84. helluva - 16 uses.
85. work - 16 uses.
86. saboteurs - 15 uses.
87. sea - 15 uses.
88. years - 15 uses.
89. hear - 15 uses.
90. mercy - 15 uses.
91. wouldnt - 15 uses.
92. house - 15 uses.
93. calls - 15 uses.
94. every - 15 uses.
95. poor - 15 uses.
96. songs - 15 uses.
97. dirty - 15 uses.
98. crash - 15 uses.
99. ride - 15 uses.
100. gone - 15 uses.
101. promised - 15 uses.
102. head - 15 uses.
103. went - 14 uses.
104. own - 14 uses.
105. along - 14 uses.
106. show - 14 uses.
107. wide - 14 uses.
108. end - 14 uses.
109. left - 14 uses.
110. took - 14 uses.
111. turn - 14 uses.
112. because - 14 uses.
113. land - 14 uses.
114. drag - 13 uses.
115. new - 13 uses.
116. saying - 13 uses.
117. face - 13 uses.
118. start - 13 uses.
119. son - 13 uses.
120. friend - 13 uses.
121. god - 13 uses.
122. ones - 13 uses.
123. cold - 13 uses.
124. plastic - 13 uses.
125. wrong - 13 uses.
126. things - 13 uses.
127. anymore - 13 uses.
128. sound - 13 uses.
129. blues - 13 uses.
130. hey - 12 uses.
131. lost - 12 uses.
132. promise - 12 uses.
133. night - 12 uses.
134. rip - 12 uses.
135. knees - 12 uses.
136. teeth - 12 uses.
137. again - 12 uses.
138. living - 12 uses.
139. heaven - 12 uses.
140. forever - 12 uses.
141. those - 12 uses.
142. place - 12 uses.
143. hill - 12 uses.
144. town - 12 uses.
145. reaching - 12 uses.
146. drown - 12 uses.
147. wed - 12 uses.
148. young - 12 uses.
149. bury - 12 uses.
150. meet - 11 uses.
151. getting - 11 uses.
152. myself - 11 uses.
153. break - 11 uses.
154. seems - 11 uses.
155. gets - 11 uses.
156. fear - 11 uses.
157. awake - 11 uses.
158. damned - 11 uses.
159. weve - 11 uses.
160. might - 11 uses.
161. sun - 11 uses.
162. blood - 11 uses.
163. burn - 11 uses.
164. lose - 11 uses.
165. forget - 11 uses.
166. year - 11 uses.
167. found - 11 uses.
168. lemon - 11 uses.
169. good - 11 uses.
170. slow - 11 uses.
171. even - 11 uses.
172. something - 11 uses.
173. knowing - 11 uses.
174. singing - 11 uses.
175. nice - 11 uses.
176. fuck - 11 uses.
177. fire - 11 uses.
178. seen - 11 uses.
179. soon - 10 uses.
180. friends - 10 uses.
181. last - 10 uses.
182. being - 10 uses.
183. dark - 10 uses.
184. hard - 10 uses.
185. mine - 10 uses.
186. much - 10 uses.
187. mistake - 10 uses.
188. days - 10 uses.
189. ever - 10 uses.
190. nights - 10 uses.
191. far - 10 uses.
192. heat - 10 uses.
193. called - 10 uses.
194. whole - 10 uses.
195. followed - 10 uses.
196. feeling - 10 uses.
197. thought - 10 uses.
198. play - 9 uses.
199. inside - 9 uses.
200. another - 9 uses.
201. phone - 9 uses.
202. try - 9 uses.
203. dance - 9 uses.
204. apart - 9 uses.
205. faith - 9 uses.
206. help - 9 uses.
207. clean - 9 uses.
208. lot - 9 uses.
209. car - 9 uses.
210. bone - 9 uses.
211. everybody - 9 uses.
212. theyre - 9 uses.
213. kids - 9 uses.
214. shoes - 9 uses.
215. sometimes - 9 uses.
216. moon - 9 uses.
217. past - 9 uses.
218. together - 9 uses.
219. explode - 9 uses.
220. maybe - 9 uses.
221. shaking - 9 uses.
222. remember - 9 uses.
223. broken - 9 uses.
224. till - 9 uses.
225. true - 9 uses.
226. hanalei - 9 uses.
227. weathervane - 9 uses.
228. whoa - 9 uses.
229. fucker - 9 uses.
230. change - 8 uses.
