Most used words by Dave Matthews Band: 
Number of songs scanned: 122

1. love - 396 uses.
2. down - 176 uses.
3. away - 146 uses.
4. here - 132 uses.
5. again - 130 uses.
6. world - 113 uses.
7. baby - 111 uses.
8. back - 107 uses.
9. head - 105 uses.
10. take - 99 uses.
11. much - 88 uses.
12. right - 80 uses.
13. give - 74 uses.
14. little - 73 uses.
15. stay - 70 uses.
16. around - 69 uses.
17. please - 66 uses.
18. let - 64 uses.
19. inside - 64 uses.
20. think - 62 uses.
21. open - 62 uses.
22. about - 58 uses.
23. going - 57 uses.
24. believe - 55 uses.
25. never - 52 uses.
26. eyes - 52 uses.
27. need - 51 uses.
28. long - 51 uses.
29. feel - 50 uses.
30. heart - 48 uses.
31. good - 48 uses.
32. turn - 47 uses.
33. light - 47 uses.
34. sweet - 47 uses.
35. stop - 44 uses.
36. over - 43 uses.
37. hands - 42 uses.
38. things - 41 uses.
39. play - 41 uses.
40. water - 40 uses.
41. gone - 39 uses.
42. fall - 39 uses.
43. hope - 39 uses.
44. hold - 39 uses.
45. keep - 38 uses.
46. tell - 38 uses.
47. leave - 37 uses.
48. thing - 37 uses.
49. same - 37 uses.
50. everything - 37 uses.
51. die - 36 uses.
52. remember - 36 uses.
53. god - 36 uses.
54. old - 36 uses.
55. mind - 35 uses.
56. through - 35 uses.
57. change - 35 uses.
58. dance - 34 uses.
59. lets - 34 uses.
60. days - 33 uses.
61. hey - 32 uses.
62. whats - 32 uses.
63. ever - 32 uses.
64. nothing - 31 uses.
65. until - 31 uses.
66. drink - 31 uses.
67. dreams - 31 uses.
68. together - 31 uses.
69. fool - 31 uses.
70. ok - 31 uses.
71. drive - 31 uses.
72. walk - 30 uses.
73. place - 29 uses.
74. might - 29 uses.
75. end - 29 uses.
76. fire - 29 uses.
77. while - 29 uses.
78. tonight - 29 uses.
79. dancing - 29 uses.
80. crazy - 29 uses.
81. lost - 29 uses.
82. gotta - 29 uses.
83. life - 29 uses.
84. girl - 28 uses.
85. dead - 27 uses.
86. soul - 27 uses.
87. came - 27 uses.
88. always - 27 uses.
89. try - 27 uses.
90. big - 26 uses.
91. fill - 26 uses.
92. dream - 26 uses.
93. lose - 26 uses.
94. alone - 25 uses.
95. sometimes - 25 uses.
96. run - 25 uses.
97. wake - 25 uses.
98. other - 25 uses.
99. between - 25 uses.
100. bring - 25 uses.
101. cry - 25 uses.
102. smile - 25 uses.
103. move - 24 uses.
104. only - 24 uses.
105. deep - 24 uses.
106. hand - 24 uses.
107. mama - 24 uses.
108. must - 23 uses.
109. ground - 23 uses.
110. better - 23 uses.
111. people - 23 uses.
112. feet - 22 uses.
113. times - 22 uses.
114. best - 22 uses.
115. boy - 22 uses.
116. everybody - 22 uses.
117. blood - 22 uses.
118. shine - 22 uses.
119. mother - 22 uses.
120. home - 22 uses.
121. dreaming - 22 uses.
122. hello - 22 uses.
123. sing - 21 uses.
124. round - 21 uses.
125. after - 21 uses.
126. watch - 21 uses.
127. stars - 21 uses.
128. trying - 21 uses.
129. hard - 21 uses.
130. saw - 21 uses.
131. blue - 21 uses.
132. side - 21 uses.
133. lay - 21 uses.
134. everyday - 21 uses.
135. under - 20 uses.
136. rest - 20 uses.
137. sky - 20 uses.
138. red - 20 uses.
139. kiss - 20 uses.
140. tomorrow - 20 uses.
141. forget - 20 uses.
142. forever - 20 uses.
143. face - 20 uses.
144. child - 20 uses.
145. beat - 20 uses.
146. set - 20 uses.
147. yes - 20 uses.
148. begin - 20 uses.
149. live - 20 uses.
150. behind - 19 uses.
151. comes - 19 uses.
152. monkey - 19 uses.
153. beautiful - 19 uses.
154. til - 19 uses.
155. lights - 19 uses.
156. fly - 19 uses.
157. sure - 19 uses.
158. coming - 19 uses.
159. something - 19 uses.
160. done - 19 uses.
161. should - 19 uses.
162. ah - 19 uses.
163. because - 18 uses.
164. wrong - 18 uses.
165. rain - 18 uses.
166. funny - 18 uses.
167. mouth - 18 uses.
168. night - 18 uses.
169. bones - 18 uses.
170. arms - 18 uses.
171. anything - 18 uses.
172. such - 17 uses.
173. upon - 17 uses.
174. till - 17 uses.
175. friends - 17 uses.
176. taste - 17 uses.
177. maybe - 17 uses.
178. tree - 17 uses.
179. father - 17 uses.
180. afraid - 17 uses.
181. digging - 17 uses.
182. bayou - 17 uses.
183. enough - 16 uses.
184. great - 16 uses.
185. seem - 16 uses.
186. typical - 16 uses.
187. across - 16 uses.
188. broken - 16 uses.
189. wait - 16 uses.
190. first - 16 uses.
191. words - 16 uses.
192. king - 16 uses.
193. black - 16 uses.
194. soon - 16 uses.
195. care - 16 uses.
196. save - 16 uses.
197. told - 16 uses.
198. space - 16 uses.
199. looked - 16 uses.
200. gold - 16 uses.
201. satellite - 16 uses.
202. cane - 16 uses.
203. being - 15 uses.
204. waste - 15 uses.
205. free - 15 uses.
206. someone - 15 uses.
207. hear - 15 uses.
208. pick - 15 uses.
209. crash - 15 uses.
210. boys - 15 uses.
211. high - 15 uses.
212. mean - 15 uses.
213. before - 15 uses.
214. dying - 15 uses.
215. moon - 15 uses.
216. lie - 15 uses.
217. wide - 15 uses.
218. pay - 15 uses.
219. really - 15 uses.
220. stand - 14 uses.
221. lying - 14 uses.
222. cold - 14 uses.
223. heaven - 14 uses.
224. belly - 14 uses.
225. sun - 14 uses.
226. everybodys - 14 uses.
227. tears - 14 uses.
228. cut - 14 uses.
229. hungry - 14 uses.
230. far - 14 uses.
231. looking - 14 uses.
232. roll - 14 uses.
233. lonely - 14 uses.
234. thinking - 14 uses.
235. top - 14 uses.
236. those - 14 uses.
237. ends - 14 uses.
238. grow - 14 uses.
239. above - 14 uses.
240. explain - 14 uses.
241. fathers - 14 uses.
242. leaving - 14 uses.
243. mine - 14 uses.
244. shame - 14 uses.
245. story - 14 uses.
246. ditch - 14 uses.
247. sleep - 13 uses.
248. fear - 13 uses.
249. last - 13 uses.
250. door - 13 uses.
251. feeling - 13 uses.
252. every - 13 uses.
253. children - 13 uses.
254. song - 13 uses.
255. catch - 13 uses.
256. become - 13 uses.
257. falling - 13 uses.
