Most used words by Dawes: 
Number of songs scanned: 80

1. love - 83 uses.
2. think - 67 uses.
3. away - 57 uses.
4. about - 56 uses.
5. feel - 55 uses.
6. through - 55 uses.
7. let - 54 uses.
8. never - 47 uses.
9. really - 47 uses.
10. right - 45 uses.
11. back - 44 uses.
12. down - 41 uses.
13. always - 39 uses.
14. maybe - 36 uses.
15. should - 35 uses.
16. only - 35 uses.
17. world - 35 uses.
18. take - 34 uses.
19. everything - 33 uses.
20. every - 32 uses.
21. heart - 32 uses.
22. life - 32 uses.
23. send - 32 uses.
24. while - 31 uses.
25. talk - 31 uses.
26. little - 31 uses.
27. even - 30 uses.
28. people - 30 uses.
29. someone - 30 uses.
30. between - 29 uses.
31. much - 29 uses.
32. good - 28 uses.
33. something - 27 uses.
34. might - 27 uses.
35. night - 27 uses.
36. need - 27 uses.
37. most - 26 uses.
38. end - 26 uses.
39. tell - 26 uses.
40. ever - 25 uses.
41. any - 24 uses.
42. ooh - 24 uses.
43. light - 23 uses.
44. give - 23 uses.
45. until - 22 uses.
46. things - 22 uses.
47. fire - 22 uses.
48. roll - 22 uses.
49. here - 21 uses.
50. thought - 21 uses.
51. kid - 21 uses.
52. before - 21 uses.
53. help - 21 uses.
54. thing - 21 uses.
55. words - 20 uses.
56. hey - 20 uses.
57. lets - 20 uses.
58. home - 19 uses.
59. true - 19 uses.
60. far - 19 uses.
61. hold - 19 uses.
62. finally - 19 uses.
63. wanted - 19 uses.
64. keep - 19 uses.
65. seem - 19 uses.
66. without - 19 uses.
67. luck - 19 uses.
68. put - 19 uses.
69. doesnt - 19 uses.
70. stay - 19 uses.
71. else - 18 uses.
72. comes - 18 uses.
73. sometimes - 18 uses.
74. found - 18 uses.
75. friends - 18 uses.
76. stars - 18 uses.
77. left - 18 uses.
78. lover - 18 uses.
79. sure - 17 uses.
80. same - 17 uses.
81. myself - 17 uses.
82. lost - 17 uses.
83. future - 17 uses.
84. leave - 17 uses.
85. fix - 17 uses.
86. song - 17 uses.
87. whatever - 17 uses.
88. place - 17 uses.
89. enough - 17 uses.
90. runs - 17 uses.
91. quit - 17 uses.
92. hard - 16 uses.
93. show - 16 uses.
94. head - 16 uses.
95. getting - 16 uses.
96. feeling - 16 uses.
97. none - 16 uses.
98. weep - 16 uses.
99. nothing - 15 uses.
100. days - 15 uses.
101. name - 15 uses.
102. hear - 15 uses.
103. fall - 15 uses.
104. makes - 15 uses.
105. long - 15 uses.
106. knew - 15 uses.
107. face - 15 uses.
108. wrong - 15 uses.
109. talkin - 15 uses.
110. eyes - 15 uses.
111. business - 15 uses.
112. past - 14 uses.
113. both - 14 uses.
114. start - 14 uses.
115. few - 14 uses.
116. came - 14 uses.
117. town - 14 uses.
118. once - 14 uses.
119. bit - 14 uses.
120. picture - 14 uses.
121. free - 14 uses.
122. girl - 13 uses.
123. dreams - 13 uses.
124. arms - 13 uses.
125. around - 13 uses.
126. last - 13 uses.
127. reason - 13 uses.
128. ones - 13 uses.
129. own - 13 uses.
130. behind - 13 uses.
131. living - 12 uses.
132. ask - 12 uses.
133. move - 12 uses.
134. somewhere - 12 uses.
135. understand - 12 uses.
136. weve - 12 uses.
137. beneath - 12 uses.
138. along - 12 uses.
139. looking - 12 uses.
140. gone - 12 uses.
141. tryin - 12 uses.
142. mama - 12 uses.
143. tequila - 12 uses.
144. tide - 12 uses.
145. those - 11 uses.
146. city - 11 uses.
147. asking - 11 uses.
148. side - 11 uses.
149. dance - 11 uses.
150. ear - 11 uses.
151. person - 11 uses.
152. room - 11 uses.
153. easy - 11 uses.
154. feed - 11 uses.
155. spent - 11 uses.
156. because - 11 uses.
157. hopin - 11 uses.
158. care - 11 uses.
159. drinking - 11 uses.
160. forever - 11 uses.
161. hope - 11 uses.
162. whole - 10 uses.
163. memories - 10 uses.
164. keeps - 10 uses.
165. everyone - 10 uses.
166. over - 10 uses.
167. felt - 10 uses.
168. trying - 10 uses.
169. saw - 10 uses.
170. loved - 10 uses.
171. says - 10 uses.
172. alone - 10 uses.
173. does - 10 uses.
174. used - 10 uses.
175. champagne - 10 uses.
176. great - 10 uses.
177. youd - 10 uses.
178. mistakes - 10 uses.
179. ohh - 10 uses.
180. surface - 10 uses.
181. sit - 9 uses.
182. coming - 9 uses.
183. heard - 9 uses.
184. line - 9 uses.
185. hands - 9 uses.
186. guess - 9 uses.
187. moon - 9 uses.
188. turn - 9 uses.
189. zero - 9 uses.
190. another - 9 uses.
191. seen - 9 uses.
192. questions - 9 uses.
193. nowhere - 9 uses.
194. mind - 9 uses.
195. old - 9 uses.
196. lives - 9 uses.
197. reach - 9 uses.
198. together - 9 uses.
199. try - 9 uses.
200. moment - 9 uses.
201. doing - 8 uses.
202. door - 8 uses.
203. forget - 8 uses.
204. watching - 8 uses.
205. hell - 8 uses.
206. moments - 8 uses.
207. sky - 8 uses.
208. smile - 8 uses.
209. after - 8 uses.
210. money - 8 uses.
211. new - 8 uses.
212. dream - 8 uses.
213. watch - 8 uses.
214. break - 8 uses.
215. though - 8 uses.
216. clear - 8 uses.
217. going - 8 uses.
218. dies - 8 uses.
219. voice - 8 uses.
220. run - 8 uses.
221. eye - 8 uses.
222. telling - 8 uses.
223. knows - 8 uses.
224. lucky - 8 uses.
225. takes - 8 uses.
226. punches - 8 uses.
227. pain - 8 uses.
228. gets - 8 uses.
229. ground - 8 uses.
230. stare - 8 uses.
231. stories - 8 uses.
232. kept - 8 uses.
233. ohhhh - 8 uses.
234. stranger - 8 uses.
235. shine - 8 uses.
236. point - 8 uses.
237. looks - 7 uses.
238. tonight - 7 uses.
239. late - 7 uses.
240. first - 7 uses.
241. wonder - 7 uses.
242. open - 7 uses.
243. meet - 7 uses.
244. change - 7 uses.
245. everybody - 7 uses.
246. better - 7 uses.
247. ways - 7 uses.
248. meant - 7 uses.
249. admit - 7 uses.
250. hand - 7 uses.
251. took - 7 uses.
252. written - 7 uses.
