Most used words by Dear And The Headlights: 
Number of songs scanned: 25

1. love - 29 uses.
2. havent - 22 uses.
3. long - 19 uses.
4. alone - 18 uses.
5. hallelujah - 18 uses.
6. down - 17 uses.
7. eyes - 17 uses.
8. new - 16 uses.
9. back - 15 uses.
10. stay - 14 uses.
11. really - 14 uses.
12. words - 13 uses.
13. over - 13 uses.
14. never - 13 uses.
15. thought - 13 uses.
16. same - 12 uses.
17. hands - 12 uses.
18. hallel - 12 uses.
19. ever - 11 uses.
20. truth - 11 uses.
21. midwestern - 11 uses.
22. dirt - 11 uses.
23. feeling - 10 uses.
24. those - 10 uses.
25. mind - 10 uses.
26. mouth - 10 uses.
27. about - 10 uses.
28. sinking - 10 uses.
29. deeper - 10 uses.
30. above - 10 uses.
31. felt - 10 uses.
32. boyfriend - 10 uses.
33. missing - 10 uses.
34. think - 9 uses.
35. fine - 9 uses.
36. white - 9 uses.
37. right - 9 uses.
38. life - 9 uses.
39. again - 9 uses.
40. feet - 8 uses.
41. half - 8 uses.
42. whole - 8 uses.
43. every - 8 uses.
44. talk - 8 uses.
45. lying - 8 uses.
46. home - 8 uses.
47. lonely - 8 uses.
48. remember - 7 uses.
49. while - 7 uses.
50. good - 7 uses.
51. death - 7 uses.
52. hand - 7 uses.
53. keep - 7 uses.
54. old - 7 uses.
55. door - 7 uses.
56. open - 7 uses.
57. mine - 7 uses.
58. thoughts - 7 uses.
59. straight - 7 uses.
60. only - 7 uses.
61. singing - 7 uses.
62. loved - 7 uses.
63. pulled - 7 uses.
64. things - 7 uses.
65. best - 7 uses.
66. apart - 7 uses.
67. start - 7 uses.
68. bad - 7 uses.
69. happy - 6 uses.
70. mother - 6 uses.
71. couldnt - 6 uses.
72. face - 6 uses.
73. sing - 6 uses.
74. laughing - 6 uses.
75. turn - 6 uses.
76. take - 6 uses.
77. hair - 6 uses.
78. less - 6 uses.
79. tongue - 6 uses.
80. single - 6 uses.
81. should - 6 uses.
82. thing - 6 uses.
83. news - 6 uses.
84. enough - 6 uses.
85. nothing - 6 uses.
86. seems - 6 uses.
87. feel - 6 uses.
88. coming - 6 uses.
89. dead - 6 uses.
90. around - 6 uses.
91. let - 6 uses.
92. likes - 6 uses.
93. wish - 6 uses.
94. halle - 6 uses.
95. act - 6 uses.
96. days - 6 uses.
97. easy - 6 uses.
98. trying - 5 uses.
99. yet - 5 uses.
100. gotta - 5 uses.
101. end - 5 uses.
102. since - 5 uses.
103. met - 5 uses.
104. talking - 5 uses.
105. tell - 5 uses.
106. other - 5 uses.
107. true - 5 uses.
108. guess - 5 uses.
109. cut - 5 uses.
110. breathing - 5 uses.
111. room - 5 uses.
112. next - 5 uses.
113. lips - 5 uses.
114. much - 5 uses.
115. last - 5 uses.
116. dance - 5 uses.
117. bored - 5 uses.
118. fast - 5 uses.
119. approaching - 5 uses.
120. first - 5 uses.
121. forever - 5 uses.
122. here - 5 uses.
123. covered - 5 uses.
124. lines - 5 uses.
125. sorry - 5 uses.
126. hold - 5 uses.
127. lost - 5 uses.
128. hear - 5 uses.
129. side - 5 uses.
130. alright - 5 uses.
131. gettin - 5 uses.
132. least - 5 uses.
133. eye - 4 uses.
134. head - 4 uses.
135. wedding - 4 uses.
136. tape - 4 uses.
137. bet - 4 uses.
138. stuck - 4 uses.
139. blood - 4 uses.
140. passed - 4 uses.
141. pass - 4 uses.
142. john - 4 uses.
143. wonder - 4 uses.
144. wouldnt - 4 uses.
145. feelings - 4 uses.
146. friends - 4 uses.
147. myself - 4 uses.
148. done - 4 uses.
149. before - 4 uses.
150. beauty - 4 uses.
151. somewhere - 4 uses.
152. past - 4 uses.
153. night - 4 uses.
154. sound - 4 uses.
155. pull - 4 uses.
156. eyelids - 4 uses.
157. sleep - 4 uses.
158. yourself - 4 uses.
159. trembling - 4 uses.
160. seem - 4 uses.
161. smiles - 4 uses.
162. came - 4 uses.
163. mean - 4 uses.
164. shoulder - 4 uses.
165. help - 4 uses.
166. constant - 4 uses.
167. spit - 4 uses.
168. arent - 4 uses.
169. helping - 4 uses.
170. idea - 4 uses.
171. light - 4 uses.
172. something - 4 uses.
173. place - 4 uses.
174. always - 4 uses.
175. bit - 4 uses.
176. song - 4 uses.
177. care - 4 uses.
178. certain - 4 uses.
179. wrong - 4 uses.
180. seemed - 4 uses.
181. dinner - 4 uses.
182. shine - 4 uses.
183. looking - 4 uses.
184. black - 3 uses.
185. knees - 3 uses.
186. teeth - 3 uses.
187. knew - 3 uses.
188. sat - 3 uses.
189. plans - 3 uses.
190. such - 3 uses.
191. put - 3 uses.
192. through - 3 uses.
193. table - 3 uses.
194. reasons - 3 uses.
195. ones - 3 uses.
196. need - 3 uses.
197. phone - 3 uses.
198. heres - 3 uses.
199. staring - 3 uses.
200. car - 3 uses.
201. hi - 3 uses.
202. damn - 3 uses.
203. because - 3 uses.
204. across - 3 uses.
205. after - 3 uses.
206. outside - 3 uses.
207. asked - 3 uses.
208. gaunt - 3 uses.
209. ghosts - 3 uses.
210. shrieking - 3 uses.
211. prose - 3 uses.
212. archaic - 3 uses.
213. gloom - 3 uses.
214. cover - 3 uses.
215. chin - 3 uses.
216. empty - 3 uses.
217. begging - 3 uses.
218. forth - 3 uses.
219. eight - 3 uses.
220. hard - 3 uses.
221. fault - 3 uses.
222. reason - 3 uses.
223. pictured - 3 uses.
224. pulse - 3 uses.
225. doing - 3 uses.
226. flat - 3 uses.
227. bladed - 3 uses.
228. nightmare - 3 uses.
229. rug - 3 uses.
230. angelheaded - 3 uses.
231. elsewhere - 3 uses.
232. lower - 3 uses.
233. slow - 3 uses.
234. skin - 3 uses.
235. charm - 3 uses.
236. blinking - 3 uses.
237. speech - 3 uses.
238. floor - 3 uses.
239. meaning - 3 uses.
240. dull - 3 uses.
241. show - 3 uses.
242. without - 3 uses.
243. shaking - 3 uses.
244. plot - 3 uses.
245. kid - 3 uses.
246. hundred - 3 uses.
247. tired - 3 uses.
248. saying - 3 uses.
249. leaving - 3 uses.
250. sad - 3 uses.
251. talks - 3 uses.
252. lose - 3 uses.
253. looks - 3 uses.
254. confused - 3 uses.
255. smiling - 3 uses.
256. fall - 3 uses.
257. sit - 3 uses.
258. run - 3 uses.
259. mustache - 3 uses.
260. stairs - 3 uses.
261. card - 3 uses.
262. callin - 3 uses.
263. walks - 3 uses.
264. losses - 3 uses.
265. understands - 3 uses.
266. thinking - 3 uses.
267. goes - 3 uses.
268. tight - 3 uses.
269. disguise - 3 uses.
270. stack - 3 uses.
271. polished - 3 uses.
272. plates - 3 uses.
273. jacket - 3 uses.
274. legitimate - 3 uses.
275. everything - 3 uses.
276. final - 3 uses.
277. makes - 3 uses.
278. grey - 3 uses.
279. hope - 3 uses.
280. golden - 3 uses.
281. ends - 3 uses.
282. arm - 2 uses.
