Most used words by Deftones: 
Number of songs scanned: 132

1. feel - 106 uses.
2. right - 100 uses.
3. down - 92 uses.
4. back - 83 uses.
5. think - 82 uses.
6. here - 82 uses.
7. take - 76 uses.
8. love - 74 uses.
9. suck - 72 uses.
10. never - 66 uses.
11. through - 64 uses.
12. let - 64 uses.
13. inside - 57 uses.
14. again - 57 uses.
15. head - 52 uses.
16. away - 48 uses.
17. watch - 46 uses.
18. stop - 44 uses.
19. eyes - 43 uses.
20. god - 43 uses.
21. bleed - 43 uses.
22. life - 42 uses.
23. tonight - 41 uses.
24. control - 40 uses.
25. surprise - 39 uses.
26. sick - 38 uses.
27. new - 37 uses.
28. same - 36 uses.
29. believe - 35 uses.
30. ha - 35 uses.
31. fuck - 34 uses.
32. over - 34 uses.
33. keep - 33 uses.
34. because - 33 uses.
35. always - 33 uses.
36. whats - 33 uses.
37. gone - 33 uses.
38. try - 32 uses.
39. about - 32 uses.
40. before - 31 uses.
41. run - 31 uses.
42. tell - 31 uses.
43. should - 30 uses.
44. waves - 30 uses.
45. much - 30 uses.
46. heart - 29 uses.
47. mind - 29 uses.
48. end - 29 uses.
49. everything - 28 uses.
50. home - 28 uses.
51. every - 28 uses.
52. soon - 28 uses.
53. em - 28 uses.
54. side - 28 uses.
55. play - 28 uses.
56. earth - 27 uses.
57. sound - 27 uses.
58. fucking - 26 uses.
59. need - 26 uses.
60. something - 26 uses.
61. around - 26 uses.
62. face - 26 uses.
63. break - 26 uses.
64. stay - 25 uses.
65. decide - 25 uses.
66. wait - 25 uses.
67. wish - 25 uses.
68. show - 24 uses.
69. free - 24 uses.
70. hey - 24 uses.
71. really - 23 uses.
72. world - 23 uses.
73. give - 23 uses.
74. water - 23 uses.
75. ripe - 23 uses.
76. smile - 23 uses.
77. yourself - 22 uses.
78. shove - 22 uses.
79. worship - 22 uses.
80. shit - 21 uses.
81. nothing - 21 uses.
82. wrong - 21 uses.
83. taste - 21 uses.
84. wild - 21 uses.
85. waste - 21 uses.
86. knife - 21 uses.
87. close - 20 uses.
88. gets - 20 uses.
89. save - 20 uses.
90. night - 20 uses.
91. dai - 20 uses.
92. flu - 20 uses.
93. light - 19 uses.
94. first - 19 uses.
95. drive - 19 uses.
96. care - 19 uses.
97. going - 19 uses.
98. change - 18 uses.
99. people - 18 uses.
100. leave - 17 uses.
101. true - 17 uses.
102. high - 17 uses.
103. fly - 17 uses.
104. sky - 17 uses.
105. makes - 17 uses.
106. till - 17 uses.
107. air - 16 uses.
108. only - 16 uses.
109. please - 16 uses.
110. comes - 16 uses.
111. ask - 16 uses.
112. mine - 16 uses.
113. red - 16 uses.
114. bored - 16 uses.
115. hope - 16 uses.
116. thing - 16 uses.
117. wet - 16 uses.
118. school - 16 uses.
119. ordinary - 16 uses.
120. alive - 16 uses.
121. swear - 15 uses.
122. game - 15 uses.
123. deep - 15 uses.
124. fine - 15 uses.
125. lay - 15 uses.
126. wave - 15 uses.
127. place - 15 uses.
128. outside - 15 uses.
129. came - 15 uses.
130. cut - 15 uses.
131. other - 15 uses.
132. wipe - 15 uses.
133. lie - 15 uses.
134. sickened - 15 uses.
135. alone - 14 uses.
136. dream - 14 uses.
137. desire - 14 uses.
138. yes - 14 uses.
139. girl - 14 uses.
140. sting - 14 uses.
141. far - 14 uses.
142. style - 14 uses.
143. hole - 14 uses.
144. coming - 14 uses.
145. might - 13 uses.
146. body - 13 uses.
147. sweet - 13 uses.
148. drink - 13 uses.
149. room - 13 uses.
150. good - 13 uses.
151. bad - 13 uses.
152. space - 13 uses.
153. burn - 13 uses.
154. somewhere - 13 uses.
155. feeling - 13 uses.
156. set - 13 uses.
157. else - 13 uses.
158. takes - 13 uses.
159. meet - 13 uses.
160. lets - 13 uses.
161. knees - 13 uses.
162. touch - 13 uses.
163. name - 12 uses.
164. safe - 12 uses.
165. fire - 12 uses.
166. own - 12 uses.
167. crowd - 12 uses.
168. forever - 12 uses.
169. cross - 12 uses.
170. ever - 12 uses.
171. fall - 12 uses.
172. hear - 12 uses.
173. hate - 12 uses.
174. left - 12 uses.
175. ride - 12 uses.
176. lyrical - 12 uses.
177. ooh - 12 uses.
178. leaving - 12 uses.
179. goodbye - 11 uses.
180. slowly - 11 uses.
181. walk - 11 uses.
182. gave - 11 uses.
183. hold - 11 uses.
184. walls - 11 uses.
185. turn - 11 uses.
186. things - 11 uses.
187. words - 11 uses.
188. put - 11 uses.
189. wake - 11 uses.
190. different - 11 uses.
191. teeth - 11 uses.
192. slip - 11 uses.
193. cool - 11 uses.
194. leaders - 11 uses.
195. hell - 11 uses.
196. shine - 11 uses.
197. anyway - 11 uses.
198. open - 10 uses.
199. awake - 10 uses.
200. while - 10 uses.
201. prayers - 10 uses.
202. placed - 10 uses.
203. gates - 10 uses.
204. start - 10 uses.
205. wings - 10 uses.
206. writhe - 10 uses.
207. speak - 10 uses.
208. shed - 10 uses.
209.  - 10 uses.
210. once - 10 uses.
211. shut - 10 uses.
212. ahead - 10 uses.
213. die - 10 uses.
214. fuckin - 10 uses.
215. lifes - 10 uses.
216. next - 10 uses.
217. move - 9 uses.
218. choose - 9 uses.
219. floating - 9 uses.
220. remain - 9 uses.
221. real - 9 uses.
222. watched - 9 uses.
223. sing - 9 uses.
224. power - 9 uses.
225. goes - 9 uses.
226. skin - 9 uses.
227. empty - 9 uses.
228. black - 9 uses.
229. long - 9 uses.
230. okay - 9 uses.
231. sun - 9 uses.
232. straight - 9 uses.
233. pig - 9 uses.
234. flow - 9 uses.
235. create - 9 uses.
236. tired - 9 uses.
237. sleep - 9 uses.
238. arms - 9 uses.
239. rain - 9 uses.
240. myself - 9 uses.
241. youd - 9 uses.
242. forget - 9 uses.
243. stand - 9 uses.
244. being - 9 uses.
245. star - 9 uses.
246. illusion - 9 uses.
247. across - 9 uses.
248. follow - 9 uses.
249. even - 9 uses.
250. behind - 9 uses.
251. push - 9 uses.
252. square - 9 uses.
253. everyone - 9 uses.
254. transpose - 9 uses.
255. soaking - 9 uses.
256. crazy - 9 uses.
257. freaks - 9 uses.
258. pushing - 9 uses.
259. ledge - 9 uses.
260. write - 9 uses.
261. fun - 8 uses.
262. beware - 8 uses.
263. pull - 8 uses.
264. brain - 8 uses.
265. violence - 8 uses.
266. under - 8 uses.
267. kiss - 8 uses.
268. sail - 8 uses.
269. shapes - 8 uses.
270. must - 8 uses.
271. whole - 8 uses.
272. little - 8 uses.
273. catch - 8 uses.
274. took - 8 uses.
