Most used words by Dodie: 
Number of songs scanned: 104

1. love - 107 uses.
2. think - 104 uses.
3. never - 74 uses.
4. feel - 73 uses.
5. here - 69 uses.
6. tell - 49 uses.
7. again - 48 uses.
8. good - 47 uses.
9. little - 46 uses.
10. every - 42 uses.
11. girl - 42 uses.
12. let - 42 uses.
13. take - 42 uses.
14. something - 40 uses.
15. away - 39 uses.
16. only - 37 uses.
17. much - 36 uses.
18. someone - 36 uses.
19. hmm - 36 uses.
20. eyes - 34 uses.
21. mmm - 34 uses.
22. right - 34 uses.
23. words - 34 uses.
24. might - 32 uses.
25. wrong - 32 uses.
26. back - 31 uses.
27. down - 31 uses.
28. need - 31 uses.
29. really - 31 uses.
30. hear - 31 uses.
31. night - 30 uses.
32. alone - 30 uses.
33. old - 30 uses.
34. help - 30 uses.
35. ooh - 30 uses.
36. world - 29 uses.
37. please - 29 uses.
38. tonight - 29 uses.
39. about - 28 uses.
40. fall - 28 uses.
41. maybe - 28 uses.
42. pretty - 28 uses.
43. through - 28 uses.
44. falling - 28 uses.
45. try - 27 uses.
46. end - 27 uses.
47. better - 27 uses.
48. skin - 25 uses.
49. while - 25 uses.
50. quiet - 25 uses.
51. people - 24 uses.
52. mind - 24 uses.
53. talk - 24 uses.
54. getting - 24 uses.
55. give - 23 uses.
56. yes - 23 uses.
57. myself - 23 uses.
58. fit - 22 uses.
59. okay - 22 uses.
60. even - 22 uses.
61. till - 21 uses.
62. close - 21 uses.
63. smile - 21 uses.
64. new - 20 uses.
65. before - 20 uses.
66. care - 20 uses.
67. hate - 20 uses.
68. without - 20 uses.
69. stay - 20 uses.
70. feeling - 20 uses.
71. wish - 20 uses.
72. anything - 20 uses.
73. regret - 20 uses.
74. best - 19 uses.
75. break - 19 uses.
76. leave - 19 uses.
77. believe - 19 uses.
78. remember - 19 uses.
79. sound - 19 uses.
80. friends - 18 uses.
81. dear - 18 uses.
82. paint - 18 uses.
83. put - 18 uses.
84. heart - 18 uses.
85. hey - 17 uses.
86. because - 17 uses.
87. quite - 17 uses.
88. enough - 17 uses.
89. doesnt - 17 uses.
90. friend - 17 uses.
91. rain - 17 uses.
92. full - 17 uses.
93. different - 17 uses.
94. far - 17 uses.
95. crazy - 17 uses.
96. least - 17 uses.
97. hope - 17 uses.
98. hand - 16 uses.
99. dark - 16 uses.
100. finally - 16 uses.
101. whats - 16 uses.
102. hold - 16 uses.
103. done - 16 uses.
104. kind - 16 uses.
105. over - 16 uses.
106. life - 16 uses.
107. party - 16 uses.
108. tired - 16 uses.
109. trying - 15 uses.
110. ready - 15 uses.
111. seen - 15 uses.
112. thing - 15 uses.
113. hard - 15 uses.
114. mess - 15 uses.
115. mouth - 15 uses.
116. youd - 15 uses.
117. late - 15 uses.
118. show - 15 uses.
119. middle - 15 uses.
120. dream - 15 uses.
121. being - 14 uses.
122. isnt - 14 uses.
123. bit - 14 uses.
124. along - 14 uses.
125. watch - 14 uses.
126. sick - 14 uses.
127. waiting - 14 uses.
128. door - 14 uses.
129. bed - 14 uses.
130. play - 14 uses.
131. wanted - 14 uses.
132. goes - 14 uses.
