Most used words by Dr. Dog: 
Number of songs scanned: 134

1. love - 158 uses.
2. heart - 107 uses.
3. back - 103 uses.
4. down - 96 uses.
5. here - 89 uses.
6. never - 87 uses.
7. na - 78 uses.
8. only - 66 uses.
9. away - 66 uses.
10. take - 59 uses.
11. baby - 56 uses.
12. around - 55 uses.
13. every - 54 uses.
14. really - 53 uses.
15. alone - 52 uses.
16. things - 51 uses.
17. old - 50 uses.
18. ever - 47 uses.
19. light - 46 uses.
20. always - 44 uses.
21. nothing - 43 uses.
22. again - 40 uses.
23. about - 40 uses.
24. gone - 40 uses.
25. before - 40 uses.
26. need - 40 uses.
27. good - 39 uses.
28. coming - 38 uses.
29. dare - 38 uses.
30. nah - 38 uses.
31. home - 37 uses.
32. through - 36 uses.
33. over - 36 uses.
34. right - 35 uses.
35. town - 35 uses.
36. killer - 35 uses.
37. long - 34 uses.
38. mind - 34 uses.
39. little - 34 uses.
40. something - 34 uses.
41. dream - 34 uses.
42. think - 33 uses.
43. tell - 33 uses.
44. life - 33 uses.
45. murderer - 32 uses.
46. swamp - 31 uses.
47. keep - 30 uses.
48. dark - 30 uses.
49. another - 30 uses.
50. rain - 30 uses.
51. talking - 30 uses.
52. night - 30 uses.
53. let - 30 uses.
54. give - 29 uses.
55. fall - 29 uses.
56. hear - 28 uses.
57. own - 28 uses.
58. sun - 28 uses.
59. die - 27 uses.
60. leave - 27 uses.
61. believe - 27 uses.
62. line - 27 uses.
63. shame - 27 uses.
64. comes - 26 uses.
65. belong - 26 uses.
66. true - 26 uses.
67. living - 26 uses.
68. looking - 26 uses.
69. days - 25 uses.
70. girl - 25 uses.
71. mine - 24 uses.
72. dead - 24 uses.
73. sing - 24 uses.
74. feel - 24 uses.
75. even - 24 uses.
76. enough - 24 uses.
77. came - 23 uses.
78. hard - 23 uses.
79. thought - 23 uses.
80. dance - 23 uses.
81. hand - 23 uses.
82. broken - 23 uses.
83. should - 22 uses.
84. strange - 22 uses.
85. fire - 22 uses.
86. last - 22 uses.
87. thinking - 22 uses.
88. along - 21 uses.
89. wake - 21 uses.
90. going - 21 uses.
91. put - 20 uses.
92. other - 20 uses.
93. much - 20 uses.
94. myself - 20 uses.
95. remember - 20 uses.
96. does - 20 uses.
97. told - 20 uses.
98. today - 20 uses.
99. wrong - 20 uses.
100. name - 20 uses.
101. ground - 19 uses.
102. gotta - 19 uses.
103. god - 19 uses.
104. because - 19 uses.
105. known - 19 uses.
106. everything - 19 uses.
107. sky - 19 uses.
108. break - 19 uses.
109. years - 19 uses.
110. people - 19 uses.
111. races - 19 uses.
112. wait - 18 uses.
113. run - 18 uses.
114. might - 18 uses.
115. running - 18 uses.
116. head - 18 uses.
117. hope - 18 uses.
118. song - 18 uses.
119. friend - 18 uses.
120. left - 18 uses.
121. better - 18 uses.
122. pay - 18 uses.
123. nellie - 18 uses.
124. goes - 17 uses.
125. far - 17 uses.
126. street - 17 uses.
127. free - 17 uses.
128. please - 17 uses.
129. kind - 17 uses.
130. eye - 17 uses.
131. someone - 17 uses.
132. fighting - 17 uses.
133. learn - 16 uses.
134. door - 16 uses.
135. found - 16 uses.
136. under - 16 uses.
137. thing - 16 uses.
138. getting - 16 uses.
139. done - 16 uses.
140. room - 16 uses.
141. saw - 16 uses.
142. end - 16 uses.
143. darkness - 16 uses.
144. together - 15 uses.
145. whats - 15 uses.
146. knew - 15 uses.
147. eyes - 15 uses.
148. while - 15 uses.
149. world - 15 uses.
150. yourself - 15 uses.
151. truth - 15 uses.
152. cool - 15 uses.
153. mystery - 15 uses.
154. weve - 15 uses.
155. walk - 14 uses.
156. heard - 14 uses.
157. bone - 14 uses.
158. try - 14 uses.
159. wasnt - 14 uses.
160. water - 14 uses.
161. felt - 14 uses.
162. wind - 14 uses.
163. mirror - 14 uses.
164. sleeping - 14 uses.
165. heavy - 14 uses.
166. died - 14 uses.
167. shadow - 14 uses.
168. badvertise - 14 uses.
169. same - 13 uses.
170. sound - 13 uses.
171. sweet - 13 uses.
172. care - 13 uses.
173. blue - 13 uses.
174. born - 13 uses.
175. floor - 13 uses.
