Most used words by Drake: 
Number of songs scanned: 365

1. shit - 888 uses.
2. thats - 640 uses.
3. girl - 635 uses.
4. love - 635 uses.
5. niggas - 615 uses.
6. down - 610 uses.
7. back - 594 uses.
8. never - 581 uses.
9. nigga - 574 uses.
10. need - 567 uses.
11. right - 515 uses.
12. baby - 487 uses.
13. want - 481 uses.
14. money - 461 uses.
15. tell - 455 uses.
16. wanna - 447 uses.
17. take - 428 uses.
18. here - 426 uses.
19. fuck - 419 uses.
20. still - 412 uses.
21. gotta - 391 uses.
22. where - 359 uses.
23. really - 348 uses.
24. even - 335 uses.
25. let - 329 uses.
26. think - 323 uses.
27. em - 313 uses.
28. ever - 313 uses.
29. over - 288 uses.
30. every - 284 uses.
31. real - 279 uses.
32. things - 278 uses.
33. done - 276 uses.
34. feel - 271 uses.
35. life - 268 uses.
36. good - 263 uses.
37. uh - 259 uses.
38. new - 257 uses.
39. give - 254 uses.
40. only - 253 uses.
41. ayy - 252 uses.
42. put - 252 uses.
43. through - 249 uses.
44. always - 240 uses.
45. gon - 235 uses.
46. ya - 232 uses.
47. city - 229 uses.
48. best - 228 uses.
49. bitch - 221 uses.
50. keep - 217 uses.
51. bout - 212 uses.
52. tryna - 212 uses.
53. everything - 211 uses.
54. yall - 211 uses.
55. hit - 204 uses.
56. girls - 199 uses.
57. night - 198 uses.
58. thing - 195 uses.
59. around - 192 uses.
60. better - 192 uses.
61. much - 190 uses.
62. same - 190 uses.
63. friends - 188 uses.
64. fuckin - 182 uses.
65. boy - 180 uses.
66. home - 175 uses.
67. should - 173 uses.
68. show - 171 uses.
69. big - 168 uses.
70. lot - 167 uses.
71. well - 166 uses.
72. told - 166 uses.
73. whoa - 164 uses.
74. ima - 164 uses.
75. young - 164 uses.
76. hard - 164 uses.
77. again - 163 uses.
78. whats - 162 uses.
79. turn - 160 uses.
80. own - 158 uses.
81. live - 157 uses.
82. used - 156 uses.
83. theres - 154 uses.
84. long - 153 uses.
85. whole - 150 uses.
86. guess - 149 uses.
87. mind - 147 uses.
88. going - 139 uses.
