Most used words by Drive-By Truckers: 
Number of songs scanned: 175

1. down - 196 uses.
2. never - 130 uses.
3. love - 109 uses.
4. about - 104 uses.
5. back - 104 uses.
6. take - 90 uses.
7. home - 90 uses.
8. away - 82 uses.
9. through - 78 uses.
10. little - 77 uses.
11. every - 73 uses.
12. night - 71 uses.
13. tell - 70 uses.
14. good - 70 uses.
15. old - 65 uses.
16. keep - 64 uses.
17. before - 64 uses.
18. better - 63 uses.
19. town - 62 uses.
20. let - 61 uses.
21. ever - 58 uses.
22. around - 57 uses.
23. only - 57 uses.
24. daddy - 56 uses.
25. again - 56 uses.
26. told - 53 uses.
27. left - 52 uses.
28. thing - 52 uses.
29. another - 51 uses.
30. long - 51 uses.
31. last - 50 uses.
32. put - 48 uses.
33. hard - 48 uses.
34. here - 48 uses.
35. much - 47 uses.
36. always - 46 uses.
37. came - 46 uses.
38. enough - 45 uses.
39. right - 45 uses.
40. gone - 44 uses.
41. life - 44 uses.
42. things - 44 uses.
43. over - 44 uses.
44. big - 43 uses.
45. took - 42 uses.
46. mama - 41 uses.
47. world - 41 uses.
48. used - 40 uses.
49. think - 40 uses.
50. went - 40 uses.
51. sometimes - 38 uses.
52. friends - 38 uses.
53. something - 38 uses.
54. till - 38 uses.
55. give - 38 uses.
56. house - 38 uses.
57. feel - 37 uses.
58. trying - 37 uses.
59. everybody - 36 uses.
60. thought - 36 uses.
61. need - 36 uses.
62. might - 36 uses.
63. hear - 35 uses.
64. even - 35 uses.
65. guess - 35 uses.
66. seen - 35 uses.
67. hell - 35 uses.
68. new - 35 uses.
69. sun - 35 uses.
70. nothing - 34 uses.
71. needs - 34 uses.
72. baby - 33 uses.
73. while - 33 uses.
74. train - 33 uses.
75. easy - 32 uses.
76. family - 31 uses.
77. mean - 31 uses.
78. done - 31 uses.
79. sure - 31 uses.
80. car - 31 uses.
81. alabama - 31 uses.
82. boys - 30 uses.
83. shit - 30 uses.
84. door - 30 uses.
85. far - 30 uses.
86. lot - 30 uses.
87. after - 30 uses.
88. men - 29 uses.
89. end - 29 uses.
90. until - 29 uses.
91. light - 29 uses.
92. dead - 29 uses.
93. everything - 28 uses.
94. live - 28 uses.
95. girl - 28 uses.
96. same - 28 uses.
97. living - 28 uses.
98. saw - 28 uses.
99. knew - 28 uses.
100. gun - 28 uses.
101. eyes - 27 uses.
