Most used words by EDEN: 
Number of songs scanned: 82

1. love - 149 uses.
2. down - 92 uses.
3. feel - 91 uses.
4. never - 78 uses.
5. think - 69 uses.
6. nothing - 65 uses.
7. let - 63 uses.
8. back - 59 uses.
9. right - 58 uses.
10. keep - 54 uses.
11. through - 51 uses.
12. need - 50 uses.
13. falling - 49 uses.
14. only - 48 uses.
15. better - 48 uses.
16. away - 43 uses.
17. good - 43 uses.
18. um - 43 uses.
19. here - 43 uses.
20. looking - 42 uses.
21. really - 41 uses.
22. night - 40 uses.
23. much - 39 uses.
24. maybe - 39 uses.
25. lost - 38 uses.
26. last - 37 uses.
27. always - 37 uses.
28. running - 37 uses.
29. over - 36 uses.
30. home - 35 uses.
31. head - 35 uses.
32. wanted - 34 uses.
33. long - 33 uses.
34. myself - 33 uses.
35. ever - 32 uses.
36. thought - 32 uses.
37. everything - 31 uses.
38. end - 31 uses.
39. things - 31 uses.
40. words - 30 uses.
41. fall - 29 uses.
42. take - 28 uses.
43. chasing - 28 uses.
44. dreams - 27 uses.
45. again - 27 uses.
46. new - 27 uses.
47. life - 27 uses.
48. mind - 26 uses.
49. run - 26 uses.
50. even - 26 uses.
51. guess - 25 uses.
52. fake - 25 uses.
53. dream - 23 uses.
54. since - 23 uses.
55. hold - 23 uses.
56. til - 23 uses.
57. another - 23 uses.
58. gone - 23 uses.
59. enough - 22 uses.
60. world - 22 uses.
61. live - 22 uses.
62. going - 22 uses.
63. stop - 22 uses.
64. years - 22 uses.
65. sky - 22 uses.
66. crazy - 22 uses.
67. talk - 21 uses.
68. hard - 21 uses.
69. forget - 21 uses.
70. leave - 20 uses.
71. thinking - 20 uses.
72. light - 20 uses.
73. found - 20 uses.
74. times - 20 uses.
75. place - 20 uses.
76. mean - 20 uses.
77. wrong - 20 uses.
78. about - 20 uses.
79. morning - 20 uses.
80. sleep - 19 uses.
81. coming - 19 uses.
82. something - 19 uses.
83. feeling - 19 uses.
84. hope - 19 uses.
85. please - 19 uses.
86. far - 19 uses.
87. ghosts - 18 uses.
88. feels - 18 uses.
89. baby - 18 uses.
90. done - 18 uses.
91. breathe - 18 uses.
92. eyes - 17 uses.
93. girl - 17 uses.
94. easy - 17 uses.
95. slow - 17 uses.
96. alright - 17 uses.
97. change - 17 uses.
98. dying - 17 uses.
99. heart - 17 uses.
100. god - 16 uses.
101. gotta - 16 uses.
102. scared - 16 uses.
103. around - 16 uses.
104. try - 16 uses.
105. woah - 16 uses.
106. fast - 16 uses.
107. hear - 15 uses.
108. shit - 15 uses.
109. same - 15 uses.
110. every - 15 uses.
111. dark - 15 uses.
112. trying - 15 uses.
113. break - 15 uses.
114. past - 15 uses.
115. fucking - 15 uses.
116. living - 15 uses.
117. tripping - 15 uses.
118. till - 14 uses.
119. die - 14 uses.
120. weve - 14 uses.
121. best - 14 uses.
122. seen - 14 uses.
123. fade - 14 uses.
124. told - 14 uses.
125. own - 14 uses.
126. tell - 14 uses.
127. burn - 14 uses.
128. heard - 14 uses.
129. dreaming - 14 uses.
130. somehow - 13 uses.
131. feet - 13 uses.
132. year - 13 uses.
133. before - 13 uses.
134. comes - 13 uses.
135. stay - 13 uses.
136. singing - 13 uses.
137. thoughts - 13 uses.
138. believe - 13 uses.
139. cos - 13 uses.
140. silence - 12 uses.
141. lie - 12 uses.
142. screaming - 12 uses.
143. old - 12 uses.
144. doing - 12 uses.
145. lets - 12 uses.
146. though - 12 uses.
147. leaving - 12 uses.
148. lose - 12 uses.
149. holding - 12 uses.
150. forever - 12 uses.
151. stars - 12 uses.
152. knew - 12 uses.
153. saying - 12 uses.
154. thing - 11 uses.
155. second - 11 uses.
156. wave - 11 uses.
157. remember - 11 uses.
158. sun - 11 uses.
159. left - 11 uses.
160. lying - 11 uses.
161. moving - 11 uses.
162. waiting - 11 uses.
163. cold - 11 uses.
164. catch - 11 uses.
165. until - 11 uses.
166. loved - 11 uses.
167. start - 11 uses.
168. anything - 11 uses.
169. slowly - 11 uses.
170. gon - 11 uses.
171. fallout - 11 uses.
172. reason - 10 uses.
173. saw - 10 uses.
174. yourself - 10 uses.
175. burning - 10 uses.
176. losing - 10 uses.
177. came - 10 uses.
178. those - 10 uses.
179. behind - 10 uses.
180. together - 10 uses.
181. felt - 10 uses.
182. days - 10 uses.
183. stand - 10 uses.
184. swear - 10 uses.
185. uh - 10 uses.
186. move - 10 uses.
187. almost - 10 uses.
188. matter - 10 uses.
189. does - 10 uses.
190. everybody - 9 uses.
191. first - 9 uses.
192. used - 9 uses.
193. couldnt - 9 uses.
194. give - 9 uses.
195. death - 9 uses.
196. sing - 9 uses.
197. anyway - 9 uses.
198. because - 9 uses.
199. people - 9 uses.
200. whats - 9 uses.
201. whoa - 9 uses.
202. fear - 9 uses.
203. while - 9 uses.
204. started - 9 uses.
205. walls - 9 uses.
206. apart - 9 uses.
207. whatever - 9 uses.
208. friends - 9 uses.
209. blue - 9 uses.
210. care - 9 uses.
211. real - 9 uses.
212. bring - 9 uses.
213. doesnt - 9 uses.
214. scream - 9 uses.
215. music - 9 uses.
216. least - 9 uses.
217. close - 8 uses.
218. high - 8 uses.
219. save - 8 uses.
220. learning - 8 uses.
221. hey - 8 uses.
222. okay - 8 uses.
223. fight - 8 uses.
224. fire - 8 uses.
225. being - 8 uses.
226. plans - 8 uses.
227. happened - 8 uses.
228. alive - 8 uses.
229. wait - 8 uses.
230. taking - 8 uses.
231. someone - 8 uses.
232. most - 8 uses.
233. lines - 8 uses.
234. played - 8 uses.
235. alone - 8 uses.
236. spent - 8 uses.
237. stopping - 8 uses.
238. fault - 8 uses.
239. outside - 8 uses.
240. seconds - 8 uses.
241. changing - 8 uses.
242. few - 8 uses.
243. blame - 8 uses.
244. grew - 8 uses.
245. cool - 8 uses.
246. fucked - 8 uses.
247. drifter - 8 uses.
248. went - 7 uses.
249. fine - 7 uses.
250. tried - 7 uses.
251. rain - 7 uses.
252. half - 7 uses.
253. turn - 7 uses.
254. learn - 7 uses.
255. havent - 7 uses.
256. free - 7 uses.
257. miss - 7 uses.
258. nights - 7 uses.
259. three - 7 uses.
260. feelings - 7 uses.
