Most used words by Enter Shikari: 
Number of songs scanned: 103

1. here - 99 uses.
2. down - 81 uses.
3. weve - 63 uses.
4. tonight - 63 uses.
5. keep - 62 uses.
6. back - 60 uses.
7. only - 59 uses.
8. stand - 56 uses.
9. take - 55 uses.
10. through - 55 uses.
11. getting - 55 uses.
12. feel - 53 uses.
13. outside - 51 uses.
14. again - 50 uses.
15. live - 50 uses.
16. eyes - 49 uses.
17. everything - 44 uses.
18. life - 43 uses.
19. nothing - 39 uses.
20. never - 38 uses.
21. any - 38 uses.
22. think - 38 uses.
23. sleep - 38 uses.
24. truth - 37 uses.
25. lets - 36 uses.
26. world - 35 uses.
27. whats - 35 uses.
28. face - 34 uses.
29. lost - 34 uses.
30. air - 34 uses.
31. something - 34 uses.
32. gotta - 33 uses.
33. mind - 33 uses.
34. better - 33 uses.
35. sinking - 32 uses.
36. away - 32 uses.
37. inside - 32 uses.
38. about - 31 uses.
39. fucking - 30 uses.
40. right - 30 uses.
41. together - 30 uses.
42. another - 29 uses.
43. always - 29 uses.
44. new - 28 uses.
45. step - 27 uses.
46. trying - 27 uses.
47. alive - 27 uses.
48. need - 26 uses.
49. head - 26 uses.
50. thought - 26 uses.
51. late - 26 uses.
52. stop - 25 uses.
53. welcome - 25 uses.
54. done - 25 uses.
55. hold - 24 uses.
56. give - 24 uses.
57. end - 24 uses.
58. ever - 24 uses.
59. wait - 23 uses.
60. hear - 23 uses.
61. far - 23 uses.
62. cos - 23 uses.
63. even - 22 uses.
64. unknown - 22 uses.
65. own - 22 uses.
66. people - 22 uses.
67. earth - 22 uses.
68. true - 22 uses.
69. yes - 22 uses.
70. mean - 21 uses.
71. feeling - 21 uses.
72. let - 21 uses.
73. king - 21 uses.
74. last - 21 uses.
75. under - 20 uses.
76. must - 20 uses.
77. against - 20 uses.
78. fret - 20 uses.
79. ourselves - 20 uses.
80. write - 20 uses.
81. over - 19 uses.
82. fall - 19 uses.
83. woah - 19 uses.
84. left - 19 uses.
85. blood - 19 uses.
86. goes - 19 uses.
87. behind - 19 uses.
88. apart - 19 uses.
89. nervous - 19 uses.
90. believe - 18 uses.
91. great - 18 uses.
92. every - 18 uses.
93. class - 18 uses.
94. standing - 18 uses.
95. heads - 18 uses.
96. house - 18 uses.
97. set - 18 uses.
98. soil - 18 uses.
99. lies - 18 uses.
100. stay - 17 uses.
101. cannot - 17 uses.
102. sun - 17 uses.
103. dark - 17 uses.
104. anyone - 17 uses.
105. living - 17 uses.
106. price - 17 uses.
107. stars - 17 uses.
108. show - 17 uses.
109. love - 17 uses.
110. yourself - 17 uses.
111. statues - 17 uses.
112. anaesthetist - 17 uses.
113. walls - 16 uses.
114. white - 16 uses.
115. remember - 16 uses.
116. cold - 16 uses.
117. try - 16 uses.
118. beginning - 16 uses.
119. should - 16 uses.
120. break - 16 uses.
121. bed - 16 uses.
122. wide - 16 uses.
123. little - 16 uses.
124. same - 16 uses.
125. hands - 16 uses.
126. lungs - 16 uses.
127. sick - 16 uses.
128. seems - 16 uses.
129. best - 16 uses.
130. aware - 16 uses.
131. figure - 15 uses.
132. lifeline - 15 uses.
133. soul - 15 uses.
134. seen - 15 uses.
135. ask - 15 uses.
136. voice - 15 uses.
