Most used words by Falling In Reverse: 
Number of songs scanned: 66

1. na - 211 uses.
2. la - 110 uses.
3. down - 82 uses.
4. always - 76 uses.
5. never - 69 uses.
6. bad - 65 uses.
7. life - 62 uses.
8. better - 60 uses.
9. believe - 59 uses.
10. back - 58 uses.
11. right - 58 uses.
12. here - 57 uses.
13. let - 57 uses.
14. where - 57 uses.
15. through - 56 uses.
16. love - 54 uses.
17. mind - 53 uses.
18. heart - 51 uses.
19. fuck - 49 uses.
20. keep - 49 uses.
21. again - 48 uses.
22. world - 46 uses.
23. take - 44 uses.
24. hate - 44 uses.
25. over - 43 uses.
26. feel - 42 uses.
27. hard - 41 uses.
28. wanna - 40 uses.
29. give - 40 uses.
30. things - 39 uses.
31. well - 39 uses.
32. end - 38 uses.
33. tell - 37 uses.
34. friends - 37 uses.
35. away - 36 uses.
36. alone - 35 uses.
37. myself - 35 uses.
38. need - 35 uses.
39. gotta - 35 uses.
40. only - 35 uses.
41. everyone - 34 uses.
42. left - 34 uses.
43. die - 34 uses.
44. stop - 33 uses.
45. ever - 33 uses.
46. whoa - 33 uses.
47. best - 32 uses.
48. forever - 32 uses.
49. matter - 31 uses.
50. please - 31 uses.
51. fucking - 31 uses.
52. good - 31 uses.
53. home - 30 uses.
54. god - 30 uses.
55. want - 30 uses.
56. try - 29 uses.
57. living - 29 uses.
58. eyes - 29 uses.
59. help - 29 uses.
60. done - 28 uses.
61. because - 28 uses.
62. something - 28 uses.
63. losing - 28 uses.
64. really - 27 uses.
65. think - 27 uses.
66. far - 27 uses.
67. falling - 27 uses.
68. thing - 27 uses.
69. goodbye - 27 uses.
70. girls - 27 uses.
71. long - 26 uses.
72. hell - 26 uses.
73. makes - 26 uses.
74. lost - 26 uses.
75. thats - 25 uses.
76. must - 25 uses.
77. hey - 25 uses.
78. save - 24 uses.
79. still - 24 uses.
80. own - 24 uses.
81. even - 24 uses.
82. stay - 24 uses.
83. else - 24 uses.
84. guess - 23 uses.
85. coming - 23 uses.
86. gonna - 23 uses.
87. hope - 23 uses.
88. head - 23 uses.
89. last - 23 uses.
90. doubt - 23 uses.
91. break - 23 uses.
92. top - 23 uses.
93. same - 23 uses.
94. fall - 22 uses.
95. times - 22 uses.
96. days - 21 uses.
97. hold - 21 uses.
98. without - 21 uses.
99. boy - 20 uses.
100. nothing - 20 uses.
101. drug - 20 uses.
102. pain - 20 uses.
103. sorry - 20 uses.
104. theres - 20 uses.
105. girl - 20 uses.
106. every - 19 uses.
107. everything - 19 uses.
108. trying - 19 uses.
109. wrong - 19 uses.
110. killing - 19 uses.
111. goddamn - 19 uses.
112. most - 19 uses.
113. free - 18 uses.
114. around - 18 uses.
115. face - 18 uses.
116. leave - 18 uses.
117. sing - 18 uses.
118. high - 18 uses.
119. lives - 18 uses.
120. searching - 18 uses.
121. broken - 17 uses.
122. change - 17 uses.
123. sick - 17 uses.
124. late - 17 uses.
125. id - 17 uses.
126. friend - 17 uses.
127. baby - 17 uses.
128. pick - 17 uses.
129. while - 16 uses.
130. getting - 16 uses.
131. wait - 16 uses.
132. okay - 16 uses.
133. much - 16 uses.
134. holding - 16 uses.
135. after - 15 uses.
136. set - 15 uses.
137. shit - 15 uses.
138. open - 15 uses.
139. start - 15 uses.
140. before - 15 uses.
141. walk - 15 uses.
142. become - 15 uses.
143. apart - 15 uses.
144. song - 15 uses.
145. another - 14 uses.
146. music - 14 uses.
147. soul - 14 uses.
148. whole - 14 uses.
149. should - 14 uses.
150. knowing - 14 uses.
151. person - 14 uses.
152. smile - 14 uses.
153. youll - 14 uses.
154. tried - 14 uses.
155. work - 14 uses.
156. win - 14 uses.
157. everybody - 14 uses.
158. popular - 14 uses.
159. overboard - 14 uses.
160. truth - 13 uses.
161. between - 13 uses.
162. drugs - 13 uses.
163. lies - 13 uses.
164. price - 13 uses.
165. ready - 13 uses.
166. blame - 13 uses.
167. run - 13 uses.
168. stops - 13 uses.
169. miss - 13 uses.
170. goes - 13 uses.
171. whats - 13 uses.
172. mess - 13 uses.
173. told - 13 uses.
174. mother - 13 uses.
175. death - 13 uses.
176. inside - 13 uses.
177. lose - 13 uses.
178. standing - 13 uses.
179. going - 13 uses.
180. wandering - 13 uses.
181. thought - 13 uses.
182. everybodys - 13 uses.
183. gangstas - 13 uses.
184. paradise - 13 uses.
185. doesnt - 13 uses.
186. youve - 12 uses.
187. straight - 12 uses.
188. found - 12 uses.
189. making - 12 uses.
190. rolling - 12 uses.
191. live - 12 uses.
192. spinning - 12 uses.
193. dear - 12 uses.
194. alive - 12 uses.
195. running - 12 uses.
196. dead - 12 uses.
197. somebody - 12 uses.
198. follow - 12 uses.
199. fight - 12 uses.
200. enough - 12 uses.
201. phone - 12 uses.
202. next - 12 uses.
203. spending - 12 uses.
204. oooh - 12 uses.
205. ohhh - 12 uses.
206. dream - 11 uses.
207. might - 11 uses.
208. past - 11 uses.
209. fact - 11 uses.
210. fear - 11 uses.
211. gone - 11 uses.
212. dark - 11 uses.
213. telling - 11 uses.
214. cry - 11 uses.
215. born - 11 uses.
216. loser - 11 uses.
217. hanging - 11 uses.
218. looking - 11 uses.
219. mean - 11 uses.
220. hit - 11 uses.
221. seems - 10 uses.
222. night - 10 uses.
223. scene - 10 uses.
224. place - 10 uses.
225. above - 10 uses.
226. disappear - 10 uses.
227. dreams - 10 uses.
228. worth - 10 uses.
229. stone - 10 uses.
230. blood - 10 uses.
231. raised - 10 uses.
232. trapped - 10 uses.
233. lets - 10 uses.
234. watch - 10 uses.
235. sky - 10 uses.
236. comes - 10 uses.
237. knows - 10 uses.
238. tired - 10 uses.
239. someone - 10 uses.
240. edge - 10 uses.
241. town - 10 uses.
242. kiss - 10 uses.
243. line - 10 uses.
244. worse - 10 uses.
245. ones - 10 uses.
246. play - 10 uses.
247. veins - 10 uses.
248. sakes - 10 uses.
249. hearts - 10 uses.
250. neck - 10 uses.
251. ha - 10 uses.
252. swim - 10 uses.
253. rest - 10 uses.
254. reason - 9 uses.
255. little - 9 uses.
256. turn - 9 uses.
257. old - 9 uses.
258. clear - 9 uses.
259. does - 9 uses.
260. score - 9 uses.
261. game - 9 uses.
262. yourself - 9 uses.
263. pretending - 9 uses.
264. hurt - 9 uses.
265. kids - 9 uses.
266. finally - 9 uses.
267. hands - 9 uses.
268. praying - 9 uses.
269. fail - 9 uses.
270. feet - 9 uses.
271. meant - 9 uses.
272. pulling - 9 uses.
273. today - 9 uses.
274. til - 9 uses.
275. hurts - 9 uses.
276. bit - 9 uses.
277. real - 9 uses.
278. known - 9 uses.
279. carry - 9 uses.
280. rise - 9 uses.
281. superhero - 9 uses.
282. sink - 9 uses.
283. three - 9 uses.
284.  - 9 uses.
285. club - 9 uses.
286. yes - 8 uses.
287. motherfucker - 8 uses.
288. bring - 8 uses.
289. gets - 8 uses.
290. theyre - 8 uses.
291. hand - 8 uses.
292. happens - 8 uses.
293. vision - 8 uses.
294. truly - 8 uses.
295. understand - 8 uses.
296. pay - 8 uses.
297. evil - 8 uses.
298. worst - 8 uses.
299. misery - 8 uses.
300. winning - 8 uses.
301. demons - 8 uses.
302. ouija - 8 uses.
303. boards - 8 uses.
304. being - 8 uses.
305. faster - 8 uses.
306. show - 8 uses.
307. monster - 8 uses.
308. able - 8 uses.
309. father - 8 uses.
310. honor - 8 uses.
311. alright - 8 uses.
312. tragedy - 8 uses.
313. bed - 8 uses.
314. advice - 8 uses.
315. doing - 8 uses.
316. champion - 8 uses.
317. talk - 8 uses.
318. insane - 8 uses.
319. watching - 8 uses.
320. charlie - 8 uses.
321. message - 8 uses.
322. belong - 8 uses.
323. very - 7 uses.
324. zone - 7 uses.
325. surrender - 7 uses.
326. kill - 7 uses.
327. sometimes - 7 uses.
328. king - 7 uses.
329. ronnie - 7 uses.
330. lived - 7 uses.
331. prevail - 7 uses.
332. spill - 7 uses.
333. true - 7 uses.
334. motherfucking - 7 uses.
335. close - 7 uses.
336. guy - 7 uses.
337. house - 7 uses.
338. dying - 7 uses.
339. enemy - 7 uses.
340. weve - 7 uses.
341. final - 7 uses.
342. behind - 7 uses.
343. door - 7 uses.
344. pull - 7 uses.
345. consume - 7 uses.
346. low - 7 uses.
347. years - 7 uses.
348. words - 7 uses.
349. fell - 7 uses.
350. devil - 7 uses.
351. control - 7 uses.
352. died - 7 uses.
353. ground - 7 uses.
354. sense - 7 uses.
355. sexy - 7 uses.
356. gravity - 7 uses.
357. strong - 7 uses.
358. hear - 7 uses.
359. bones - 7 uses.
360. coursing - 7 uses.
361. cold - 7 uses.
362. throat - 7 uses.
363. famous - 7 uses.
364. sex - 7 uses.
365. i-h-a-t-e - 7 uses.
366. guys - 7 uses.
367. question - 7 uses.
368. victim - 7 uses.
369. apologize - 6 uses.
370. daddy - 6 uses.
371. lot - 6 uses.
372. listen - 6 uses.
373. wake - 6 uses.
374. having - 6 uses.
375. until - 6 uses.
376. care - 6 uses.
377. scars - 6 uses.
378. damn - 6 uses.
379. star - 6 uses.
380. cross - 6 uses.
381. talking - 6 uses.
382. seen - 6 uses.
383. breath - 6 uses.
384. saved - 6 uses.
385. staring - 6 uses.
386. kind - 6 uses.
387. thoughts - 6 uses.
388. actually - 6 uses.
389. reach - 6 uses.
390. distant - 6 uses.
391. answer - 6 uses.
392. tears - 6 uses.
393. stage - 6 uses.
394. empty - 6 uses.
395. mud - 6 uses.
396. together - 6 uses.
397. theyll - 6 uses.
398. brother - 6 uses.
399. giving - 6 uses.
400. vampire - 6 uses.
401. goodness - 6 uses.
402. name - 6 uses.
403. seem - 6 uses.
404. grateful - 6 uses.
405. turned - 6 uses.
406. deserve - 6 uses.
407. bah - 6 uses.
408. loves - 6 uses.
409. farewell - 6 uses.
410. lifes - 6 uses.
411. sad - 6 uses.
412. act - 6 uses.
413. playing - 6 uses.
414. lalalalala - 6 uses.
415. feels - 5 uses.
416. attention - 5 uses.
417. deep - 5 uses.
418. cannot - 5 uses.
419. stuck - 5 uses.
420. waiting - 5 uses.
421. lead - 5 uses.
422. fire - 5 uses.
423. bottle - 5 uses.
424. cut - 5 uses.
425. fears - 5 uses.
426. aware - 5 uses.
427. asshole - 5 uses.
428. though - 5 uses.
429. honestly - 5 uses.
430. case - 5 uses.
431. since - 5 uses.
432. luck - 5 uses.
433. moment - 5 uses.
434. went - 5 uses.
435. calling - 5 uses.
436. prison - 5 uses.
437. fake - 5 uses.
438. stand - 5 uses.
439. stupid - 5 uses.
440. ourselves - 5 uses.
441. sinking - 5 uses.
442. hoping - 5 uses.
443. mama - 5 uses.
444. under - 5 uses.
445. walking - 5 uses.
446. once - 5 uses.
447. knew - 5 uses.
448. sacrifice - 5 uses.
449. burning - 5 uses.
450. upon - 5 uses.
451. single - 5 uses.
452. darkness - 5 uses.
453. wish - 5 uses.
454. fails - 5 uses.
455. hopes - 5 uses.
456. beat - 5 uses.
457. lady - 5 uses.
458. big - 5 uses.
459. dust - 5 uses.
460. settled - 5 uses.
461. microphone - 5 uses.
462. black - 5 uses.
463. reality - 5 uses.
464. light - 5 uses.
465. trust - 5 uses.
466. wouldve - 5 uses.
467. unsaid - 5 uses.
468. battle - 5 uses.
469. heavens - 5 uses.
470. spell - 5 uses.
471. prayer - 5 uses.
472. near - 5 uses.
473. already - 5 uses.
474. wear - 5 uses.
475. disease - 5 uses.
476. weight - 5 uses.
477. ghost - 5 uses.
478. hour - 5 uses.
479. biggest - 5 uses.
480. flames - 5 uses.
481. climbing - 5 uses.
482. chance - 5 uses.
483. spot - 5 uses.
484. held - 5 uses.
485. watched - 5 uses.
486. somehow - 5 uses.
487. caught - 5 uses.
488. draw - 5 uses.
489. started - 5 uses.
490. ways - 5 uses.
491. along - 5 uses.
492. cycle - 5 uses.
493. lie - 5 uses.
494. thankful - 5 uses.
495. slowly - 5 uses.
496. spent - 5 uses.
497. loved - 5 uses.
498. blue - 5 uses.
499. letting - 5 uses.
500. shameless - 5 uses.
501. bitch - 5 uses.
502. anyway - 5 uses.
503. slit - 5 uses.
504. hollywood - 5 uses.
505. waste - 5 uses.
506. finger - 5 uses.
507. remains - 5 uses.
508. plain - 5 uses.
509. games - 5 uses.
510. based - 5 uses.
