Most used words by Fiona Apple: 
Number of songs scanned: 67

1. love - 96 uses.
2. keep - 77 uses.
3. away - 65 uses.
4. started - 64 uses.
5. never - 64 uses.
6. down - 60 uses.
7. need - 55 uses.
8. ladies - 48 uses.
9. good - 46 uses.
10. let - 42 uses.
11. take - 42 uses.
12. only - 40 uses.
13. until - 38 uses.
14. please - 37 uses.
15. about - 37 uses.
16. hot - 36 uses.
17. move - 35 uses.
18. another - 34 uses.
19. back - 32 uses.
20. butter - 32 uses.
21. knife - 32 uses.
22. try - 31 uses.
23. baby - 30 uses.
24. feel - 29 uses.
25. again - 29 uses.
26. jolene - 29 uses.
27. should - 27 uses.
28. nothing - 27 uses.
29. gone - 25 uses.
30. shut - 25 uses.
31. long - 24 uses.
32. around - 24 uses.
33. talk - 24 uses.
34. because - 24 uses.
35. much - 24 uses.
36. give - 24 uses.
37. under - 23 uses.
38. bolt - 23 uses.
39. alone - 22 uses.
40. potential - 22 uses.
41. took - 21 uses.
42. through - 21 uses.
43. fetch - 21 uses.
44. cutters - 21 uses.
45. shameika - 21 uses.
46. kiss - 20 uses.
47. better - 20 uses.
48. while - 19 uses.
49. world - 19 uses.
50. dance - 19 uses.
51. heart - 19 uses.
52. next - 19 uses.
53. left - 18 uses.
54. trying - 18 uses.
55. here - 18 uses.
56. right - 18 uses.
57. honey - 18 uses.
58. pass - 18 uses.
59. anything - 18 uses.
60. beg - 18 uses.
61. evil - 18 uses.
62. always - 17 uses.
63. mean - 17 uses.
64. change - 17 uses.
65. over - 17 uses.
66. myself - 17 uses.
67. steady - 17 uses.
68. think - 16 uses.
69. even - 16 uses.
70. whatever - 16 uses.
71. believe - 16 uses.
72. thing - 16 uses.
73. every - 16 uses.
74. used - 16 uses.
75. burned - 16 uses.
76. sure - 16 uses.
77. being - 16 uses.
78. turns - 16 uses.
79. makes - 15 uses.
80. tell - 15 uses.
81. little - 15 uses.
82. door - 15 uses.
83. show - 15 uses.
84. kick - 15 uses.
85. relay - 15 uses.
86. sport - 15 uses.
87. torch - 15 uses.
88. run - 14 uses.
89. something - 14 uses.
90. stay - 14 uses.
91. done - 14 uses.
92. understand - 14 uses.
93. yet - 14 uses.
94. everything - 14 uses.
95. big - 14 uses.
96. rush - 14 uses.
97. window - 14 uses.
98. break - 14 uses.
99. prove - 14 uses.
100. toward - 14 uses.
101. hand - 13 uses.
102. far - 13 uses.
103. stop - 13 uses.
104. begging - 13 uses.
105. happens - 13 uses.
106. really - 12 uses.
107. girl - 12 uses.
108. wrong - 12 uses.
109. play - 12 uses.
110. enough - 12 uses.
111. leave - 12 uses.
112. nothings - 12 uses.
113. told - 12 uses.
114. own - 12 uses.
115. life - 12 uses.
116. went - 12 uses.
117. stand - 12 uses.
118. fast - 12 uses.
119. help - 12 uses.
120. table - 12 uses.
121. resent - 12 uses.
122. figure - 11 uses.
123. maybe - 11 uses.
124. different - 11 uses.
125. fuck - 11 uses.
126. wanted - 11 uses.
127. knew - 11 uses.
128. hold - 11 uses.
129. mind - 11 uses.
130. cry - 11 uses.
131. soon - 11 uses.
132. chance - 11 uses.
133. same - 11 uses.
134. red - 11 uses.
135. wasnt - 11 uses.
136. thought - 11 uses.
137. close - 11 uses.
138. climb - 11 uses.
139. must - 11 uses.
140. bird - 11 uses.
141. other - 11 uses.
142. start - 11 uses.
143. bad - 11 uses.
144. disagree - 11 uses.
145. loving - 10 uses.
146. times - 10 uses.
147. before - 10 uses.
148. light - 10 uses.
149. last - 10 uses.
150. blue - 10 uses.
151. bed - 10 uses.
152. night - 10 uses.
153. mine - 10 uses.
154. does - 10 uses.
155. things - 10 uses.
156. head - 10 uses.
157. seem - 10 uses.
158. hard - 10 uses.
159. once - 10 uses.
160. view - 10 uses.
161. wait - 10 uses.
162. going - 10 uses.
163. kill - 10 uses.
164. anymore - 9 uses.
165. face - 9 uses.
166. except - 9 uses.
167. eyes - 9 uses.
168. sink - 9 uses.
169. o - 9 uses.
170. forget - 9 uses.
171. cannot - 9 uses.
172. feet - 9 uses.
173. shame - 9 uses.
174. came - 9 uses.
175. kind - 9 uses.
176. ever - 9 uses.
177. heavy - 9 uses.
178. looking - 9 uses.
179. put - 9 uses.
180. singing - 9 uses.
181. showing - 9 uses.
182. live - 9 uses.
183. fact - 9 uses.
184. mess - 9 uses.
185. disagrees - 9 uses.
186. woman - 9 uses.
187. periphery - 8 uses.
188. clear - 8 uses.
189. forgive - 8 uses.
190. couple - 8 uses.
191. cosmonauts - 8 uses.
192. gravity - 8 uses.
193. voice - 8 uses.
194. wave - 8 uses.
195. friend - 8 uses.
196. whats - 8 uses.
197. song - 8 uses.
198. open - 8 uses.
199. warm - 8 uses.
200. giving - 8 uses.
201. second - 8 uses.
202. fight - 8 uses.
203. till - 8 uses.
204. hell - 8 uses.
205. first - 8 uses.
206. lies - 8 uses.
207. spread - 8 uses.
208. strawberries - 8 uses.
209. peas - 8 uses.
210. beans - 8 uses.
211. letting - 8 uses.
212. hope - 8 uses.
213. sitting - 8 uses.
214. fun - 8 uses.
215. saying - 8 uses.
216. cinemascope - 8 uses.
217. screen - 8 uses.
218. dancing - 8 uses.
219. paradise - 8 uses.
220. pat - 8 uses.
221. any - 8 uses.
222. already - 8 uses.
223. hunger - 8 uses.
224. hurts - 8 uses.
225. high - 8 uses.
226. whom - 8 uses.
227. river - 8 uses.
228. lar-go - 8 uses.
229. bear - 7 uses.
230. name - 7 uses.
231. people - 7 uses.
