Most used words by Fleet Foxes: 
Number of songs scanned: 59

1. love - 38 uses.
2. down - 36 uses.
3. only - 35 uses.
4. morning - 31 uses.
5. night - 29 uses.
6. life - 29 uses.
7. through - 26 uses.
8. back - 26 uses.
9. old - 26 uses.
10. oh-oh-oh - 24 uses.
11. need - 24 uses.
12. light - 23 uses.
13. long - 22 uses.
14. today - 22 uses.
15. keep - 21 uses.
16. water - 21 uses.
17. tell - 20 uses.
18. over - 19 uses.
19. home - 19 uses.
20. hold - 19 uses.
21. lay - 18 uses.
22. little - 17 uses.
23. walk - 17 uses.
24. baby - 17 uses.
25. never - 16 uses.
26. knew - 15 uses.
27. ever - 15 uses.
28. wait - 15 uses.
29. rain - 15 uses.
30. let - 15 uses.
31. ocean - 15 uses.
32. dream - 14 uses.
33. mind - 14 uses.
34. sun - 14 uses.
35. hand - 14 uses.
36. much - 14 uses.
37. though - 14 uses.
38. hot - 14 uses.
39. other - 14 uses.
40. lead - 14 uses.
41. remember - 13 uses.
42. believe - 13 uses.
43. good - 13 uses.
44. red - 12 uses.
45. turn - 12 uses.
46. alone - 12 uses.
47. left - 12 uses.
48. young - 12 uses.
49. eyes - 12 uses.
50. news - 12 uses.
51. textbook - 12 uses.
52. following - 11 uses.
53. round - 11 uses.
54. fire - 11 uses.
55. saw - 11 uses.
56. wherever - 11 uses.
57. ooh - 11 uses.
58. die - 11 uses.
59. change - 11 uses.
60. gone - 11 uses.
61. son - 11 uses.
62. last - 11 uses.
63. white - 10 uses.
64. every - 10 uses.
65. dear - 10 uses.
66. air - 10 uses.
67. soon - 10 uses.
68. away - 10 uses.
69. after - 10 uses.
70. should - 10 uses.
71. run - 10 uses.
72. line - 10 uses.
73. while - 10 uses.
74. came - 10 uses.
75. holding - 10 uses.
76. nothing - 10 uses.
77. again - 10 uses.
78. even - 10 uses.
79. high - 9 uses.
80. summer - 9 uses.
81. sunlight - 9 uses.
82. maybe - 9 uses.
83. till - 9 uses.
84. blue - 9 uses.
85. rising - 9 uses.
86. river - 9 uses.
87. passing - 9 uses.
88. wrong - 9 uses.
89. eye - 9 uses.
90. beat - 9 uses.
91. falling - 8 uses.
92. turned - 8 uses.
93. brother - 8 uses.
94. someday - 8 uses.
95. sing - 8 uses.
96. gold - 8 uses.
97. dawn - 8 uses.
98. anything - 8 uses.
99. true - 8 uses.
100. coming - 8 uses.
101. here - 8 uses.
102. better - 8 uses.
103. face - 8 uses.
104. thought - 8 uses.
105. feet - 8 uses.
106. washed - 8 uses.
107. shape - 8 uses.
108. beside - 8 uses.
109. wind - 8 uses.
110. darkening - 8 uses.
111. snow - 7 uses.
112. fall - 7 uses.
113. beneath - 7 uses.
114. sight - 7 uses.
115. door - 7 uses.
116. anyone - 7 uses.
117. another - 7 uses.
118. teeth - 7 uses.
119. any - 7 uses.
120. cold - 7 uses.
121. done - 7 uses.
122. sky - 7 uses.
123. mine - 7 uses.
124. street - 7 uses.
125. bright - 7 uses.
126. sand - 7 uses.
127. try - 7 uses.
128. heard - 7 uses.
129. first - 7 uses.
130. dressed - 7 uses.
131. lie - 7 uses.
132. rays - 7 uses.
133. hanging - 6 uses.
134. week - 6 uses.
135. warm - 6 uses.
136. friends - 6 uses.
137. leave - 6 uses.
138. kept - 6 uses.
139. feel - 6 uses.
140. alive - 6 uses.
141. open - 6 uses.
142. whoa-oh-oh - 6 uses.
143. oh-oh - 6 uses.
144. coast - 6 uses.
145. waiting - 6 uses.
146. took - 6 uses.
147. often - 6 uses.
148. sure - 6 uses.
149. take - 6 uses.
150. outside - 6 uses.
151. work - 6 uses.
152. slow - 6 uses.
153. head - 6 uses.
154. golden - 6 uses.
155. near - 6 uses.
156. used - 6 uses.
157. past - 6 uses.
158. weather - 6 uses.
159. held - 6 uses.
160. right - 6 uses.
161. blind - 6 uses.
162. quiet - 6 uses.
163. devil - 6 uses.
164. days - 6 uses.
165. sea - 6 uses.
166. sign - 6 uses.
167. oliver - 6 uses.
168. james - 6 uses.
169. longer - 6 uses.
170. couldnt - 6 uses.
171. wander - 6 uses.
172. tied - 5 uses.
173. before - 5 uses.
174. forget - 5 uses.
175. half - 5 uses.
176. inside - 5 uses.
177. loud - 5 uses.
178. whats - 5 uses.
179. everything - 5 uses.
180. world - 5 uses.
181. hair - 5 uses.
182. lost - 5 uses.
183. shadow - 5 uses.
184. smoke - 5 uses.
185. same - 5 uses.
186. ring - 5 uses.
187. went - 5 uses.
188. enough - 5 uses.
189. fine - 5 uses.
190. might - 5 uses.
191. goes - 5 uses.
192. memory - 5 uses.
193. always - 5 uses.
194. shore - 5 uses.
195. girl - 5 uses.
196. sleep - 5 uses.
197. skin - 5 uses.
198. known - 5 uses.
199. floating - 5 uses.
200. hard - 5 uses.
201. window - 5 uses.
202. wouldnt - 5 uses.
203. miss - 5 uses.
204. song - 5 uses.
205. together - 5 uses.
206. within - 5 uses.
207. moving - 5 uses.
208. hardly - 5 uses.
209. about - 5 uses.
210. wide-eyed - 5 uses.
211. easy - 5 uses.
212. innisfree - 5 uses.
213. apples - 5 uses.
214. spring - 5 uses.
215. fools - 5 uses.
216. errand - 5 uses.
217. behind - 5 uses.
218. far - 4 uses.
219. heavy - 4 uses.
220. rose - 4 uses.
221. american - 4 uses.
222. leads - 4 uses.
223. arthur - 4 uses.
224. looking - 4 uses.
225. wide - 4 uses.
226. second - 4 uses.
227. among - 4 uses.
228. thinking - 4 uses.
229. something - 4 uses.
230. name - 4 uses.
231. move - 4 uses.
232. myself - 4 uses.
233. else - 4 uses.
234. orchard - 4 uses.
235. god - 4 uses.
236. under - 4 uses.
237. heat - 4 uses.
238. forest - 4 uses.
239. town - 4 uses.
240. turning - 4 uses.
241. times - 4 uses.
242. own - 4 uses.
243. both - 4 uses.
244. close - 4 uses.
245. isnt - 4 uses.
246. break - 4 uses.
247. dead - 4 uses.
248. daughter - 4 uses.
249. lies - 4 uses.
250. clean - 4 uses.
251. nearly - 4 uses.
252. caught - 4 uses.
253. runs - 4 uses.
254. new - 4 uses.
255. moon - 4 uses.
256. blood - 4 uses.
257. side - 4 uses.
258. mirage - 4 uses.
259. feeling - 4 uses.
260. weve - 4 uses.
261. ghost - 4 uses.
262. children - 4 uses.
263. stood - 4 uses.
264. losing - 4 uses.
265. think - 4 uses.
266. fight - 4 uses.
267. free - 4 uses.
268. silver - 4 uses.
269. shores - 4 uses.
270. walker - 4 uses.
271. hands - 4 uses.
272. nobody - 4 uses.
273. end - 4 uses.
274. lines - 4 uses.
275. que - 4 uses.
276. also - 4 uses.
277. tamed - 4 uses.
278. hill - 4 uses.
279. sweet - 4 uses.
280. belong - 4 uses.
281. beginning - 4 uses.
282. comes - 4 uses.
283. lights - 4 uses.
284. hung - 4 uses.
285. / - 4 uses.
286. pack - 3 uses.
287. swallowed - 3 uses.
288. coats - 3 uses.
