Most used words by Flume: 
Number of songs scanned: 54

1. back - 89 uses.
2. let - 62 uses.
3. top - 57 uses.
4. need - 56 uses.
5. lose - 56 uses.
6. down - 54 uses.
7. never - 53 uses.
8. love - 51 uses.
9. mmm - 36 uses.
10. yes - 34 uses.
11. left - 33 uses.
12. nothing - 33 uses.
13. rushing - 32 uses.
14. feel - 29 uses.
15. give - 28 uses.
16. tell - 28 uses.
17. right - 27 uses.
18. take - 27 uses.
19. fuck - 27 uses.
20. stay - 27 uses.
21. again - 25 uses.
22. night - 24 uses.
23. bring - 24 uses.
24. here - 23 uses.
25. life - 23 uses.
26. ooh - 23 uses.
27. think - 22 uses.
28. hold - 21 uses.
29. about - 21 uses.
30. breathe - 21 uses.
31. running - 20 uses.
32. friends - 19 uses.
33. thinking - 19 uses.
34. broken - 19 uses.
35. heart - 19 uses.
36. only - 18 uses.
37. something - 18 uses.
38. behind - 18 uses.
39. quits - 18 uses.
40. game - 17 uses.
41. mind - 17 uses.
42. niggas - 17 uses.
43. twice - 17 uses.
44. comes - 17 uses.
45. alone - 16 uses.
46. head - 16 uses.
47. done - 16 uses.
48. insane - 16 uses.
49. innocence - 16 uses.
50. water - 15 uses.
51. keep - 15 uses.
52. leave - 15 uses.
53. stop - 15 uses.
54. gotta - 15 uses.
55. eyes - 14 uses.
56. away - 14 uses.
57. gon - 14 uses.
58. break - 14 uses.
59. cold - 14 uses.
60. things - 14 uses.
61. tryna - 14 uses.
62. yall - 14 uses.
63. world - 13 uses.
64. waiting - 13 uses.
65. whole - 13 uses.
66. another - 13 uses.
67. run - 13 uses.
68. always - 13 uses.
69. should - 13 uses.
70. start - 13 uses.
71. meant - 13 uses.
72. anyhow - 13 uses.
73. home - 12 uses.
74. loud - 12 uses.
75. might - 12 uses.
76. everybody - 12 uses.
77. thing - 12 uses.
78. levitate - 12 uses.
79. through - 12 uses.
80. voices - 12 uses.
81. over - 12 uses.
82. better - 12 uses.
83. hell - 12 uses.
84. chance - 12 uses.
85. people - 12 uses.
86. spot - 12 uses.
87. goodbye - 12 uses.
88. spill - 12 uses.
89. put - 11 uses.
90. lying - 11 uses.
91. wanted - 11 uses.
92. shit - 11 uses.
93. new - 11 uses.
94. holdin - 11 uses.
95. floor - 10 uses.
96. listen - 10 uses.
97. enough - 10 uses.
98. holding - 10 uses.
99. change - 10 uses.
100. mama - 10 uses.
101. perfect - 10 uses.
102. last - 10 uses.
103. human - 10 uses.
104. please - 10 uses.
105. okay - 10 uses.
106. maybe - 9 uses.
107. going - 9 uses.
108. old - 9 uses.
109. aye - 9 uses.
110. same - 9 uses.
111. sorrow - 9 uses.
112. seeing - 9 uses.
113. feeling - 9 uses.
114. clear - 9 uses.
115. live - 9 uses.
116. babe - 9 uses.
117. nigga - 9 uses.
118. face - 9 uses.
119. words - 9 uses.
120. flume - 9 uses.
121. care - 8 uses.
122. die - 8 uses.
123. real - 8 uses.
124. blow - 8 uses.
125. nobody - 8 uses.
126. ride - 8 uses.
127. baby - 8 uses.
128. safe - 8 uses.
129. good - 8 uses.
130. sound - 8 uses.
131. falling - 8 uses.
132. tove - 8 uses.
133. show - 8 uses.
134. inside - 8 uses.
135. uh - 8 uses.
136. hip - 8 uses.
137. shaking - 8 uses.
138. boo - 7 uses.
139. dance - 7 uses.
140. own - 7 uses.
141. turn - 7 uses.
142. hear - 7 uses.
143. losing - 7 uses.
144. seen - 7 uses.
145. hit - 7 uses.
146. ground - 7 uses.
147. girls - 7 uses.
148. mistake - 7 uses.
149. place - 7 uses.
150. everything - 7 uses.
151. thought - 7 uses.
152. high - 7 uses.
153. coming - 7 uses.
154. play - 7 uses.
155. kill - 7 uses.
156. touch - 7 uses.
157. loves - 7 uses.
158. watch - 7 uses.
159. darling - 7 uses.
160. ever - 7 uses.
161. told - 7 uses.
162. bitch - 7 uses.
163. bed - 7 uses.
164. try - 7 uses.
165. thoughts - 7 uses.
166. air - 7 uses.
167. strong - 6 uses.
168. every - 6 uses.
169. escape - 6 uses.
170. lies - 6 uses.
171. hard - 6 uses.
172. line - 6 uses.
173. talking - 6 uses.
174. catch - 6 uses.
175. remain - 6 uses.
176. hush - 6 uses.
177. before - 6 uses.
178. found - 6 uses.
179. long - 6 uses.
180. getting - 6 uses.
181. begged - 6 uses.
182. heat - 6 uses.
183. ha-ah - 6 uses.
184. days - 6 uses.
185. somehow - 6 uses.
186. bad - 6 uses.
187. beating - 6 uses.
188. end - 6 uses.
189. dream - 6 uses.
190. talk - 6 uses.
191. light - 6 uses.
192. shy - 6 uses.
193. gets - 6 uses.
194. best - 6 uses.
195. easy - 6 uses.
196. burnt - 6 uses.
197. bridge - 6 uses.
198. everythings - 6 uses.
199. miss - 6 uses.
200. begin - 6 uses.
201. calling - 6 uses.
202. far - 6 uses.
203. knowing - 6 uses.
204. hi - 6 uses.
205. demands - 6 uses.
206. stand - 6 uses.
207. lady - 5 uses.
208. loss - 5 uses.
209. sun - 5 uses.
210. goes - 5 uses.
211. money - 5 uses.
212. help - 5 uses.
213. wild - 5 uses.
214. trust - 5 uses.
215. ‘em - 5 uses.
216. harm - 5 uses.
217. afraid - 5 uses.
218. being - 5 uses.
219. looking - 5 uses.
220. admit - 5 uses.
221. flying - 5 uses.
222. planning - 5 uses.
223. mean - 5 uses.
224. everyone - 5 uses.
225. bite - 5 uses.
226. fucking - 5 uses.
227. myself - 5 uses.
228. kick - 5 uses.
229. beat - 5 uses.
230. free - 5 uses.
231. little - 5 uses.
232. guess - 5 uses.
233. bound - 5 uses.
234. loving - 5 uses.
235. visions - 5 uses.
236. missing - 5 uses.
237. hate - 5 uses.
238. ghost - 5 uses.
239. minds - 5 uses.
240. ropes - 5 uses.
241. erase - 5 uses.
242. pray - 5 uses.
243. blue - 4 uses.
244. hand - 4 uses.
245. walk - 4 uses.
246. flip - 4 uses.
247. big - 4 uses.
248. house - 4 uses.
249. young - 4 uses.
250. different - 4 uses.
251. pass - 4 uses.
252. around - 4 uses.
253. mine - 4 uses.
254. truth - 4 uses.
255. wrong - 4 uses.
256. side - 4 uses.
257. under - 4 uses.
258. existence - 4 uses.
259. soul - 4 uses.
260. level - 4 uses.
261. feels - 4 uses.
262. grip - 4 uses.
263. fear - 4 uses.
264. fire - 4 uses.
265. disappear - 4 uses.
266. ima - 4 uses.
267. gone - 4 uses.
268. sleep - 4 uses.
269. fake - 4 uses.
270. freak - 4 uses.
271. knees - 4 uses.
272. isnt - 4 uses.
273. cool - 4 uses.
274. believe - 4 uses.
275. even - 4 uses.
276. moment - 4 uses.
277. sometimes - 4 uses.
278. kept - 4 uses.
279. sure - 4 uses.
280. gave - 4 uses.
281. walking - 4 uses.
282. fine - 4 uses.
283. pain - 4 uses.
284. follow - 4 uses.
285. open - 4 uses.
286. lets - 4 uses.
287. hands - 4 uses.
288. full - 4 uses.
289. bout - 4 uses.
290. making - 4 uses.
291. theyll - 4 uses.
292. fed - 4 uses.
293. negativity - 4 uses.
294. bringing - 4 uses.
295. toxic - 4 uses.
296. fucked - 4 uses.
297. cocaine - 4 uses.
298. retire - 4 uses.
299. meet - 4 uses.
300. point - 4 uses.
301. arrival - 4 uses.
302. preach - 4 uses.
303. devour - 4 uses.
304. though - 4 uses.
305. pardon - 4 uses.
306. knock - 4 uses.
307. overload - 4 uses.
308. tide - 4 uses.
309. wherever - 4 uses.
310. follows - 4 uses.
311. ties - 4 uses.
312. damn - 4 uses.
313. ca-callin - 4 uses.
314. wash - 4 uses.
315. hyperreal - 4 uses.
316. envies - 4 uses.
317. fill - 4 uses.
318. hope - 4 uses.
319. mm - 4 uses.
320. wand - 4 uses.
