Most used words by Four Year Strong: 
Number of songs scanned: 105

1. down - 195 uses.
2. back - 159 uses.
3. take - 145 uses.
4. never - 130 uses.
5. away - 87 uses.
6. world - 86 uses.
7. about - 84 uses.
8. through - 84 uses.
9. feel - 82 uses.
10. always - 74 uses.
11. keep - 72 uses.
12. let - 71 uses.
13. left - 67 uses.
14. think - 65 uses.
15. give - 65 uses.
16. here - 64 uses.
17. try - 64 uses.
18. nothing - 62 uses.
19. around - 58 uses.
20. heart - 58 uses.
21. over - 58 uses.
22. everything - 56 uses.
23. another - 55 uses.
24. tell - 54 uses.
25. head - 54 uses.
26. life - 53 uses.
27. things - 53 uses.
28. before - 52 uses.
29. something - 52 uses.
30. live - 52 uses.
31. without - 50 uses.
32. until - 46 uses.
33. every - 46 uses.
34. waiting - 46 uses.
35. tonight - 46 uses.
36. turn - 45 uses.
37. myself - 45 uses.
38. save - 44 uses.
39. only - 43 uses.
40. right - 43 uses.
41. gotta - 42 uses.
42. gone - 42 uses.
43. anything - 41 uses.
44. long - 40 uses.
45. leave - 39 uses.
46. again - 39 uses.
47. light - 37 uses.
48. better - 37 uses.
49. good - 36 uses.
50. put - 36 uses.
51. living - 35 uses.
52. love - 35 uses.
53. because - 34 uses.
54. alive - 34 uses.
55. need - 34 uses.
56. breathe - 34 uses.
57. wanted - 33 uses.
58. stop - 33 uses.
59. fall - 33 uses.
60. little - 32 uses.
61. face - 31 uses.
62. last - 31 uses.
63. show - 31 uses.
64. fly - 31 uses.
65. drag - 30 uses.
66. believe - 30 uses.
67. dead - 30 uses.
68. place - 30 uses.
69. change - 30 uses.
70. yourself - 29 uses.
71. prove - 29 uses.
72. hold - 29 uses.
73. sure - 29 uses.
74. much - 29 uses.
75. remember - 29 uses.
76. ground - 29 uses.
77. someone - 28 uses.
78. play - 28 uses.
79. perfect - 28 uses.
80. going - 28 uses.
81. while - 28 uses.
82. best - 28 uses.
83. same - 27 uses.
84. alone - 27 uses.
85. ever - 27 uses.
86. stay - 27 uses.
87. wrong - 27 uses.
88. hope - 26 uses.
89. weve - 26 uses.
90. baby - 26 uses.
91. hell - 26 uses.
92. broken - 26 uses.
93. really - 25 uses.
94. home - 25 uses.
95. getting - 25 uses.
96. break - 25 uses.
97. line - 25 uses.
98. end - 25 uses.
99. hands - 25 uses.
100. die - 24 uses.
101. anymore - 24 uses.
102. keeps - 24 uses.
103. watch - 24 uses.
104. whats - 23 uses.
105. stand - 23 uses.
106. night - 23 uses.
107. enough - 23 uses.
108. inside - 23 uses.
109. forget - 23 uses.
110. falling - 22 uses.
111. looking - 21 uses.
112. breath - 21 uses.
113. thought - 21 uses.
114. start - 21 uses.
115. closer - 21 uses.
116. bring - 21 uses.
117. wait - 20 uses.
118. thing - 20 uses.
119. should - 20 uses.
120. eyes - 20 uses.
121. point - 20 uses.
122. trying - 20 uses.
123. top - 20 uses.
124. even - 20 uses.
125. hear - 20 uses.
126. bad - 20 uses.
127. hit - 20 uses.
128. game - 20 uses.
129. reason - 19 uses.
130. any - 19 uses.
131. second - 19 uses.
132. losing - 19 uses.
133. survive - 19 uses.
134. song - 19 uses.
135. talk - 19 uses.
136. means - 19 uses.
137. mess - 19 uses.
138. care - 18 uses.
139. along - 18 uses.
140. calling - 18 uses.
141. middle - 18 uses.
142. already - 18 uses.
143. knows - 18 uses.
144. likes - 18 uses.
145. seem - 17 uses.
146. bit - 17 uses.
147. hard - 17 uses.
148. found - 17 uses.
149. matter - 17 uses.
150. under - 17 uses.
151. days - 17 uses.
152. running - 17 uses.
153. today - 17 uses.
154. afterglow - 17 uses.
155. cuz - 17 uses.
156. since - 17 uses.
157. anchor - 17 uses.
158. walk - 17 uses.
159. nice - 17 uses.
160. coming - 16 uses.
161. first - 16 uses.
162. words - 16 uses.
163. late - 16 uses.
164. cold - 16 uses.
165. walking - 16 uses.
166. calls - 16 uses.
167. control - 16 uses.
168. straight - 16 uses.
169. cross - 16 uses.
170. dark - 16 uses.
171. set - 16 uses.
172. doesnt - 16 uses.
173. help - 16 uses.
174. sing - 16 uses.
175. pick - 15 uses.
176. youd - 15 uses.
177. truth - 15 uses.
178. seen - 15 uses.
179. standing - 15 uses.
180. rise - 15 uses.
181. might - 15 uses.
182. far - 15 uses.
183. true - 15 uses.
184. free - 15 uses.
185. sick - 15 uses.
186. news - 15 uses.
187. feeling - 15 uses.
188. dive - 15 uses.
189. floor - 14 uses.
190. fight - 14 uses.
191. girl - 14 uses.
192. til - 14 uses.
193. yet - 14 uses.
194. hasnt - 14 uses.
195. move - 14 uses.
196. blame - 14 uses.
197. stuck - 14 uses.
198. sinking - 14 uses.
199. please - 14 uses.
200. wasting - 14 uses.
201. message - 14 uses.
202. worst - 14 uses.
203. write - 14 uses.
204. despite - 14 uses.
205. dreams - 13 uses.
206. holding - 13 uses.
207. finally - 13 uses.
208. though - 13 uses.
209. wish - 13 uses.
210. advice - 13 uses.
211. high - 13 uses.
212. apart - 13 uses.
213. easy - 13 uses.
214. making - 13 uses.
215. guess - 13 uses.
216. else - 13 uses.
217. sweat - 13 uses.
218. burning - 13 uses.
219. taste - 13 uses.
220. afraid - 13 uses.
221. dance - 13 uses.
222. lets - 13 uses.
223. sometimes - 13 uses.
224. tired - 13 uses.
225. fill - 13 uses.
226. behind - 12 uses.
227. pretty - 12 uses.
228. couldnt - 12 uses.
229. lie - 12 uses.
230. after - 12 uses.
231. doing - 12 uses.
232. bright - 12 uses.
233. strong - 12 uses.
234. fine - 12 uses.
235. whole - 12 uses.
236. feet - 12 uses.
237. learn - 12 uses.
238. history - 12 uses.
239. story - 12 uses.
240. push - 12 uses.
241. count - 12 uses.
242. takes - 12 uses.
243. step - 12 uses.
244. hide - 12 uses.
245. rage - 12 uses.
246. rat - 12 uses.
247. arms - 12 uses.
248. knew - 11 uses.
249. taking - 11 uses.
250. being - 11 uses.
251. gets - 11 uses.
252. ticking - 11 uses.
253. hoping - 11 uses.
254. ourselves - 11 uses.
255. given - 11 uses.
256. must - 11 uses.
257. name - 11 uses.
258. wake - 11 uses.
259. pull - 11 uses.
260. disaster - 11 uses.
261. rain - 11 uses.
262. bomb - 11 uses.
263. stick - 11 uses.
264. beat - 11 uses.
265. tick - 11 uses.
266. tock - 11 uses.
267. instead - 11 uses.
268. knees - 11 uses.
269. actually - 11 uses.
270. built - 11 uses.
271. spiderwebs - 11 uses.
272. become - 11 uses.
273. sad - 11 uses.
274. beating - 11 uses.
275. kill - 11 uses.
276. strike - 11 uses.
277. lose - 10 uses.
278. sign - 10 uses.
279. soul - 10 uses.
280. water - 10 uses.
281. worth - 10 uses.
282. wall - 10 uses.
283. sorry - 10 uses.
284. swear - 10 uses.
285. used - 10 uses.
286. wonder - 10 uses.
287. sound - 10 uses.
288. own - 10 uses.
289. wondering - 10 uses.
290. saved - 10 uses.
