Most used words by  Foxing: 
Number of songs scanned: 49

1. love - 68 uses.
2. down - 41 uses.
3. keep - 36 uses.
4. fall - 36 uses.
5. want - 34 uses.
6. feel - 28 uses.
7. back - 28 uses.
8. running - 27 uses.
9. nothing - 26 uses.
10. alone - 25 uses.
11. well - 23 uses.
12. left - 22 uses.
13. hold - 22 uses.
14. together - 21 uses.
15. everywhere - 21 uses.
16. homesick - 20 uses.
17. home - 19 uses.
18. through - 19 uses.
19. wait - 19 uses.
20. drown - 18 uses.
21. think - 18 uses.
22. here - 18 uses.
23. water - 18 uses.
24. du - 17 uses.
25. done - 17 uses.
26. must - 17 uses.
27. door - 17 uses.
28. again - 16 uses.
29. until - 16 uses.
30. behind - 16 uses.
31. where - 16 uses.
32. wanna - 16 uses.
33. bravery - 16 uses.
34. never - 15 uses.
35. let - 15 uses.
36. leave - 15 uses.
37. felt - 15 uses.
38. moon - 14 uses.
39. tell - 14 uses.
40. i’ll - 14 uses.
41. long - 14 uses.
42. open - 14 uses.
43. mich - 14 uses.
44. light - 13 uses.
45. hands - 13 uses.
46. id - 13 uses.
47. i’m - 13 uses.
48. don’t - 12 uses.
49. reason - 12 uses.
50. tout - 12 uses.
51. take - 12 uses.
52. gonna - 12 uses.
53. thought - 12 uses.
54. try - 12 uses.
55. wound - 12 uses.
56. always - 12 uses.
57. without - 12 uses.
58. floor - 12 uses.
59. draw - 11 uses.
60. blood - 11 uses.
61. still - 11 uses.
62. god - 11 uses.
63. cold - 11 uses.
64. much - 11 uses.
65. walk - 11 uses.
66. apart - 11 uses.
67. show - 11 uses.
68. cry - 10 uses.
69. disappear - 10 uses.
70. soft - 10 uses.
71. right - 10 uses.
72. stampede - 10 uses.
73. caught - 10 uses.
74. surrender - 10 uses.
75. future - 10 uses.
76. while - 9 uses.
77. lightning - 9 uses.
78. strikes - 9 uses.
79. eyes - 9 uses.
80. speak - 9 uses.
81. we’ve - 9 uses.
82. glass - 9 uses.
83. hear - 9 uses.
84. give - 9 uses.
85. found - 9 uses.
86. mouth - 9 uses.
87. white - 9 uses.
88. gone - 9 uses.
89. same - 9 uses.
90. stop - 9 uses.
91. life - 9 uses.
92. least - 9 uses.
93. blooded - 9 uses.
94. cualquiera - 9 uses.
95. honey - 9 uses.
96. worse - 9 uses.
97. überhaupt - 9 uses.
98. believed - 8 uses.
99. around - 8 uses.
100. de - 8 uses.
101. couldnt - 8 uses.
102. move - 8 uses.
103. soul - 8 uses.
104. black - 8 uses.
105. hangover - 8 uses.
106. wrong - 8 uses.
107. note - 8 uses.
108. remember - 8 uses.
109. twice - 8 uses.
110. qué - 8 uses.
111. quiera - 8 uses.
112. ich - 8 uses.
113. over - 7 uses.
114. side - 7 uses.
115. between - 7 uses.
116. je - 7 uses.
117. ne - 7 uses.
118. myself - 7 uses.
119. put - 7 uses.
120. own - 7 uses.
121. heart - 7 uses.
122. sweat - 7 uses.
123. wake - 7 uses.
124. old - 7 uses.
125. should - 7 uses.
126. sleep - 7 uses.
127. watch - 7 uses.
128. works - 7 uses.
129. everything - 7 uses.
130. die - 7 uses.
131. sun - 7 uses.
132. feet - 7 uses.
133. last - 7 uses.
134. sea - 7 uses.
135. makes - 7 uses.
136. turned - 7 uses.
137. willst - 7 uses.
138. shine - 7 uses.
139. dead - 6 uses.
140. désire - 6 uses.
141. en - 6 uses.
142. head - 6 uses.
143. every - 6 uses.
144. teeth - 6 uses.
145. coughs - 6 uses.
146. spit - 6 uses.
147. baby - 6 uses.
148. thinking - 6 uses.
149. step - 6 uses.
150. such - 6 uses.
151. arms - 6 uses.
152. hell - 6 uses.
153. above - 6 uses.
154. hearts - 6 uses.
155. follow - 6 uses.
156. weve - 6 uses.
157. wasting - 6 uses.
158. i’ve - 6 uses.
159. flag - 6 uses.
160. undone - 6 uses.
161. low - 5 uses.
162. beside - 5 uses.
163. la - 5 uses.
164. new - 5 uses.
165. state - 5 uses.
166. heaven - 5 uses.
167. soon - 5 uses.
168. real - 5 uses.
169.  - 5 uses.
170. golden - 5 uses.
171. floating - 5 uses.
172. weight - 5 uses.
173. luck - 5 uses.
174. trying - 5 uses.
175. name - 5 uses.
176. enough - 5 uses.
177. feels - 5 uses.
178. anyone - 5 uses.
179. night - 5 uses.
180. slow - 5 uses.
181. young - 5 uses.
182. screams - 5 uses.
183. summer - 5 uses.
184. against - 5 uses.
185. asleep - 5 uses.
186. ship - 5 uses.
187. theres - 5 uses.
188. stuck - 5 uses.
189. sit - 4 uses.
190. beacons - 4 uses.
191. it’s - 4 uses.
192. you’ll - 4 uses.
193. room - 4 uses.
194. once - 4 uses.
195. kept - 4 uses.
196. warm - 4 uses.
197. lord - 4 uses.
198. pour - 4 uses.
199. désire-tu - 4 uses.
200. pas - 4 uses.
201. run - 4 uses.
202. believe - 4 uses.
203. neck - 4 uses.
204. survived - 4 uses.
205. hair - 4 uses.
206. words - 4 uses.
207. friends - 4 uses.
208. gates - 4 uses.
209. anything - 4 uses.
210. lay - 4 uses.
211. listen - 4 uses.
212. whats - 4 uses.
213. pressed - 4 uses.
214. swear - 4 uses.
215. rain - 4 uses.
216. knees - 4 uses.
217. tongue - 4 uses.
218. albatross - 4 uses.
219. pain - 4 uses.
220. under - 4 uses.
221. diving - 4 uses.
222. bell - 4 uses.
223. anyways - 4 uses.
224. does - 4 uses.
225. good - 4 uses.
226. ground - 4 uses.
227. going - 4 uses.
228. yourself - 4 uses.
229. only - 4 uses.
230. sorry - 4 uses.
231. cloth - 4 uses.
232. came - 4 uses.
233. whatd - 4 uses.
234. become - 4 uses.
235. loving - 4 uses.
236. best - 4 uses.
237. sound - 4 uses.
238. sounds - 4 uses.
239. broken - 4 uses.
240. because - 4 uses.
241. breath - 4 uses.
242. ooo - 4 uses.
243. turn - 4 uses.
244. webs - 4 uses.
245. spun - 4 uses.
246. shall - 4 uses.
247. wherever - 4 uses.
248. nose - 4 uses.
249. pressure - 4 uses.
250. trout - 4 uses.
251. und - 4 uses.
252. der - 4 uses.
253. saved - 4 uses.
254. gets - 3 uses.
255. face - 3 uses.
256. un - 3 uses.
257. que - 3 uses.
258. cigarettes - 3 uses.
259. wouldnt - 3 uses.
260. spend - 3 uses.
261. threw - 3 uses.
262. wax - 3 uses.
263. forget - 3 uses.
264. dove - 3 uses.
265. father - 3 uses.
266. meant - 3 uses.
267. late - 3 uses.
268. tears - 3 uses.
269. hate - 3 uses.
270. 僕はかい - 3 uses.
271. thing - 3 uses.
272. bay - 3 uses.
273. seem - 3 uses.
274. christ - 3 uses.
275. listening - 3 uses.
276. loose - 3 uses.
277. someones - 3 uses.
278. away - 3 uses.
279. palms - 3 uses.
280. hot - 3 uses.
281. rings - 3 uses.
282. shut - 3 uses.
283. burn - 3 uses.
284. broke - 3 uses.
285. held - 3 uses.
286. shame - 3 uses.
287. alive - 3 uses.
288. thicker - 3 uses.
289. holy - 3 uses.
290. lights - 3 uses.
291. darling - 3 uses.
292. hey - 3 uses.
293. sins - 3 uses.
294. youve - 3 uses.
295. world - 3 uses.
296. stay - 3 uses.
297. ourselves - 3 uses.
298. tide - 3 uses.
299. fiery - 3 uses.
300. core - 3 uses.
301. outside - 3 uses.
302. kiss - 3 uses.
303. took - 3 uses.
304. deserve - 3 uses.
305. wish - 3 uses.
306. o - 3 uses.
307. taste - 3 uses.
308. death - 3 uses.
309. really - 3 uses.
310. playing - 3 uses.
311. along - 3 uses.
312. dreams - 3 uses.
313. lung - 3 uses.
314. landlocked - 3 uses.
315. contain - 3 uses.
316. ocean - 3 uses.
317. dizygotic - 3 uses.
318. twin - 3 uses.
319. unravel - 3 uses.
320. irgendwer - 3 uses.
321. auf - 3 uses.
322. closed - 3 uses.
323. paint - 2 uses.
324. heavy - 2 uses.
325. company - 2 uses.
326. happy - 2 uses.
327. itself - 2 uses.
328. dark - 2 uses.
329. friend - 2 uses.
330. debt - 2 uses.
331. stays - 2 uses.
332. sky - 2 uses.
333. homes - 2 uses.
334. places - 2 uses.
335. swallow - 2 uses.
336. whole - 2 uses.
337. seed - 2 uses.
338. glowing - 2 uses.
339. spaces - 2 uses.
340. bedsores - 2 uses.
341. hairs - 2 uses.
342. pours - 2 uses.
343. clean - 2 uses.
344. les - 2 uses.
345. et - 2 uses.
