Most used words by  Frank Turner: 
Number of songs scanned: 201

1. down - 228 uses.
2. never - 160 uses.
3. well - 142 uses.
4. love - 136 uses.
5. things - 127 uses.
6. where - 112 uses.
7. take - 110 uses.
8. still - 110 uses.
9. back - 105 uses.
10. lets - 100 uses.
11. away - 98 uses.
12. little - 97 uses.
13. life - 97 uses.
14. home - 94 uses.
15. only - 89 uses.
16. world - 86 uses.
17. again - 86 uses.
18. because - 82 uses.
19. need - 82 uses.
20. through - 81 uses.
21. night - 81 uses.
22. let - 81 uses.
23. going - 80 uses.
24. here - 79 uses.
25. right - 77 uses.
26. ever - 72 uses.
27. long - 71 uses.
28. always - 71 uses.
29. last - 69 uses.
30. every - 67 uses.
31. keep - 65 uses.
32. old - 64 uses.
33. friends - 64 uses.
34. heart - 64 uses.
35. face - 64 uses.
36. want - 63 uses.
37. burn - 61 uses.
38. theres - 60 uses.
39. good - 56 uses.
40. remember - 56 uses.
41. i’m - 56 uses.
42. years - 55 uses.
43. left - 55 uses.
44. better - 55 uses.
45. before - 54 uses.
46. live - 54 uses.
47. days - 53 uses.
48. next - 53 uses.
49. think - 52 uses.
50. place - 52 uses.
51. gonna - 51 uses.
52. really - 51 uses.
53. hold - 51 uses.
54. tell - 50 uses.
55. tonight - 50 uses.
56. new - 48 uses.
57. try - 48 uses.
58. meet - 48 uses.
59. road - 47 uses.
60. around - 47 uses.
61. much - 47 uses.
62. give - 47 uses.
63. stay - 47 uses.
64. darling - 46 uses.
65. sing - 46 uses.
66. should - 46 uses.
67. used - 45 uses.
68. times - 45 uses.
69. id - 45 uses.
70. put - 45 uses.
71. hear - 44 uses.
72. best - 44 uses.
73. everything - 44 uses.
74. something - 44 uses.
75. sleep - 43 uses.
76. while - 43 uses.
77. young - 41 uses.
78. lost - 41 uses.
79. songs - 41 uses.
80. end - 41 uses.
81. kind - 41 uses.
82. town - 40 uses.
83. theyre - 40 uses.
84. morning - 40 uses.
85. die - 40 uses.
86. gone - 39 uses.
87. hard - 39 uses.
88. feel - 39 uses.
89. eyes - 39 uses.
90. youll - 39 uses.
91. thing - 38 uses.
92. must - 37 uses.
93. together - 37 uses.
94. over - 36 uses.
95. show - 36 uses.
96. honey - 36 uses.
97. truth - 36 uses.
98. leave - 35 uses.
99. across - 35 uses.
100. someone - 35 uses.
101. far - 35 uses.
102. close - 35 uses.
103. bad - 35 uses.
104. bar - 35 uses.
105. change - 35 uses.
106. myself - 35 uses.
107. anything - 35 uses.
108. two - 34 uses.
109. dead - 34 uses.
110. god - 34 uses.
111. else - 33 uses.
112. waiting - 33 uses.
113. rock - 33 uses.
114. play - 33 uses.
115. brave - 33 uses.
116. hands - 32 uses.
117. song - 32 uses.
118. head - 32 uses.
119. even - 32 uses.
120. isnt - 32 uses.
121. own - 32 uses.
122. found - 32 uses.
123. knew - 32 uses.
124. thought - 32 uses.
125. alive - 32 uses.
126. fire - 32 uses.
127. trying - 31 uses.
128. baby - 31 uses.
129. done - 31 uses.
130. being - 31 uses.
131. four - 31 uses.
132. alone - 31 uses.
133. house - 31 uses.
134. save - 31 uses.
135. youve - 30 uses.
136. same - 30 uses.
137. nothing - 30 uses.
138. though - 30 uses.
139. outside - 30 uses.
140. hey - 29 uses.
141. year - 29 uses.
142. care - 29 uses.
143. round - 29 uses.
144. step - 29 uses.
145. drink - 29 uses.
146. fall - 29 uses.
147. told - 28 uses.
148. hell - 28 uses.
149. believe - 28 uses.
150. london - 28 uses.
151. land - 28 uses.
152. bed - 28 uses.
153. set - 28 uses.
154. very - 27 uses.
155. broken - 27 uses.
156. after - 27 uses.
157. inside - 27 uses.
158. anymore - 27 uses.
159. another - 27 uses.
160. free - 27 uses.
161. – - 27 uses.
162. sun - 27 uses.
163. once - 27 uses.
164. tired - 26 uses.
165. born - 26 uses.
166. city - 26 uses.
167. words - 26 uses.
168. might - 26 uses.
169. until - 26 uses.
170. comes - 26 uses.
171. - - 25 uses.
172. side - 25 uses.
173. sure - 25 uses.
174. start - 25 uses.
175. came - 25 uses.
176. dance - 25 uses.
177. light - 25 uses.
178. girl - 25 uses.
179. clear - 25 uses.
180. please - 25 uses.
181. hide - 25 uses.
182. seems - 24 uses.
183. scared - 24 uses.
184. door - 24 uses.
185. havent - 24 uses.
186. middle - 24 uses.
187. it’s - 24 uses.
188. great - 24 uses.
189. played - 24 uses.
190. buddies - 24 uses.
191. lonely - 23 uses.
192. wrong - 23 uses.
193. stand - 23 uses.
194. yet - 23 uses.
195. line - 23 uses.
196. simple - 23 uses.
197. any - 23 uses.
198. gave - 23 uses.
199. along - 22 uses.
200. coming - 22 uses.
201. went - 22 uses.
202. hair - 22 uses.
203. fight - 22 uses.
204. sea - 22 uses.
205. friend - 22 uses.
206. everyone - 22 uses.
207. south - 22 uses.
208. called - 22 uses.
209. yourself - 22 uses.
210. name - 22 uses.
211. i’ve - 22 uses.
212. moment - 22 uses.
213. boys - 22 uses.
214. singing - 21 uses.
215. fix - 21 uses.
216. started - 21 uses.
217. weve - 21 uses.
218. pain - 21 uses.
219. took - 21 uses.
220. without - 21 uses.
221. burning - 21 uses.
222. looking - 21 uses.
223. king - 21 uses.
224. picture - 21 uses.
225. breath - 21 uses.
226. quiet - 21 uses.
227. youd - 21 uses.
228. evening - 21 uses.
229. sweet - 21 uses.
230. turn - 20 uses.
231. making - 20 uses.
232. work - 20 uses.
233. run - 20 uses.
234. choose - 20 uses.
235. kids - 20 uses.
236. help - 20 uses.
237. feeling - 20 uses.
238. roll - 20 uses.
239. rest - 20 uses.
240. walk - 20 uses.
241. hand - 20 uses.
242. afraid - 20 uses.
243. getting - 20 uses.
244. remain - 20 uses.
245. spend - 20 uses.
246. beneath - 20 uses.
247. vibes - 20 uses.
248. ye - 20 uses.
249. steve - 20 uses.
250. doesnt - 19 uses.
251. enough - 19 uses.
252. somewhere - 19 uses.
253. most - 19 uses.
254. running - 19 uses.
255. country - 19 uses.
256. pretty - 19 uses.
257. feet - 19 uses.
258. chickens - 19 uses.
259. guitar - 19 uses.
260. smile - 19 uses.
261. perfect - 19 uses.
262. heard - 19 uses.
263. wanna - 19 uses.
264. makes - 19 uses.
265. you’re - 19 uses.
266. anyone - 19 uses.
267. kiss - 19 uses.
268. changes - 19 uses.
269. sleeping - 19 uses.
270. darkness - 19 uses.
271. forgive - 19 uses.
272. fell - 19 uses.
273. bridge - 19 uses.
274. cold - 18 uses.
275. wind - 18 uses.
276. thousand - 18 uses.
277. fuck - 18 uses.
278. ones - 18 uses.
279. watch - 18 uses.
280. everybody - 18 uses.
281. somebody - 18 uses.
282. water - 18 uses.
283. behind - 18 uses.
284. finally - 18 uses.
285. train - 18 uses.
286. blood - 18 uses.
287. plain - 18 uses.
288. gets - 18 uses.
289. front - 18 uses.
290. quite - 18 uses.
291. big - 18 uses.
292. girls - 18 uses.
293. wait - 18 uses.
294. soul - 18 uses.
295. we’re - 18 uses.
296. lose - 18 uses.
297. shut - 18 uses.
298. hope - 18 uses.
299. today - 17 uses.
300. listen - 17 uses.
301. lives - 17 uses.
302. fine - 17 uses.
303. tears - 17 uses.
304. bring - 17 uses.
305. ask - 17 uses.
306. moving - 17 uses.
307. wasnt - 17 uses.
308. maybe - 17 uses.
309. ground - 17 uses.
310. don’t - 17 uses.
311. talk - 17 uses.
312. knows - 17 uses.
313. saved - 17 uses.
314. real - 17 uses.
315. dark - 17 uses.
316. men - 16 uses.
317. sound - 16 uses.
318. arms - 16 uses.
319. living - 16 uses.
320. music - 16 uses.
321. write - 16 uses.
322. forget - 16 uses.
323. fucking - 16 uses.
324. break - 16 uses.
325. miss - 16 uses.
326. clothes - 16 uses.
327. guess - 16 uses.
328. needed - 16 uses.
329. low - 16 uses.
330. band - 16 uses.
331. nights - 16 uses.
332. i’d - 16 uses.
333. boy - 16 uses.
334. river - 16 uses.
335. died - 16 uses.
336. drinking - 16 uses.
337. those - 16 uses.
338. dawn - 16 uses.
339. sick - 15 uses.
340. yes - 15 uses.
341. worst - 15 uses.
342. stop - 15 uses.
343. punk - 15 uses.
344. english - 15 uses.
345. death - 15 uses.
346. apart - 15 uses.
347. money - 15 uses.
348. air - 15 uses.
349. sat - 15 uses.
350. half - 15 uses.
351. met - 15 uses.
352. raise - 15 uses.
353. grave - 15 uses.
354. lift - 15 uses.
355. wrote - 15 uses.
356. few - 15 uses.
357. gotta - 15 uses.
358. dreams - 15 uses.
359. forgotten - 15 uses.
360. brought - 15 uses.
361. happy - 15 uses.
362. ba-da-da-da-da-da-ba-da-ba - 15 uses.
363. shoulders - 15 uses.
364. build - 15 uses.
365. glorious - 15 uses.
366. hearts - 14 uses.
367. slip - 14 uses.
368. open - 14 uses.
369. black - 14 uses.
370. mean - 14 uses.
371. till - 14 uses.
372. sense - 14 uses.
373. soon - 14 uses.
374. hit - 14 uses.
375. tried - 14 uses.
376. ourselves - 14 uses.
377. dream - 14 uses.
378. both - 14 uses.
379. deep - 14 uses.
380. streets - 14 uses.
381. mistakes - 14 uses.
382. didn’t - 14 uses.
383. easy - 14 uses.
384. having - 14 uses.
385. staff - 14 uses.
386. rain - 14 uses.
387. blues - 14 uses.
388. safe - 14 uses.
389. floor - 14 uses.
390. lover - 14 uses.
391. age - 14 uses.
392. point - 14 uses.
393. grow - 14 uses.
394. cast - 14 uses.
395. upon - 14 uses.
396. remembered - 14 uses.
397. turned - 13 uses.
398. since - 13 uses.
399. dying - 13 uses.
400. past - 13 uses.
401. bored - 13 uses.
402. pay - 13 uses.
403. skin - 13 uses.
404. wed - 13 uses.
405. doing - 13 uses.
406. ends - 13 uses.
407. sand - 13 uses.
408. damn - 13 uses.
409. sad - 13 uses.
410. summer - 13 uses.
411. seas - 13 uses.
412. wish - 13 uses.
413. speak - 13 uses.
414. raised - 13 uses.
415. promise - 13 uses.
416. caught - 13 uses.
417. breaking - 13 uses.
418. rivers - 13 uses.
419. dear - 13 uses.
420. belong - 13 uses.
421. fit - 13 uses.
422. nowhere - 13 uses.
423. whole - 13 uses.
424. retractions - 13 uses.
425. und - 13 uses.
426. sorry - 12 uses.
427. saying - 12 uses.
428. heres - 12 uses.
429. leaving - 12 uses.
430. shore - 12 uses.
431. sometimes - 12 uses.
432. folks - 12 uses.
433. car - 12 uses.
434. drinks - 12 uses.
435. cry - 12 uses.
436. anybody - 12 uses.
437. knees - 12 uses.
438. read - 12 uses.
439. whats - 12 uses.
440. slow - 12 uses.
441. working - 12 uses.
442. phone - 12 uses.
443. queen - 12 uses.
