Most used words by  Free Throw: 
Number of songs scanned: 57

1. never - 75 uses.
2. think - 63 uses.
3. feel - 62 uses.
4. down - 54 uses.
5. back - 44 uses.
6. - - 42 uses.
7. same - 38 uses.
8. life - 36 uses.
9. love - 36 uses.
10. myself - 36 uses.
11. need - 36 uses.
12. still - 32 uses.
13. everything - 31 uses.
14. want - 29 uses.
15. thought - 27 uses.
16. fuck - 27 uses.
17. always - 27 uses.
18. face - 27 uses.
19. fucking - 26 uses.
20. again - 26 uses.
21. sleep - 25 uses.
22. take - 25 uses.
23. days - 24 uses.
24. ever - 23 uses.
25. away - 23 uses.
26. okay - 23 uses.
27. let - 22 uses.
28. right - 22 uses.
29. fall - 20 uses.
30. left - 20 uses.
31. id - 19 uses.
32. keep - 19 uses.
33. theres - 19 uses.
34. nothing - 19 uses.
35. drugs - 19 uses.
36. things - 18 uses.
37. head - 18 uses.
38. change - 18 uses.
39. stay - 18 uses.
40. try - 17 uses.
41. mind - 17 uses.
42. wake - 16 uses.
43. around - 16 uses.
44. gone - 16 uses.
45. help - 16 uses.
46. alone - 16 uses.
47. should - 16 uses.
48. hate - 16 uses.
49. guess - 15 uses.
50. thinking - 15 uses.
51. years - 15 uses.
52. slow - 15 uses.
53. something - 15 uses.
54. end - 15 uses.
55. care - 15 uses.
56. give - 15 uses.
57. tell - 14 uses.
58. thoughts - 14 uses.
59. told - 14 uses.
60. own - 14 uses.
61. yourself - 14 uses.
62. night - 14 uses.
63. anything - 14 uses.
64. without - 14 uses.
65. inside - 13 uses.
66. scared - 13 uses.
67. every - 13 uses.
68. friends - 13 uses.
69. probably - 13 uses.
70. doesnt - 13 uses.
71. best - 13 uses.
72. hard - 13 uses.
73. where - 13 uses.
74. home - 13 uses.
75. whole - 13 uses.
76. person - 13 uses.
77. promise - 13 uses.
78. those - 12 uses.
79. only - 12 uses.
80. hope - 12 uses.
81. better - 12 uses.
82. fact - 12 uses.
83. new - 12 uses.
84. well - 12 uses.
85. wasnt - 12 uses.
86. even - 12 uses.
87. light - 11 uses.
88. stuck - 11 uses.
89. theyre - 11 uses.
90. really - 11 uses.
91. someone - 11 uses.
92. here - 11 uses.
93. put - 11 uses.
94. far - 11 uses.
95. wed - 11 uses.
96. long - 11 uses.
97. dreams - 11 uses.
98. please - 11 uses.
99. bed - 11 uses.
100. ha - 11 uses.
101. fair - 11 uses.
102. afraid - 11 uses.
103. spinning - 11 uses.
104. getting - 10 uses.
105. rest - 10 uses.
106. youd - 10 uses.
107. fucked - 10 uses.
108. feeling - 10 uses.
109. through - 10 uses.
110. lifes - 10 uses.
111. leave - 10 uses.
112. house - 10 uses.
113. free - 10 uses.
114. worth - 10 uses.
115. forever - 10 uses.
116. dead - 10 uses.
117. makes - 10 uses.
118. songs - 10 uses.
119. lost - 10 uses.
120. dig - 9 uses.
121. finally - 9 uses.
122. tried - 9 uses.
123. bad - 9 uses.
124. old - 9 uses.
125. room - 9 uses.
126. fight - 9 uses.
127. youve - 9 uses.
128. everyone - 9 uses.
129. weeks - 9 uses.
130. wait - 9 uses.
131. figure - 9 uses.
132. worse - 9 uses.
133. forget - 9 uses.
134. over - 9 uses.
135. behind - 9 uses.
136. hurt - 9 uses.
137. falling - 8 uses.
138. ground - 8 uses.
139. wish - 8 uses.
140. sure - 8 uses.
141. havent - 8 uses.
142. place - 8 uses.
143. smile - 8 uses.
144. hand - 8 uses.
145. beer - 8 uses.
146. learn - 8 uses.
147. must - 8 uses.
148. brain - 8 uses.
149. show - 8 uses.
150. shit - 8 uses.
151. sometimes - 8 uses.
152. wasted - 8 uses.
153. dying - 8 uses.
154. start - 8 uses.
155. fake - 8 uses.
156. kind - 8 uses.
157. two - 8 uses.
158. today - 8 uses.
159. awake - 8 uses.
160. proud - 8 uses.
161. line - 8 uses.
162. soon - 7 uses.
163. good - 7 uses.
164. doubt - 7 uses.
165. normal - 7 uses.
166. drinking - 7 uses.
167. rolling - 7 uses.
168. until - 7 uses.
169. waiting - 7 uses.
170. much - 7 uses.
171. because - 7 uses.
172. might - 7 uses.
173. wanna - 7 uses.
174. chasing - 7 uses.
175. wrong - 7 uses.
176. remember - 7 uses.
177. spent - 7 uses.
178. voice - 7 uses.
179. else - 7 uses.
180. sense - 7 uses.
181. truth - 7 uses.
182. clothes - 7 uses.
183. held - 7 uses.
184. letting - 7 uses.
185. both - 7 uses.
186. reset - 7 uses.
187. whoa - 7 uses.
188. sound - 7 uses.
189. eyes - 6 uses.
190. leaves - 6 uses.
191. shame - 6 uses.
192. understand - 6 uses.
193. thing - 6 uses.
194. hear - 6 uses.
195. mess - 6 uses.
196. past - 6 uses.
197. nights - 6 uses.
198. together - 6 uses.
199. after - 6 uses.
200. wonder - 6 uses.
201. perfect - 6 uses.
202. lot - 6 uses.
203. shell - 6 uses.
204. became - 6 uses.
205. feels - 6 uses.
206. fixed - 6 uses.
207. felt - 6 uses.
208. learned - 6 uses.
209. whats - 6 uses.
210. says - 6 uses.
211. heart - 6 uses.
212. helps - 6 uses.
213. bullshit - 6 uses.
214. worked - 6 uses.
215. droning - 6 uses.
216. mistake - 6 uses.
217. reasons - 6 uses.
218. ups - 6 uses.
219. downs - 6 uses.
220. slept - 6 uses.
221. pushed - 6 uses.
222. ready - 6 uses.
223. small - 6 uses.
224. outside - 5 uses.
225. bring - 5 uses.
226. chance - 5 uses.
227. loved - 5 uses.
228. miss - 5 uses.
229. heard - 5 uses.
230. drink - 5 uses.
231. weight - 5 uses.
232. lead - 5 uses.
233. drunk - 5 uses.
234. wind - 5 uses.
235. chase - 5 uses.
236. open - 5 uses.
237. before - 5 uses.
238. kept - 5 uses.
239. youll - 5 uses.
240. full - 5 uses.
241. nightmare - 5 uses.
242. pipe - 5 uses.
243. shots - 5 uses.
244. year - 5 uses.
245. older - 5 uses.
246. done - 5 uses.
247. live - 5 uses.
248. making - 5 uses.
249. came - 5 uses.
250. name - 5 uses.
251. none - 5 uses.
252. broken - 5 uses.
253. staring - 5 uses.
254. words - 5 uses.
255. sitting - 5 uses.
256. last - 5 uses.
257. hurts - 5 uses.
258. seems - 5 uses.
259. goddamn - 5 uses.
260. breathe - 5 uses.
261. bit - 5 uses.
262. took - 5 uses.
263. cold - 5 uses.
264. ends - 5 uses.
265. break - 5 uses.
266. meant - 5 uses.
267. existence - 5 uses.
268. wanted - 5 uses.
269. contemplate - 5 uses.
270. hold - 5 uses.
271. pretend - 5 uses.
272. mastermind - 5 uses.
273. genius - 5 uses.
274. fear - 5 uses.
275. constantly - 5 uses.
276. stayed - 5 uses.
277. late - 5 uses.
278. body - 5 uses.
279. wink - 5 uses.
280. pain - 5 uses.
281. ledge - 5 uses.
282. child - 5 uses.
283. cries - 5 uses.
284. shovel - 4 uses.
285. decide - 4 uses.
286. lay - 4 uses.
287. health - 4 uses.
288. gonna - 4 uses.
289. cave - 4 uses.
290. fill - 4 uses.
291. feet - 4 uses.
292. phone - 4 uses.
293. chest - 4 uses.
294. car - 4 uses.
295. window - 4 uses.
296. second - 4 uses.
297. having - 4 uses.
298. fleeting - 4 uses.
299. showed - 4 uses.
300. somehow - 4 uses.
301. while - 4 uses.
302. seem - 4 uses.
303. yard - 4 uses.
304. trying - 4 uses.
305. song - 4 uses.
306. set - 4 uses.
307. true - 4 uses.
308. air - 4 uses.
309. damn - 4 uses.
310. lie - 4 uses.
311. upon - 4 uses.
312. maybe - 4 uses.
313. routines - 4 uses.
314. dream - 4 uses.
315. hair - 4 uses.
316. maintenance - 4 uses.
317. repairs - 4 uses.
318. locked - 4 uses.
319. complacent - 4 uses.
320. cares - 4 uses.
