Most used words by Gaslight Anthem: 
Number of songs scanned: 75

1. down - 115 uses.
2. night - 108 uses.
3. love - 105 uses.
4. never - 104 uses.
5. heart - 101 uses.
6. hold - 74 uses.
7. right - 73 uses.
8. about - 73 uses.
9. baby - 73 uses.
10. take - 66 uses.
11. tonight - 65 uses.
12. tell - 64 uses.
13. let - 55 uses.
14. long - 50 uses.
15. here - 50 uses.
16. while - 49 uses.
17. always - 46 uses.
18. away - 45 uses.
19. good - 44 uses.
20. old - 43 uses.
21. home - 42 uses.
22. better - 41 uses.
23. wait - 36 uses.
24. through - 35 uses.
25. name - 35 uses.
26. things - 35 uses.
27. blood - 35 uses.
28. dream - 35 uses.
29. used - 34 uses.
30. around - 34 uses.
31. only - 34 uses.
32. remember - 34 uses.
33. hear - 33 uses.
34. life - 33 uses.
35. left - 33 uses.
36. drive - 33 uses.
37. came - 32 uses.
38. much - 32 uses.
39. break - 32 uses.
40. every - 32 uses.
41. back - 31 uses.
42. over - 30 uses.
43. young - 30 uses.
44. dance - 30 uses.
45. song - 29 uses.
46. last - 29 uses.
47. keep - 29 uses.
48. ever - 29 uses.
49. heard - 28 uses.
50. die - 27 uses.
51. feel - 27 uses.
52. those - 27 uses.
53. seen - 25 uses.
54. songs - 25 uses.
55. inside - 25 uses.
56. need - 25 uses.
57. years - 24 uses.
58. soul - 24 uses.
59. dark - 24 uses.
60. put - 24 uses.
61. room - 24 uses.
62. gone - 24 uses.
63. alone - 23 uses.
64. waiting - 23 uses.
65. sleep - 23 uses.
66. shame - 23 uses.
67. mind - 23 uses.
68. honey - 23 uses.
69. cut - 23 uses.
70. sound - 22 uses.
71. radio - 22 uses.
72. boys - 22 uses.
73. fire - 22 uses.
74. eyes - 22 uses.
75. until - 22 uses.
76. hurt - 22 uses.
77. something - 21 uses.
78. arms - 21 uses.
79. does - 21 uses.
80. cry - 21 uses.
81. town - 21 uses.
82. says - 21 uses.
83. maybe - 21 uses.
84. else - 21 uses.
85. crazy - 21 uses.
86. ground - 20 uses.
87. took - 20 uses.
88. youth - 20 uses.
89. help - 20 uses.
90. sing - 20 uses.
91. alright - 20 uses.
92. little - 20 uses.
93. nights - 20 uses.
94. singing - 20 uses.
95. run - 19 uses.
96. stars - 19 uses.
97. everybody - 19 uses.
98. ride - 19 uses.
99. head - 19 uses.
100. comes - 19 uses.
101. thought - 19 uses.
102. before - 18 uses.
103. hard - 18 uses.
104. give - 18 uses.
105. knew - 18 uses.
106. same - 18 uses.
107. em - 18 uses.
108. pretty - 18 uses.
109. should - 18 uses.
110. youd - 18 uses.
111. coming - 17 uses.
112. lay - 17 uses.
113. rain - 17 uses.
114. blues - 17 uses.
115. red - 17 uses.
116. cold - 17 uses.
117. first - 17 uses.
118. light - 17 uses.
119. enough - 17 uses.
120. think - 17 uses.
121. again - 17 uses.
122. might - 17 uses.
123. girls - 16 uses.
124. high - 16 uses.
125. everything - 16 uses.
126. world - 16 uses.
127. tired - 16 uses.
128. found - 16 uses.
129. whats - 16 uses.
130. meet - 16 uses.
131. sad - 16 uses.
132. lights - 16 uses.
133. days - 16 uses.
134. wild - 16 uses.
135. sha-la-la - 16 uses.
136. nobody - 15 uses.
137. once - 15 uses.
138. dreams - 15 uses.
139. saw - 15 uses.
140. another - 15 uses.
141. bring - 15 uses.
142. very - 15 uses.
143. brothers - 15 uses.
144. best - 15 uses.
145. thing - 15 uses.
146. sky - 15 uses.
147. forget - 15 uses.
148. tried - 14 uses.
149. leave - 14 uses.
150. kept - 14 uses.
151. maria - 14 uses.
152. mine - 14 uses.
153. free - 14 uses.
154. hey - 14 uses.
155. hand - 14 uses.
156. felt - 14 uses.
157. miss - 14 uses.
158. told - 13 uses.
159. comin - 13 uses.
160. cool - 13 uses.
161. gotta - 13 uses.
162. try - 13 uses.
163. hands - 13 uses.
164. shake - 13 uses.
165. turn - 13 uses.
166. end - 13 uses.
167. god - 12 uses.
168. above - 12 uses.
169. feet - 12 uses.
170. blue - 12 uses.
171. minute - 12 uses.
172. thinkin - 12 uses.
173. skin - 12 uses.
174. strange - 12 uses.
175. bones - 12 uses.
176. ghosts - 12 uses.
177. without - 12 uses.
178. friends - 12 uses.
179. lean - 12 uses.
180. drove - 12 uses.
181. friend - 12 uses.
182. lucky - 12 uses.
183. carve - 12 uses.
184. sally - 12 uses.
185. play - 11 uses.
186. walls - 11 uses.
187. burned - 11 uses.
188. underneath - 11 uses.
189. side - 11 uses.
190. stay - 11 uses.
191. own - 11 uses.
192. nothing - 11 uses.
193. live - 11 uses.
194. knees - 11 uses.
195. beat - 11 uses.
196. sometimes - 11 uses.
197. sure - 11 uses.
198. page - 11 uses.
199. roof - 11 uses.
200. apart - 11 uses.
201. sweet - 11 uses.
202. words - 10 uses.
203. city - 10 uses.
204. hearts - 10 uses.
205. stop - 10 uses.
206. streets - 10 uses.
207. american - 10 uses.
208. girl - 10 uses.
209. moon - 10 uses.
210. summer - 10 uses.
211. mama - 10 uses.
212. since - 10 uses.
213. somebody - 10 uses.
214. stone - 10 uses.
215. alive - 10 uses.
216. died - 10 uses.
217. lost - 10 uses.
218. loved - 10 uses.
219. backseats - 10 uses.
220. gods - 10 uses.
221. honor - 10 uses.
222. slow - 9 uses.
223. chains - 9 uses.
224. carry - 9 uses.
225. supposed - 9 uses.
226. steady - 9 uses.
227. broken - 9 uses.
228. everybodys - 9 uses.
229. known - 9 uses.
230. listen - 9 uses.
231. between - 9 uses.
232. tomb - 9 uses.
233. yes - 9 uses.
234. new - 9 uses.
235. pride - 9 uses.
236. violins - 9 uses.
237. party - 9 uses.
238. cars - 9 uses.
239. whoa - 9 uses.
240. favorite - 8 uses.
241. scared - 8 uses.
242. playing - 8 uses.
243. front - 8 uses.
244. reasons - 8 uses.
245. saturday - 8 uses.
246. men - 8 uses.
247. sons - 8 uses.
248. became - 8 uses.
249. floor - 8 uses.
250. wed - 8 uses.
251. queen - 8 uses.
252. boy - 8 uses.
253. scars - 8 uses.
254. black - 8 uses.
255. wounds - 8 uses.
256. lonesome - 8 uses.
257. anymore - 8 uses.
258. hanging - 8 uses.
259. wanted - 8 uses.
260. times - 8 uses.
261. wife - 8 uses.
262. older - 8 uses.
263. someone - 8 uses.
264. huh - 8 uses.
265. worse - 8 uses.
266. far - 8 uses.
267. deep - 8 uses.
268. late - 8 uses.
269. myself - 8 uses.
270. lover - 8 uses.
271. lies - 8 uses.
272. saving - 8 uses.
273. ambulance - 8 uses.
274. talk - 8 uses.
275. dead - 8 uses.
276. smile - 8 uses.
277. indifferent - 8 uses.
278. somewhere - 8 uses.
279. feels - 8 uses.
280. upon - 8 uses.
281. belong - 8 uses.
282. quiet - 7 uses.
283. hit - 7 uses.
284. show - 7 uses.
285. road - 7 uses.
286. kiss - 7 uses.
287. seas - 7 uses.
288. raise - 7 uses.
289. sings - 7 uses.
290. really - 7 uses.
291. sayin - 7 uses.
292. river - 7 uses.
293. stand - 7 uses.
294. bout - 7 uses.
295. ghost - 7 uses.
296. kind - 7 uses.
297. beach - 7 uses.
298. rest - 7 uses.
299. understand - 7 uses.
300. trying - 7 uses.
301. straight - 7 uses.
302. gang - 7 uses.
303. woke - 7 uses.
304. whole - 7 uses.
305. york - 7 uses.
306. lovers - 7 uses.
307. called - 7 uses.
308. goin - 7 uses.
309. other - 7 uses.
310. uh - 7 uses.
311. heaven - 7 uses.
312. great - 7 uses.
313. learned - 7 uses.
314. mans - 7 uses.
315. perfect - 7 uses.
316. roll - 7 uses.
317. standin - 7 uses.
318. nothin - 7 uses.
319. slide - 7 uses.
320. knows - 7 uses.
321. sneakers - 7 uses.
322. sailor - 7 uses.
323. tattoos - 7 uses.
324. 55 - 7 uses.
325. nice - 7 uses.
326. change - 7 uses.
327. kinda - 7 uses.
328. passed - 7 uses.
329. leaves - 7 uses.
330. case - 7 uses.
331. edge - 7 uses.
332. watch - 7 uses.
333. mercy - 7 uses.
334. bleed - 7 uses.
335. worst - 7 uses.
336. drifted - 7 uses.
337. moonlight - 7 uses.
338. sins - 7 uses.
339. brought - 7 uses.
340. father - 7 uses.
341. dared - 7 uses.
342. hope - 6 uses.
343. choir - 6 uses.
344. under - 6 uses.
345. stray - 6 uses.
346. paper - 6 uses.
347. heads - 6 uses.
348. heels - 6 uses.
349. wasnt - 6 uses.
350. bed - 6 uses.
351. sin - 6 uses.
352. beneath - 6 uses.
353. lie - 6 uses.
354. even - 6 uses.
355. goodbye - 6 uses.
356. orphans - 6 uses.
357. regret - 6 uses.
358. wore - 6 uses.
359. hours - 6 uses.
360. ask - 6 uses.
361. voice - 6 uses.
362. though - 6 uses.
363. seem - 6 uses.
364. fell - 6 uses.
365. missed - 6 uses.
366. jeans - 6 uses.
367. anything - 6 uses.
368. pain - 6 uses.
369. crawling - 6 uses.
370. mamas - 6 uses.
371. mary - 6 uses.
372. rivers - 6 uses.
373. morning - 6 uses.
374. doin - 6 uses.
375. house - 6 uses.
376. weve - 6 uses.
377. heat - 6 uses.
378. dry - 6 uses.
379. miles - 6 uses.
380. dress - 6 uses.
381. prayer - 6 uses.
382. high-top - 6 uses.
383. aching - 6 uses.
384. forgotten - 6 uses.
385. lips - 6 uses.
386. soft - 6 uses.
387. singin - 6 uses.
388. sea - 6 uses.
389. started - 6 uses.
390. going - 6 uses.
391. living - 6 uses.
392. tears - 6 uses.
