Most used words by Girlpool: 
Number of songs scanned: 48

1. blah - 36 uses.
2. world - 18 uses.
3. feel - 17 uses.
4. down - 15 uses.
5. about - 15 uses.
6. feeling - 14 uses.
7. never - 13 uses.
8. mind - 13 uses.
9. before - 11 uses.
10. alone - 11 uses.
11. think - 10 uses.
12. take - 10 uses.
13. eyes - 10 uses.
14. thought - 10 uses.
15. talking - 10 uses.
16. standing - 10 uses.
17. fine - 10 uses.
18. here - 9 uses.
19. picking - 9 uses.
20. today - 9 uses.
21. cut - 9 uses.
22. next - 9 uses.
23. felt - 9 uses.
24. wearing - 9 uses.
25. matching - 9 uses.
26. dresses - 9 uses.
27. big - 9 uses.
28. live - 8 uses.
29. things - 8 uses.
30. tell - 8 uses.
31. pretty - 8 uses.
32. always - 8 uses.
33. looking - 8 uses.
34. watch - 8 uses.
35. show - 8 uses.
36. mouth - 8 uses.
37. lie - 8 uses.
38. miss - 8 uses.
39. high - 7 uses.
40. emily - 7 uses.
41. home - 7 uses.
42. dream - 7 uses.
43. around - 7 uses.
44. night - 7 uses.
45. hard - 7 uses.
46. hair - 7 uses.
47. stuff - 7 uses.
48. heart - 7 uses.
49. sorry - 7 uses.
50. really - 7 uses.
51. life - 6 uses.
52. let - 6 uses.
53. much - 6 uses.
54. trying - 6 uses.
55. street - 6 uses.
56. wanted - 6 uses.
57. paint - 6 uses.
58. hands - 6 uses.
59. whoa-a-a - 6 uses.
60. ever - 6 uses.
61. wall - 6 uses.
62. sink - 6 uses.
63. bangs - 6 uses.
64. calling - 6 uses.
65. bluff - 6 uses.
66. small - 6 uses.
67. touch - 6 uses.
68. place - 5 uses.
69. remember - 5 uses.
70. watching - 5 uses.
71. head - 5 uses.
72. loved - 5 uses.
73. watched - 5 uses.
74. whats - 5 uses.
75. side - 5 uses.
76. try - 5 uses.
77. something - 5 uses.
78. heard - 5 uses.
79. nothing - 5 uses.
80. hear - 5 uses.
81. door - 5 uses.
82. left - 5 uses.
83. air - 5 uses.
84. keep - 5 uses.
85. any - 5 uses.
86. fight - 5 uses.
87. lot - 5 uses.
88. words - 5 uses.
89. broken - 5 uses.
90. sometimes - 5 uses.
91. pouring - 5 uses.
92. walk - 5 uses.
93. everyday - 5 uses.
94. hold - 5 uses.
95. outside - 5 uses.
96. only - 5 uses.
97. mess - 5 uses.
98. care - 5 uses.
99. love - 5 uses.
100. winning - 5 uses.
101. baby - 5 uses.
102. ride - 5 uses.
103. makes - 4 uses.
104. somehow - 4 uses.
105. space - 4 uses.
106. back - 4 uses.
107. morning - 4 uses.
108. please - 4 uses.
109. quiet - 4 uses.
110. body - 4 uses.
111. wish - 4 uses.
112. picture - 4 uses.
