Most used words by Glass Animals: 
Number of songs scanned: 54

1. back - 99 uses.
2. heat - 57 uses.
3. down - 53 uses.
4. love - 53 uses.
5. think - 52 uses.
6. hands - 48 uses.
7. baby - 48 uses.
8. waves - 47 uses.
9. knees - 44 uses.
10. about - 41 uses.
11. head - 40 uses.
12. late - 38 uses.
13. tangerine - 38 uses.
14. please - 37 uses.
15. fakin - 37 uses.
16. take - 36 uses.
17. sometimes - 36 uses.
18. smile - 34 uses.
19. nights - 34 uses.
20. gone - 33 uses.
21. middle - 32 uses.
22. june - 32 uses.
23. feel - 32 uses.
24. need - 31 uses.
25. through - 29 uses.
26. hide - 29 uses.
27. little - 27 uses.
28. talk - 27 uses.
29. happier - 27 uses.
30. makes - 25 uses.
31. huh - 25 uses.
32. nobody - 24 uses.
33. old - 24 uses.
34. gotta - 23 uses.
35. eyes - 22 uses.
36. wish - 22 uses.
37. never - 22 uses.
38. holiest - 22 uses.
39. follow - 21 uses.
40. cut - 20 uses.
41. round - 20 uses.
42. boy - 20 uses.
43. free - 20 uses.
44. thing - 20 uses.
45. right - 19 uses.
46. left - 19 uses.
47. doo - 19 uses.
48. maybe - 18 uses.
49. eye - 18 uses.
50. around - 17 uses.
51. bad - 17 uses.
52. tell - 17 uses.
53. stop - 17 uses.
54. done - 17 uses.
55. life - 17 uses.
56. run - 17 uses.
57. black - 16 uses.
58. before - 16 uses.
59. coast - 16 uses.
60. shake - 16 uses.
61. night - 15 uses.
62. new - 15 uses.
63. let - 15 uses.
64. road - 15 uses.
65. hold - 15 uses.
66. dance - 15 uses.
67. breathe - 15 uses.
68. suit - 15 uses.
69. gold - 14 uses.
70. put - 14 uses.
71. move - 14 uses.
72. shit - 14 uses.
73. ghost - 14 uses.
74. dead - 14 uses.
75. happy - 14 uses.
76. lean - 14 uses.
77. face - 13 uses.
78. cry - 13 uses.
79. sugar - 13 uses.
80. fuck - 13 uses.
81. better - 13 uses.
82. give - 13 uses.
83. everything - 13 uses.
84. high - 13 uses.
85. mind - 12 uses.
86. honey - 12 uses.
87. blue - 12 uses.
88. hot - 12 uses.
89. days - 12 uses.
90. play - 12 uses.
91. leave - 12 uses.
92. beggin - 12 uses.
93. because - 12 uses.
94. cos - 12 uses.
95. puts - 12 uses.
96. saw - 11 uses.
97. real - 11 uses.
98. hair - 11 uses.
99. big - 11 uses.
100. living - 11 uses.
101. soul - 11 uses.
102. fire - 11 uses.
103. sleep - 11 uses.
104. summer - 11 uses.
105. space - 11 uses.
106. much - 11 uses.
107. own - 11 uses.
108. running - 11 uses.
109. sweet - 11 uses.
110. line - 11 uses.
111. breaking - 11 uses.
112. people - 11 uses.
113. funny - 10 uses.
114. keep - 10 uses.
115. brain - 10 uses.
116. shimmer - 10 uses.
117. wigglin - 10 uses.
118. vision - 10 uses.
119. swimmin - 10 uses.
120. noise - 10 uses.
121. fight - 10 uses.
122. air - 10 uses.
123. deep - 10 uses.
124. repeat - 10 uses.
125. lie - 9 uses.
126. hand - 9 uses.
127. cool - 9 uses.
128. turn - 9 uses.
129. something - 9 uses.
130. money - 9 uses.
131. floor - 9 uses.
132. lets - 9 uses.
133. bout - 9 uses.
134. lose - 9 uses.
135. control - 9 uses.
136. place - 9 uses.
137. fly - 9 uses.
138. mirror - 9 uses.
139. somethin - 9 uses.
140. flowers - 9 uses.
141. mama - 9 uses.
142. wanted - 9 uses.
143. those - 9 uses.
144. touch - 9 uses.
145. over - 9 uses.
146. fall - 9 uses.
147. smoke - 8 uses.
148. light - 8 uses.
149. show - 8 uses.
150. hurt - 8 uses.
151. walk - 8 uses.
152. try - 8 uses.
153. red - 8 uses.
154. sand - 8 uses.
155. yours - 8 uses.
156. blink - 8 uses.
157. forget - 8 uses.
158. things - 8 uses.
159. hit - 8 uses.
160. settle - 8 uses.
161. world - 8 uses.
162. pineapples - 8 uses.
163. live - 8 uses.
164. full - 8 uses.
165. cold - 8 uses.
166. stuck - 8 uses.
167. falling - 8 uses.
168. sky - 8 uses.
169. standing - 8 uses.
170. alright - 7 uses.
171. inside - 7 uses.
172. friend - 7 uses.
173. ever - 7 uses.
174. dizzy - 7 uses.
175. sun - 7 uses.
176. truth - 7 uses.
177. super - 7 uses.
178. wake - 7 uses.
179. past - 7 uses.
180. fake - 7 uses.
181. bit - 7 uses.
182. trees - 7 uses.
183. feet - 7 uses.
184. laugh - 7 uses.
185. fucking - 7 uses.
186. chrome - 7 uses.
187. friends - 7 uses.
188. bullet - 7 uses.
189. pulling - 7 uses.
190. dreamland - 7 uses.
191. looking - 6 uses.
192. sad - 6 uses.
193. lost - 6 uses.
194. lips - 6 uses.
195. pool - 6 uses.
196. hey - 6 uses.
197. wait - 6 uses.
198. broken - 6 uses.
199. heart - 6 uses.
200. okay - 6 uses.
201. crazy - 6 uses.
202. nose - 6 uses.
203. wonder - 6 uses.
204. youd - 6 uses.
205. doing - 6 uses.
206. waiting - 6 uses.
207. whyd - 6 uses.
208. knew - 6 uses.
209. home - 6 uses.
210. choking - 6 uses.
211. taste - 6 uses.
212. loud - 6 uses.
213. fun - 6 uses.
214. slow - 6 uses.
215. without - 6 uses.
216. backwards - 6 uses.
217. yuh - 6 uses.
218. twisted - 6 uses.
219. fingers - 6 uses.
220. backstreets - 6 uses.
221. slipping - 6 uses.
222. tourist - 6 uses.
223. oooo - 6 uses.
224. even - 6 uses.
225. true - 6 uses.
226. romantic - 6 uses.
227. addict - 6 uses.
228. killing - 6 uses.
229. young - 6 uses.
230. longer - 6 uses.
231. beautiful - 6 uses.
232. toes - 5 uses.
233. watch - 5 uses.
234. mine - 5 uses.
235. slick - 5 uses.
236. wall - 5 uses.
237. eat - 5 uses.
238. forever - 5 uses.
239. breath - 5 uses.
240. fat - 5 uses.
241. law - 5 uses.
242. grey - 5 uses.
243. 007 - 5 uses.
244. rockets - 5 uses.
245. dreamin - 5 uses.
246. comfortable - 5 uses.
247. perfectly - 5 uses.
248. un-sad - 5 uses.
249. took - 5 uses.
250. dirty - 5 uses.
251. silence - 5 uses.
252. getting - 5 uses.
253. nothing - 5 uses.
254. clear - 5 uses.
255. fool - 5 uses.
256. youth - 5 uses.
257. smooth - 5 uses.
258. sip - 5 uses.
259. told - 5 uses.
260. work - 5 uses.
261. wicked - 5 uses.
262. here - 5 uses.
263. float - 5 uses.
264. nice - 5 uses.
265. pretty - 5 uses.
266. caught - 5 uses.
267. mouth - 5 uses.
268. till - 5 uses.
269. toy - 5 uses.
270. only - 5 uses.
271. bed - 5 uses.
272. somebody - 5 uses.
273. times - 5 uses.
274. child - 5 uses.
275. dreams - 5 uses.
276. faster - 5 uses.
277. girl - 5 uses.
278. must - 5 uses.
279. room - 5 uses.
280. temporary - 5 uses.
281. called - 5 uses.
282. quiet - 5 uses.
283. rocket - 5 uses.
284. nothin - 5 uses.
285. wavey - 5 uses.
286. daveys - 5 uses.
287. swaying - 5 uses.
288. flip - 5 uses.
289. lashing - 5 uses.
290. papa - 5 uses.
291. truck - 5 uses.
292. ways - 5 uses.
293. caffeine - 5 uses.
294. wrong - 5 uses.
295. water - 5 uses.
296. a-ha - 5 uses.
297. long - 4 uses.
298. afternoon - 4 uses.
299. kiss - 4 uses.
300. rims - 4 uses.
301. skin - 4 uses.
302. complaint - 4 uses.
303. debt - 4 uses.
304. priceless - 4 uses.
305. advice - 4 uses.
306. climb - 4 uses.
307. bitch - 4 uses.
308. lit - 4 uses.
309. bones - 4 uses.
310. apart - 4 uses.
311. close - 4 uses.
312. god - 4 uses.
313. glass - 4 uses.
314. insane - 4 uses.
315. today - 4 uses.
316. sick - 4 uses.
317. tired - 4 uses.
318. gun - 4 uses.
319. playin - 4 uses.
320. last - 4 uses.
321. perfume - 4 uses.
322. heard - 4 uses.
323. fresh - 4 uses.
324. bear - 4 uses.
325. chance - 4 uses.
326. kick - 4 uses.
327. words - 4 uses.
328. alone - 4 uses.
329. lookin - 4 uses.
330. school - 4 uses.
331. legs - 4 uses.
332. hatchet - 4 uses.
333. roll - 4 uses.
334. good - 4 uses.
335. once - 4 uses.
336. grow - 4 uses.
337. sly - 4 uses.
338. white - 4 uses.
339. diamonds - 4 uses.
340. dust - 4 uses.
341. lust - 4 uses.
342. warm - 4 uses.
343. tricks - 4 uses.
344. tools - 4 uses.
345. joy - 4 uses.
346. battery - 4 uses.
347. guilt - 4 uses.
348. poise - 4 uses.
349. wings - 4 uses.
350. edge - 4 uses.
351. fuckin - 4 uses.
352. drunk - 4 uses.
353. phone - 4 uses.
354. mr - 4 uses.
355. bring - 4 uses.
356. eyed - 4 uses.
357. bodys - 4 uses.
358. tv - 4 uses.
359. lime - 4 uses.
360. blow - 4 uses.
361. wild - 4 uses.
362. side - 4 uses.
363. turns - 4 uses.
364. suck - 4 uses.
365. loose - 4 uses.
366. ooh - 4 uses.
367. lettin - 4 uses.
368. beatin - 4 uses.
369. pushin - 4 uses.
370. miss - 4 uses.
371. movies - 4 uses.
372. yourself - 4 uses.
373. else - 4 uses.
374. five - 4 uses.
375. thick - 4 uses.
376. thought - 4 uses.
377. whispers - 4 uses.
378. deafen - 4 uses.
379. sound - 4 uses.
380. other - 4 uses.
381. sitting - 4 uses.
382. another - 4 uses.
383. clearly - 4 uses.
384. dripping - 4 uses.
385. mask - 4 uses.
386. bucket - 4 uses.
387. met - 4 uses.
388. bye - 4 uses.
389. chasing - 4 uses.
