Most used words by Grayscale: 
Number of songs scanned: 55

1. let - 92 uses.
2. never - 83 uses.
3. love - 83 uses.
4. again - 64 uses.
5. back - 63 uses.
6. down - 59 uses.
7. feel - 58 uses.
8. through - 51 uses.
9. mind - 50 uses.
10. gone - 49 uses.
11. away - 43 uses.
12. think - 40 uses.
13. tell - 37 uses.
14. old - 34 uses.
15. eyes - 32 uses.
16. need - 31 uses.
17. used - 31 uses.
18. without - 31 uses.
19. sick - 30 uses.
20. always - 29 uses.
21. give - 29 uses.
22. ever - 28 uses.
23. hope - 27 uses.
24. good - 27 uses.
25. everything - 27 uses.
26. here - 27 uses.
27. pull - 27 uses.
28. live - 27 uses.
29. head - 27 uses.
30. home - 26 uses.
31. something - 26 uses.
32. hear - 25 uses.
33. nothing - 25 uses.
34. take - 25 uses.
35. rain - 24 uses.
36. blood - 24 uses.
37. bring - 24 uses.
38. wish - 24 uses.
39. pain - 24 uses.
40. same - 24 uses.
41. guess - 23 uses.
42. try - 23 uses.
43. alone - 22 uses.
44. face - 22 uses.
45. better - 22 uses.
46. swear - 22 uses.
47. myself - 22 uses.
48. wake - 22 uses.
49. forever - 22 uses.
50. life - 21 uses.
51. fall - 21 uses.
52. hands - 21 uses.
53. bad - 21 uses.
54. hate - 21 uses.
55. around - 21 uses.
56. friends - 21 uses.
57. mean - 21 uses.
58. whats - 20 uses.
59. keep - 19 uses.
60. place - 19 uses.
61. much - 18 uses.
62. room - 18 uses.
63. run - 17 uses.
64. running - 17 uses.
65. before - 17 uses.
66. things - 17 uses.
67. yourself - 17 uses.
68. yours - 17 uses.
69. lost - 16 uses.
70. arms - 16 uses.
71. miss - 16 uses.
72. sun - 16 uses.
73. talk - 16 uses.
74. about - 15 uses.
75. end - 15 uses.
76. remember - 15 uses.
77. heart - 15 uses.
78. left - 15 uses.
79. sleep - 15 uses.
80. night - 15 uses.
81. should - 15 uses.
82. til - 14 uses.
83. waiting - 14 uses.
84. right - 14 uses.
85. tonight - 14 uses.
86. stuck - 14 uses.
87. lets - 14 uses.
88. world - 14 uses.
89. over - 14 uses.
90. playing - 14 uses.
91. stop - 14 uses.
92. only - 14 uses.
93. broken - 14 uses.
94. carry - 13 uses.
95. stay - 13 uses.
96. while - 13 uses.
97. last - 13 uses.
98. save - 13 uses.
99. smile - 13 uses.
100. done - 13 uses.
101. hold - 13 uses.
102. slip - 13 uses.
103. pray - 13 uses.
104. really - 13 uses.
105. wash - 13 uses.
106. blue - 12 uses.
107. okay - 12 uses.
108. living - 12 uses.
109. years - 12 uses.
110. words - 12 uses.
111. feeling - 12 uses.
112. own - 12 uses.
113. those - 12 uses.
114. baby - 12 uses.
115. soul - 12 uses.
116. put - 12 uses.
117. sing - 12 uses.
118. strong - 11 uses.
119. walk - 11 uses.
120. thought - 11 uses.
121. veins - 11 uses.
122. skin - 11 uses.
123. inside - 11 uses.
124. long - 11 uses.
125. trying - 11 uses.
126. wrong - 11 uses.
127. days - 11 uses.
128. singing - 11 uses.
129. young - 11 uses.
130. best - 11 uses.
131. die - 11 uses.
132. along - 10 uses.
133. going - 10 uses.
134. dark - 10 uses.
135. enough - 10 uses.
136. heard - 10 uses.
137. hard - 10 uses.
138. memories - 10 uses.
139. past - 10 uses.
140. song - 10 uses.
141. apart - 10 uses.
