Most used words by  Green Day: 
Number of songs scanned: 238

1. away - 224 uses.
2. want - 198 uses.
3. wanna - 159 uses.
4. down - 153 uses.
5. love - 150 uses.
6. gonna - 125 uses.
7. back - 115 uses.
8. hey - 112 uses.
9. mind - 111 uses.
10. around - 108 uses.
11. again - 105 uses.
12. here - 97 uses.
13. night - 96 uses.
14. take - 95 uses.
15. where - 95 uses.
16. never - 94 uses.
17. last - 94 uses.
18. think - 88 uses.
19. lost - 88 uses.
20. home - 88 uses.
21. ah - 82 uses.
22. life - 82 uses.
23. gone - 80 uses.
24. give - 78 uses.
25. heart - 78 uses.
26. alone - 76 uses.
27. another - 74 uses.
28. world - 74 uses.
29. little - 74 uses.
30. only - 73 uses.
31. myself - 72 uses.
32. tonight - 69 uses.
33. let - 69 uses.
34. going - 68 uses.
35. feel - 68 uses.
36. nothing - 68 uses.
37. right - 66 uses.
38. walk - 66 uses.
39. head - 66 uses.
40. dead - 63 uses.
41. left - 63 uses.
42. long - 62 uses.
43. everything - 61 uses.
44. girl - 58 uses.
45. own - 58 uses.
46. better - 57 uses.
47. still - 57 uses.
48. far - 57 uses.
49. eyes - 56 uses.
50. end - 55 uses.
51. need - 54 uses.
52. hell - 54 uses.
53. live - 54 uses.
54. baby - 53 uses.
55. alright - 53 uses.
56. whats - 53 uses.
57. over - 52 uses.
58. something - 52 uses.
59. die - 52 uses.
60. fucking - 51 uses.
61. always - 50 uses.
62. la - 50 uses.
63. high - 49 uses.
64. comes - 49 uses.
65. face - 46 uses.
66. hear - 46 uses.
67. keep - 46 uses.
68. old - 45 uses.
69. town - 44 uses.
70. coming - 44 uses.
71. dream - 44 uses.
72. tell - 44 uses.
73. every - 43 uses.
74. fuck - 42 uses.
75. light - 42 uses.
76. shout - 42 uses.
77. control - 41 uses.
78. ever - 41 uses.
79. without - 41 uses.
80. getting - 40 uses.
81. thing - 39 uses.
82. enemy - 39 uses.
83. looking - 38 uses.
84. feeling - 38 uses.
85. through - 37 uses.
86. kiss - 37 uses.
87. care - 37 uses.
88. inside - 37 uses.
89. ones - 37 uses.
90. running - 37 uses.
91. line - 36 uses.
92. found - 36 uses.
93. pain - 36 uses.
94. times - 36 uses.
95. hearts - 36 uses.
96. makes - 36 uses.
97. fire - 35 uses.
98. much - 35 uses.
99. before - 35 uses.
100. ha - 35 uses.
101. lose - 35 uses.
102. fight - 35 uses.
103. goes - 35 uses.
104. new - 35 uses.
105. burning - 35 uses.
106. blood - 35 uses.
107. taking - 35 uses.
108. city - 35 uses.
109. things - 34 uses.
110. gotta - 34 uses.
111. really - 34 uses.
112. even - 34 uses.
113. hope - 34 uses.
114. lights - 34 uses.
115. living - 34 uses.
116. making - 34 uses.
117. yourself - 34 uses.
118. sick - 34 uses.
119. ride - 34 uses.
120. roll - 34 uses.
121. boy - 34 uses.
122. soon - 34 uses.
123. does - 33 uses.
124. sometimes - 33 uses.
125. kill - 33 uses.
126. cello - 33 uses.
127. waste - 32 uses.
128. crazy - 32 uses.
129. late - 32 uses.
130. waiting - 32 uses.
131. name - 31 uses.
132. please - 31 uses.
133. hand - 31 uses.
134. break - 31 uses.
135. bad - 31 uses.
136. wrong - 31 uses.
137. someone - 31 uses.
138. turn - 30 uses.
139. lets - 30 uses.
140. hold - 30 uses.
141. same - 29 uses.
142. place - 29 uses.
143. death - 29 uses.
144. shit - 28 uses.
145. broken - 28 uses.
146. stop - 27 uses.
147. fall - 27 uses.
148. until - 27 uses.
149. run - 27 uses.
150. young - 27 uses.
151. enough - 27 uses.
152. til - 27 uses.
