Most used words by Grizzly Bear: 
Number of songs scanned: 68

1. take - 36 uses.
2. never - 35 uses.
3. even - 31 uses.
4. try - 28 uses.
5. around - 27 uses.
6. nothing - 27 uses.
7. always - 25 uses.
8. let - 25 uses.
9. here - 25 uses.
10. back - 24 uses.
11. chin - 24 uses.
12. colorado - 24 uses.
13. down - 23 uses.
14. long - 23 uses.
15. again - 23 uses.
16. face - 23 uses.
17. heart - 23 uses.
18. only - 22 uses.
19. left - 21 uses.
20. keep - 21 uses.
21. easy - 20 uses.
22. leave - 20 uses.
23. another - 19 uses.
24. owner - 19 uses.
25. light - 18 uses.
26. mind - 18 uses.
27. whats - 18 uses.
28. right - 18 uses.
29. lonely - 18 uses.
30. every - 17 uses.
31. wrong - 17 uses.
32. sound - 17 uses.
33. ever - 17 uses.
34. gone - 16 uses.
35. cheer - 16 uses.
36. spend - 16 uses.
37. eyes - 15 uses.
38. end - 14 uses.
39. myself - 14 uses.
40. lot - 14 uses.
41. everything - 14 uses.
42. alright - 13 uses.
43. once - 13 uses.
44. chance - 13 uses.
45. away - 13 uses.
46. move - 13 uses.
47. behind - 12 uses.
48. clear - 12 uses.
49. ask - 12 uses.
50. while - 12 uses.
51. baby - 12 uses.
52. doo - 12 uses.
53. last - 12 uses.
54. matter - 11 uses.
55. give - 11 uses.
56. far - 11 uses.
57. hear - 11 uses.
58. deep - 11 uses.
59. loves - 11 uses.
60. desire - 11 uses.
61. night - 10 uses.
62. ground - 10 uses.
63. lie - 10 uses.
64. think - 10 uses.
65. feel - 10 uses.
66. maybe - 10 uses.
67. through - 10 uses.
68. things - 10 uses.
69. little - 10 uses.
70. before - 10 uses.
71. place - 10 uses.
72. help - 10 uses.
73. theyll - 10 uses.
74. kind - 10 uses.
75. please - 10 uses.
76. shooting - 10 uses.
77. mine - 9 uses.
78. any - 9 uses.
79. stay - 9 uses.
80. home - 9 uses.
81. between - 9 uses.
82. good - 9 uses.
83. love - 9 uses.
84. wait - 9 uses.
85. yourself - 9 uses.
86. sea - 9 uses.
87. woke - 9 uses.
88. return - 9 uses.
89. without - 9 uses.
90. same - 8 uses.
91. alone - 8 uses.
92. lost - 8 uses.
93. fire - 8 uses.
94. watch - 8 uses.
95. something - 8 uses.
96. over - 8 uses.
97. inside - 8 uses.
98. believe - 8 uses.
99. fall - 8 uses.
100. much - 8 uses.
101. blue - 8 uses.
102. passing - 8 uses.
103. leader - 8 uses.
104. goes - 8 uses.
105. knife - 7 uses.
106. lead - 7 uses.
107. step - 7 uses.
108. about - 7 uses.
109. other - 7 uses.
110. cut - 7 uses.
111. fix - 7 uses.
112. looked - 7 uses.
113. hold - 7 uses.
114. those - 7 uses.
115. cold - 6 uses.
116. because - 6 uses.
117. walk - 6 uses.
118. calling - 6 uses.
119. doesnt - 6 uses.
120. took - 6 uses.
121. makes - 6 uses.
122. hands - 6 uses.
123. great - 6 uses.
124. life - 6 uses.
125. wide - 6 uses.
126. darling - 6 uses.
127. drop - 6 uses.
128. distant - 6 uses.
129. shots - 6 uses.
130. trucks - 6 uses.
131. faith - 6 uses.
132. thought - 6 uses.
133. though - 6 uses.
134. close - 6 uses.
135. better - 6 uses.
136. care - 6 uses.
137. world - 6 uses.
138. listening - 6 uses.
139. trust - 6 uses.
140. such - 6 uses.
141. object - 6 uses.
142. overflows - 6 uses.
143. riot - 6 uses.
144. bright - 5 uses.
145. coming - 5 uses.
146. half - 5 uses.
147. car - 5 uses.
148. sure - 5 uses.
149. shows - 5 uses.
150. foreground - 5 uses.
151. might - 5 uses.
152. after - 5 uses.
153. words - 5 uses.
154. done - 5 uses.
155. calls - 5 uses.
156. put - 5 uses.
157. silver - 5 uses.
158. mourning - 5 uses.
159. own - 5 uses.
160. isnt - 5 uses.
161. apart - 5 uses.
162. wind - 5 uses.
163. mean - 5 uses.
164. lies - 5 uses.
165. blind - 5 uses.
