Most used words by Hatchie: 
Number of songs scanned: 19

1. give - 38 uses.
2. keep - 36 uses.
3. try - 28 uses.
4. secret - 28 uses.
5. feel - 25 uses.
6. little - 25 uses.
7. baby - 23 uses.
8. stay - 20 uses.
9. even - 19 uses.
10. over - 18 uses.
11. about - 18 uses.
12. let - 17 uses.
13. enchanted - 17 uses.
14. wanted - 15 uses.
15. away - 15 uses.
16. back - 15 uses.
17. bit - 15 uses.
18. obsessed - 15 uses.
19. ever - 14 uses.
20. never - 14 uses.
21. really - 13 uses.
22. think - 12 uses.
23. trying - 12 uses.
24. take - 12 uses.
25. any - 12 uses.
26. heart - 12 uses.
27. tell - 11 uses.
28. shouldnt - 10 uses.
29. kiss - 10 uses.
30. only - 10 uses.
31. sure - 10 uses.
32. end - 10 uses.
33. sleep - 10 uses.
34. long - 9 uses.
35. should - 9 uses.
36. here - 9 uses.
37. everything - 9 uses.
38. crush - 9 uses.
39. run - 9 uses.
40. sigh - 9 uses.
41. thought - 8 uses.
42. right - 8 uses.
43. kind - 8 uses.
44. needed - 8 uses.
45. talk - 8 uses.
46. told - 8 uses.
47. dream - 8 uses.
48. outlast - 8 uses.
49. couldnt - 7 uses.
50. girl - 7 uses.
51. met - 7 uses.
52. hard - 7 uses.
53. speak - 7 uses.
54. loud - 7 uses.
55. dreams - 7 uses.
56. love - 7 uses.
57. ah - 7 uses.
58. believe - 6 uses.
59. other - 6 uses.
60. gone - 6 uses.
61. without - 6 uses.
62. fall - 6 uses.
63. wrong - 6 uses.
64. change - 6 uses.
65. mind - 6 uses.
66. smiling - 6 uses.
67. maybe - 6 uses.
68. bad - 6 uses.
69. anyway - 6 uses.
70. while - 5 uses.
71. much - 5 uses.
72. doesnt - 5 uses.
73. gave - 5 uses.
74. fate - 5 uses.
75. every - 5 uses.
76. feeling - 5 uses.
77. late - 5 uses.
78. true - 5 uses.
79. wonder - 5 uses.
80. getting - 5 uses.
81. down - 5 uses.
82. aw - 5 uses.
83. creeping - 5 uses.
84. longer - 4 uses.
85. need - 4 uses.
86. eye - 4 uses.
87. good - 4 uses.
88. keeps - 4 uses.
89. define - 4 uses.
90. given - 4 uses.
91. sun - 4 uses.
92. own - 4 uses.
93. undone - 4 uses.
94. though - 4 uses.
95. feels - 4 uses.
96. something - 4 uses.
97. hold - 4 uses.
98. fight - 4 uses.
99. alright - 4 uses.
100. liar - 4 uses.
101. tonight - 4 uses.
102. eyes - 4 uses.
103. cool - 4 uses.
104. colour - 4 uses.
105. fool - 4 uses.
106. gunna - 4 uses.
107. went - 4 uses.
108. backwards - 4 uses.
109. guy - 4 uses.
110. haunt - 4 uses.
111. anymore - 4 uses.
112. under - 3 uses.
113. spell - 3 uses.
114. wanderer - 3 uses.
115. again - 3 uses.
116. break - 3 uses.
117. threw - 3 uses.
118. view - 3 uses.
119. guess - 3 uses.
120. enough - 3 uses.
121. whats - 3 uses.
122. broken - 3 uses.
123. adored - 3 uses.
124. thinkin - 3 uses.
125. things - 3 uses.
126. better - 3 uses.
127. done - 3 uses.
128. nothing - 3 uses.
129. always - 3 uses.
130. last - 3 uses.
131. stupid - 3 uses.
132. left - 3 uses.
133. put - 3 uses.
134. deep - 3 uses.
135. lets - 3 uses.
136. faint - 3 uses.
137. touch - 3 uses.
138. thing - 3 uses.
139. depends - 3 uses.
140. please - 3 uses.
141. lies - 3 uses.
142. light - 3 uses.
143. high - 3 uses.
144. cry - 3 uses.
145. fun - 3 uses.
146. through - 3 uses.
147. til - 3 uses.
148. stop - 3 uses.
149. washing - 3 uses.
150. image - 3 uses.
151. makes - 2 uses.
152. running - 2 uses.
153. trace - 2 uses.
154. anything - 2 uses.
155. weve - 2 uses.
156. worked - 2 uses.
157. work - 2 uses.
158. won - 2 uses.
159. act - 2 uses.
160. different - 2 uses.
161. moment - 2 uses.
162. apart - 2 uses.
163. walk - 2 uses.
164. miss - 2 uses.
165. same - 2 uses.
166. changed - 2 uses.
167. ten - 2 uses.
168. years - 2 uses.
169. ready - 2 uses.
170. stars - 2 uses.
171. forever - 2 uses.
172. leave - 2 uses.
173. destined - 2 uses.
174. close - 2 uses.
175. wings - 2 uses.
176. felt - 2 uses.
177. mine - 2 uses.
178. behind - 2 uses.
179. inside - 2 uses.
180. fuss - 2 uses.
181. crazy - 2 uses.
182. heres - 2 uses.
183. play - 2 uses.
184. loose - 2 uses.
185. date - 2 uses.
186. destiny - 2 uses.
187. youd - 2 uses.
188. blow - 2 uses.
189. knew - 2 uses.
190. life - 2 uses.
191. runs - 2 uses.
192. herself - 2 uses.
193. chose - 2 uses.
194. giving - 2 uses.
195. waits - 2 uses.
196. none - 2 uses.
197. waste - 2 uses.
198. knees - 2 uses.
199. hurt - 2 uses.
200. lucky - 2 uses.
201. son - 2 uses.
202. watching - 2 uses.
203. opened - 2 uses.
204. door - 2 uses.
205. move - 2 uses.
206. funny - 2 uses.
207. night - 2 uses.
208. another - 2 uses.
209. mean - 2 uses.
210. react - 2 uses.
211. next - 2 uses.
212. barely - 2 uses.
213. sleeping - 2 uses.
214. turn - 2 uses.
215. talked - 2 uses.
216. partys - 2 uses.
217. drag - 2 uses.
218. bag - 2 uses.
219. rest - 2 uses.
